– reformvård till stöd för en bättre skola;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 en//DT|UTR|SIN|IND//det//6 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 skola//NN|UTR|SIN|IND|NOM//nmod//2 genom//PP//case//10 mer//AB|KOM//advmod//9 attraktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 skolprofessioner//NN|UTR|PLU|IND|NOM//obl//0
Till statsrådet Gustav Fridolin, Utbildningsdepartementet;Johan//PM|NOM//nsubj:pass//155 Börjesson//PM|NOM//flat//153 entledigades//VB|PRT|SFO//conj//113 fr.o.m.//AB|AN//case//159 den//DT|UTR|SIN|DEF//det//159 1//RO|NOM//nummod//159 januari//NN|UTR|SIN|IND|NOM//obl//155 2017//RG|NOM//nummod//159 .//MAD//punct//155
Till statsrådet Gustav Fridolin, Utbildningsdepartementet;I//PP//case//164 hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//164 ställe//NN|NEU|SIN|IND|NOM//obl//165 förordnades//VB|PRT|SFO//conj//155 fr.o.m.//AB|AN//case//168 samma//DT|UTR/NEU|SIN/PLU|IND//det//168 dag//NN|UTR|SIN|IND|NOM//obl//165 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//170 Erica//PM|NOM//obl//165 Stadler//PM|NOM//flat:name//170 ,//MID//punct//173 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//170 ,//MID//punct//173 som//KN//mark//176 expert//NN|UTR|SIN|IND|NOM//acl//173 .//MAD//punct//1
Till statsrådet Gustav Fridolin, Utbildningsdepartementet;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 Utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 om//PP//case//6 en//DT|UTR|SIN|IND//det//6 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 skola//NN|UTR|SIN|IND|NOM//nmod//2 genom//PP//case//12 mer//AB|KOM//advmod//9 attraktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 skolprofessioners//NN|UTR|PLU|IND|GEN//nmod:poss//12 delbetänkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 Utbildning//NN|UTR|SIN|IND|NOM//nsubj:pass//17 ,//MID//punct//12 undervisning//NN|UTR|SIN|IND|NOM//conj//12 kommer//VB|PRS|AKT//aux//17 att//IE//mark//17 behandlas//VB|INF|SFO//conj//1 i//PP//case//20 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//17 som//HP|-|-|-//nsubj:pass//23 ska//VB|PRS|AKT//aux//23 lämnas//VB|INF|SFO//acl:relcl//20 senast//AB|SUV//case//27 den//DT|UTR|SIN|DEF//det//27 1//RO|NOM//nummod//27 december//NN|UTR|SIN|IND|NOM//obl//23 2017//RG|NOM//nummod//27 .//MAD//punct//1
Till statsrådet Gustav Fridolin, Utbildningsdepartementet;Stockholm//PM|NOM//nsubj//2 8//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//ROOT//2 2017//RG|NOM//nummod//2
Till statsrådet Gustav Fridolin, Utbildningsdepartementet;Björn//PM|NOM//ROOT//0 Åstrand//PM|NOM//flat:name//0
Till statsrådet Gustav Fridolin, Utbildningsdepartementet;Frida//PM|NOM//nmod//1 Ericmats//PM|NOM//compound//2 Rutgersson//PM|NOM//ROOT//2


1.1 Förslag till lag om ändring i skollagen (2010:800);Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//case//5 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//fixed//2 lag//NN|UTR|SIN|IND|NOM//obl//1 om//PP//case//7 ändring//NN|UTR|SIN|IND|NOM//nmod//5 i//PP//case//9 skollagen//NN|UTR|SIN|DEF|NOM//nmod//7 (//PAD//punct//1 2010:800//RG|NOM//dep//1 )//PAD//punct//11 dels//KN//advmod//36  //_SP////13 att//SN//mark//25 2//RG|NOM//nummod//17 kap.//NN|AN//nmod//18 21//RG|NOM//nsubj//25 och//KN//cc//18 22//RG|NOM//nummod//18 a//NN|NEU|SIN|IND|NOM//case//23 §//NN|AN//nmod//23 §//NN|AN//nmod//18 ska//VB|PRS|AKT//aux//25 ha//VB|INF|AKT//advcl//13 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 lydelse//NN|UTR|SIN|IND|NOM//obj//25 ,//MID//punct//13 dels//KN//advmod//36  //_SP////29 att//SN//mark//36 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 i//PP//case//34 lagen//NN|UTR|SIN|DEF|NOM//obl//36 ska//VB|PRS|AKT//aux//36 införas//VB|INF|SFO//conj//1 en//DT|UTR|SIN|IND//det//39 ny//JJ|POS|UTR|SIN|IND|NOM//amod//39 paragraf//NN|UTR|SIN|IND|NOM//nsubj:pass//36 ,//MID//punct//39 2//RG|NOM//nummod//42 kap.//NN|AN//nmod//43 22//RG|NOM//nmod//39 c//NN|AN//case//45 §//NN|AN//obl//43 .//MAD//punct//1

