8.1 Allmänt om tidigare personregister;Enligt//PP//case//48 59//RG|NOM//nummod//48 §//NN|AN//nmod//51 andra//RO|NOM//amod//50 stycket//NN|NEU|SIN|DEF|NOM//amod//51 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//appos//21 får//VB|PRS|AKT//aux//56 dock//AB//advmod//56 i//PP//case//55 personregistren//NN|NEU|PLU|DEF|NOM//obl//56 tas//VB|PRS|SFO//conj//3 in//PL//compound:prt//56 uppgifter//NN|UTR|PLU|IND|NOM//obj//56 om//PP//case//62 ömtåliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 förhållanden//NN|NEU|PLU|IND|NOM//obl//56 ,//MID//punct//56 när//HA//mark//67 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//67 är//VB|PRS|AKT//cop//67 fråga//NN|UTR|SIN|IND|NOM//advcl//56 om//PP//case//69 beslut//NN|NEU|PLU|IND|NOM//obl//67 som//HP|-|-|-//nsubj:pass//73 inom//PP//case//72 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//73 fattas//VB|PRS|SFO//acl:relcl//69 om//PP//mark//76 den//DT|UTR|SIN|DEF//nsubj//76 registrerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//advcl//73 och//KN//cc//79 som//HP|-|-|-//nsubj//79 innebär//VB|PRS|AKT//conj//76 myndighetsutövning//NN|UTR|SIN|IND|NOM//obj//79 .//MAD//punct//3
8.1 Allmänt om tidigare personregister;Med//PP//case//1 myndighetsutövning//NN|UTR|SIN|IND|NOM//obl//2 avses//VB|PRS|SFO//ROOT//2 som//KN//nsubj:pass//2 regel//NN|UTR|SIN|IND|NOM//fixed//3 utövning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 av//PP//case//7 befogenhet//NN|UTR|SIN|IND|NOM//nmod//5 att//IE//mark//9 bestämma//VB|INF|AKT//acl//5 om//PP//case//11 förmån//NN|UTR|SIN|IND|NOM//obl//9 ,//MID//punct//13 rättighet//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//15 skyldighet//NN|UTR|SIN|IND|NOM//conj//11 etc.//AB|AN//conj//11
8.1 Allmänt om tidigare personregister;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//3 och//KN//cc//2 trafikhuvudmän//NN|UTR|PLU|IND|NOM//conj//0 behövde//VB|PRT|AKT//ROOT//3 tidigare//AB|KOM//advmod//3 ha//VB|INF|AKT//xcomp//3 tillstånd//NN|NEU|SIN|IND|NOM//obj//5 från//PP//case//8 Datainspektionen//PM|NOM//obl//5 för//PP//mark//12 att//IE//mark//12 få//VB|INF|AKT//aux//12 inrätta//VB|INF|AKT//advcl//5 och//KN//cc//14 föra//VB|INF|AKT//conj//12 personregister//NN|UTR|PLU|IND|NOM//obj//14 för//PP//case//17 färdtjänsten//NN|UTR|SIN|DEF|NOM//nmod//15 och//KN//cc//19 riksfärdtjänsten//NN|UTR|SIN|DEF|NOM//conj//17 .//MAD//punct//3

8.2 Nuvarande register inom färdtjänsten och riksfärdtjänsten;Personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nsubj//4 (//PAD//punct//0 1998:204//RG|NOM//appos//0 )//PAD//punct//0 trädde//VB|PRT|AKT//ROOT//4 i//PP//compound:prt//4 kraft//NN|UTR|SIN|IND|NOM//fixed//5 den//DT|UTR|SIN|DEF//det//9 24//RG|NOM//nummod//9 oktober//NN|UTR|SIN|IND|NOM//obl//4 1998//RG|NOM//nummod//9 och//KN//cc//14 samma//DT|UTR/NEU|SIN/PLU|IND//det//13 dag//NN|UTR|SIN|IND|NOM//obl//14 upphörde//VB|PRT|AKT//conj//4 datalagen//NN|UTR|SIN|DEF|NOM//obj//14 (//PAD//punct//15 1973:289//RG|NOM//appos//15 )//PAD//punct//17 att//IE//mark//20 gälla//VB|INF|AKT//xcomp//14 .//MAD//punct//4
8.2 Nuvarande register inom färdtjänsten och riksfärdtjänsten;Enligt//PP//case//23 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//obl//32 till//PP//case//25 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//23 skulle//VB|PRT|AKT//aux//32 dock//AB//advmod//32 datalagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//32 i//PP//case//31 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 avseenden//NN|NEU|PLU|IND|NOM//obl//32 tillämpas//VB|PRS|SFO//conj//4 t.o.m.//AB|AN//case//36 den//DT|UTR|SIN|DEF//det//36 30//RG|NOM//nummod//36 september//NN|UTR|SIN|IND|NOM//obl//32 2001//RG|NOM//nummod//36 .//MID//punct//4
8.2 Nuvarande register inom färdtjänsten och riksfärdtjänsten;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//40 tillstånd//NN|NEU|PLU|IND|NOM//nsubj//43 från//PP//case//42 Datainspektionen//PM|NOM//nmod//40 upphörde//VB|PRT|AKT//conj//4 att//IE//mark//45 gälla//VB|INF|AKT//xcomp//43 den//DT|UTR|SIN|DEF//det//48 30//RG|NOM//nummod//48 september//NN|UTR|SIN|IND|NOM//obl//45 2001//RG|NOM//nummod//48 ,//MID//punct//52 vilket//HP|NEU|SIN|IND//nsubj//52 innebär//VB|PRS|AKT//conj//4 att//SN//mark//63 de//DT|UTR/NEU|PLU|DEF//det//55 personregister//NN|UTR|PLU|IND|NOM//nsubj:pass//63 som//HP|-|-|-//nsubj:pass//57 förts//VB|SUP|SFO//acl:relcl//55 med//PP//case//60 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//60 tillstånd//NN|NEU|SIN|IND|NOM//obl//57 numera//AB//advmod//63 helt//AB|POS//advmod//63 innefattas//VB|INF|SFO//ccomp//52 av//PP//case//66 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//66 bestämmelser//NN|UTR|PLU|IND|NOM//obl//63 .//MAD//punct//4
8.2 Nuvarande register inom färdtjänsten och riksfärdtjänsten;För//PP//mark//2 att//IE//mark//2 undersöka//VB|INF|AKT//advcl//14 behandlingen//NN|UTR|SIN|DEF|NOM//obj//2 av//PP//case//5 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//3 i//PP//case//7 register//NN|NEU|PLU|IND|NOM//nmod//5 inom//PP//case//9 färd-//NN|UTR|-|-|SMS//nmod//7 och//KN//cc//11 riksfärdtjänsten//NN|UTR|SIN|DEF|NOM//conj//9 har//VB|PRS|AKT//aux//14 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//14 genomfört//VB|SUP|AKT//ROOT//14 en//DT|UTR|SIN|IND//det//16 enkätundersökning//NN|UTR|SIN|IND|NOM//obj//14 som//HP|-|-|-//nsubj//18 vänt//VB|SUP|AKT//acl:relcl//16 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//18 till//PP//case//22 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 kommuner//NN|UTR|PLU|IND|NOM//obl//18 och//KN//cc//24 trafikhuvudmän//NN|UTR|PLU|IND|NOM//conj//22 ,//MID//punct//26 se//VB|IMP|AKT//conj//14 bilaga//NN|UTR|SIN|IND|NOM//obj//26 2//RG|NOM//nummod//26 .//MAD//punct//14
8.2 Nuvarande register inom färdtjänsten och riksfärdtjänsten;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//33 har//VB|PRS|AKT//aux//33 vidare//AB|KOM//advmod//31 tagit//VB|SUP|AKT//parataxis//14 del//NN|UTR|SIN|IND|NOM//obj//33 av//PP//case//38 ett//DT|NEU|SIN|IND//det//37 flertal//NN|NEU|SIN|IND|NOM//nmod//38 beslut//NN|NEU|PLU|IND|NOM//nmod//34 från//PP//case//40 Datainspektionen//PM|NOM//nmod//38 .//MAD//punct//14
8.2 Nuvarande register inom färdtjänsten och riksfärdtjänsten;Nedan//AB//advmod//43 följer//VB|PRS|AKT//parataxis//14 en//DT|UTR|SIN|IND//det//46 kortfattad//PC|PRF|UTR|SIN|IND|NOM//amod//46 redovisning//NN|UTR|SIN|IND|NOM//obj//43 av//PP//case//48 vad//HP|NEU|SIN|IND//dislocated//50 som//HP|-|-|-//nsubj//50 framkommit//VB|SUP|AKT//acl:relcl//46 genom//PP//case//53 denna//DT|UTR|SIN|DEF//det//53 undersökning//NN|UTR|SIN|IND|NOM//obl//50 .//MAD//punct//14
