Uppehållstillstånd på grund av praktiska verkställighetshinder och preskription;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 uppehållstillstånd//NN|NEU|SIN|IND|NOM//nmod//2 på//PP//case//9 grund//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 verkställighetshinder//NN|UTR|PLU|IND|NOM//nmod//4
Till statsrådet Heléne Fritzon;Emelie//PM|NOM//appos//6 Jörwall//PM|NOM//flat//12 ,//MID//punct//12 processledaren//NN|UTR|SIN|DEF|NOM//nmod//16 Kristina//PM|NOM//nmod//17 Rännar//PM|NOM//conj//12 ,//MID//punct//19 sakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//6 Alexandra//PM|NOM//nsubj//19 Segenstedt//PM|NOM//nmod//19 ,//MID//punct//19 processledaren//NN|UTR|SIN|DEF|NOM//nmod//24 Jakob//PM|NOM//conj//6 Springfeldt//PM|NOM//flat:name//24 ,//MID//punct//24 docenten//NN|UTR|SIN|DEF|NOM//nmod//28 Rebecca//PM|NOM//appos//24 Stern//PM|NOM//flat:name//28 och//KN//cc//31 viceordföranden//NN|UTR|SIN|DEF|NOM//conj//28 i//PP//case//34 FARR//PM|NOM//nmod//34 Michael//PM|NOM//nmod//24 Williams//PM|NOM//flat//34 .//MAD//punct//2
Till statsrådet Heléne Fritzon;Genom//PP//case//38 beslut//NN|NEU|SIN|IND|NOM//obl//2 den//DT|UTR|SIN|DEF//det//41 3//RO|NOM//nummod//41 maj//NN|UTR|SIN|IND|NOM//obl//43 2017//RG|NOM//nummod//41 entledigades//VB|PRT|SFO//parataxis//2 Kristina//PM|NOM//nmod:poss//45 Rännar//PM|NOM//nsubj:pass//43 och//KN//cc//48 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//48 Mikael//PM|NOM//conj//43 Landberg//PM|NOM//flat:name//48 förordnades//VB|PRT|SFO//obl:agent//43 som//KN//mark//52 expert//NN|UTR|SIN|IND|NOM//xcomp//50 .//MAD//punct//2
Till statsrådet Heléne Fritzon;Genom//PP//case//55 beslut//NN|NEU|SIN|IND|NOM//obl//60 den//DT|UTR|SIN|DEF//det//58 20//RG|NOM//nummod//58 juni//NN|UTR|SIN|IND|NOM//obl//60 2017//RG|NOM//nummod//58 entledigades//VB|PRT|SFO//parataxis//2 Mikael//PM|NOM//nsubj:pass//60 Landberg//PM|NOM//flat//61 och//KN//cc//65 verksamhetsexperten//NN|UTR|SIN|DEF|NOM//nmod//65 Tina//PM|NOM//conj//61 Karimi//PM|NOM//flat:name//65 förordnades//VB|PRT|SFO//xcomp//60 som//KN//mark//69 expert//NN|UTR|SIN|IND|NOM//xcomp//67 .//MAD//punct//2
Till statsrådet Heléne Fritzon;Till//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//8 har//VB|PRS|AKT//aux//8 också//AB//advmod//8 en//DT|UTR|SIN|IND//det//5 referensgrupp//NN|UTR|SIN|IND|NOM//nsubj//8 varit//VB|SUP|AKT//cop//8 knuten//PC|PRF|UTR|SIN|IND|NOM//nsubj//8 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//8 av//PP//case//10 doktoranden//NN|UTR|SIN|DEF|NOM//nmod//11 Maria//PM|NOM//obl//8 Bexelius//PM|NOM//flat:name//11 ,//MID//punct//11 juristen//NN|UTR|SIN|DEF|NOM//nmod//15 Birgitta//PM|NOM//nmod//11 Elfström//PM|NOM//flat:name//15 ,//MID//punct//19 juristen//NN|UTR|SIN|DEF|NOM//nmod//19 Bo//PM|NOM//appos//11 Johansson//PM|NOM//flat//19 ,//MID//punct//19 universitetslektorn//NN|UTR|SIN|DEF|NOM//nmod//23 Christina//PM|NOM//conj//11 Johansson//PM|NOM//flat:name//23 ,//MID//punct//11 stiftsadjunkten//NN|UTR|SIN|DEF|NOM//nmod//27 Jonas//PM|NOM//appos//11 Löhnn//PM|NOM//flat:name//27 ,//MID//punct//11 f.d.//JJ|AN//amod//31 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//32 Håkan//PM|NOM//conj//8 Sandesjö//PM|NOM//flat//32 ,//MID//punct//36 juristen//NN|UTR|SIN|DEF|NOM//nmod//36 Madelaine//PM|NOM//conj//32 Seidlitz//PM|NOM//flat//36 ,//MID//punct//36 docenten//NN|UTR|SIN|DEF|NOM//nmod//40 Mikael//PM|NOM//conj//32 Spång//PM|NOM//flat:name//40 ,//MID//punct//32 advokaten//NN|UTR|SIN|DEF|NOM//nmod//44 Jenni//PM|NOM//conj//32 Stavare//PM|NOM//flat//44 och//KN//cc//47 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//49 Anders//PM|NOM//nmod//49 Sundquist//PM|NOM//conj//32 .//MAD//punct//8
Till statsrådet Heléne Fritzon;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//17 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 tagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Utredningen//NN|UTR|SIN|DEF|NOM//obj//4 om//PP//case//8 uppehållstillstånd//NN|NEU|SIN|IND|NOM//nmod//6 på//PP//case//13 grund//NN|UTR|SIN|IND|NOM//fixed//9 av//PP//fixed//9 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 verkställighetshinder//NN|UTR|PLU|IND|NOM//nmod//8 ,//MID//punct//0 får//VB|PRS|AKT//aux//17 härmed//AB//advmod//17 överlämna//VB|INF|AKT//ROOT//17 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//19 Uppehållstillstånd//NN|NEU|SIN|IND|NOM//obj//17 på//PP//case//24 grund//NN|UTR|SIN|IND|NOM//fixed//20 av//PP//fixed//20 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 verkställighetshinder//NN|UTR|PLU|IND|NOM//obl//17 och//KN//cc//26 preskription//NN|UTR|SIN|IND|NOM//conj//24 (//PAD//punct//17 SOU//PM|NOM//appos//17 2017:84//RG|NOM//nummod//28 )//PAD//punct//17 .//MAD//punct//17
Till statsrådet Heléne Fritzon;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 härmed//AB//advmod//4 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
Till statsrådet Heléne Fritzon;Malmö//PM|NOM//ROOT//0 i//PP//case//2 oktober//NN|UTR|SIN|IND|NOM//nmod//0 2017//RG|NOM//nummod//2
Till statsrådet Heléne Fritzon;Anna//PM|NOM//ROOT//0 Lundberg//PM|NOM//flat:name//0 /Noah//RG|NOM//cc//3 Tunbjer//PM|NOM//conj//0


