6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//7 ://MID//punct//1
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;I//PP//case//6 det//DT|NEU|SIN|DEF//det//6 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 steget//NN|NEU|SIN|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//54 tillämpningen//NN|UTR|SIN|DEF|NOM//obj//7 av//PP//case//10 skuldsaneringslagen//NN|UTR|SIN|DEF|NOM//nmod//8 i//PP//advmod//13 huvudsak//NN|UTR|SIN|IND|NOM//fixed//11 fungerat//VB|SUP|AKT//advcl//7 tämligen//AB//advmod//15 väl//AB|POS//advmod//13 .//MAD//punct//7
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 undersökningar//NN|UTR|PLU|IND|NOM//nsubj//21 har//VB|PRS|AKT//aux//21 dock//AB//advmod//21 visat//VB|SUP|AKT//parataxis//7 att//SN//mark//28 man//PN|UTR|SIN|IND|SUB//nsubj//28 vid//PP//case//25 kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//obl//28 sällan//AB//advmod//28 har//VB|PRS|AKT//aux//28 utnyttjat//VB|SUP|AKT//ccomp//21 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//28 till//PP//case//32 flexibla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 lösningar//NN|UTR|PLU|IND|NOM//nmod//29 vid//PP//case//34 utformningen//NN|UTR|SIN|DEF|NOM//obl//28 av//PP//case//36 förslagen//NN|NEU|PLU|DEF|NOM//nmod//34 till//PP//case//38 skuldsanering//NN|UTR|SIN|IND|NOM//nmod//36 .//MAD//punct//21
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;I//PP//case//43 motsats//NN|UTR|SIN|IND|NOM//fixed//40 till//PP//fixed//40 vad//HP|NEU|SIN|IND//obl//46 som//HP|-|-|-//nsubj//45 var//VB|PRT|AKT//cop//46 avsikten//NN|UTR|SIN|DEF|NOM//advcl//21 vid//PP//case//49 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//49 tillkomst//NN|UTR|SIN|IND|NOM//nmod//46 har//VB|PRS|AKT//aux//54 förslagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//54 kommit//VB|SUP|AKT//aux//54 att//IE//mark//54 präglas//VB|INF|SFO//ROOT//54 av//PP//case//56 standardlösningar//NN|UTR|PLU|IND|NOM//obl:agent//54 .//MAD//punct//54
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;Det//DT|NEU|SIN|DEF//det//2 författningsreglerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 skuldsaneringsförfarandet//NN|NEU|SIN|DEF|NOM//nsubj//3 tar//VB|PRS|AKT//ROOT//3 sin//PS|UTR|SIN|DEF//nmod:poss//5 början//NN|UTR|SIN|IND|NOM//obj//3 i//PP//case//9 det//DT|NEU|SIN|DEF//det//9 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 steget//NN|NEU|SIN|DEF|NOM//obl//3 ,//MID//punct//3 och//KN//cc//17 tyngdpunkten//NN|UTR|SIN|DEF|NOM//nsubj//17 i//PP//case//16 det//DT|NEU|SIN|DEF//det//16 lagreglerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//16 förfarandet//NN|NEU|SIN|DEF|NOM//nmod//12 ligger//VB|PRS|AKT//conj//3 i//PP//case//20 detta//DT|NEU|SIN|DEF//det//20 steg//NN|NEU|SIN|IND|NOM//obl//17 .//MAD//punct//3
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;6.1//RG|NOM//nummod//23 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 uppdrag//NN|NEU|SIN|IND|NOM//obj//3
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 redovisar//VB|PRS|AKT//ROOT//3 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//6 undersökningar//NN|UTR|PLU|IND|NOM//obj//3 av//PP//mark//11 hur//HA//advmod//11 skuldsaneringslagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//11 har//VB|PRS|AKT//aux//11 tillämpats//VB|SUP|SFO//acl//6 i//PP//case//15 det//DT|NEU|SIN|DEF//det//15 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 steget//NN|NEU|SIN|DEF|NOM//obl//11 och//KN//cc//18 därmed//AB//advmod//18 förfarandet//NN|NEU|SIN|DEF|NOM//conj//11 vid//PP//case//20 kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//nmod//18 .//MAD//punct//3
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;Dessutom//AB//advmod//23 redovisas//VB|PRS|SFO//conj//3 här//AB//advmod//23 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 bedömning//NN|UTR|SIN|IND|NOM//nsubj:pass//23 av//PP//mark//31 om//SN//mark//31 myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 tillämpat//VB|SUP|AKT//acl//26 lagen//NN|UTR|SIN|DEF|NOM//obj//31 i//PP//case//37 enlighet//NN|UTR|SIN|IND|NOM//fixed//33 med//PP//fixed//33 lagstiftarens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 intentioner//NN|UTR|PLU|IND|NOM//obl//31 .//MAD//punct//23
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;6.2//RG|NOM//nummod//41 Färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 ansökningar//NN|UTR|PLU|IND|NOM//appos//23 än//KN//mark//43 beräknat//PC|PRF|NEU|SIN|IND|NOM//acl//41
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;Vid//PP//case//2 skuldsaneringslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 tillkomst//NN|UTR|SIN|IND|NOM//obl//3 gjorde//VB|PRT|AKT//ROOT//3 lagstiftaren//NN|UTR|SIN|DEF|NOM//nsubj//3 den//DT|UTR|SIN|DEF//det//6 bedömningen//NN|UTR|SIN|DEF|NOM//obj//3 att//SN//mark//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 årligen//AB//advmod//11 skulle//VB|PRT|AKT//aux//11 komma//VB|INF|AKT//acl//6 in//PL//compound:prt//11 cirka//AB//advmod//14 12//RG|NOM//nummod//15 000//RG|NOM//nummod//16 ansökningar//NN|UTR|PLU|IND|NOM//obj//11 om//PP//case//18 skuldsanering//NN|UTR|SIN|IND|NOM//nmod//16 till//PP//case//20 kronofogdemyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//18 .//MAD//punct//3
6 Steg 2 – Förfarandet vid kronofogdemyndigheten ;Det//DT|NEU|SIN|DEF//det//24 verkliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 antalet//NN|NEU|SIN|DEF|NOM//nmod//25 ansökningar//NN|UTR|PLU|IND|NOM//nsubj//28 har//VB|PRS|AKT//aux//28 årligen//AB//advmod//28 uppgått//VB|SUP|AKT//parataxis//3 till//PP//case//32 cirka//AB//advmod//31 3//RG|NOM//nummod//32 500//RG|NOM//obl//28 ,//MID//punct//32 med//PP//case//37 undantag//NN|NEU|SIN|IND|NOM//fixed//34 för//PP//fixed//34 1996//RG|NOM//obl//3 då//HA//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 kom//VB|PRT|AKT//advcl//3 in//PL//compound:prt//40 5//RG|NOM//nummod//43 264//RG|NOM//nummod//44 ansökningar//NN|UTR|PLU|IND|NOM//obj//40 .//MAD//punct//3
