Vem skall administrera domstolarna?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//168 är//VB|PRS|AKT//cop//168 någon//DT|UTR|SIN|IND//det//168 annan//JJ|POS|UTR|SIN|IND|NOM//parataxis//153 .//MAD//punct//168 ”//PM|NOM//punct//153
Vem skall administrera domstolarna?;Därefter//AB//advmod//1 behandlar//VB|PRS|AKT//ROOT//1 författaren//NN|UTR|SIN|DEF|NOM//nsubj//1 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//1 som//HP|-|-|-//nsubj:pass//6 kan//VB|PRS|AKT//aux//6 kallas//VB|INF|SFO//acl:relcl//3 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 domstolsadministration//NN|UTR|SIN|IND|NOM//xcomp//6 och//KN//cc//10 går//VB|PRS|AKT//conj//1 särskilt//AB//advmod//10 in//PL//advmod//10 på//PP//case//15 domstolschefens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 roll//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//1
Vem skall administrera domstolarna?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//19 måste//VB|PRS|AKT//aux//19 ges//VB|INF|SFO//conj//1 förutsättningar//NN|UTR|PLU|IND|NOM//obj//19 för//PP//case//23 en//DT|UTR|SIN|IND//det//23 modern//JJ|POS|UTR|SIN|IND|NOM//amod//27 och//KN//cc//26 rimligt//AB|POS//advmod//26 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//27 chefsroll//NN|UTR|SIN|IND|NOM//obl//19 inom//PP//case//29 domstolsväsendet//NN|NEU|SIN|DEF|NOM//nmod//27 .//MAD//punct//19
Vem skall administrera domstolarna?;Då//AB//advmod//36 bör//VB|PRS|AKT//aux//36 man//PN|UTR|SIN|IND|SUB//nsubj//36 också//AB//advmod//36 kunna//VB|INF|AKT//aux//36 utveckla//VB|INF|AKT//advcl//19 ett//DT|NEU|SIN|IND//det//38 sorts//NN|UTR|SIN|IND|GEN//nmod:poss//39 koncerntänkande//NN|NEU|SIN|IND|NOM//obj//36 mellan//PP//case//41 Domstolsverket//NN|NEU|SIN|DEF|NOM//nmod//39 och//KN//cc//45 de//DT|UTR/NEU|PLU|DEF//det//45 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 domstolarna//NN|UTR|PLU|DEF|NOM//conj//41 .//MAD//punct//36
Vem skall administrera domstolarna?;Inom//PP//case//50 en//DT|UTR|SIN|IND//det//50 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//50 ram//NN|UTR|SIN|IND|NOM//obl//54 kan//VB|PRS|AKT//aux//54 domstolschefen//NN|UTR|SIN|DEF|NOM//nsubj//54 också//AB//advmod//54 ges//VB|INF|SFO//conj//36 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//61 rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 ,//MID//punct//58 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//56 och//KN//cc//60 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//56 instrument//NN|NEU|PLU|IND|NOM//obj//54 .//MAD//punct//19
Vem skall administrera domstolarna?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//64 behövs//VB|PRS|SFO//parataxis//19 ett//DT|NEU|SIN|IND//det//68 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//68 faktiskt//JJ|POS|NEU|SIN|IND|NOM//advmod//66 handlingsutrymme//NN|NEU|SIN|IND|NOM//nsubj:pass//64 för//PP//case//72 den//DT|UTR|SIN|DEF//det//72 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 domstolsadministrationen//NN|UTR|SIN|DEF|NOM//nmod//68 .//MAD//punct//1
Vem skall administrera domstolarna?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//77 är//VB|PRS|AKT//cop//77 ytterst//AB|SUV//advmod//77 domstolarna//NN|UTR|PLU|DEF|NOM//conj//1 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 som//HP|-|-|-//nsubj//80 känner//VB|PRS|AKT//acl:cleft//77 sin//PS|UTR|SIN|DEF//nmod:poss//82 verksamhet//NN|UTR|SIN|IND|NOM//obj//80 .//MAD//punct//77
Vem skall administrera domstolarna?;Med//PP//case//86 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//86 frihet//NN|UTR|SIN|IND|NOM//obl//89 för//PP//case//88 domstolarna//NN|UTR|PLU|DEF|NOM//nmod//86 följer//VB|PRS|AKT//parataxis//77 sedan//AB//advmod//89 också//AB//advmod//89 skärpta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//93 krav//NN|NEU|PLU|IND|NOM//obj//89 på//PP//case//95 resultat//NN|NEU|PLU|IND|NOM//obl//89 .//MAD//punct//89
Vem skall administrera domstolarna?;Avslutningsvis//AB//advmod//98 formuleras//VB|PRS|SFO//parataxis//89 några//DT|UTR/NEU|PLU|IND//det//101 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//101 synpunkter//NN|UTR|PLU|IND|NOM//nsubj:pass//98 .//MAD//punct//77
Vem skall administrera domstolarna?;Hur//HA//advmod//106 skall//VB|PRS|AKT//aux//106 man//PN|UTR|SIN|IND|SUB//nsubj//106 få//VB|INF|AKT//conj//1 dynamik//NN|UTR|SIN|IND|NOM//obj//106 och//KN//cc//109 utveckling//NN|UTR|SIN|IND|NOM//conj//107 och//KN//cc//112 samtidigt//AB//advmod//112 bevara//VB|INF|AKT//conj//106 självständighet//NN|UTR|SIN|IND|NOM//obj//112 och//KN//cc//115 permanens//NN|UTR|SIN|DEF|GEN//conj//113 inom//PP//case//117 domstolsväsendet//NN|NEU|SIN|DEF|NOM//obl//112 –//PAD//punct//1 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//121 är//VB|PRS|AKT//cop//121 frågan//NN|UTR|SIN|DEF|NOM//conj//1 .//MID//punct//121
Vem skall administrera domstolarna?;Måste//VB|PRS|AKT//aux//125 man//PN|UTR|SIN|IND|SUB//nsubj//125 avstå//VB|INF|AKT//conj//1 från//PP//case//127 effektivitetsförbättringar//NN|UTR|PLU|IND|NOM//obl//125 för//PP//mark//130 att//IE//mark//130 värna//VB|INF|AKT//advcl//125 om//PP//case//133 domstolarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//133 oavhängighet//NN|UTR|SIN|IND|NOM//obl//130 ?//MID//punct//1
Vem skall administrera domstolarna?;Ja//IN//discourse//140 ,//MID//punct//135 man//PN|UTR|SIN|IND|SUB//nsubj//140 kan//VB|PRS|AKT//aux//140 inte//AB//advmod//140 driva//VB|INF|AKT//conj//1 effektivitets-//NN|UTR|-|-|SMS//obj//140 och//KN//cc//143 produktivitetstänkandet//NN|NEU|SIN|DEF|NOM//conj//141 på//PP//case//146 samma//DT|UTR/NEU|SIN/PLU|IND//det//146 sätt//NN|NEU|SIN|IND|NOM//obl//140 beträffande//PP//case//148 domstolarna//NN|UTR|PLU|DEF|NOM//nmod//146 som//KN//mark//150 i//PP//acl:relcl//148 fråga//NN|UTR|SIN|IND|NOM//fixed//150 om//PP//case//154 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//154 delar//NN|UTR|PLU|IND|NOM//obl//150 av//PP//case//158 den//DT|UTR|SIN|DEF//det//158 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//158 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//154 .//MAD//punct//140
Vem skall administrera domstolarna?;Den//DT|UTR|SIN|DEF//det//162 konstitutionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//162 principen//NN|UTR|SIN|DEF|NOM//nsubj//166 om//PP//case//165 domstolarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//165 självständighet//NN|UTR|SIN|IND|NOM//nmod//162 har//VB|PRS|AKT//conj//140 sitt//PS|NEU|SIN|DEF//nmod:poss//168 pris//NN|NEU|SIN|IND|NOM//obj//166 .//MAD//punct//1
