Ny PBL – på rätt sätt;Slutrapport//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 kompetensinsatser//NN|UTR|PLU|IND|NOM//nmod//2 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//8 en//DT|UTR|SIN|IND//det//8 ny//JJ|POS|UTR|SIN|IND|NOM//amod//8 plan-//NN|UTR|-|-|SMS//obl//0 och//KN//cc//10 bygglag//NN|NEU|SIN|IND|NOM//conj//8
Till statsrådet och civil- och bostadsministern Stefan Attefall;Till//PP//case//65 kansliet//NN|NEU|SIN|DEF|NOM//obl//66 knöts//VB|PRT|SFO//conj//54 också//AB//advmod//66 på//PP//case//70 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//70 deltid//NN|UTR|SIN|IND|NOM//obl//66 fr.o.m.//AB|AN//case//74 januari//NN|UTR|SIN|IND|NOM//obl//74 2012//RG|NOM//nummod//74 länsjurist//NN|UTR|SIN|IND|NOM//advcl//66 Anna//PM|NOM//flat:name//74 Kämpe//PM|NOM//flat:name//75 och//KN//cc//78 länsjurist//NN|UTR|SIN|IND|NOM//conj//74 Jonas//PM|NOM//flat:name//78 Ledelius//PM|NOM//flat//79 .//MAD//punct//54
Till statsrådet och civil- och bostadsministern Stefan Attefall;Till//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//3 har//VB|PRS|AKT//aux//3 knutits//VB|SUP|SFO//ROOT//3 tre//RG|NOM//nummod//5 referensgrupper//NN|UTR|PLU|IND|NOM//nsubj:pass//3 ,//MID//punct//5 en//RG|UTR|SIN|IND|NOM//appos//5 för//PP//case//9 kommuner//NN|UTR|PLU|IND|NOM//nmod//7 och//KN//cc//12 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 regionplaneorgan//NN|NEU|PLU|IND|NOM//conj//9 ,//MID//punct//5 en//DT|UTR|SIN|IND//appos//5 för//PP//case//17 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 aktörer//NN|UTR|PLU|IND|NOM//nmod//14 och//KN//cc//21 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 självstyrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 organ//NN|NEU|PLU|IND|NOM//conj//17 samt//KN//cc//23 en//PN|UTR|SIN|IND|SUB/OBJ//conj//5 för//PP//case//27 ”//PAD//punct//27 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 utbildningsanordnare//NN|UTR|PLU|IND|NOM//nmod//23 ”//RG|NOM//punct//3 .//MAD//punct//3
Till statsrådet och civil- och bostadsministern Stefan Attefall;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sin//PS|UTR|SIN|DEF//nmod:poss//4 slutrapport//NN|UTR|SIN|IND|NOM//obj//1 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//6 PBL//PM|NOM//obj//1 –//RG|NOM//punct//10 på//PP//case//10 rätt//JJ|POS|NEU|SIN|IND|NOM//amod//10 sätt//NN|NEU|SIN|IND|NOM//obl//1 (//PAD//punct//10 SOU//PM|NOM//appos//10 2012:87//RG|NOM//nummod//12 )//PAD//punct//10 .//MAD//punct//1
Till statsrådet och civil- och bostadsministern Stefan Attefall;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 därmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3

Missiv;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//nmod//0 2012//RG|NOM//nummod//2
Missiv;Janna//PM|NOM//ROOT//0 Valik//PM|NOM//flat:name//0 /Pernilla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 Knutsson//PM|NOM//conj//0 Norma//PM|NOM//flat:name//3 Eriksson//PM|NOM//conj//3 Eva//PM|NOM//flat//5 Gabrielsson//PM|NOM//conj//3 Thomas//PM|NOM//conj//3 Holm//PM|NOM//flat:name//8 Micaela//PM|NOM//conj//3 Schulman//PM|NOM//flat//0 Nikolaj//PM|NOM//flat//0 Tolstoy//PM|NOM//flat//0 Viveka//PM|NOM//conj//0 Zetterberg//PM|NOM//flat//14 Stig//PM|NOM//flat//0 Åkerman//PM|NOM//flat:name//16


1.1 Uppdraget;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//4 var//VB|PRT|AKT//cop//4 att//IE//mark//4 underlätta//VB|INF|AKT//ROOT//4 införandet//NN|NEU|SIN|DEF|NOM//obj//4 av//PP//case//9 den//DT|UTR|SIN|DEF//det//9 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 plan-//NN|UTR|-|-|SMS//nmod//5 och//KN//cc//11 bygglagen//NN|UTR|SIN|DEF|NOM//conj//9 (//PAD//punct//11 PBL//PM|NOM//appos//11 )//PAD//punct//13 ,//MID//punct//17 som//HP|-|-|-//nsubj//17 trädde//VB|PRT|AKT//advcl//4 i//PP//compound:prt//17 kraft//NN|UTR|SIN|IND|NOM//fixed//18 den//DT|UTR|SIN|DEF//det//22 2//RO|NOM//nummod//22 maj//NN|UTR|SIN|IND|NOM//obl//17 2011//RG|NOM//nummod//22 ,//MID//punct//27 genom//PP//mark//27 att//IE//mark//27 organisera//VB|INF|AKT//advcl//17 ,//MID//punct//29 samordna//VB|INF|AKT//conj//27 ,//MID//punct//31 koordinera//VB|INF|AKT//conj//27 och//KN//cc//33 genomföra//VB|INF|AKT//conj//27 utbildnings-//NN|UTR|-|-|SMS//obj//33 och//KN//cc//36 kompetensinsatser//NN|UTR|PLU|IND|NOM//conj//34 .//MID//punct//4
1.1 Uppdraget;Dessa//DT|UTR/NEU|PLU|DEF//det//39 insatser//NN|UTR|PLU|IND|NOM//nsubj//41 skulle//VB|PRT|AKT//aux//41 rikta//VB|INF|AKT//parataxis//4 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//41 till//PP//case//44 kommuner//NN|UTR|PLU|IND|NOM//obl//41 ,//MID//punct//46 länsstyrelser//NN|UTR|PLU|IND|NOM//conj//44 och//KN//cc//50 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 myndigheter//NN|UTR|PLU|IND|NOM//conj//44 .//MAD//punct//4
1.1 Uppdraget;Därutöver//AB//advmod//56 skulle//VB|PRT|AKT//aux//56 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 insatser//NN|UTR|PLU|IND|NOM//nsubj//56 rikta//VB|INF|AKT//parataxis//4 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//56 till//PP//case//59 företag//NN|NEU|PLU|IND|NOM//obl//56 och//KN//cc//61 allmänhet//NN|UTR|SIN|IND|NOM//conj//59 .//MAD//punct//4
1.1 Uppdraget;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//64 beskrivs//VB|PRS|SFO//parataxis//4 i//PP//case//67 Kommittédirektiv//PM|NOM//nmod//67 Kompetensinsatser//NN|UTR|PLU|IND|NOM//obl//64 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//70 ny//JJ|POS|UTR|SIN|IND|NOM//amod//70 plan-//NN|UTR|-|-|SMS//obl//64 och//KN//cc//72 bygglag//NN|NEU|SIN|IND|NOM//conj//70 ,//MID//punct//70 Dir//NN|AN//conj//70 .//MAD//punct//64
1.1 Uppdraget;2010:55//RG|NOM//obl//64 (//PAD//punct//78 se//VB|IMP|AKT//parataxis//64 bilaga//NN|UTR|SIN|IND|NOM//obj//78 1//RG|NOM//nummod//78 )//PAD//punct//78 .//MAD//punct//4
