En översyn av lagstiftningen om företagsbot;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 frågor//NN|UTR|PLU|IND|NOM//nmod//2 om//PP//case//7 företagsbot//NN|UTR|SIN|IND|NOM//nmod//5
En översyn av lagstiftningen om företagsbot;Stockholm//PM|NOM//ROOT//0 2016//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 21//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obl//1 2015//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//17 bred//JJ|POS|UTR|SIN|IND|NOM//amod//17 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//19 företagsbotsregleringen//NN|UTR|SIN|DEF|NOM//nmod//17 och//KN//cc//21 föreslå//VB|INF|AKT//conj//14 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 författningsändringar//NN|UTR|PLU|IND|NOM//obj//21 i//PP//case//25 syfte//NN|NEU|SIN|IND|NOM//obl//21 att//IE//mark//27 säkerställa//VB|INF|AKT//xcomp//21 att//SN//advmod//27 det//DT|NEU|SIN|DEF//det//31 straffrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 regelverket//NN|NEU|SIN|DEF|NOM//nsubj//36 för//PP//case//34 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 personer//NN|UTR|PLU|IND|NOM//nmod//31 är//VB|PRS|AKT//cop//36 effektivt//JJ|POS|NEU|SIN|IND|NOM//fixed//28 ,//MID//punct//38 ändamålsenligt//JJ|POS|NEU|SIN|IND|NOM//conj//36 och//KN//cc//40 modernt//JJ|POS|NEU|SIN|IND|NOM//conj//36 och//KN//cc//45 att//SN//mark//45 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//45 är//VB|PRS|AKT//cop//45 anpassat//PC|PRF|NEU|SIN|IND|NOM//conj//36 till//PP//case//48 Sveriges//PM|GEN//nmod:poss//48 EU-rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//45 och//KN//cc//52 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 åtaganden//NN|NEU|PLU|IND|NOM//conj//48 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 hovrättspresidenten//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 ,//MID//punct//3 numera//AB//advmod//8 justitierådet//NN|NEU|SIN|DEF|NOM//parataxis//3 Sten//PM|NOM//nsubj//8 Andersson//PM|NOM//flat:name//9 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Som//KN//mark//1 experter//NN|UTR|PLU|IND|NOM//obl//5 att//IE//mark//3 biträda//VB|INF|AKT//acl//1 utredaren//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//7 Lena//PM|NOM//nsubj//5 Dalman//PM|NOM//flat//7 ,//MID//punct//7 docenten//NN|UTR|SIN|DEF|NOM//nmod//11 Sandra//PM|NOM//appos//7 Friberg//PM|NOM//flat:name//11 ,//MID//punct//11 chefsåklagaren//NN|UTR|SIN|DEF|NOM//nmod//15 Alf//PM|NOM//conj//7 Johansson//PM|NOM//flat:name//15 ,//MID//punct//7 advokaten//NN|UTR|SIN|DEF|NOM//nmod//19 Olle//PM|NOM//appos//7 Lindén//PM|NOM//flat:name//19 ,//MID//punct//7 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//23 Birgitta//PM|NOM//appos//7 Resenius//PM|NOM//flat:name//23 ,//MID//punct//7 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 rättssakkunnige//NN|NEU|SIN|IND|NOM//appos//7 ,//MID//punct//7 numera//AB//advmod//30 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//32 Walo//PM|NOM//nmod//32 von//PM|NOM//appos//7 Greyerz//PM|NOM//flat:name//32 och//KN//cc//36 juristen//NN|UTR|SIN|DEF|NOM//nmod//36 Anne//PM|NOM//conj//7 Wigart//PM|NOM//flat:name//36 .//MAD//punct//5
Till statsrådet och chefen för Justitiedepartementet;Som//KN//mark//2 utredningssekreterare//NN|UTR|PLU|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//4 Stefan//PM|NOM//nsubj:pass//2 Lättman//PM|NOM//flat//4 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//13 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Utredningen//NN|UTR|SIN|DEF|NOM//obj//4 om//PP//case//9 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 frågor//NN|UTR|PLU|IND|NOM//nmod//6 om//PP//case//11 företagsbot//NN|UTR|SIN|IND|NOM//nmod//9 ,//MID//punct//13 överlämnar//VB|PRS|AKT//ROOT//13 härmed//AB//advmod//13 betänkandet//NN|NEU|SIN|DEF|NOM//obj//13 En//DT|UTR|SIN|IND//det//17 översyn//NN|UTR|SIN|IND|NOM//obj//13 av//PP//case//19 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//17 om//PP//case//21 företagsbot//NN|UTR|SIN|IND|NOM//nmod//17 (//PAD//punct//23 SOU//PM|NOM//appos//17 2016:82//RG|NOM//nummod//23 )//PAD//punct//23 .//MAD//punct//13
Till statsrådet och chefen för Justitiedepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//31 är//VB|PRS|AKT//cop//31 därmed//AB//advmod//31 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//13 .//MAD//punct//13
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 november//NN|UTR|SIN|IND|NOM//obl//0 2016//RG|NOM//nummod//0
Till statsrådet och chefen för Justitiedepartementet;Sten//PM|NOM//ROOT//0 Andersson//PM|NOM//flat:name//0 /Stefan//RG|NOM//compound//3 Lättman//NN|UTR|SIN|DEF|NOM//nmod//0
