Arbetslivets (o)synliga murar;Redaktör//NN|UTR|SIN|IND|NOM//ROOT//0 ://MID//punct//0
Förord;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//56 förutsätter//VB|PRS|AKT//parataxis//6 att//SN//mark//60 alla//DT|UTR/NEU|PLU|IND/DEF//det//59 samhällsmedlemmar//NN|UTR|PLU|IND|NOM//nsubj//60 har//VB|PRS|AKT//ccomp//56 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 rättigheter//NN|UTR|PLU|IND|NOM//obj//60 och//KN//cc//64 möjligheter//NN|UTR|PLU|IND|NOM//conj//62 till//PP//case//66 arbete//NN|NEU|SIN|IND|NOM//nmod//64 .//MAD//punct//56
Förord;Men//KN//cc//69 forskning//NN|UTR|SIN|IND|NOM//nsubj//74 om//PP//case//73 den//DT|UTR|SIN|DEF//det//73 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//69 visar//VB|PRS|AKT//ccomp//56 att//SN//mark//79 så//AB//advmod//79 är//VB|PRS|AKT//cop//79 inte//AB//advmod//79 fallet//NN|NEU|SIN|DEF|NOM//ccomp//74 .//MAD//punct//56
Förord;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 arbetssökande//NN|UTR|PLU|IND|NOM//nsubj:pass//83 särbehandlas//VB|PRS|SFO//parataxis//56 negativt//AB|POS//advmod//83 av//PP//case//87 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//87 skäl//NN|NEU|PLU|IND|NOM//obl:agent//83 .//MAD//punct//83
Förord;Personer//NN|UTR|PLU|IND|NOM//nsubj//97 med//PP//case//91 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//89 ,//MID//punct//94 religiösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 minoriteter//NN|UTR|PLU|IND|NOM//conj//91 och//KN//cc//96 kvinnor//NN|UTR|PLU|IND|NOM//conj//91 hör//VB|PRS|AKT//conj//83 till//PP//case//101 dessa//DT|UTR/NEU|PLU|DEF//det//101 diskriminerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//101 grupper//NN|UTR|PLU|IND|NOM//obl//97 på//PP//case//105 den//DT|UTR|SIN|DEF//det//105 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//105 arbetsmarkanden//NN|UTR|SIN|DEF|NOM//nmod//101 .//MAD//punct//56
Förord;Svårigheter//NN|UTR|PLU|IND|NOM//nsubj//10 att//IE//mark//2 få//VB|INF|AKT//acl//0 ett//DT|NEU|SIN|IND//det//4 arbete//NN|NEU|SIN|IND|NOM//obj//2 är//VB|PRS|AKT//cop//10 dock//AB//advmod//10 inte//AB//advmod//10 det//DT|NEU|SIN|DEF//det//10 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 hindret//NN|NEU|SIN|DEF|NOM//ROOT//10 för//PP//case//13 diskriminerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 grupper//NN|UTR|PLU|IND|NOM//nmod//10 .//MAD//punct//10
Förord;Diskrimineringen//NN|UTR|SIN|DEF|NOM//nsubj//23 av//PP//case//17 personer//NN|UTR|PLU|IND|NOM//nmod//15 med//PP//case//19 invandrarbakgrund//NN|UTR|SIN|IND|NOM//nmod//17 i//PP//case//21 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//19 har//VB|PRS|AKT//aux//23 hamnat//VB|SUP|AKT//parataxis//10 i//PP//case//25 skymundan//AB//obl//23 och//KN//cc//30 är//VB|PRS|AKT//cop//30 ett//DT|NEU|SIN|IND//det//30 eftersatt//PC|PRF|NEU|SIN|IND|NOM//amod//30 forskningsfält//NN|NEU|SIN|IND|NOM//conj//23 .//MAD//punct//23
Förord;De//DT|UTR/NEU|PLU|DEF//det//34 knappa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 satsningarna//NN|UTR|PLU|DEF|NOM//nsubj//43 på//PP//case//36 forskning//NN|UTR|SIN|IND|NOM//nmod//34 om//PP//case//38 diskriminering//NN|UTR|SIN|IND|NOM//nmod//36 överlag//AB//nmod//38 är//VB|PRS|AKT//cop//43 ytterligare//AB|KOM//advmod//43 ett//DT|NEU|SIN|IND//det//43 hinder//NN|NEU|SIN|IND|NOM//obj//23 för//PP//mark//46 att//IE//mark//46 nå//VB|INF|AKT//acl//43 kunskap//NN|UTR|SIN|IND|NOM//obj//46 om//PP//case//49 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//47 .//MAD//punct//10
Förord;I//PP//case//1 forskningen//NN|UTR|SIN|DEF|NOM//obl//13 och//KN//cc//3 debatten//NN|UTR|SIN|DEF|NOM//conj//1 om//PP//case//6 ”//PM|NOM//punct//6 invandrarna//NN|UTR|PLU|DEF|NOM//nmod//3 och//KN//cc//8 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//conj//6 ”//PM|NOM//punct//1 är//VB|PRS|AKT//cop//13 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 förhållandevis//AB//advmod//13 känt//PC|PRF|NEU|SIN|IND|NOM//ROOT//13 att//SN//mark//23 en//DT|UTR|SIN|IND//det//16 grupp//NN|UTR|SIN|IND|NOM//nmod//17 människor//NN|UTR|PLU|IND|NOM//nsubj//23 under//PP//case//19 benämningen//NN|UTR|SIN|DEF|NOM//nmod//17 ”//PM|NOM//punct//17 invandrarna//NN|UTR|PLU|DEF|NOM//appos//17 ”//PM|NOM//punct//17 tillskrivs//VB|PRS|SFO//csubj//13 kollektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 egenskaper//NN|UTR|PLU|IND|NOM//obj//23 vilket//HP|NEU|SIN|IND//nsubj//27 påverkar//VB|PRS|AKT//acl:relcl//25 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//29 chanser//NN|UTR|PLU|IND|NOM//obj//27 på//PP//case//31 arbetsmarkanden//NN|NEU|PLU|DEF|NOM//nmod//29 och//KN//cc//34 i//PP//case//34 arbetslivet//NN|NEU|SIN|DEF|NOM//conj//31 .//MAD//punct//13 ”//PM|NOM//punct//39
Förord;Invandrarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//39 ”//PM|NOM//punct//37 associeras//VB|PRS|SFO//parataxis//13 i//PP//compound:prt//39 mångt//PN|NEU|SIN|IND|SUB/OBJ//advmod//39 och//KN//cc//43 mycket//AB|POS//conj//41 med//PP//case//46 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 egenskaper//NN|UTR|PLU|IND|NOM//obl//39 som//HP|-|-|-//mark//49 t.//NN|AN//nmod//49 ex//NN|AN//acl//46 .//MAD//punct//39 ”//PAD//punct//52
Förord;arbetslöshet//NN|UTR|SIN|IND|NOM//appos//39 ”//PAD//punct//52 ,//MID//punct//53 ”//PAD//punct//56 utanförskap//NN|NEU|SIN|IND|NOM//appos//52 ”//PAD//punct//56 och//KN//cc//60 ”//PAD//punct//60 bidragsberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//52 ”//PAD//punct//52 .//MAD//punct//39
