Riv ålderstrappan! (SOU 2002:29);Därutöver//AB//advmod//31 finns//VB|PRS|SFO//parataxis//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 inledningsvis//AB//advmod//31 tre//RG|NOM//nummod//35 avsnitt//NN|NEU|PLU|IND|NOM//nsubj//31 med//PP//case//38 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 synpunkter//NN|UTR|PLU|IND|NOM//nmod//35 .//MAD//punct//31
Riv ålderstrappan! (SOU 2002:29);A.//PM|NOM//nmod//2 Övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 synpunkter//NN|UTR|PLU|IND|NOM//ROOT//2 utifrån//PP//case//5 de//DT|UTR/NEU|PLU|DEF//det//5 frågor//NN|UTR|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj:pass//7 ställdes//VB|PRT|SFO//acl:relcl//5 i//PP//case//9 remissen//NN|UTR|SIN|DEF|NOM//obl//7
Riv ålderstrappan! (SOU 2002:29);Beredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 analys//NN|UTR|SIN|IND|NOM//ROOT//1 och//KN//cc//4 den//DT|UTR|SIN|DEF//det//4 framtidsbild//NN|UTR|SIN|IND|NOM//conj//1 som//HP|-|-|-//nsubj:pass//6 målas//VB|PRS|SFO//acl:relcl//4 upp//PL//compound:prt//6
Riv ålderstrappan! (SOU 2002:29);Konsumentombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//3 .//MAD//punct//0
Riv ålderstrappan! (SOU 2002:29); //_SP////1 Välkomnar//VB|PRS|AKT//ROOT//3 helhetsgreppet//NN|NEU|SIN|DEF|NOM//obj//3 över//PP//case//6 äldrepolitiken//NN|UTR|SIN|DEF|NOM//obl//3 .//MAD//punct//3
Riv ålderstrappan! (SOU 2002:29);Statskontoret//NN|NEU|SIN|DEF|NOM//nsubj//2  //_SP////0 menar//VB|PRS|AKT//ROOT//2 att//SN//mark//6 man//PN|UTR|SIN|IND|SUB//nsubj//6 bör//VB|PRS|AKT//aux//6 sträva//VB|INF|AKT//ccomp//2 efter//PP//case//9 ett//DT|NEU|SIN|IND//det//9 samhälle//NN|NEU|SIN|IND|NOM//obl//6 där//HA//advmod//14 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//14 och//KN//cc//13 ålder//NN|UTR|SIN|IND|NOM//conj//11 blir//VB|PRS|AKT//acl:relcl//9 alltmer//AB//advmod//16 ointressanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 begrepp//NN|NEU|PLU|IND|NOM//xcomp//14 .//MAD//punct//2
Riv ålderstrappan! (SOU 2002:29);Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//20 betonar//VB|PRS|AKT//parataxis//2 inte//AB//advmod//20 den//DT|UTR|SIN|DEF//det//24 enskildes//JJ|POS|MAS|SIN|DEF|GEN//amod//24 ansvar//NN|NEU|SIN|IND|NOM//obj//20 för//PP//case//28 sin//PS|UTR|SIN|DEF//nmod:poss//28 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//28 situation//NN|UTR|SIN|IND|NOM//nmod//24 .//MAD//punct//20
Riv ålderstrappan! (SOU 2002:29);Rikspolisstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//3 .//MAD//punct//0
Riv ålderstrappan! (SOU 2002:29); //_SP////1 Instämmer//VB|PRS|AKT//ROOT//3 i//PP//case//5 analys//NN|UTR|SIN|IND|NOM//obl//3 och//KN//cc//7 framtidsbild//NN|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//11 men//KN//cc//11 ännu//AB//advmod//11 återstår//VB|PRS|AKT//conj//3 mycket//PN|NEU|SIN|IND|SUB/OBJ//advmod//11 att//IE//mark//14 påverka//VB|INF|AKT//acl//12 av//PP//case//16 attityder//NN|UTR|PLU|IND|NOM//obl//14 och//KN//cc//18 förhållningssätt//NN|NEU|PLU|IND|NOM//conj//16 .//MID//punct//3
Riv ålderstrappan! (SOU 2002:29);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 blir//VB|PRS|AKT//parataxis//3 allt//AB//advmod//23 vanligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//21 med//PP//case//26 individuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 val//NN|NEU|PLU|IND|NOM//obl//21 än//KN//mark//30 med//PP//case//30 kollektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 lösningar//NN|UTR|PLU|IND|NOM//obl//21 .//MAD//punct//21
