på höghastighetsjärnvägen;Delrapport//NN|UTR|SIN|IND|NOM//ROOT//0 från//PP//case//2 Sverigeförhandlingen//PM|NOM//nmod//0
på höghastighetsjärnvägen;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Tomas Eneroth;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 1//RO|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obl//1 2014//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 ,//MID//punct//14 som//HP|-|-|-//nsubj//14 ska//VB|PRS|AKT//aux//14 fungera//VB|INF|AKT//acl:relcl//10 som//KN//mark//16 förhandlingsperson//NN|UTR|SIN|IND|NOM//advcl//14 i//PP//case//18 kommittén//NN|UTR|SIN|DEF|NOM//obl//14 för//PP//case//20 utbyggnad//NN|UTR|SIN|IND|NOM//nmod//18 av//PP//case//23 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 stambanor//NN|UTR|PLU|IND|NOM//nmod//20 samt//KN//cc//25 åtgärder//NN|UTR|PLU|IND|NOM//conj//23 för//PP//case//27 bostäder//NN|UTR|PLU|IND|NOM//nmod//25 och//KN//cc//30 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//30 tillgänglighet//NN|UTR|SIN|IND|NOM//conj//27 i//PP//case//32 storstäderna//NN|UTR|PLU|DEF|NOM//nmod//30 (//PAD//punct//20 dir//NN|AN//appos//20 .//MID//punct//36
Till statsrådet Tomas Eneroth;2014:106//RG|NOM//obl//14 )//PAD//punct//36 ,//MID//punct//40 numera//AB//advmod//40 kallad//PC|PRF|UTR|SIN|IND|NOM//conj//1 Sverigeförhandlingen//PM|NOM//obj//40 .//MAD//punct//1
Till statsrådet Tomas Eneroth;Den//DT|UTR|SIN|DEF//det//45 10//RG|NOM//nummod//45 juli//NN|UTR|SIN|IND|NOM//obl//47 2014//RG|NOM//nummod//45 utsågs//VB|PRT|SFO//parataxis//1 HG//PM|NOM//nsubj:pass//47 Wessberg//PM|NOM//flat:name//48 till//PP//case//51 förhandlingsperson//NN|UTR|SIN|IND|NOM//obl//47 och//KN//cc//53 Catharina//PM|NOM//conj//51 Håkansson//PM|NOM//conj//51 Boman//PM|NOM//flat:name//54 utsågs//VB|PRT|SFO//conj//47 till//PP//case//59 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 förhandlingsperson//NN|UTR|SIN|IND|NOM//obl//56 .//MAD//punct//47
Till statsrådet Tomas Eneroth;Som//KN//mark//63 huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj//63 utsågs//VB|PRT|SFO//appos//47 Erik//PM|NOM//nsubj:pass//63 Bromander//PM|NOM//flat//64 fr.o.m.//AB|AN//case//69 den//DT|UTR|SIN|DEF//det//69 10//RG|NOM//nummod//69 juli//NN|UTR|SIN|IND|NOM//obl//63 2014//RG|NOM//nummod//69 t.o.m.//AB|AN//case//74 den//DT|UTR|SIN|DEF//det//73 6//RO|NOM//nummod//74 oktober//NN|UTR|SIN|IND|NOM//obl//63 2014//RG|NOM//nummod//74 .//MAD//punct//1
Till statsrådet Tomas Eneroth;Därefter//AB//advmod//78 fungerade//VB|PRT|AKT//amod//80 utredningssekreterare//NN|UTR|PLU|IND|NOM//nmod//80 Hans//PM|NOM//nmod:poss//84 Rode//PM|NOM//flat//80 som//KN//mark//83 tillförordnad//PC|PRF|UTR|SIN|IND|NOM//amod//84 huvudsekreterare//NN|UTR|SIN|IND|NOM//obj//1 .//MAD//punct//1
Till statsrådet Tomas Eneroth;Den//DT|UTR|SIN|DEF//det//88 1//RO|NOM//nummod//88 juni//NN|UTR|SIN|IND|NOM//obl//90 2015//RG|NOM//nummod//88 utsågs//VB|PRT|SFO//parataxis//1 Niklas//PM|NOM//nsubj:pass//90 Lundin//PM|NOM//flat//91 till//PP//case//94 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//90 .//MAD//punct//1
Till statsrådet Tomas Eneroth;De//DT|UTR/NEU|PLU|DEF//det//1 utredningssekreterare//NN|UTR|PLU|IND|NOM//ROOT//1 som//HP|-|-|-//nsubj//4 nu//AB//advmod//4 tjänstgör//VB|PRS|AKT//acl:relcl//1 i//PP//case//6 kommittén//NN|UTR|SIN|DEF|NOM//obl//4 och//KN//cc//9 har//VB|PRS|AKT//aux//9 arbetat//VB|SUP|AKT//conj//4 med//PP//case//12 denna//DT|UTR|SIN|DEF//det//12 delrapport//NN|UTR|SIN|IND|NOM//obl//9 är//VB|PRS|AKT//cop//14 Louise//PM|NOM//nsubj//1 Andersson//PM|NOM//flat//14 ,//MID//punct//17 Roberto//PM|NOM//conj//14 Bauducco//PM|NOM//flat//17 ,//MID//punct//21 Sven-Åke//PM|NOM//nmod//21 Eriksson//PM|NOM//conj//17 ,//MID//punct//23 Sofia//PM|NOM//conj//14 Mild//PM|NOM//flat//23 och//KN//cc//26 Marie//PM|NOM//conj//14 Römpötti//PM|NOM//flat//26 .//MAD//punct//1
Till statsrådet Tomas Eneroth;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sin//PS|UTR|SIN|DEF//nmod:poss//5 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//5 delrapport//NN|UTR|SIN|IND|NOM//obj//1 Kapacitetstilldelningen//NN|UTR|SIN|DEF|NOM//obj//1 på//PP//case//8 höghastighetsjärnvägen//NN|UTR|SIN|DEF|NOM//nmod//6  //_SP////8 (//PAD//punct//1 SOU//PM|NOM//nmod//12 2017:105//RG|NOM//appos//1 )//PAD//punct//12 .//MID//punct//1
