Statsbidragen till kommuner och landsting En kartläggning och analys (2003:5);I//PP//case//1 sammanfattningen//NN|UTR|SIN|DEF|NOM//obl//2 återges//VB|PRS|SFO//ROOT//2 huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 av//PP//case//6 rapportens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 kapitel//NN|NEU|SIN|IND|NOM//nmod//3 1//RG|NOM//nummod//6 och//KN//cc//10 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kapitel//NN|NEU|SIN|IND|NOM//conj//3 6//RG|NOM//nummod//10 .//MAD//punct//2
1.1 Uppdraget till statskontoret;Statskontorets//NN|NEU|SIN|DEF|GEN//nmod:poss//29 kartläggning//NN|UTR|SIN|IND|NOM//nsubj:pass//35 ,//MID//punct//31 analys//NN|UTR|SIN|IND|NOM//conj//29 och//KN//cc//33 slutsatser//NN|UTR|PLU|IND|NOM//conj//29 skall//VB|PRS|AKT//aux//35 dokumenteras//VB|INF|SFO//parataxis//26 i//PP//case//38 en//DT|UTR|SIN|IND//det//38 rapport//NN|UTR|SIN|IND|NOM//obl//35 som//HP|-|-|-//nsubj:pass//41 skall//VB|PRS|AKT//aux//41 överlämnas//VB|INF|SFO//acl:relcl//38 till//PP//case//43 kommittén//NN|UTR|SIN|DEF|NOM//obl//41 senast//AB|SUV//case//47 den//DT|UTR|SIN|DEF//det//47 31//RG|NOM//nummod//47 januari//NN|UTR|SIN|IND|NOM//obl//41 2003//RG|NOM//nummod//47 .//MAD//punct//2

1.2 Genomförande av uppdraget Uppläggning av arbetet;Studien//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 genomförts//VB|SUP|SFO//ROOT//2 av//PP//case//5 en//DT|UTR|SIN|IND//det//5 projektgrupp//NN|UTR|SIN|IND|NOM//obl:agent//2 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//5 av//PP//case//8 Leif//PM|NOM//nmod//6 Lundberg//PM|NOM//flat//8 ,//MID//punct//11 projektledare//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//8 och//KN//cc//28 Rickard//PM|NOM//nsubj//28 Broddvall//PM|NOM//flat//14 vid//PP//case//17 Statskontoret//NN|NEU|SIN|DEF|NOM//nmod//14 ,//MID//punct//19 enheten//NN|UTR|SIN|DEF|NOM//appos//14 för//PP//case//21 styrningsfrågor//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//19
1.2 Genomförande av uppdraget Uppläggning av arbetet;Under//PP//case//24 perioden//NN|UTR|SIN|DEF|NOM//nmod//25 september//NN|UTR|SIN|IND|NOM//nmod//19 t.o.m.//AB|AN//advmod//27 december//NN|UTR|SIN|IND|NOM//nmod//25 har//VB|PRS|AKT//conj//2 Ewa//PM|NOM//nsubj//28 Hedberg//PM|NOM//flat:name//29 ,//MID//punct//34 från//PP//case//34 Regeringskansliets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 internrevision//NN|UTR|SIN|IND|NOM//obl//28 ,//MID//punct//36 deltagit//VB|SUP|AKT//conj//28 i//PP//case//38 projektarbetet//NN|NEU|SIN|DEF|NOM//obl//36 .//MAD//punct//2
1.2 Genomförande av uppdraget Uppläggning av arbetet;Projektgruppen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 under//PP//case//4 utredningsarbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//4 gång//NN|UTR|SIN|IND|NOM//obl//5 haft//VB|SUP|AKT//ROOT//5 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 kontakter//NN|UTR|PLU|IND|NOM//obj//5 med//PP//case//9 Utjämningskommitténs//PM|GEN//nmod//7 sekretariat//NN|NEU|SIN|IND|NOM//flat//9 .//MAD//punct//5
1.2 Genomförande av uppdraget Uppläggning av arbetet;Utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 skett//VB|SUP|AKT//ROOT//2 dels//KN//advmod//5 genom//PP//case//5 studier//NN|UTR|PLU|IND|NOM//obl//2 av//PP//case//7 litteratur//NN|UTR|SIN|IND|NOM//nmod//5 ,//MID//punct//9 utredningsbetänkanden//NN|NEU|PLU|IND|NOM//conj//7 ,//MID//punct//11 propositioner//NN|UTR|PLU|IND|NOM//conj//7 ,//MID//punct//13 utskottsbetänkanden//NN|NEU|PLU|IND|NOM//conj//7 och//KN//cc//16 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 dokument//NN|NEU|PLU|IND|NOM//conj//7 ,//MID//punct//5 dels//KN//advmod//20 genom//PP//case//20 intervjuer//NN|UTR|PLU|IND|NOM//nmod//5 av//PP//case//22 företrädare//NN|UTR|PLU|IND|NOM//nmod//20 för//PP//case//27 ett//DT|NEU|SIN|IND//det//25 antal//NN|NEU|SIN|IND|NOM//nmod//27 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 myndigheter//NN|UTR|PLU|IND|NOM//nmod//22 och//KN//cc//29 departement//NN|NEU|PLU|IND|NOM//conj//27 samt//KN//cc//32 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 Kommunförbundet//NN|NEU|SIN|DEF|NOM//conj//27 .//MAD//punct//2

1.2 Genomförande av uppdraget Uppläggning av arbetet / Inriktning och avgränsning Kartläggning av transfereringar till kommuner och landsting;Utgångspunkt//NN|UTR|SIN|IND|NOM//nsubj//7 för//PP//case//3 vårt//PS|NEU|SIN|DEF//nmod:poss//3 arbete//NN|NEU|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//7 varit//VB|SUP|AKT//cop//7 en//DT|UTR|SIN|IND//det//7 kartläggning//NN|UTR|SIN|IND|NOM//nsubj:pass//58 av//PP//mark//14 från//PP//case//11 vilka//HD|UTR/NEU|PLU|IND//det//11 anslag//NN|NEU|PLU|IND|NOM//obl//14 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//14 har//VB|PRS|AKT//aux//14 skett//VB|SUP|AKT//acl//7 transfereringar//NN|UTR|PLU|IND|NOM//obj//14 till//PP//case//17 kommuner//NN|UTR|PLU|IND|NOM//nmod//15 och//KN//cc//19 landsting//NN|NEU|SIN|IND|NOM//conj//17 sedan//PP//case//22 år//NN|NEU|SIN|IND|NOM//nmod//22 1993//RG|NOM//obl//14 .//MAD//punct//7
1.2 Genomförande av uppdraget Uppläggning av arbetet / Inriktning och avgränsning Kartläggning av transfereringar till kommuner och landsting;"Vi//PN|UTR|PLU|DEF|SUB//nsubj//25 har//VB|PRS|AKT//aux//29 av//PP//case//28 praktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 skäl//NN|NEU|PLU|IND|NOM//obl//29 koncentrerat//VB|SUP|AKT//conj//7 kartläggningen//NN|UTR|SIN|DEF|NOM//obj//29 till//PP//case//33 tre//RG|NOM//nummod//33 budgetår//NN|NEU|PLU|IND|NOM//obl//29 ;//MID//punct//7"
1.2 Genomförande av uppdraget Uppläggning av arbetet / Inriktning och avgränsning Kartläggning av transfereringar till kommuner och landsting;1993/94//RG|NOM//nmod//7 ,//MID//punct//35 1997//RG|NOM//nummod//35 och//KN//cc//39 2001//RG|NOM//conj//35 .//MAD//punct//7
