1. Uppdraget;Stödverksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 avgränsas//VB|INF|SFO//ROOT//2 på//PP//case//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 sätt//NN|NEU|PLU|IND|NOM//obl//2 .//MID//punct//2
1. Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 saknas//VB|PRS|SFO//parataxis//2 en//DT|UTR|SIN|IND//det//12 allmänt//AB|POS//advmod//11 accepterad//PC|PRF|UTR|SIN|IND|NOM//amod//12 definition//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//mark//17 vad//HP|NEU|SIN|IND//dislocated//17 som//HP|-|-|-//nsubj//17 är//VB|PRS|AKT//cop//17 stödverksamhet//NN|UTR|SIN|IND|NOM//acl//12 respektive//AB//cc//19 kärnverksamhet//NN|UTR|SIN|IND|NOM//conj//17 inom//PP//case//23 det//DT|NEU|SIN|DEF//det//23 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 försvaret//NN|NEU|SIN|DEF|NOM//obl//17 .//MAD//punct//8
1. Uppdraget;I//PP//case//27 det//DT|NEU|SIN|DEF//det//27 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//28 har//VB|PRS|AKT//parataxis//8 beslut//NN|NEU|PLU|IND|NOM//obj//28 och//KN//cc//31 utredningar//NN|UTR|PLU|IND|NOM//conj//29 som//HP|-|-|-//nsubj//34 har//VB|PRS|AKT//aux//34 berört//VB|SUP|AKT//acl:relcl//31 eller//KN//cc//36 har//VB|PRS|AKT//conj//34 betydelse//NN|UTR|SIN|IND|NOM//obj//36 för//PP//case//39 materielförsörjnings-//NN|UTR|-|-|SMS//obl//36 och//KN//cc//41 logistikprocesserna//NN|UTR|PLU|DEF|NOM//conj//39 samt//KN//cc//44 för//PP//case//44 forsknings-//NN|UTR|-|-|SMS//nsubj:pass//47 och//KN//cc//46 teknikutvecklingsverksamheten//NN|UTR|SIN|DEF|NOM//conj//44 medtagits//VB|SUP|SFO//conj//8 .//MAD//punct//47
1. Uppdraget;Frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//57 om//PP//case//54 det//DT|NEU|SIN|DEF//det//53 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//54 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//49 har//VB|PRS|AKT//aux//57 inte//AB//advmod//57 berörts//VB|SUP|SFO//parataxis//47 då//HA//mark//62 dessa//DT|UTR/NEU|PLU|DEF//det//60 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//62 inte//AB//advmod//62 omfattas//VB|PRS|SFO//advcl//57 av//PP//case//65 Försvarsstrukturutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 uppdrag//NN|NEU|SIN|IND|NOM//obl:agent//62 .//MAD//punct//2

2. Avgränsning och genomförande;Inom//PP//case//3 ramen//NN|UTR|SIN|DEF|NOM//fixed//0 för//PP//fixed//0 uppdraget//NN|NEU|SIN|DEF|NOM//obl//4 har//VB|PRS|AKT//aux//11 ett//DT|NEU|SIN|IND//det//7 stort//JJ|POS|NEU|SIN|IND|NOM//amod//7 antal//NN|NEU|SIN|IND|NOM//nmod//8 besluts-//NN|UTR|-|-|SMS//nsubj:pass//11 och//KN//cc//10 utredningsdokument//NN|NEU|PLU|IND|NOM//conj//8 gåtts//VB|SUP|SFO//ROOT//11 igenom//PL//compound:prt//11 .//MAD//punct//11
2. Avgränsning och genomförande;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 rör//VB|PRS|AKT//conj//11 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//15 om//PP//case//18 propositioner//NN|UTR|PLU|IND|NOM//obl//15 och//KN//cc//20 skrivelser//NN|UTR|PLU|IND|NOM//conj//18 till//PP//case//22 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//20 inom//PP//case//25 Försvarsdepartementets//PM|GEN//nmod:poss//25 ansvarsområde//NN|NEU|SIN|IND|NOM//nmod//22 ,//MID//punct//27 bilaga//NN|UTR|SIN|IND|NOM//conj//18 6//RG|NOM//nummod//27 till//PP//case//30 budgetpropositionerna//NN|UTR|PLU|DEF|NOM//nmod//18 ,//MID//punct//33 Försvarsberedningens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 rapporter//NN|UTR|PLU|IND|NOM//conj//18 ,//MID//punct//37 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 departementsutredningar//NN|UTR|PLU|IND|NOM//conj//18 och//KN//cc//39 SOU//PM|NOM//conj//37 ://MID//punct//15 er//PN|UTR|PLU|DEF|OBJ//appos//15 inom//PP//case//44 Försvarsdepartementets//PM|GEN//nmod:poss//44 ansvarsområde//NN|NEU|SIN|IND|NOM//nmod//41 ,//MID//punct//47 Riksrevisionens//PM|GEN//nmod:poss//47 granskningar//NN|UTR|PLU|IND|NOM//conj//41 med//PP//case//49 inriktning//NN|UTR|SIN|IND|NOM//nmod//47 på//PP//case//51 stödverksamheten//NN|UTR|SIN|DEF|NOM//nmod//49 samt//KN//cc//53 utredningar//NN|UTR|PLU|IND|NOM//conj//51 och//KN//cc//55 utvärderingar//NN|UTR|PLU|IND|NOM//conj//53 som//HP|-|-|-//nsubj:pass//58 har//VB|PRS|AKT//aux//58 genomförts//VB|SUP|SFO//acl:relcl//55 av//PP//case//60 Statskontoret//NN|NEU|SIN|DEF|NOM//obl:agent//58 och//KN//cc//62 Ekonomistyrningsverket//PM|NOM//conj//60 och//KN//cc//65 som//HP|-|-|-//nsubj//65 berör//VB|PRS|AKT//conj//58 stödverksamheten//NN|UTR|SIN|DEF|NOM//obj//65 eller//KN//cc//68 har//VB|PRS|AKT//conj//65 betydelse//NN|UTR|SIN|IND|NOM//obj//68 för//PP//case//72 denna//DT|UTR|SIN|DEF//det//72 verksamhet//NN|UTR|SIN|IND|NOM//obl//68 .//MAD//punct//15
2. Avgränsning och genomförande;Vid//PP//mark//5 sidan//NN|UTR|SIN|DEF|NOM//fixed//0 av//PP//case//4 detta//DT|NEU|SIN|DEF//det//4 material//NN|NEU|SIN|IND|NOM//nmod//1 har//VB|PRS|AKT//advcl//10 ett//DT|NEU|SIN|IND//det//8 stort//JJ|POS|NEU|SIN|IND|NOM//amod//8 antal//NN|NEU|SIN|IND|NOM//nmod//9 utredningar//NN|UTR|PLU|IND|NOM//nsubj:pass//10 genomförts//VB|SUP|SFO//ROOT//10 på//PP//case//12 myndighetsnivå//NN|UTR|SIN|IND|NOM//obl//10 beträffande//PP//case//14 materielförsörjnings-//NN|UTR|-|-|SMS//obl//10 och//KN//cc//16 logistikprocesserna//NN|UTR|PLU|DEF|NOM//conj//14 samt//KN//cc//18 forsknings-//NN|UTR|-|-|SMS//conj//14 och//KN//cc//20 teknikutvecklingsverkamheten//NN|NEU|PLU|DEF|NOM//conj//18 .//MAD//punct//10
2. Avgränsning och genomförande;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//23 rör//VB|PRS|AKT//parataxis//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//23 om//PP//case//26 utredningar//NN|UTR|PLU|IND|NOM//obl//23 som//HP|-|-|-//nsubj:pass//29 har//VB|PRS|AKT//aux//29 genomförts//VB|SUP|SFO//acl:relcl//26 av//PP//case//31 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl:agent//29 eller//KN//cc//34 av//PP//case//34 någon//PN|UTR|SIN|IND|SUB/OBJ//conj//31 av//PP//case//36 stödmyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//34 (//PAD//punct//36 FMV//PM|NOM//appos//36 ,//MID//punct//38 FOI//PM|NOM//conj//38 ,//MID//punct//42 FHS//PM|NOM//conj//38 ,//MID//punct//44 m.fl.//AB|AN//conj//38 )//PAD//punct//36 .//MID//punct//23
2. Avgränsning och genomförande;Detta//DT|NEU|SIN|DEF//det//48 material//NN|NEU|SIN|IND|NOM//nsubj:pass//51 har//VB|PRS|AKT//aux//51 inte//AB//advmod//51 medtagits//VB|SUP|SFO//conj//23 i//PP//case//54 den//DT|UTR|SIN|DEF//det//54 redovisning//NN|UTR|SIN|IND|NOM//obl//51 som//HP|-|-|-//nsubj:pass//56 görs//VB|PRS|SFO//acl:relcl//54 i//PP//case//59 det//DT|NEU|SIN|DEF//det//59 följande//NN|NEU|SIN|IND|NOM//obl//56 .//MAD//punct//23
