En samlad tolktjänst;–//RG|NOM//punct//1 samordning//NN|UTR|SIN|IND|NOM//ROOT//1 och//KN//cc//3 utveckling//NN|UTR|SIN|IND|NOM//conj//1 av//PP//case//5 tolktjänst//NN|UTR|SIN|IND|NOM//nmod//3 för//PP//case//7 barndomsdöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//3 ,//MID//punct//9 vuxendöva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 ,//MID//punct//11 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//7 och//KN//cc//13 personer//NN|UTR|PLU|IND|NOM//conj//7 med//PP//case//15 dövblindhet//NN|UTR|SIN|IND|NOM//obl//1
Till statsrådet Maria Larsson;Lars//PM|NOM//nsubj:pass//120 Lindberg//PM|NOM//flat:name//118 entledigades//VB|PRT|SFO//parataxis//98 från//PP//case//122 uppdraget//NN|NEU|SIN|DEF|NOM//obl//120 som//KN//mark//124 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//advcl//120 den//DT|UTR|SIN|DEF//det//127 1//RO|NOM//nummod//127 september//NN|UTR|SIN|IND|NOM//obl//124 2011//RG|NOM//nummod//127 .//MAD//punct//4
Till statsrådet Maria Larsson;Kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//1 Martin//PM|NOM//nsubj//6 Färnsten//NN|UTR|SIN|DEF|NOM//flat:name//1 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//6 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 huvudsekreterare//NN|UTR|PLU|IND|NOM//ROOT//6 fr.o.m.//AB|AN//case//10 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 januari//NN|UTR|SIN|IND|NOM//nmod//6 2011//RG|NOM//nummod//10 .//MAD//punct//6
Till statsrådet Maria Larsson;Jur.//NN|AN//amod//14 kand//NN|AN//appos//6 .//MID//punct//14
Till statsrådet Maria Larsson;Susanne//PM|NOM//nsubj//21 Ritseson//PM|NOM//flat:name//16 har//VB|PRS|AKT//aux//21 varit//VB|SUP|AKT//cop//21 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 sekreterare//NN|UTR|SIN|IND|NOM//conj//6 fr.o.m.//AB|AN//case//25 den//DT|UTR|SIN|DEF//det//25 8//RO|NOM//nummod//25 november//NN|UTR|SIN|IND|NOM//nmod//21 2010//RG|NOM//nummod//25 .//MAD//punct//21
Till statsrådet Maria Larsson;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 bedrivits//VB|SUP|SFO//ROOT//2 i//PP//case//5 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 samråd//NN|NEU|SIN|IND|NOM//obl//2 med//PP//case//8 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//5 och//KN//cc//10 experter//NN|UTR|PLU|IND|NOM//conj//8 .//MAD//punct//2
Till statsrådet Maria Larsson;Sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//15 och//KN//cc//14 experter//NN|UTR|PLU|IND|NOM//conj//12 har//VB|PRS|AKT//aux//19 i//PP//case//18 allt//DT|NEU|SIN|IND/DEF//fixed//16 väsentligt//AB|POS//advmod//19 ställt//VB|SUP|AKT//conj//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//19 bakom//PL//case//24 de//DT|UTR/NEU|PLU|DEF//det//24 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//24 förslagen//NN|NEU|PLU|DEF|NOM//obl//19 och//KN//cc//26 övervägandena//NN|NEU|PLU|DEF|NOM//conj//24 .//MAD//punct//2
Till statsrådet Maria Larsson;Däremot//AB//advmod//32 kan//VB|PRS|AKT//aux//32 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//31 uppfattningar//NN|UTR|PLU|IND|NOM//nsubj//32 finnas//VB|INF|SFO//parataxis//2 i//PP//case//34 enskildheter//NN|UTR|PLU|IND|NOM//obl//32 och//KN//cc//37 beträffande//PP//case//37 formuleringar//NN|UTR|PLU|IND|NOM//conj//32 utan//PP//mark//42 att//SN//mark//42 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//42 har//VB|PRS|AKT//aux//42 behövt//VB|SUP|AKT//acl//37 komma//VB|INF|AKT//xcomp//42 till//PP//case//45 uttryck//NN|NEU|SIN|IND|NOM//obl//43 i//PP//case//49 något//DT|NEU|SIN|IND//det//49 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//49 yttrande//NN|NEU|SIN|IND|NOM//obl//43 .//MAD//punct//32
Till statsrådet Maria Larsson;En//DT|UTR|SIN|IND//det//1 referensgrupp//NN|UTR|SIN|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//4 knuten//PC|PRF|UTR|SIN|IND|NOM//ROOT//4 till//PP//case//6 utredningen//NN|UTR|SIN|DEF|NOM//obl//4 .//MAD//punct//4
Till statsrådet Maria Larsson;I//PP//case//9 referensgruppen//NN|UTR|SIN|DEF|NOM//obl//11 har//VB|PRS|AKT//aux//11 ingått//VB|SUP|AKT//parataxis//4 Hanna//PM|NOM//nsubj//11 Sejlitz//PM|NOM//flat//12 ,//MID//punct//12 Hörselskadades//PM|GEN//nmod//16 Riksförbund//NN|NEU|SIN|IND|NOM//conj//12 ,//MID//punct//12 Heléne//PM|NOM//conj//12 Larsson//PM|NOM//flat//18 ,//MID//punct//22 Unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//22 Hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//12 ,//MID//punct//24 Ragnar//PM|NOM//conj//12 Veer//PM|NOM//flat//24 ,//MID//punct//24 Sveriges//PM|GEN//nmod:poss//29 Dövas//NN|UTR|SIN|IND|GEN//amod//29 Riksförbund//NN|NEU|SIN|IND|NOM//conj//12 ,//MID//punct//12 Julia//PM|NOM//conj//12 Kankkonen//PM|NOM//flat:name//31 ,//MID//punct//36 Sveriges//PM|GEN//nmod:poss//36 Dövas//NN|NEU|SIN|IND|GEN//amod//36 Ungdomsförbund//NN|NEU|SIN|IND|NOM//conj//12 ,//MID//punct//38 Linda//PM|NOM//conj//11 Eriksson//PM|NOM//flat//38 ,//MID//punct//41 Förbundet//NN|NEU|SIN|DEF|NOM//appos//38 Sveriges//PM|GEN//nmod:poss//43 Dövblinda//PM|NOM//nmod//41 ,//MID//punct//45 Ulf//PM|NOM//conj//38 Westermark//PM|NOM//flat:name//45 ,//MID//punct//48 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//38 för//PP//case//50 döva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//48 ,//MID//punct//48 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//55 och//KN//cc//54 språkstörda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//52 barn//NN|NEU|PLU|IND|NOM//conj//38 ,//MID//punct//57 Monica//PM|NOM//appos//11 Wolf//PM|NOM//flat//57 ,//MID//punct//57 Vuxendöva//PM|NOM//appos//57 i//PP//case//62 Sverige//PM|NOM//nmod//60 samt//KN//cc//64 Ann-Charlotte//PM|NOM//conj//57 Gyllenram//PM|NOM//flat:name//64 ,//MID//punct//67 Barnplantorna//PM|NOM//conj//65 -//MID//punct//69 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//65 för//PP//case//71 Barn//NN|NEU|PLU|IND|NOM//nmod//69 med//PP//case//73 Cochleaimplantat//PM|NOM//nmod//71 och//KN//cc//75 Barn//NN|NEU|PLU|IND|NOM//conj//73 med//PP//case//77 Hörapparat//NN|UTR|SIN|IND|NOM//nmod//69 .//MID//punct//69
Till statsrådet Maria Larsson;Amanda//PM|NOM//nsubj//86 Lindberg//PM|NOM//flat//79 ,//MID//punct//82 Dövblind//JJ|POS|UTR|SIN|IND|NOM//conj//79 ungdom//NN|UTR|SIN|IND|NOM//conj//79 ,//MID//punct//79 har//VB|PRS|AKT//aux//86 ingått//VB|SUP|AKT//acl:relcl//57 i//PP//case//88 gruppen//NN|UTR|SIN|DEF|NOM//obl//86 men//KN//cc//91 inte//AB//advmod//91 deltagit//VB|SUP|AKT//conj//11 vid//PP//case//93 sammanträdena//NN|NEU|PLU|DEF|NOM//obl//91 .//MAD//punct//11
