Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 6//RO|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//obl//0 1997//RG|NOM//nummod//5 .//MAD//punct//0

Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallas//VB|PRS|SFO//ROOT//3 med//PP//case//5 uppgift//NN|UTR|SIN|IND|NOM//obl//3 att//IE//mark//7 göra//VB|INF|AKT//acl//5 en//DT|UTR|SIN|IND//det//9 inventering//NN|UTR|SIN|IND|NOM//obj//7 och//KN//cc//12 en//DT|UTR|SIN|IND//det//12 bedömning//NN|UTR|SIN|IND|NOM//conj//3 av//PP//case//14 försöksdjursanvändningen//NN|UTR|SIN|DEF|NOM//nmod//12 i//PP//case//16 landet//NN|NEU|SIN|DEF|NOM//nmod//14 och//KN//cc//18 utvärdera//VB|INF|AKT//conj//3 det//DT|NEU|SIN|DEF//det//20 stöd//NN|NEU|SIN|IND|NOM//obj//18 som//HP|-|-|-//nsubj:pass//22 lämnas//VB|PRS|SFO//acl:relcl//20 till//PP//case//24 forskning//NN|UTR|SIN|IND|NOM//obl//22 om//PP//case//26 alternativ//NN|NEU|PLU|IND|NOM//nmod//24 till//PP//case//28 djurförsök//NN|NEU|PLU|IND|NOM//obl//22 .//MAD//punct//3
Sammanfattning av uppdraget;I//PP//case//31 uppdraget//NN|NEU|SIN|DEF|NOM//obl//32 ingår//VB|PRS|AKT//parataxis//3 att//IE//mark//34 lämna//VB|INF|AKT//xcomp//32 förslag//NN|NEU|SIN|IND|NOM//obj//34 till//PP//mark//41 hur//HA//advmod//41 försöksdjursanvändningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 skall//VB|PRS|AKT//aux//41 kunna//VB|INF|AKT//aux//41 begränsas//VB|INF|SFO//advcl//34 .//MAD//punct//32
Sammanfattning av uppdraget;I//PP//case//44 uppdraget//NN|NEU|SIN|DEF|NOM//obl//45 ingår//VB|PRS|AKT//conj//3 även//AB//advmod//45 att//IE//mark//48 se//VB|INF|AKT//advcl//45 över//PL//case//52 Centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 försöksdjursnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//52 verksamhet//NN|UTR|SIN|IND|NOM//obl//48 och//KN//cc//55 att//IE//mark//55 lämna//VB|INF|AKT//conj//45 förslag//NN|NEU|SIN|IND|NOM//obj//55 till//PP//mark//68 hur//HA//advmod//59 forskningsstödet//NN|NEU|SIN|DEF|NOM//nsubj:pass//68 för//PP//mark//62 att//IE//mark//62 främja//VB|INF|AKT//acl//59 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 metoder//NN|UTR|PLU|IND|NOM//obj//62 till//PP//case//66 djurförsök//NN|NEU|PLU|IND|NOM//obl//62 bör//VB|PRS|AKT//aux//68 organiseras//VB|INF|SFO//advcl//55 .//MAD//punct//3
Sammanfattning av uppdraget;Vidare//AB|KOM//advmod//78 skall//VB|PRS|AKT//aux//78 erfarenheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//78 av//PP//case//77 de//DT|UTR/NEU|PLU|DEF//det//76 djurförsöksetiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 nämndernas//NN|UTR|PLU|DEF|GEN//nmod:poss//77 verksamhet//NN|UTR|SIN|IND|NOM//nmod//72 utvärderas//VB|INF|SFO//parataxis//3 .//MAD//punct//3

Bakgrund;Under//PP//case//2 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 år//NN|NEU|PLU|IND|NOM//obl//6 har//VB|PRS|AKT//aux//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 ibland//AB//advmod//6 hävdats//VB|SUP|SFO//ROOT//6 att//SN//mark//18 den//DT|UTR|SIN|DEF//det//10 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 försöksdjursanvändningen//NN|UTR|SIN|DEF|NOM//nsubj//18 under//PP//case//12 slutet//NN|NEU|SIN|DEF|NOM//nmod//10 av//PP//case//14 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//12 skulle//VB|PRT|AKT//aux//18 komma//VB|INF|AKT//aux//18 att//IE//mark//18 öka//VB|INF|AKT//csubj//6 kraftigt//AB|POS//advmod//18 bl.a.//AB|AN//advmod//18 till//PP//case//24 följd//NN|UTR|SIN|IND|NOM//fixed//21 av//PP//case//24 framtagningen//NN|UTR|SIN|DEF|NOM//obl//18 och//KN//cc//26 användningen//NN|UTR|SIN|DEF|NOM//conj//24 av//PP//case//30 genetiskt//AB|POS//advmod//29 modifierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//30 djur//NN|NEU|PLU|IND|NOM//nmod//26 .//MAD//punct//6
Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 är//VB|PRS|AKT//cop//35 emellertid//AB//advmod//35 oklart//JJ|POS|NEU|SIN|IND|NOM//parataxis//6 om//PP//case//39 den//DT|UTR|SIN|DEF//det//39 biomedicinska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 forskningen//NN|UTR|SIN|DEF|NOM//nsubj//43 i//PP//case//41 landet//NN|NEU|SIN|DEF|NOM//nmod//39 alltjämt//AB//advmod//43 betraktar//VB|PRS|AKT//csubj//35 en//DT|UTR|SIN|IND//det//46 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//46 ökning//NN|UTR|SIN|IND|NOM//obj//43 som//KN//case//48 sannolik//JJ|POS|UTR|SIN|IND|NOM//acl//46 .//MAD//punct//35
Bakgrund;Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//4 kommer//VB|PRS|AKT//aux//4 att//IE//mark//4 arrangera//VB|INF|AKT//ROOT//4 ett//DT|NEU|SIN|IND//det//6 möte//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//8 mitten//NN|UTR|SIN|DEF|NOM//nmod//6 av//PP//case//10 april//NN|UTR|SIN|IND|NOM//nmod//8 1997//RG|NOM//nummod//10 .//MAD//punct//4
Bakgrund;Vid//PP//case//15 detta//DT|NEU|SIN|DEF//det//15 möte//NN|NEU|SIN|IND|NOM//obl//20 kommer//VB|PRS|AKT//aux//20 man//PN|UTR|SIN|IND|SUB//nsubj//20 att//IE//mark//20 närmare//AB|KOM//advmod//20 diskutera//VB|INF|AKT//conj//4 målet//NN|NEU|SIN|DEF|NOM//obj//20 i//PP//case//23 EU//PM|NOM//nmod//21 ://MID//punct//20 s//NN|AN//nummod//27 femte//RO|NOM//amod//27 miljöhandlingsprogram//NN|NEU|SIN|IND|NOM//appos//20 att//IE//mark//29 reducera//VB|INF|AKT//acl//27 försöksdjursanvändningen//NN|UTR|SIN|DEF|NOM//obj//29 med//PP//case//33 50//RG|NOM//nummod//33 %//NN|AN//obl//29 till//PP//case//36 år//NN|NEU|SIN|IND|NOM//nmod//36 2000//RG|NOM//obl//29 .//MAD//punct//4
Bakgrund;Mötet//NN|NEU|SIN|DEF|NOM//nsubj//40 är//VB|PRS|AKT//cop//40 föranlett//PC|PRF|NEU|SIN|IND|NOM//parataxis//4 av//PP//case//44 bl.a.//AB|AN//advmod//44 den//DT|UTR|SIN|DEF//det//44 osäkerhet//NN|UTR|SIN|IND|NOM//obl//40 som//HP|-|-|-//nsubj//46 finns//VB|PRS|SFO//acl:relcl//44 bland//PP//case//48 medlemsländerna//NN|NEU|PLU|DEF|NOM//obl//46 om//PP//mark//53 hur//HA//advmod//53 målet//NN|NEU|SIN|DEF|NOM//nsubj:pass//53 kan//VB|PRS|AKT//aux//53 förverkligas//VB|INF|SFO//advcl//46 .//MAD//punct//4
Bakgrund;Diskussioner//NN|UTR|PLU|IND|NOM//obj//4 om//PP//mark//60 hur//HA//advmod//60 försöksdjursanvändningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//60 skall//VB|PRS|AKT//aux//60 minskas//VB|INF|SFO//advcl//55 kommer//VB|PRS|AKT//aux//64 sannolikt//AB|POS//advmod//64 att//IE//mark//64 fortsätta//VB|INF|AKT//conj//4 både//KN//cc//67 i//PP//case//67 Sverige//PM|NOM//obl//64 och//KN//cc//71 i//PP//case//71 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 medlemsländer//NN|NEU|PLU|IND|NOM//conj//67 inom//PP//case//73 EU//PM|NOM//nmod//71 .//MAD//punct//4
Bakgrund;I//PP//case//2 Europarådets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 konvention//NN|UTR|SIN|IND|NOM//obl//20 (//PAD//punct//2 ETS//NN|AN//nmod//5 123//RG|NOM//appos//2 )//PAD//punct//2 om//PP//case//8 skydd//NN|NEU|SIN|IND|NOM//nmod//2 av//PP//case//11 r//UO//nummod//11 yggradsdjur//NN|NEU|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//13 används//VB|PRS|SFO//acl:relcl//8 till//PP//case//15 försök//NN|NEU|PLU|IND|NOM//obl//13 och//KN//cc//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 ändamål//NN|NEU|PLU|IND|NOM//conj//15 anges//VB|PRS|SFO//ROOT//20 att//SN//mark//24 länderna//NN|NEU|PLU|DEF|NOM//nsubj//24 skall//VB|PRS|AKT//aux//24 stödja//VB|INF|AKT//ccomp//20 och//KN//cc//26 uppmuntra//VB|INF|AKT//conj//24 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//24 av//PP//case//30 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 metoder//NN|UTR|PLU|IND|NOM//nmod//27 till//PP//case//32 djurförsök//NN|NEU|PLU|IND|NOM//nmod//30 .//MAD//punct//20
