Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 12//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//nmod//0 2002//RG|NOM//nummod//5 .//MAD//punct//0

Bakgrund;Fjärrvärmen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//4 roll//NN|UTR|SIN|IND|NOM//obj//1 i//PP//case//6 omställningen//NN|UTR|SIN|DEF|NOM//obl//1 av//PP//case//8 energisystemet//NN|NEU|SIN|DEF|NOM//nmod//6 .//MAD//punct//1
Bakgrund;Utbyggnaden//NN|UTR|SIN|DEF|NOM//nsubj//14 av//PP//case//12 fjärrvärme//NN|UTR|SIN|IND|NOM//nmod//10 har//VB|PRS|AKT//aux//14 bidragit//VB|SUP|AKT//parataxis//1 till//PP//mark//18 ett//DT|NEU|SIN|IND//det//18 kraftigt//AB|POS//advmod//18 minskat//PC|PRF|NEU|SIN|IND|NOM//advcl//14 oljeberoende//NN|NEU|SIN|IND|NOM//xcomp//18 ,//MID//punct//23 ett//DT|NEU|SIN|IND//det//23 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 energiutnyttjande//NN|NEU|SIN|IND|NOM//conj//19 ,//MID//punct//28 en//DT|UTR|SIN|IND//det//28 allt//AB//advmod//27 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 användning//NN|UTR|SIN|IND|NOM//appos//14 av//PP//case//31 förnybara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 bränslen//NN|NEU|PLU|IND|NOM//nmod//28 ,//MID//punct//35 en//DT|UTR|SIN|IND//det//35 förbättrad//PC|PRF|UTR|SIN|IND|NOM//amod//35 tätortsmiljö//NN|UTR|SIN|IND|NOM//conj//28 och//KN//cc//38 minskade//VB|PRT|AKT//amod//38 utsläpp//NN|NEU|PLU|IND|NOM//conj//35 av//PP//case//40 koldioxid//NN|UTR|SIN|IND|NOM//nmod//38 .//MAD//punct//28
Bakgrund;Fjärrvärmeutbyggnad//NN|UTR|SIN|IND|NOM//nsubj//45 kan//VB|PRS|AKT//aux//45 därutöver//AB//advmod//45 bidra//VB|INF|AKT//conj//1 till//PP//mark//48 att//IE//mark//48 minska//VB|INF|AKT//advcl//45 användningen//NN|UTR|SIN|DEF|NOM//obj//48 av//PP//case//51 elvärme//NN|UTR|SIN|IND|NOM//nmod//49 och//KN//cc//53 utgör//VB|PRS|AKT//conj//45 samtidigt//AB//advmod//53 en//DT|UTR|SIN|IND//det//57 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//57 förutsättning//NN|UTR|SIN|IND|NOM//obj//53 för//PP//case//59 utbyggnad//NN|UTR|SIN|IND|NOM//nmod//57 av//PP//case//61 kraftvärme//NN|UTR|SIN|IND|NOM//nmod//59 .//MAD//punct//45
Bakgrund;Fjärrvärmen//NN|UTR|SIN|DEF|NOM//nsubj//64 medger//VB|PRS|AKT//parataxis//45 vidare//AB|KOM//advmod//64 en//DT|UTR|SIN|IND//det//68 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 flexibilitet//NN|UTR|SIN|IND|NOM//obj//64 i//PP//case//70 valet//NN|NEU|SIN|DEF|NOM//nmod//68 av//PP//case//72 energikälla//NN|UTR|SIN|IND|NOM//nmod//70 jämfört//PC|PRF|NEU|SIN|IND|NOM//case//76 med//PP//fixed//73 individuell//JJ|POS|UTR|SIN|IND|NOM//amod//76 bränsleeldning//NN|UTR|SIN|IND|NOM//obl//64 .//MAD//punct//45
Bakgrund;Fjärrvärmeverksamhet//NN|UTR|SIN|IND|NOM//nsubj//1 består//VB|PRS|AKT//ROOT//1 huvudsakligen//AB//advmod//1 av//PP//case//4 produktion//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//6 distribution//NN|UTR|SIN|IND|NOM//conj//4 av//PP//case//8 hetvatten//NN|NEU|SIN|IND|NOM//nmod//6 i//PP//case//11 ett//DT|NEU|SIN|IND//det//11 rörledningssystem//NN|NEU|SIN|IND|NOM//obl//1 för//PP//case//14 kollektiv//JJ|POS|UTR|SIN|IND|NOM//amod//14 uppvärmning//NN|UTR|SIN|IND|NOM//nmod//11 av//PP//case//16 byggnader//NN|UTR|PLU|IND|NOM//nmod//14 .//MAD//punct//1
Bakgrund;Fjärrvärme//NN|UTR|SIN|IND|NOM//nsubj//19 står//VB|PRS|AKT//parataxis//1 idag//AB//advmod//19 för//PP//case//24 ca//AB|AN//advmod//23 43//RG|NOM//nummod//24 %//NN|AN//obl//19 av//PP//case//28 den//DT|UTR|SIN|DEF//det//28 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 uppvärmningen//NN|UTR|SIN|DEF|NOM//nmod//24 av//PP//case//30 bostäder//NN|UTR|PLU|IND|NOM//nmod//28 och//KN//cc//32 lokaler//NN|UTR|PLU|IND|NOM//conj//30 .//MAD//punct//19
Bakgrund;Utbyggnaden//NN|UTR|SIN|DEF|NOM//nsubj//37 av//PP//case//36 fjärrvärme//NN|UTR|SIN|IND|NOM//nmod//34 har//VB|PRS|AKT//aux//41 till//PP//case//40 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//40 delen//NN|UTR|SIN|DEF|NOM//obl//41 bedrivits//VB|SUP|SFO//parataxis//19 i//PP//case//44 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//44 regi//NN|UTR|SIN|IND|NOM//obl//41 .//MAD//punct//19
Bakgrund;I//PP//advmod//19 samband//NN|NEU|SIN|IND|NOM//fixed//46 med//PP//case//49 avregleringen//NN|UTR|SIN|DEF|NOM//fixed//46 av//PP//case//51 elmarknaden//NN|UTR|SIN|DEF|NOM//nmod//46 1996//RG|NOM//nummod//51 infördes//VB|PRT|SFO//advcl//19 en//DT|UTR|SIN|IND//det//55 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj:pass//53 för//PP//case//58 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 företag//NN|NEU|PLU|IND|NOM//nmod//55 som//HP|-|-|-//nsubj//60 bedriver//VB|PRS|AKT//acl:relcl//58 produktion//NN|UTR|SIN|IND|NOM//obj//60 och//KN//cc//63 handel//NN|UTR|SIN|IND|NOM//conj//61 med//PP//case//66 el.//KN|AN//amod//66 Bestämmelsen//NN|UTR|SIN|DEF|NOM//nmod//63 innebär//VB|PRS|AKT//conj//19 att//SN//mark//73 ett//DT|NEU|SIN|IND//det//71 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//71 företag//NN|NEU|SIN|IND|NOM//nsubj//73 skall//VB|PRS|AKT//aux//73 bedriva//VB|INF|AKT//ccomp//67 verksamheten//NN|UTR|SIN|DEF|NOM//obj//73 på//PP//case//77 affärsmässig//JJ|POS|UTR|SIN|IND|NOM//amod//77 grund//NN|UTR|SIN|IND|NOM//obl//73 i//PP//advmod//77 stället//NN|NEU|SIN|DEF|NOM//fixed//78 för//PP//fixed//78 med//PP//case//82 iakttagande//NN|NEU|SIN|IND|NOM//acl//77 av//PP//case//86 de//DT|UTR/NEU|PLU|DEF//det//86 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 självkostnads-//NN|UTR|-|-|SMS//nmod//82 och//KN//cc//88 likställighetsprinciperna//NN|UTR|PLU|DEF|NOM//conj//86 .//MAD//punct//19
Bakgrund;Syftet//NN|NEU|SIN|DEF|NOM//parataxis//19 med//PP//case//92 bestämmelsen//NN|UTR|SIN|DEF|NOM//nmod//90 är//VB|PRS|AKT//cop//90 att//SN//mark//99 de//DT|UTR/NEU|PLU|DEF//det//97 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 elföretagen//NN|NEU|PLU|DEF|NOM//nsubj//99 skall//VB|PRS|AKT//aux//99 verka//VB|INF|AKT//ccomp//93 under//PP//case//102 samma//DT|UTR/NEU|SIN/PLU|IND//det//102 förutsättningar//NN|UTR|PLU|IND|NOM//obl//99 som//KN//case//106 de//DT|UTR/NEU|PLU|DEF//det//106 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//106 elföretagen//NN|NEU|PLU|DEF|NOM//nmod//102 .//MAD//punct//90
