Med rätt att välja;–//RG|NOM//punct//2 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//2 utbildning//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 elever//NN|UTR|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 tillhör//VB|PRS|AKT//acl:relcl//4 specialskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//8 målgrupp//NN|UTR|SIN|IND|NOM//obj//6
Till statsrådet och chefen för Utbildningsdepartementet;Ann-Marie//PM|NOM//nmod//1 Begler//PM|NOM//ROOT//1 /Karin//NN|UTR|SIN|DEF|NOM//nmod//3 Flemström//PM|NOM//flat:name//1
Till statsrådet och chefen för Utbildningsdepartementet;Gabriel//PM|NOM//ROOT//0 Brandström//PM|NOM//flat:name//0 2.3//RG|NOM//nmod//4 Specialpedagogiskt//JJ|POS|NEU|SIN|IND|NOM//amod//4 stöd//NN|NEU|SIN|IND|NOM//obj//0 till//PP//case//6 elever//NN|UTR|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//8 tillhör//VB|PRS|AKT//acl:relcl//6 3.1//RG|NOM//nmod//12 Specialskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//12 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 målgrupp//NN|UTR|SIN|IND|NOM//obj//8 enligt//PP//case//15 aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//15 3.2//RG|NOM//nmod//18 Den//DT|UTR|SIN|DEF//det//18 förändrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//18 målgruppen//NN|UTR|SIN|DEF|NOM//obj//8 –//RG|NOM//punct//21 en//DT|UTR|SIN|IND//det//21 utveckling//NN|UTR|SIN|IND|NOM//appos//18 som//HP|-|-|-//nsubj//23 skett//VB|SUP|AKT//acl:relcl//21 3.5//RG|NOM//nummod//25 Processen//NN|UTR|SIN|DEF|NOM//obj//23 för//PP//case//27 inskrivning//NN|UTR|SIN|IND|NOM//nmod//25 och//KN//cc//29 mottagande//NN|NEU|SIN|IND|NOM//conj//27 enligt//PP//case//32 aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//32 6.1//RG|NOM//obl//29 En//DT|UTR|SIN|IND//det//34 rätt//NN|UTR|SIN|IND|NOM//obj//8 till//PP//case//36 deltidsutbildning//NN|UTR|SIN|IND|NOM//nmod//34 i//PP//case//41 de//DT|UTR/NEU|PLU|DEF//det//40 obligatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 6.4//RG|NOM//nmod//41 Fördelningen//NN|UTR|SIN|DEF|NOM//nmod//34 av//PP//case//45 det//DT|NEU|SIN|DEF//det//45 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//47 7.3//RG|NOM//nummod//47 Mottagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//41 i//PP//case//49 specialskolan//NN|UTR|SIN|DEF|NOM//nmod//41 av//PP//case//51 elever//NN|UTR|PLU|IND|NOM//nmod//49 med//PP//case//54 7.4//RG|NOM//nmod//54 Undervisning//NN|UTR|SIN|IND|NOM//nmod//41 för//PP//case//56 elever//NN|UTR|PLU|IND|NOM//nmod//54 som//HP|-|-|-//nsubj//58 följer//VB|PRS|AKT//acl:relcl//56 grundsärskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//60 8.1//RG|NOM//obj//58 En//DT|UTR|SIN|IND//det//62 rätt//NN|UTR|SIN|IND|NOM//obj//58 till//PP//case//64 undervisning//NN|UTR|SIN|IND|NOM//nmod//62 i//PP//case//66 teckenspråk//NN|NEU|SIN|IND|NOM//nmod//64 i//PP//case//70 de//DT|UTR/NEU|PLU|DEF//det//70 obligatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 8.2//RG|NOM//nmod//62 En//DT|UTR|SIN|IND//det//72 möjlighet//NN|UTR|SIN|IND|NOM//obj//58 att//IE//mark//74 erbjuda//VB|INF|AKT//acl//72 specialskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//76 kursplaner//NN|UTR|PLU|IND|NOM//obj//74 9.2//RG|NOM//flat:name//0 En//DT|UTR|SIN|IND//det//79 möjlighet//NN|UTR|SIN|IND|NOM//obj//0 att//IE//mark//81 erbjuda//VB|INF|AKT//acl//79 undervisning//NN|UTR|SIN|IND|NOM//obj//81 enligt//PP//case//81


1 Förslag till lag om ändring i skollagen (2010:800);Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//case//5 skollagen//NN|UTR|SIN|DEF|NOM//obl//1 (//PAD//punct//5 2010:800//RG|NOM//appos//5 )//PAD//punct//5 dels//KN//mark//69  //_SP////9 att//SN//mark//69 7//RG|NOM//nummod//13 kap.//NN|AN//nmod//14 6//RG|NOM//nummod//19 ,//MID//punct//14 12//RG|NOM//nummod//14 och//KN//cc//14 15//RG|NOM//nummod//14 §//NN|AN//nmod//20 §//NN|AN//nsubj//69 ,//MID//punct//20 10//RG|NOM//nummod//23 kap.//NN|AN//nmod//24 6–7//RG|NOM//nummod//25 §//NN|AN//nmod//26 §//NN|AN//nmod//20 ,//MID//punct//26 11//RG|NOM//nummod//29 kap.//NN|AN//nmod//20 9–10//RG|NOM//nummod//31 §//NN|AN//nmod//32 §//NN|AN//nmod//20 ,//MID//punct//32 12//RG|NOM//nummod//35 kap.//NN|AN//nmod//36 3//RG|NOM//nmod//20 ,//MID//punct//36 5//RG|NOM//nummod//36 ,//MID//punct//40 7–8//RG|NOM//conj//36 ,//MID//punct//40 14//RG|NOM//conj//36 ,//MID//punct//36 16//RG|NOM//nummod//36 ,//MID//punct//36 19//RG|NOM//nummod//36 ,//MID//punct//36 21//RG|NOM//nummod//36 och//KN//cc//36 24–25//RG|NOM//nummod//36 §//NN|AN//nmod//52 §//NN|AN//nmod//20 ,//MID//punct//52 23//RG|NOM//nummod//55 kap.//NN|AN//nmod//56 1//RG|NOM//nmod//20 ,//MID//punct//56 4//RG|NOM//nummod//56 och//KN//cc//56 6//RG|NOM//nummod//56 §//NN|AN//nmod//62 §//NN|AN//nmod//20 och//KN//cc//62 28//RG|NOM//nummod//65 kap.//NN|AN//nmod//67 14//RG|NOM//nummod//67 §//NN|AN//nmod//20 ska//VB|PRS|AKT//aux//69 ha//VB|INF|AKT//advcl//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 lydelse//NN|UTR|SIN|IND|NOM//obj//69 ,//MID//punct//69 dels//KN//advmod//80  //_SP////73 att//SN//mark//80 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//80 i//PP//case//78 lagen//NN|UTR|SIN|DEF|NOM//obl//80 ska//VB|PRS|AKT//aux//80 införas//VB|INF|SFO//conj//69 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//80 ,//MID//punct//82 2//RG|NOM//nummod//85 kap.//NN|AN//nmod//86 8//RG|NOM//nummod//88 a//NN|NEU|SIN|IND|NOM//case//88 §//NN|AN//obl//80 ,//MID//punct//88 7//RG|NOM//nummod//91 kap.//NN|AN//appos//88 6//RG|NOM//nummod//93 a//NN|NEU|SIN|IND|NOM//nmod//91 och//KN//cc//93 9//RG|NOM//nummod//93 a//NN|NEU|SIN|IND|NOM//case//98 §//NN|AN//nmod//98 §//NN|AN//nmod//91 ,//MID//punct//91 10//RG|NOM//nummod//101 kap.//NN|AN//nmod//102 4//RG|NOM//nummod//91 a//NN|NEU|SIN|IND|NOM//case//104 §//NN|AN//nmod//91 ,//MID//punct//91 11//RG|NOM//nummod//107 kap.//NN|AN//nmod//108 6//RG|NOM//nummod//91 a//NN|NEU|SIN|IND|NOM//case//110 §//NN|AN//nmod//91 och//KN//cc//91 12//RG|NOM//nummod//113 kap.//NN|AN//obl//114 5//RG|NOM//nummod//115 a//NN|NEU|SIN|IND|NOM//nummod//91 och//KN//cc//115 8//RG|NOM//nummod//115 a//NN|NEU|SIN|IND|NOM//case//120 §//NN|AN//nmod//120 §//NN|AN//nmod//91 ,//MID//punct//69 samt//KN//cc//127 närmast//AB|SUV//advmod//127 före//PP//advmod//127 2//RG|NOM//nummod//126 kap.//NN|AN//nmod//127 8//RG|NOM//nummod//129 a//NN|NEU|SIN|IND|NOM//case//129 §//NN|AN//obl//69 ,//MID//punct//129 7//RG|NOM//nummod//132 kap.//NN|AN//appos//129 9//RG|NOM//nummod//132 a//NN|NEU|SIN|IND|NOM//case//135 §//NN|AN//nmod//132 och//KN//cc//135 12//RG|NOM//nummod//138 kap.//NN|AN//nmod//139 5//RG|NOM//nummod//141 a//NN|NEU|SIN|IND|NOM//case//141 §//NN|AN//nmod//143 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//143 rubriker//NN|UTR|PLU|IND|NOM//obj//69 av//PP//case//146 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//146 lydelse//NN|UTR|SIN|IND|NOM//nmod//143 .//MAD//punct//1

1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap. Huvudmän och ansvarsfördelning Huvudmän inom skolväsendet;Huvudman//NN|UTR|SIN|IND|NOM//ROOT//0 för//PP//case//2 deltidsutbildning//NN|UTR|SIN|IND|NOM//nmod//0 8//RG|NOM//nummod//5 a//NN|NEU|SIN|IND|NOM//case//5 §//NN|AN//nmod//2
1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap. Huvudmän och ansvarsfördelning Huvudmän inom skolväsendet;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 huvudmän//NN|UTR|PLU|IND|NOM//ROOT//2 för//PP//case//4 utbildning//NN|UTR|SIN|IND|NOM//nmod//2 för//PP//case//6 elever//NN|UTR|PLU|IND|NOM//nmod//4 i//PP//case//9 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//9 grundskola//NN|UTR|SIN|IND|NOM//nmod//4 eller//KN//cc//11 grundsärskola//NN|UTR|SIN|IND|NOM//conj//9 som//HP|-|-|-//amod//2 ,//MID//punct//19 enligt//PP//case//17 7//RG|NOM//nummod//16 kap.//NN|AN//nmod//17 9//RG|NOM//nummod//19 a//NN|NEU|SIN|IND|NOM//case//19 §//NN|AN//obl//2 ,//MID//punct//2 även//AB//advmod//23 är//VB|PRS|AKT//cop//23 deltidselever//NN|UTR|PLU|IND|NOM//parataxis//2 i//PP//case//25 specialskolan//NN|UTR|SIN|DEF|NOM//obl//23 .//MAD//punct//2
1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap. Huvudmän och ansvarsfördelning Huvudmän inom skolväsendet;Staten//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 huvudman//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 utbildning//NN|UTR|SIN|IND|NOM//obl//2 för//PP//case//6 elever//NN|UTR|PLU|IND|NOM//nmod//4 i//PP//case//8 specialskolan//NN|UTR|SIN|DEF|NOM//obl//2 som//HP|-|-|-//nsubj//20 ,//MID//punct//16 enligt//PP//case//14 7//RG|NOM//nummod//13 kap.//NN|AN//nmod//14 9//RG|NOM//nummod//16 a//NN|NEU|SIN|IND|NOM//case//16 §//NN|AN//obl//20 ,//MID//punct//16 även//AB//advmod//20 är//VB|PRS|AKT//cop//20 deltidselever//NN|UTR|PLU|IND|NOM//acl:relcl//8 i//PP//case//22 grundskolan//NN|UTR|SIN|DEF|NOM//nmod//20 eller//KN//cc//24 grundsärskolan//NN|UTR|SIN|DEF|NOM//conj//22 .//MAD//punct//2
1 Förslag till lag om ändring i skollagen (2010:800) / 2 kap. Huvudmän och ansvarsfördelning Huvudmän inom skolväsendet;Enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 huvudmän//NN|UTR|PLU|IND|NOM//ROOT//1 för//PP//case//4 en//DT|UTR|SIN|IND//det//4 grundskola//NN|UTR|SIN|IND|NOM//nmod//1 eller//KN//cc//7 en//DT|UTR|SIN|IND//det//7 grundsärskola//NN|UTR|SIN|IND|NOM//conj//4 är//VB|PRS|AKT//cop//1 på//PP//case//11 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 sätt//NN|NEU|SIN|IND|NOM//obl//8 som//KN//mark//16 i//PP//case//15 första//RO|NOM//amod//15 stycket//NN|NEU|SIN|DEF|NOM//obl//16 huvudman//NN|UTR|SIN|IND|NOM//acl//11 för//PP//case//18 utbildningen//NN|UTR|SIN|DEF|NOM//obl//16 för//PP//case//20 elever//NN|UTR|PLU|IND|NOM//nmod//18 som//HP|-|-|-//nsubj//24 även//AB//advmod//24 är//VB|PRS|AKT//cop//24 deltidselever//NN|UTR|PLU|IND|NOM//acl:relcl//20 i//PP//case//26 specialskolan//NN|UTR|SIN|DEF|NOM//obl//24 .//MAD//punct//1
