
Våra utgångspunkter;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//1 förslag//NN|NEU|PLU|IND|NOM//nsubj//2 tar//VB|PRS|AKT//ROOT//2 sin//PS|UTR|SIN|DEF//nmod:poss//4 utgångspunkt//NN|UTR|SIN|IND|NOM//obj//2 i//PP//case//7 det//DT|NEU|SIN|DEF//det//7 faktum//NN|NEU|SIN|DEF|NOM//obl//2 att//SN//mark//13 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 sedan//AB//advmod//13 mycket//AB|POS//advmod//12 länge//AB|POS//advmod//13 funnits//VB|SUP|SFO//acl//7 –//RG|NOM//punct//17 och//KN//cc//17 alltjämt//AB//advmod//17 finns//VB|PRS|SFO//conj//2 –//PAD//punct//17 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 bindningar//NN|UTR|PLU|IND|NOM//appos//17 och//KN//cc//24 starka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 ömsesidiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 intressen//NN|NEU|PLU|IND|NOM//conj//20 mellan//PP//case//26 högskolorna//NN|UTR|PLU|DEF|NOM//nmod//24 och//KN//cc//30 de//DT|UTR/NEU|PLU|DEF//det//30 obligatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 studentsammanslutningarna//NN|UTR|PLU|DEF|NOM//conj//26 .//MAD//punct//2
Våra utgångspunkter;Studentkårerna//NN|UTR|PLU|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 självständigt//AB|POS//amod//3 bevaka//VB|INF|AKT//ROOT//3 och//KN//cc//6 kritiskt//AB|POS//advmod//6 granska//VB|INF|AKT//conj//3 utbildningen//NN|UTR|SIN|DEF|NOM//obj//6 och//KN//cc//10 därmed//AB//advmod//10 bidra//VB|INF|AKT//conj//3 till//PP//case//14 en//DT|UTR|SIN|IND//det//14 hög//JJ|POS|UTR|SIN|IND|NOM//amod//14 utbildningskvalitet//NN|UTR|SIN|IND|NOM//obl//10 .//MID//punct//3
Våra utgångspunkter;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//18 är//VB|PRS|AKT//cop//18 föreskrivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//3 i//PP//case//20 lag//NN|UTR|SIN|IND|NOM//obl//18 och//KN//cc//22 förordning//NN|UTR|SIN|IND|NOM//conj//20 och//KN//cc//27 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//27 kan//VB|PRS|AKT//aux//27 inte//AB//advmod//27 upplösas//VB|INF|SFO//conj//18 genom//PP//case//29 medlemsbeslut//NN|NEU|PLU|IND|NOM//obl//27 .//MAD//punct//18
Våra utgångspunkter;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//33 är//VB|PRS|AKT//cop//33 förvaltningsrepresentationer//NN|UTR|PLU|IND|NOM//parataxis//18 för//PP//case//36 alla//DT|UTR/NEU|PLU|IND/DEF//det//36 studenter//NN|UTR|PLU|IND|NOM//obl//33 och//KN//cc//42 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//42 är//VB|PRS|AKT//cop//42 inte//AB//advmod//41 självstyrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 föreningar//NN|UTR|PLU|IND|NOM//conj//36 .//MAD//punct//33
Våra utgångspunkter;Utifrån//PP//case//2 dessa//DT|UTR/NEU|PLU|DEF//det//2 utgångspunkter//NN|UTR|PLU|IND|NOM//obl//3 lägger//VB|PRS|AKT//ROOT//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 fram//PL//compound:prt//3 ett//DT|NEU|SIN|IND//det//7 förslag//NN|NEU|SIN|IND|NOM//obj//3 till//PP//case//10 reformerat//PC|PRF|NEU|SIN|IND|NOM//amod//10 obligatorium//NN|NEU|SIN|IND|NOM//nmod//7 .//MAD//punct//3
Våra utgångspunkter;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//13 förslag//NN|NEU|PLU|IND|NOM//nsubj//14 stärker//VB|PRS|AKT//parataxis//3 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 studenters//NN|UTR|PLU|IND|GEN//nmod:poss//17 inflytande//NN|NEU|SIN|IND|NOM//obj//14 och//KN//cc//19 rättssäkerhet//NN|UTR|SIN|IND|NOM//conj//17 och//KN//cc//21 stärker//VB|PRS|AKT//conj//14 samtidigt//AB//advmod//21 legitimiteten//NN|UTR|SIN|DEF|NOM//obj//21 hos//PP//case//25 studentkårer//NN|UTR|PLU|IND|NOM//nmod//23 ,//MID//punct//27 nationer//NN|UTR|PLU|IND|NOM//conj//25 och//KN//cc//31 de//DT|UTR/NEU|PLU|DEF//det//31 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//31 studentföreningarna//NN|UTR|PLU|DEF|NOM//conj//25 .//MAD//punct//3
Våra utgångspunkter;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//34 lägger//VB|PRS|AKT//parataxis//3 en//DT|UTR|SIN|IND//det//37 stabil//JJ|POS|UTR|SIN|IND|NOM//amod//37 grund//NN|UTR|SIN|IND|NOM//obj//34 för//PP//case//42 en//DT|UTR|SIN|IND//det//42 högkvalitativ//JJ|POS|UTR|SIN|IND|NOM//amod//42 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 utbildning//NN|UTR|SIN|IND|NOM//obl//34 .//MAD//punct//3

Våra förslag;Studentkårer//NN|UTR|PLU|IND|NOM//ROOT//0 ://MAD//punct//0
