En ny svensk tullagstiftning;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 en//DT|UTR|SIN|IND//det//6 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//6 tullagstiftning//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//8 unionen//NN|UTR|SIN|DEF|NOM//nmod//6
En ny svensk tullagstiftning;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0

Till statsrådet och chefen för Finansdepartementet;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 13//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obl//6 2014//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 chefen//NN|UTR|SIN|DEF|NOM//obj//6 för//PP//case//10 Finansdepartementet//NN|NEU|SIN|DEF|NOM//nmod//8 att//IE//mark//12 utse//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 lämna//VB|INF|AKT//acl//17 förslag//NN|NEU|SIN|IND|NOM//obj//19 till//PP//case//25 en//DT|UTR|SIN|IND//det//25 ny//JJ|POS|UTR|SIN|IND|NOM//amod//25 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//25 tullagstiftning//NN|UTR|SIN|IND|NOM//nmod//20 .//MAD//punct//6
Till statsrådet och chefen för Finansdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 förordnade//VB|PRT|AKT//ROOT//1 Ted//PM|NOM//nsubj//1 Stahl//PM|NOM//flat:name//2 att//IE//mark//7 vara//VB|INF|AKT//cop//7 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//7 utredare//NN|UTR|SIN|IND|NOM//obj//1 från//PP//case//13 och//KN//fixed//8 med//PP//fixed//8 den//DT|UTR|SIN|DEF//det//13 1//RO|NOM//nummod//13 april//NN|UTR|SIN|IND|NOM//nmod//7 2014//RG|NOM//nummod//13 .//MAD//punct//1
Till statsrådet och chefen för Finansdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//cc//8 med//PP//case//8 den//DT|UTR|SIN|DEF//det//8 16//RG|NOM//nummod//8 april//NN|UTR|SIN|IND|NOM//obl//2 2014//RG|NOM//nummod//8 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//11 Henrik//PM|NOM//appos//2 Bergfeldt//PM|NOM//flat:name//11 ,//MID//punct//14 Utrikesdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//16 Fredrik//PM|NOM//conj//11 Edholm//PM|NOM//flat:name//16 ,//MID//punct//20 Stockholms//PM|GEN//nmod:poss//20 Handelskammare//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//20 Ann-Sofie//PM|NOM//nmod//23 Falkemar//PM|NOM//conj//11 ,//MID//punct//25 Transportindustriförbundet//PM|NOM//conj//23 ,//MID//punct//27 Joachim//PM|NOM//conj//11 Glassell//PM|NOM//flat//27 ,//MID//punct//27 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//31 Handel//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//31 nationelle//JJ|POS|MAS|SIN|DEF|NOM//amod//34 chefen//NN|UTR|SIN|DEF|NOM//conj//11 för//PP//case//37 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//37 samordning//NN|UTR|SIN|IND|NOM//nmod//38 Mathias//PM|NOM//nmod:poss//44 Grönlund//PM|NOM//flat//38 ,//MID//punct//41 Tullverket//PM|NOM//conj//38 ,//MID//punct//41 numera//AB//advmod//44 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//45 Mikael//PM|NOM//obl//2 Jeppsson//PM|NOM//flat:name//45 ,//MID//punct//48 Tullverket//PM|NOM//conj//45 ,//MID//punct//51 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//51 Maria//PM|NOM//conj//45 Johem//PM|NOM//flat:name//51 ,//MID//punct//54 Kommerskollegium//PM|NOM//conj//45 ,//MID//punct//45 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//57 Linda//PM|NOM//conj//45 Lindström//PM|NOM//flat:name//57 ,//MID//punct//60 Tullverket//PM|NOM//conj//57 ,//MID//punct//45 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//63 Mikaela//PM|NOM//nmod//64 Sonnerby//PM|NOM//conj//45 ,//MID//punct//66 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//64 ,//MID//punct//64 och//KN//cc//70 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//70 Jenny//PM|NOM//conj//45 Östergren//PM|NOM//flat:name//70 ,//MID//punct//73 Tullverket//PM|NOM//conj//70 .//MAD//punct//2
Till statsrådet och chefen för Finansdepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 april//NN|UTR|SIN|IND|NOM//obl//2 2014//RG|NOM//nummod//8 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//11 Gabriela//PM|NOM//conj//2 Kalm//PM|NOM//flat:name//11 och//KN//cc//14 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//15 Mats//PM|NOM//conj//11 Barregren//PM|NOM//flat:name//15 .//MAD//punct//2
Till statsrådet och chefen för Finansdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 En//DT|UTR|SIN|IND//det//7 ny//JJ|POS|UTR|SIN|IND|NOM//amod//7 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//7 tullagstiftning//NN|UTR|SIN|IND|NOM//obj//1 (//PAD//punct//7 SOU//PM|NOM//nmod//10 2015:5//RG|NOM//appos//7 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet och chefen för Finansdepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//2 är//VB|PRS|AKT//aux//5 med//PP//case//4 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//5 avslutat//PC|PRF|NEU|SIN|IND|NOM//ROOT//5 .//MAD//punct//5
Till statsrådet och chefen för Finansdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 januari//NN|UTR|SIN|IND|NOM//obl//0 2015//RG|NOM//nummod//2
Till statsrådet och chefen för Finansdepartementet;Ted//PM|NOM//nsubj//1 Stahl//PM|NOM//ROOT//1 /Mats//RG|NOM//flat//1 Barregren//PM|NOM//nsubj:pass//2
