
En utvärdering med koppling till PBL och förslag till fortsatt arbete;Rapport//NN|UTR|SIN|IND|NOM//ROOT//0 från//PP//case//2 PBL-kommittén//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet och chefen för Miljödepartementet;I//PP//case//39 den//DT|UTR|SIN|DEF//det//39 s.k.//AB|AN//amod//39 interdepartementala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 expertgruppen//NN|UTR|SIN|DEF|NOM//obl//40 ingår//VB|PRS|AKT//parataxis//2 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//42 Elisabet//PM|NOM//nmod//75 Bodin//PM|NOM//flat//42 ,//MID//punct//42 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//46 Nils//PM|NOM//appos//42 Gunnar//PM|NOM//flat:name//46 Forsberg//PM|NOM//flat:name//46 ,//MID//punct//42 den//DT|UTR|SIN|DEF//det//52 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 Åsa//PM|NOM//appos//42 Holmgren//PM|NOM//flat:name//52 ,//MID//punct//52 den//DT|UTR|SIN|DEF//det//57 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//57 Jimmy//PM|NOM//conj//42 Järvenpää//PM|NOM//flat//57 ,//MID//punct//57 den//DT|UTR|SIN|DEF//det//62 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 Heléne//PM|NOM//conj//42 Löwung//PM|NOM//flat//62 ,//MID//punct//62 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//66 Karin//PM|NOM//appos//42 Nordström//PM|NOM//flat:name//66 ,//MID//punct//66 departementssekreteraren//NN|UTR|SIN|DEF|NOM//conj//42 Hans//PM|NOM//conj//42 Petersson//PM|NOM//flat//70 ,//MID//punct//42 departementssekreteraren//NN|UTR|SIN|DEF|NOM//conj//42 Leifh//PM|NOM//compound//75 Stenholm//PM|NOM//nsubj//40 ,//MID//punct//75 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//78 Erik//PM|NOM//appos//75 Thornström//PM|NOM//flat:name//78 och//KN//cc//82 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//82 Mats//PM|NOM//conj//75 Wiberg//PM|NOM//flat:name//82 .//MAD//punct//75
Till statsrådet och chefen för Miljödepartementet;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//86 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//87 förordnades//VB|PRT|SFO//advcl//40 den//DT|UTR|SIN|DEF//det//90 3//RO|NOM//nummod//90 mars//NN|UTR|SIN|IND|NOM//obl//87 2003//RG|NOM//nummod//90 .//MAD//punct//2
Till statsrådet och chefen för Miljödepartementet;Förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//1 Germund//PM|NOM//nsubj//4 Persson//PM|NOM//flat:name//1 har//VB|PRS|AKT//aux//4 haft//VB|SUP|AKT//ROOT//4 ett//DT|NEU|SIN|IND//det//7 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//7 förordnande//NN|NEU|SIN|IND|NOM//obj//4 som//KN//mark//9 expert//NN|UTR|SIN|IND|NOM//obl//4 fr.o.m.//AB|AN//case//13 den//DT|UTR|SIN|DEF//det//13 14//RG|NOM//nummod//13 februari//NN|UTR|SIN|IND|NOM//obl//4 2003//RG|NOM//nummod//13 t.o.m.//AB|AN//case//18 den//DT|UTR|SIN|DEF//det//18 30//RG|NOM//nummod//18 maj//NN|UTR|SIN|IND|NOM//obl//4 2003//RG|NOM//nummod//18 .//MAD//punct//4
Till statsrådet och chefen för Miljödepartementet;I//PP//case//1 sekretariatet//NN|NEU|SIN|DEF|NOM//obl//2 ingår//VB|PRS|AKT//ROOT//2 sekreteraren//NN|UTR|SIN|DEF|NOM//nmod//4 Micaela//PM|NOM//nsubj//2 Schulman//PM|NOM//flat:name//4 (//PAD//punct//2 fr.o.m.//AB|AN//case//10 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 december//NN|UTR|SIN|IND|NOM//obl//2 2002//RG|NOM//nummod//10 )//PAD//punct//2 ,//MID//punct//2 arkitekten//NN|UTR|SIN|DEF|NOM//nmod//15 Kjell//PM|NOM//nsubj//26 Sundström//PM|NOM//flat:name//15 (//PAD//punct//15 fr.o.m.//AB|AN//case//21 den//DT|UTR|SIN|DEF//det//21 12//RG|NOM//nummod//21 maj//NN|UTR|SIN|IND|NOM//appos//15 2003//RG|NOM//nummod//21 ,//MID//punct//15 har//VB|PRS|AKT//aux//26 inte//AB//advmod//26 deltagit//VB|SUP|AKT//parataxis//2 i//PP//case//28 frågor//NN|UTR|PLU|IND|NOM//obl//26 som//HP|-|-|-//nsubj:pass//30 behandlas//VB|PRS|SFO//acl:relcl//28 i//PP//case//33 detta//DT|NEU|SIN|DEF//det//33 betänkande//NN|NEU|SIN|IND|NOM//obl//30 )//PAD//punct//26 och//KN//cc//39 som//KN//case//39 huvudsekreterare//NN|UTR|SIN|IND|NOM//nmod//39 juristen//NN|UTR|SIN|DEF|NOM//nmod//39 Susanne//PM|NOM//nsubj//2 Bagge//PM|NOM//flat:name//39 (//PAD//punct//39 fr.o.m.//AB|AN//case//45 den//DT|UTR|SIN|DEF//det//45 6//RO|NOM//nummod//45 november//NN|UTR|SIN|IND|NOM//dep//39 2002//RG|NOM//nummod//45 )//PAD//punct//39 .//MAD//punct//2
Till statsrådet och chefen för Miljödepartementet;Kanslirådet//NN|NEU|SIN|DEF|NOM//nsubj//52 Paula//PM|NOM//nsubj//52 Nobis//PM|NOM//flat//50 biträder//VB|PRS|AKT//parataxis//2 sekretariatet//NN|NEU|SIN|DEF|NOM//obj//52 (//PAD//punct//53 fr.o.m.//AB|AN//case//58 den//DT|UTR|SIN|DEF//det//58 17//RG|NOM//nummod//58 januari//NN|UTR|SIN|IND|NOM//obl//63 2003//RG|NOM//nummod//58 ,//MID//punct//58 har//VB|PRS|AKT//aux//63 inte//AB//advmod//63 deltagit//VB|SUP|AKT//acl:relcl//53 i//PP//case//65 frågor//NN|UTR|PLU|IND|NOM//obl//63 som//HP|-|-|-//nsubj:pass//67 behandlas//VB|PRS|SFO//acl:relcl//65 i//PP//case//70 detta//DT|NEU|SIN|DEF//det//70 betänkande//NN|NEU|SIN|IND|NOM//obl//67 )//PAD//punct//52 .//MAD//punct//2
Till statsrådet och chefen för Miljödepartementet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 rapporten//NN|UTR|SIN|DEF|NOM//obj//3 Främjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//3 av//PP//case//8 el//KN//cc//8 producerad//PC|PRF|UTR|SIN|IND|NOM//nmod//5 från//PP//case//11 förnybara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 energikällor//NN|UTR|PLU|IND|NOM//obl//8 –//RG|NOM//punct//3 En//DT|UTR|SIN|IND//det//14 utvärdering//NN|UTR|SIN|IND|NOM//parataxis//3 med//PP//case//16 koppling//NN|UTR|SIN|IND|NOM//nmod//14 till//PP//case//18 PBL//PM|NOM//nmod//16 och//KN//cc//20 förslag//NN|NEU|SIN|IND|NOM//conj//18 till//PP//case//23 fortsatt//PC|PRF|NEU|SIN|IND|NOM//amod//23 arbete//NN|NEU|SIN|IND|NOM//nmod//20 .//MAD//punct//3
Till statsrådet och chefen för Miljödepartementet;Ett//DT|NEU|SIN|IND//det//27 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//27 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//29 har//VB|PRS|AKT//aux//29 fogats//VB|SUP|SFO//parataxis//3 till//PP//case//31 rapporten//NN|UTR|SIN|DEF|NOM//obl//29 .//MAD//punct//3
Till statsrådet och chefen för Miljödepartementet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//34 överlämnar//VB|PRS|AKT//parataxis//3 också//AB//advmod//34 denna//DT|UTR|SIN|DEF//det//37 dag//NN|UTR|SIN|IND|NOM//nmod//41 vårt//PS|NEU|SIN|DEF//nmod:poss//41 första//RO|NOM//amod//41 delbetänkande//NN|NEU|SIN|IND|NOM//amod//41 Miljöbedömningar//NN|UTR|PLU|IND|NOM//obl//42 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//34 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 planer//NN|UTR|PLU|IND|NOM//obj//42 och//KN//cc//46 program//NN|NEU|PLU|IND|NOM//conj//44 (//PAD//punct//44 SOU//PM|NOM//appos//44 2003:70//RG|NOM//conj//44 )//PAD//punct//34 .//MAD//punct//3
Till statsrådet och chefen för Miljödepartementet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//53 fortsätter//VB|PRS|AKT//parataxis//3 vårt//PS|NEU|SIN|DEF//nmod:poss//55 arbete//NN|NEU|SIN|IND|NOM//obj//53 med//PP//case//57 inriktningen//NN|UTR|SIN|DEF|NOM//obl//53 att//SN//mark//63 ytterligare//AB|KOM//advmod//60 ett//DT|NEU|SIN|IND//det//61 delbetänkande//NN|NEU|SIN|IND|NOM//nsubj:pass//63 skall//VB|PRS|AKT//aux//63 lämnas//VB|INF|SFO//ccomp//53 och//KN//cc//69 att//SN//mark//69 ett//DT|NEU|SIN|IND//det//67 slutbetänkande//NN|NEU|SIN|IND|NOM//nsubj:pass//69 skall//VB|PRS|AKT//aux//69 lämnas//VB|INF|SFO//conj//63 senast//AB|SUV//case//73 den//DT|UTR|SIN|DEF//det//73 31//RG|NOM//nummod//73 december//NN|UTR|SIN|IND|NOM//obl//69 2004//RG|NOM//nummod//73 .//MAD//punct//53
Till statsrådet och chefen för Miljödepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2003//RG|NOM//nummod//2 7.3//RG|NOM//dep//0 Region//NN|UTR|SIN|IND|NOM//nmod//8 Skånes//PM|GEN//nmod:poss//7 rapport//NN|UTR|SIN|IND|NOM//nmod//8 Styrkor//NN|UTR|PLU|IND|NOM//appos//0 och//KN//cc//10 svagheter//NN|UTR|PLU|IND|NOM//conj//8 i//PP//case//12 planerings-//NN|UTR|-|-|SMS//nmod//10 och//KN//cc//14 etableringsprocessen//NN|UTR|SIN|DEF|NOM//conj//12 för//PP//case//16 vindkraft//NN|UTR|SIN|IND|NOM//nmod//14 i//PP//case//18 7.4//RG|NOM//nmod//10 Framförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//20 synpunkter//NN|UTR|PLU|IND|NOM//obj//0 vid//PP//case//22 möten//NN|NEU|PLU|IND|NOM//obl//0 med//PP//case//0
