Till statsrådet Lena Hjelm-Wallén ;Anmälan//NN|UTR|SIN|IND|NOM//nsubj:pass//15 av//PP//case//2 partier//NN|NEU|PLU|IND|NOM//nmod//0 och//KN//cc//4 kandidater//NN|UTR|PLU|IND|NOM//conj//2 (//PAD//punct//6 SOU//PM|NOM//appos//0 2001:99//RG|NOM//nummod//6 )//PAD//punct//6 .//MAD//punct//6
Till statsrådet Lena Hjelm-Wallén ;På//PP//case//12 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//12 initiativ//NN|NEU|SIN|IND|NOM//obl//15 har//VB|PRS|AKT//aux//15 även//AB//advmod//15 getts//VB|SUP|SFO//ROOT//15 ut//PL//compound:prt//15 forskarantologin//NN|UTR|SIN|DEF|NOM//obj//15 Skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//19 valdagar//NN|UTR|PLU|IND|NOM//obj//15 och//KN//cc//21 vårval//NN|NEU|PLU|IND|NOM//conj//19 ?//MID//punct//15
Till statsrådet Lena Hjelm-Wallén ;(//PAD//punct//15 SOU//PM|NOM//appos//15 2001:65//RG|NOM//nummod//24 )//PAD//punct//15 .//MAD//punct//15
Till statsrådet Lena Hjelm-Wallén ;Helena//PM|NOM//nsubj//13 Bargholtz//PM|NOM//flat//0 ,//MID//punct//0 Anders//PM|NOM//nmod:poss//4 Björck//PM|NOM//appos//0 ,//MID//punct//4 Lotta//PM|NOM//nsubj//13 Nilsson//PM|NOM//flat:name//6 Hedström//PM|NOM//flat:name//7 och//KN//cc//10 Kenneth//PM|NOM//conj//7 Johansson//PM|NOM//flat:name//10 har//VB|PRS|AKT//aux//13 avgett//VB|SUP|AKT//ROOT//13 en//DT|UTR|SIN|IND//det//15 reservation//NN|UTR|SIN|IND|NOM//obj//13 .//MID//punct//13
Till statsrådet Lena Hjelm-Wallén ;Ett//DT|NEU|SIN|IND//det//19 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//19 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//21 har//VB|PRS|AKT//aux//21 avgetts//VB|SUP|SFO//parataxis//13 av//PP//case//23 Helena//PM|NOM//obl:agent//21 Bargholtz//PM|NOM//flat//23 ,//MID//punct//23 Anders//PM|NOM//nmod//27 Björck//PM|NOM//conj//23 och//KN//cc//29 Kenneth//PM|NOM//conj//23 Johansson//PM|NOM//flat:name//29 .//MAD//punct//13
Till statsrådet Lena Hjelm-Wallén ;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet Lena Hjelm-Wallén ;Stockholm//PM|NOM//nsubj//21 i//PP//case//2 april//NN|UTR|SIN|IND|NOM//nmod//0 2002//RG|NOM//nummod//4 3.4//RG|NOM//nmod//0 Översikt//NN|UTR|SIN|IND|NOM//obj//0 över//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 argument//NN|NEU|PLU|IND|NOM//nmod//5 som//HP|-|-|-//nsubj:pass//11 har//VB|PRS|AKT//aux//11 förts//VB|SUP|SFO//acl:relcl//8 fram//PL//advmod//11 i//PP//case//14 3.4.2//RG|NOM//obl//11 Vilka//HD|UTR/NEU|PLU|IND//det//16 konsekvenser//NN|UTR|PLU|IND|NOM//obj//11 av//PP//case//20 valdagarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//20 inbördes//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 placering//NN|UTR|SIN|IND|NOM//nmod//16 har//VB|PRS|AKT//ROOT//21 deltagarna//NN|UTR|PLU|DEF|NOM//nsubj//21 i//PP//case//24 valdagsdebatten//NN|UTR|SIN|DEF|NOM//nmod//25 4.2//RG|NOM//obl//21 Kort//AB//case//28 om//PP//fixed//26 författningsregleringen//NN|UTR|SIN|DEF|NOM//obl//21 av//PP//case//30 statsbudgeten//NN|UTR|SIN|DEF|NOM//nmod//28 och//KN//cc//32 4.4//RG|NOM//conj//30 Översikt//NN|UTR|SIN|IND|NOM//nmod//28 över//PP//case//36 de//DT|UTR/NEU|PLU|DEF//det//36 argument//NN|NEU|PLU|IND|NOM//nmod//28 som//HP|-|-|-//nsubj:pass//39 har//VB|PRS|AKT//aux//39 förts//VB|SUP|SFO//acl:relcl//36 fram//PL//advmod//39 i//PP//obl//39


1.1 Uppdraget;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//2 ursprungliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 direktiv//NN|NEU|PLU|IND|NOM//nsubj:pass//3 beslutades//VB|PRT|SFO//ROOT//3 av//PP//case//5 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//3 den//DT|UTR|SIN|DEF//det//8 2//RO|NOM//nummod//8 september//NN|UTR|SIN|IND|NOM//obl//3 1999//RG|NOM//nummod//8 .//MAD//punct//3
