Förslag för ett långsiktigt arbete för en god och jämlik hälsa;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Kommissionen//NN|UTR|SIN|DEF|NOM//nmod//0 för//PP//case//5 jämlik//JJ|POS|UTR|SIN|IND|NOM//amod//5 hälsa//NN|UTR|SIN|IND|NOM//nmod//2
Förslag för ett långsiktigt arbete för en god och jämlik hälsa;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Gabriel Wikström;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 vid//PP//case//3 sammanträde//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//6 4//RO|NOM//nummod//6 juni//NN|UTR|SIN|IND|NOM//obl//1 2015//RG|NOM//nummod//6 att//IE//mark//9 tillsätta//VB|INF|AKT//acl//6 en//DT|UTR|SIN|IND//det//11 kommitté//NN|UTR|SIN|IND|NOM//obj//9 –//RG|NOM//punct//14 en//DT|UTR|SIN|IND//det//14 kommission//NN|UTR|SIN|IND|NOM//conj//11 för//PP//case//17 jämlik//JJ|POS|UTR|SIN|IND|NOM//amod//17 hälsa//NN|UTR|SIN|IND|NOM//nmod//14 –//RG|NOM//punct//20 med//PP//case//20 uppdrag//NN|NEU|SIN|IND|NOM//appos//6 att//IE//mark//22 lämna//VB|INF|AKT//acl//20 förslag//NN|NEU|SIN|IND|NOM//obj//22 som//HP|-|-|-//nsubj//26 kan//VB|PRS|AKT//aux//26 bidra//VB|INF|AKT//acl:relcl//23 till//PP//mark//30 att//SN//mark//30 hälsoklyftorna//NN|UTR|PLU|DEF|NOM//nsubj//30 minskar//VB|PRS|AKT//advcl//26 .//MAD//punct//1
Till statsrådet Gabriel Wikström;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//35 ska//VB|PRS|AKT//aux//35 även//AB//advmod//35 föra//VB|INF|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//38 bred//JJ|POS|UTR|SIN|IND|NOM//amod//38 dialog//NN|UTR|SIN|IND|NOM//obj//35 med//PP//case//41 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 aktörer//NN|UTR|PLU|IND|NOM//obl//35 om//PP//case//44 jämlik//JJ|POS|UTR|SIN|IND|NOM//amod//44 hälsa//NN|UTR|SIN|IND|NOM//nmod//41 (//PAD//punct//41 dir//NN|AN//appos//41 .//MAD//punct//35
Till statsrådet Gabriel Wikström;2015:60//RG|NOM//punct//1 och//KN//cc//50 dir//NN|AN//conj//48 .//MAD//punct//1
Till statsrådet Gabriel Wikström;2017:17//RG|NOM//punct//1 )//PAD//punct//60 .//MAD//punct//60
Till statsrådet Gabriel Wikström;Till//PP//case//59 grund//NN|UTR|SIN|IND|NOM//fixed//55 för//PP//fixed//55 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//59 uppdrag//NN|NEU|SIN|IND|NOM//obl//60 ligger//VB|PRS|AKT//conj//1 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//62 mål//NN|NEU|SIN|IND|NOM//obj//60 om//PP//mark//69 att//SN//mark//69 de//DT|UTR/NEU|PLU|DEF//det//67 påverkbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 hälsoklyftorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//69 ska//VB|PRS|AKT//aux//69 slutas//VB|INF|SFO//advcl//60 inom//PP//case//72 en//DT|UTR|SIN|IND//det//72 generation//NN|UTR|SIN|IND|NOM//obl//69 .//MAD//punct//60
Till statsrådet Gabriel Wikström;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//76 har//VB|PRS|AKT//aux//76 antagit//VB|SUP|AKT//parataxis//60 namnet//NN|NEU|SIN|DEF|NOM//nmod//78 Kommissionen//NN|UTR|SIN|DEF|NOM//obj//76 för//PP//case//81 jämlik//JJ|POS|UTR|SIN|IND|NOM//amod//81 hälsa//NN|UTR|SIN|IND|NOM//nmod//78 .//MAD//punct//1
Till statsrådet Gabriel Wikström;I//PP//case//1 augusti//NN|UTR|SIN|IND|NOM//obl//2 2016//RG|NOM//obl//3 överlämnade//VB|PRT|AKT//ROOT//3 Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//3 sitt//PS|NEU|SIN|DEF//nmod:poss//7 första//RO|NOM//amod//7 delbetänkande//NN|NEU|SIN|IND|NOM//obj//3 Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//9 handlar//VB|PRS|AKT//acl:relcl//7 om//PP//case//12 jämlik//JJ|POS|UTR|SIN|IND|NOM//amod//12 hälsa//NN|UTR|SIN|IND|NOM//obl//9 –//RG|NOM//punct//14 Utgångspunkter//NN|UTR|PLU|IND|NOM//obl//3 för//PP//case//16 Kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 vidare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 arbete//NN|NEU|SIN|IND|NOM//nmod//14  //_SP////18 (//PAD//punct//14 SOU//PM|NOM//appos//14 2016:55//RG|NOM//nmod//21 )//PAD//punct//21 .//MAD//punct//14
Till statsrådet Gabriel Wikström;I//PP//case//26 januari//NN|UTR|SIN|IND|NOM//obl//28 2017//RG|NOM//nummod//26 överlämnades//VB|PRT|SFO//conj//3 det//DT|NEU|SIN|DEF//det//31 andra//RO|NOM//amod//31 delbetänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//28 För//PP//case//37 en//DT|UTR|SIN|IND//det//37 god//JJ|POS|UTR|SIN|IND|NOM//amod//37 och//KN//cc//36 jämlik//JJ|POS|UTR|SIN|IND|NOM//conj//34 hälsa//NN|UTR|SIN|IND|NOM//obl//28 –//RG|NOM//punct//40 En//DT|UTR|SIN|IND//det//40 utveckling//NN|UTR|SIN|IND|NOM//appos//37 av//PP//case//44 det//DT|NEU|SIN|DEF//det//44 folkhälsopolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 ramverket//NN|NEU|SIN|DEF|NOM//nmod//40  //_SP////44 (//PAD//punct//40 SOU//PM|NOM//nmod//40 2017:4//RG|NOM//nummod//47 )//PAD//punct//40 .//MAD//punct//28
