Effektivare energianvändning;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 energisparlån//NN|NEU|SIN|IND|NOM//nmod//2
Effektivare energianvändning;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Peter Eriksson;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 14//RG|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2016//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//14 för//PP//mark//18 att//IE//mark//18 införa//VB|INF|AKT//advcl//14 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 energisparlån//NN|NEU|PLU|IND|NOM//obj//18 i//PP//case//22 Sverige//PM|NOM//obl//18 i//PP//case//24 syfte//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//26 få//VB|INF|AKT//advcl//18 till//PP//compound:prt//26 stånd//NN|NEU|SIN|IND|NOM//fixed//27 en//DT|UTR|SIN|IND//det//31 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//31 energieffektivisering//NN|UTR|SIN|IND|NOM//obj//26 i//PP//case//33 bebyggelsen//NN|UTR|SIN|DEF|NOM//nmod//31 (//PAD//punct//33 Dir//NN|AN//obl//26 .//MAD//punct//1
Till statsrådet Peter Eriksson;2016:68//RG|NOM//advmod//1 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet Peter Eriksson;Den//DT|UTR|SIN|DEF//det//42 3//RO|NOM//nummod//42 augusti//NN|UTR|SIN|IND|NOM//obl//44 2017//RG|NOM//nummod//42 fick//VB|PRT|AKT//parataxis//1 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//44 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//xcomp//44 om//PP//case//49 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//49 tid//NN|UTR|SIN|IND|NOM//nmod//46 för//PP//case//51 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//49 (//PAD//punct//49 Dir//NN|AN//obj//44 .//MAD//punct//44
Till statsrådet Peter Eriksson;2017:89//RG|NOM//obj//1 )//PAD//punct//55 .//MAD//punct//1
Till statsrådet Peter Eriksson;Dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 länsöverdirektören//NN|UTR|SIN|DEF|NOM//appos//1 ,//MID//punct//59 numera//AB//advmod//63 landshövdingen//NN|UTR|SIN|DEF|NOM//nmod//63 Göran//PM|NOM//nsubj:pass//65 Enander//PM|NOM//flat:name//63 förordnades//VB|PRT|SFO//conj//1 den//DT|UTR|SIN|DEF//det//67 1//RO|NOM//nummod//68 augusti//NN|UTR|SIN|IND|NOM//obl//65 2016//RG|NOM//nummod//68 till//PP//case//72 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//72 utredare//NN|UTR|SIN|IND|NOM//obl//65 .//MAD//punct//65
Till statsrådet Peter Eriksson;Som//KN//case//75 sekreterare//NN|UTR|SIN|IND|NOM//obl//78 i//PP//case//77 utredningen//NN|UTR|SIN|DEF|NOM//nmod//75 anställdes//VB|PRT|SFO//conj//65 direktören//NN|UTR|SIN|DEF|NOM//nmod//80 Bengt//PM|NOM//nsubj:pass//78 Nyman//PM|NOM//flat:name//80 fr.o.m.//AB|AN//case//85 den//DT|UTR|SIN|DEF//det//84 15//RG|NOM//nummod//85 augusti//NN|UTR|SIN|IND|NOM//obl//78 och//KN//cc//88 utvecklingsledaren//NN|UTR|SIN|DEF|NOM//nmod//88 Rolf//PM|NOM//conj//78 Westerlund//PM|NOM//flat:name//88 fr.o.m.//AB|AN//case//93 den//DT|UTR|SIN|DEF//det//93 1//RO|NOM//nummod//93 oktober//NN|UTR|SIN|IND|NOM//obl//78 2016//RG|NOM//nummod//93 samt//KN//cc//97 juristen//NN|UTR|SIN|DEF|NOM//nmod//97 Ingrid//PM|NOM//conj//78 Birgersson//PM|NOM//flat:name//97 fr.o.m.//AB|AN//case//102 den//DT|UTR|SIN|DEF//det//102 12//RG|NOM//nummod//102 juni//NN|UTR|SIN|IND|NOM//obl//78 2017//RG|NOM//nummod//102 .//MAD//punct//65
Till statsrådet Peter Eriksson;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//107 har//VB|PRS|AKT//aux//107 antagit//VB|SUP|AKT//conj//65 namnet//NN|NEU|SIN|DEF|NOM//nmod//109 Utredningen//NN|UTR|SIN|DEF|NOM//obj//107 om//PP//case//111 energisparlån//NN|NEU|SIN|IND|NOM//nmod//109 .//MAD//punct//1
Till statsrådet Peter Eriksson;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnade//VB|PRT|AKT//ROOT//4 bostads-//NN|UTR|-|-|SMS//obj//4 och//KN//cc//7 digitaliseringsministern//NN|UTR|SIN|DEF|NOM//conj//5 den//DT|UTR|SIN|DEF//det//10 6//RO|NOM//nummod//10 oktober//NN|UTR|SIN|IND|NOM//obl//4 2016//RG|NOM//nummod//10 den//DT|UTR|SIN|DEF//det//14 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//14 Roger//PM|NOM//obl//4 Eriksson//PM|NOM//flat//14 ,//MID//punct//14 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//18 Therése//PM|NOM//appos//14 Karlsson//PM|NOM//flat:name//18 och//KN//cc//21 seniorrådgivaren//NN|UTR|SIN|DEF|NOM//nmod//22 Anette//PM|NOM//conj//14 Nyström-Persson//PM|NOM//flat:name//22 .//MAD//punct//4
