Organisering av framtidens e-förvaltning ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 E-delegationen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Anna-Karin Hatt;Anna//PM|NOM//ROOT//0 Pegelow//PM|NOM//flat:name//0
Till statsrådet Anna-Karin Hatt;Odd//PM|NOM//ROOT//0 Sivertzen//PM|NOM//flat:name//0
Till statsrådet Anna-Karin Hatt;Jan//PM|NOM//ROOT//0 Sjösten//PM|NOM//flat:name//0
Till statsrådet Anna-Karin Hatt;Lena//PM|NOM//ROOT//0 Olofsson//PM|NOM//flat:name//0 Warstrand//PM|NOM//flat//0


1 Uppdraget;Vid//PP//case//1 regeringssammanträdet//NN|NEU|SIN|DEF|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 26//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//nmod//1 2009//RG|NOM//nummod//4 beslutade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 att//IE//mark//9 tillkalla//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//11 delegation//NN|UTR|SIN|IND|NOM//obj//9 med//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//9 att//IE//mark//15 samordna//VB|INF|AKT//acl//13 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//18 it-baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 utvecklingsprojekt//NN|NEU|PLU|IND|NOM//obj//15 och//KN//cc//20 skapa//VB|INF|AKT//conj//15 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 möjligheter//NN|UTR|PLU|IND|NOM//obj//20 för//PP//case//25 myndighetsövergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 samordning//NN|UTR|SIN|IND|NOM//nmod//22 .//MAD//punct//6
1 Uppdraget;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//29 framgår//VB|PRS|AKT//parataxis//6 av//PP//case//31 kommittédirektivet//NN|NEU|SIN|DEF|NOM//obl//29 (//PAD//punct//31 dir//NN|AN//appos//31 .//MAD//punct//31
1 Uppdraget;2009:19//RG|NOM//conj//29 )//PAD//punct//35 .//MAD//punct//6
1 Uppdraget;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//39 antog//VB|PRT|AKT//parataxis//6 namnet//NN|NEU|SIN|DEF|NOM//iobj//39 E-delegationen//NN|UTR|SIN|DEF|NOM//obj//39 .//MAD//punct//39
1 Uppdraget;En//DT|UTR|SIN|IND//det//44 sammanställning//NN|UTR|SIN|IND|NOM//nsubj//56 över//PP//case//47 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//47 ledamöter//NN|UTR|PLU|IND|NOM//nmod//44 ,//MID//punct//49 arbetsgrupp//NN|UTR|SIN|IND|NOM//conj//47 ,//MID//punct//51 expertgrupper//NN|UTR|PLU|IND|NOM//conj//47 ,//MID//punct//53 referensgrupp//NN|UTR|SIN|IND|NOM//conj//47 samt//KN//cc//55 sekretariat//NN|NEU|PLU|IND|NOM//conj//47 finns//VB|PRS|SFO//conj//39 på//PP//case//59 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//59 webbplats//NN|UTR|SIN|IND|NOM//obl//56 .//MAD//punct//56
1 Uppdraget;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//62 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//63 sträcker//VB|PRS|AKT//conj//56 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//63 över//PP//case//68 en//DT|UTR|SIN|IND//det//68 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 tid//NN|UTR|SIN|IND|NOM//obl//63 och//KN//cc//71 ska//VB|PRS|AKT//aux//71 slutredovisas//VB|INF|SFO//conj//63 den//DT|UTR|SIN|DEF//det//74 31//RG|NOM//nummod//74 december//NN|UTR|SIN|IND|NOM//obl//71 2014//RG|NOM//nummod//74 .//MAD//punct//39
