Organisering av framtidens e-förvaltning ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 E-delegationen//NN|UTR|SIN|DEF|NOM//nmod//0
4.2.2 Arbetsgivarkollegiemodellen;E-delegationen//NN|UTR|SIN|DEF|NOM//nsubj//23 behandlar//VB|PRS|AKT//parataxis//4 tillsvidare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//23 det//DT|NEU|SIN|DEF//det//27 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 alternativet//NN|NEU|SIN|DEF|NOM//obj//23 nämligen//AB//advmod//23 en//DT|UTR|SIN|IND//det//30 medlemsorganisation//NN|UTR|SIN|IND|NOM//obj//23 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 Arbetsgivarkollegiet//PM|NOM//obl//23 ,//MID//punct//32 en//DT|UTR|SIN|IND//det//35 kollegiemodell//NN|UTR|SIN|IND|NOM//conj//23 .//MAD//punct//4
4.2.2 Arbetsgivarkollegiemodellen;Arbetsgivarverket//PM|NOM//nsubj:pass//38 styrs//VB|PRS|SFO//parataxis//4 av//PP//case//41 ett//DT|NEU|SIN|IND//det//41 kollegium//NN|NEU|SIN|IND|NOM//obl:agent//38 som//HP|-|-|-//nsubj//43 har//VB|PRS|AKT//acl:relcl//41 alla//DT|UTR/NEU|PLU|IND/DEF//det//46 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 myndigheter//NN|UTR|PLU|IND|NOM//obj//43 som//KN//mark//48 medlemmar//NN|UTR|PLU|IND|NOM//obl//43 ,//MID//punct//51 ett//DT|NEU|SIN|IND//det//51 kollegium//NN|NEU|SIN|IND|NOM//appos//41 som//HP|-|-|-//nsubj//54 också//AB//advmod//54 utser//VB|PRS|AKT//acl:relcl//51 verkets//NN|NEU|SIN|DEF|GEN//nmod:poss//56 styrelse//NN|UTR|SIN|IND|NOM//obj//54 .//MAD//punct//38
4.2.2 Arbetsgivarkollegiemodellen;Myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//61 är//VB|PRS|AKT//cop//61 obligatoriskt//AB|POS//advmod//61 anslutna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//38 och//KN//cc//63 skälet//NN|NEU|SIN|DEF|NOM//conj//61 är//VB|PRS|AKT//conj//38 att//SN//mark//70 alla//DT|UTR/NEU|PLU|IND/DEF//det//67 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//70 ska//VB|PRS|AKT//aux//70 vara//VB|INF|AKT//cop//70 representerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//38 i//PP//case//74 samband//NN|NEU|SIN|IND|NOM//fixed//71 med//PP//case//74 förhandlingar//NN|UTR|PLU|IND|NOM//obl//70 om//PP//case//76 kollektivavtal//NN|NEU|SIN|IND|NOM//nmod//74 på//PP//case//78 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//76 .//MAD//punct//38
4.2.2 Arbetsgivarkollegiemodellen;Kollegieformen//NN|UTR|SIN|DEF|NOM//nsubj//82 skulle//VB|PRT|AKT//aux//82 göra//VB|INF|AKT//conj//38 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//82 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//82 att//IE//mark//86 skala//VB|INF|AKT//advcl//82 upp//PL//advmod//86 det//DT|NEU|SIN|DEF//obj//86 påbörjade//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//38 arbetet//NN|NEU|SIN|DEF|NOM//obj//89 inom//PP//case//92 E-delegationen//NN|UTR|SIN|DEF|NOM//obl//89 till//PP//case//96 alla//DT|UTR/NEU|PLU|IND/DEF//det//96 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 myndigheter//NN|UTR|PLU|IND|NOM//obl//89 och//KN//cc//99 samtidigt//AB//advmod//99 göra//VB|INF|AKT//conj//38 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//99 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//99 med//PP//case//105 ett//DT|NEU|SIN|IND//det//105 strukturerat//PC|PRF|NEU|SIN|IND|NOM//amod//105 inflytande//NN|NEU|SIN|IND|NOM//obl//99 för//PP//case//107 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//105 .//MAD//punct//38
4.2.2 Arbetsgivarkollegiemodellen;Samordning//NN|UTR|SIN|IND|NOM//nsubj//3 av//PP//case//2 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//0 skiljer//VB|PRS|AKT//ROOT//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//3 från//PP//case//6 arbetsgivarpolitik//NN|UTR|SIN|IND|NOM//obl//3 och//KN//cc//8 innebär//VB|PRS|AKT//conj//3 också//AB//advmod//8 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 relationer//NN|UTR|PLU|IND|NOM//obj//8 till//PP//case//13 regeringen//NN|UTR|SIN|DEF|NOM//nmod//11 –//RO|NOM//punct//20 verket//NN|NEU|SIN|DEF|NOM//nsubj//20 ska//VB|PRS|AKT//aux//20 som//KN//case//18 förhandlingsorgan//NN|UTR|SIN|DEF|NOM//obl//20 vara//VB|INF|AKT//cop//20 självständigt//JJ|POS|NEU|SIN|IND|NOM//advmod//8 i//PP//case//24 förhållande//NN|NEU|SIN|IND|NOM//fixed//21 till//PP//fixed//21 regeringen//NN|UTR|SIN|DEF|NOM//obl//20 .//MID//punct//3
4.2.2 Arbetsgivarkollegiemodellen;Om//SN//mark//30 den//DT|UTR|SIN|DEF//det//29 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 funktionen//NN|UTR|SIN|DEF|NOM//nsubj:pass//30 läggs//VB|PRS|SFO//advcl//42 in//PL//compound:prt//30 i//PP//case//33 Arbetsgivarverket//PM|NOM//obl//30 som//KN//mark//36 en//DT|UTR|SIN|IND//det//36 utvidgning//NN|UTR|SIN|IND|NOM//xcomp//30 av//PP//case//40 verkets//NN|NEU|SIN|DEF|GEN//nmod:poss//40 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 uppgift//NN|UTR|SIN|IND|NOM//nmod//36 ,//MID//punct//42 blir//VB|PRS|AKT//parataxis//3 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//42 därför//AB//advmod//45 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//42 att//IE//mark//50 så//AB//advmod//48 långt//AB|POS//advmod//49 möjligt//JJ|POS|NEU|SIN|IND|NOM//obl//50 skilja//VB|INF|AKT//acl//45 verksamheterna//NN|UTR|PLU|DEF|NOM//obj//50 från//PP//case//53 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//50 .//MAD//punct//3
4.2.2 Arbetsgivarkollegiemodellen;Detta//DT|NEU|SIN|DEF//det//56 problem//NN|NEU|SIN|IND|NOM//nsubj:pass//57 bortfaller//VB|PRS|AKT//parataxis//3 vid//PP//case//59 förslaget//NN|NEU|SIN|DEF|NOM//obl//57 om//PP//mark//64 att//IE//mark//64 i//PP//advmod//64 stället//NN|NEU|SIN|DEF|NOM//fixed//62 använda//VB|INF|AKT//acl//59 Arbetsgivarverket//PM|NOM//obj//64 som//KN//mark//67 modell//NN|UTR|SIN|IND|NOM//xcomp//64 för//PP//case//71 en//DT|UTR|SIN|IND//det//71 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 organisation//NN|UTR|SIN|IND|NOM//obl//64
4.2.2 Arbetsgivarkollegiemodellen;Arbetsgivarverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 finansiering//NN|UTR|SIN|IND|NOM//nsubj//2 sker//VB|PRS|AKT//ROOT//2 genom//PP//case//4 medlemsavgifter//NN|UTR|PLU|IND|NOM//obl//2 från//PP//case//6 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//4 på//PP//case//8 basis//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//11 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//11 bruttolönekostnad//NN|UTR|SIN|IND|NOM//nmod//8 .//MAD//punct//2
4.2.2 Arbetsgivarkollegiemodellen;Avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//compound//14 Arbetsgivarverket//PM|NOM//conj//2 som//KN//nsubj:pass//22 modell//NN|UTR|SIN|IND|NOM//advmod//22 skulle//VB|PRT|AKT//aux//22 en//DT|UTR|SIN|IND//det//20 annan//JJ|POS|UTR|SIN|IND|NOM//amod//20 bas//NN|UTR|SIN|IND|NOM//nsubj:pass//22 behöva//VB|INF|AKT//aux//22 väljas//VB|INF|SFO//acl:relcl//14 ,//MID//punct//26 till//PP//advmod//26 exempel//NN|NEU|SIN|IND|NOM//fixed//24 it-kostnaderna//NN|UTR|PLU|DEF|NOM//obl//22 ,//MID//punct//30 när//HA//mark//30 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 gäller//VB|PRS|AKT//advcl//22 e-förvaltningsfunktionen//NN|UTR|SIN|DEF|NOM//obj//30 .//MAD//punct//14
4.2.2 Arbetsgivarkollegiemodellen;Därtill//AB//advmod//34 uppkommer//VB|PRS|AKT//conj//2 behov//NN|NEU|SIN|IND|NOM//obj//34 av//PP//mark//38 att//IE//mark//38 finansiera//VB|INF|AKT//acl//35 till//PP//advmod//38 exempel//NN|NEU|SIN|IND|NOM//fixed//39 projekt//NN|NEU|PLU|IND|NOM//obj//38 genom//PP//case//43 anslag//NN|NEU|PLU|IND|NOM//obl//38 från//PP//case//45 regeringen//NN|UTR|SIN|DEF|NOM//nmod//43 ,//MID//punct//48 en//DT|UTR|SIN|IND//det//48 möjlighet//NN|UTR|SIN|IND|NOM//conj//34 som//HP|-|-|-//nsubj:pass//52 normalt//AB|POS//advmod//52 inte//AB//advmod//52 utnyttjas//VB|INF|SFO//acl:relcl//48 av//PP//case//54 Arbetsgivarverket//PM|NOM//obl:agent//52 .//MAD//punct//2


4.3.1 Begränsning eller expansion;En//DT|UTR|SIN|IND//det//1 del//NN|UTR|SIN|IND|NOM//nsubj:pass//76 av//PP//case//4 de//DT|UTR/NEU|PLU|DEF//det//4 framgångar//NN|UTR|PLU|IND|NOM//nmod//1 E-delegationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 har//VB|PRS|AKT//aux//9 haft//VB|SUP|AKT//aux//9 kan//VB|PRS|AKT//aux//9 hänföras//VB|INF|SFO//acl:relcl//1 till//PP//mark//13 att//SN//mark//13 man//PN|UTR|SIN|IND|SUB//nsubj//13 valde//VB|PRT|AKT//advcl//9 en//DT|UTR|SIN|IND//det//15 modell//NN|UTR|SIN|IND|NOM//obj//13 med//PP//mark//17 få//JJ|POS|UTR/NEU|PLU|IND|NOM//advcl//13 myndighetschefer//NN|UTR|PLU|IND|NOM//obj//17 och//KN//cc//20 myndigheter//NN|UTR|PLU|IND|NOM//conj//18 med//PP//case//23 störst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//23 beröring//NN|UTR|SIN|IND|NOM//nmod//20 till//PP//case//26 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 e-förvaltningsfrågor//NN|UTR|PLU|IND|NOM//nmod//23 istället//AB//advmod//17 för//PP//mark//33 att//IE//mark//33 redan//AB//advmod//32 från//PP//case//32 början//NN|UTR|SIN|DEF|NOM//obl//33 arbeta//VB|INF|AKT//advcl//17 med//PP//case//35 samordning//NN|UTR|SIN|IND|NOM//obl//33 av//PP//case//39 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//39 tjänster//NN|UTR|PLU|IND|NOM//nmod//35 .//MAD//punct//1
4.3.1 Begränsning eller expansion;Fördelen//NN|UTR|SIN|DEF|NOM//appos//1 är//VB|PRS|AKT//cop//41 att//SN//mark//45 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//45 fokuserats//VB|SUP|SFO//csubj//1 och//KN//cc//51 att//SN//mark//51 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//51 lättare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//51 kunnat//VB|SUP|AKT//aux//51 uppstå//VB|INF|AKT//conj//1 fungerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 nätverk//NN|NEU|PLU|IND|NOM//obj//51 .//MAD//punct//1
4.3.1 Begränsning eller expansion;Nackdelen//NN|UTR|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//1 att//SN//mark//61 organisationsformen//NN|UTR|SIN|DEF|NOM//nsubj//61 kan//VB|PRS|AKT//aux//61 låsa//VB|INF|AKT//csubj//1 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//61 och//KN//cc//64 kräva//VB|INF|AKT//conj//61 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 förändringar//NN|UTR|PLU|IND|NOM//obj//64 för//PP//mark//69 att//IE//mark//69 möjliggöra//VB|INF|AKT//advcl//64 uppskalning//NN|UTR|SIN|IND|NOM//obj//69 .//MAD//punct//1
4.3.1 Begränsning eller expansion;De//DT|UTR/NEU|PLU|DEF//det//74 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 relationerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//76 måste//VB|PRS|AKT//aux//76 ersättas//VB|INF|SFO//ROOT//76 av//PP//case//80 mer//AB|KOM//advmod//79 opersonliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 former//NN|UTR|PLU|IND|NOM//obl:agent//76 .//MAD//punct//76
4.3.1 Begränsning eller expansion;Frågan//NN|UTR|SIN|DEF|NOM//parataxis//76 om//PP//mark//115 hur//HA//advmod//115 E-delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//86 verksamhet//NN|UTR|SIN|IND|NOM//nsubj//115 och//KN//cc//92 framför//PP//case//92 allt//PN|NEU|SIN|IND|SUB/OBJ//fixed//88 den//DT|UTR|SIN|DEF//det//92 uppbyggda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//92 kompetensen//NN|UTR|SIN|DEF|NOM//conj//86 och//KN//cc//97 erfarenheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//97 ska//VB|PRS|AKT//aux//97 kunna//VB|INF|AKT//aux//97 föras//VB|INF|SFO//conj//86 över//PL//compound:prt//97 i//PP//case//101 en//DT|UTR|SIN|IND//det//101 organisationsform//NN|UTR|SIN|IND|NOM//obl//97 som//HP|-|-|-//nsubj//103 möjliggör//VB|PRS|AKT//acl:relcl//101 expansion//NN|UTR|SIN|IND|NOM//obj//103 till//PP//case//111 i//PP//case//111 första//RO|NOM//fixed//106 hand//NN|UTR|SIN|IND|NOM//fixed//106 alla//DT|UTR/NEU|PLU|IND/DEF//det//111 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//111 myndigheter//NN|UTR|PLU|IND|NOM//obl//103 är//VB|PRS|AKT//cop//115 en//DT|UTR|SIN|IND//det//115 angelägen//JJ|POS|UTR|SIN|IND|NOM//amod//115 organisationsproblematik//NN|UTR|SIN|IND|NOM//acl//82 som//HP|-|-|-//nsubj//118 behöver//VB|PRS|AKT//aux//118 finna//VB|INF|AKT//acl:relcl//115 en//DT|UTR|SIN|IND//det//120 lösning//NN|UTR|SIN|IND|NOM//obj//118 .//MAD//punct//76
4.3.1 Begränsning eller expansion;En//DT|UTR|SIN|IND//det//1 strategi//NN|UTR|SIN|IND|NOM//nsubj//5 kan//VB|PRS|AKT//aux//5 vara//VB|INF|AKT//cop//5 att//IE//mark//5 fortsätta//VB|INF|AKT//ROOT//5 att//IE//mark//7 arbeta//VB|INF|AKT//xcomp//5 i//PP//case//11 en//DT|UTR|SIN|IND//det//11 liten//JJ|POS|UTR|SIN|IND|NOM//amod//11 skala//NN|UTR|SIN|IND|NOM//obl//7 så//AB//mark//15 länge//AB|POS//fixed//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 fungerar//VB|PRS|AKT//advcl//5 bra//AB|POS//advmod//15 och//KN//cc//19 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 system//NN|NEU|PLU|IND|NOM//conj//16 utvecklas//VB|PRS|SFO//xcomp//15 ,//MID//punct//5 och//KN//cc//29 först//AB//advmod//29 när//HA//mark//29 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//29 är//VB|PRS|AKT//cop//29 alldeles//AB//advmod//28 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//advmod//29 övergå//VB|INF|AKT//conj//5 till//PP//case//32 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 omfattning//NN|UTR|SIN|IND|NOM//obl//29 .//MAD//punct//5
4.3.1 Begränsning eller expansion;Svårigheten//NN|UTR|SIN|DEF|NOM//parataxis//5 är//VB|PRS|AKT//cop//37 att//IE//mark//37 bedöma//VB|INF|AKT//advcl//5 när//HA//mark//41 denna//DT|UTR|SIN|DEF//det//40 nödvändighet//NN|UTR|SIN|IND|NOM//nsubj//41 inträder//VB|PRS|AKT//advcl//37 .//MAD//punct//5
4.3.1 Begränsning eller expansion;Förmodligen//AB//advmod//48 kan//VB|PRS|AKT//aux//48 E-delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//47 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 form//NN|UTR|SIN|IND|NOM//nsubj//48 hålla//VB|INF|AKT//parataxis//5 för//PP//case//51 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 anslutning//NN|UTR|SIN|IND|NOM//obl//48 av//PP//case//55 ett//DT|NEU|SIN|IND//det//54 antal//NN|NEU|SIN|IND|NOM//nmod//55 myndigheter//NN|UTR|PLU|IND|NOM//nmod//51 ,//MID//punct//48 förmodligen//AB//advmod//60 dock//AB//advmod//60 högst//AB|SUV//advmod//60 tio//RG|NOM//conj//48 ,//MID//punct//66 innan//SN//mark//66 de//DT|UTR/NEU|PLU|DEF//det//65 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 beslutsformerna//NN|UTR|PLU|DEF|NOM//nsubj//66 blir//VB|PRS|AKT//advcl//48 för//AB//case//68 oöverskådliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//66 och//KN//cc//70 tungrodda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//68 .//MAD//punct//48
4.3.1 Begränsning eller expansion;En//DT|UTR|SIN|IND//det//1 expansion//NN|UTR|SIN|IND|NOM//nsubj//11 av//PP//case//3 samordningen//NN|UTR|SIN|DEF|NOM//nmod//1 som//HP|-|-|-//nsubj//5 omfattar//VB|PRS|AKT//acl:relcl//3 åtminstone//AB//advmod//5 alla//DT|UTR/NEU|PLU|IND/DEF//det//9 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 myndigheter//NN|UTR|PLU|IND|NOM//obj//5 ,//MID//punct//1 kräver//VB|PRS|AKT//ROOT//11 en//DT|UTR|SIN|IND//det//15 helt//AB|POS//advmod//14 annan//JJ|POS|UTR|SIN|IND|NOM//amod//15 organisation//NN|UTR|SIN|IND|NOM//obj//11 än//KN//mark//17 E-delegationen//NN|UTR|SIN|DEF|NOM//acl//15 .//MAD//punct//11
4.3.1 Begränsning eller expansion;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//23 är//VB|PRS|AKT//cop//23 i//PP//case//23 detta//DT|NEU|SIN|DEF//det//23 sammanhang//NN|NEU|SIN|IND|NOM//parataxis//11 som//HP|-|-|-//obl//26 kollegiemodellen//NN|UTR|SIN|DEF|NOM//nsubj//26 har//VB|PRS|AKT//acl:relcl//23 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//29 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 förtjänster//NN|UTR|PLU|IND|NOM//obj//26 .//MAD//punct//23
4.3.1 Begränsning eller expansion;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//32 ger//VB|PRS|AKT//parataxis//23 exempel//NN|NEU|PLU|IND|NOM//obj//32 på//PP//case//36 ett//DT|NEU|SIN|IND//det//36 beslutssystem//NN|NEU|SIN|IND|NOM//obl//32 som//HP|-|-|-//nsubj//39 både//KN//cc//39 innebär//VB|PRS|AKT//acl:relcl//36 att//SN//mark//43 alla//DT|UTR/NEU|PLU|IND/DEF//det//42 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//43 utgör//VB|PRS|AKT//ccomp//39 en//DT|UTR|SIN|IND//det//45 bas//NN|UTR|SIN|IND|NOM//obj//43 och//KN//cc//52 att//SN//mark//52 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//52 i//PP//case//51 sin//PS|UTR|SIN|DEF//nmod:poss//51 tur//NN|UTR|SIN|IND|NOM//obl//52 representeras//VB|PRS|SFO//conj//43 av//PP//case//55 en//DT|UTR|SIN|IND//det//55 styrelse//NN|UTR|SIN|IND|NOM//obl:agent//52 som//HP|-|-|-//nsubj//57 leder//VB|PRS|AKT//acl:relcl//55 den//DT|UTR|SIN|DEF//det//60 operativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 verksamheten//NN|UTR|SIN|DEF|NOM//obj//57 .//MAD//punct//23
4.3.1 Begränsning eller expansion;Alternativet//NN|NEU|SIN|DEF|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 en//DT|UTR|SIN|IND//det//5 konventionell//JJ|POS|UTR|SIN|IND|NOM//amod//5 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//5 myndighet//NN|UTR|SIN|IND|NOM//ROOT//5 med//PP//case//8 en//DT|UTR|SIN|IND//det//8 styrelse//NN|UTR|SIN|IND|NOM//nmod//5 ,//MID//punct//10 utsedd//PC|PRF|UTR|SIN|IND|NOM//amod//5 av//PP//case//12 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//10 .//MAD//punct//5
4.3.1 Begränsning eller expansion;Möjligheterna//NN|UTR|PLU|DEF|NOM//appos//5 att//IE//mark//16 konsultera//VB|INF|AKT//acl//14 alla//DT|UTR/NEU|PLU|IND/DEF//det//18 verksledningar//NN|UTR|PLU|IND|NOM//obj//16 till//PP//advmod//25 exempel//NN|NEU|SIN|IND|NOM//fixed//19 i//PP//case//25 form//NN|UTR|SIN|IND|NOM//fixed//21 av//PP//fixed//21 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 konferenser//NN|UTR|PLU|IND|NOM//nmod//18 finns//VB|PRS|SFO//conj//5 givetvis//AB//advmod//26 i//PP//case//31 en//DT|UTR|SIN|IND//det//31 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//31 konstruktion//NN|UTR|SIN|IND|NOM//obl//26 men//KN//cc//33 samverkan//NN|UTR|SIN|IND|NOM//conj//31 med//PP//case//37 den//DT|UTR|SIN|DEF//det//37 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 gruppen//NN|UTR|SIN|DEF|NOM//nmod//33 av//PP//case//39 myndigheter//NN|UTR|PLU|IND|NOM//nmod//37 blir//VB|PRS|AKT//amod//5 i//PP//case//43 dessa//DT|UTR/NEU|PLU|DEF//det//43 fall//NN|NEU|PLU|IND|NOM//obl//40 mer//AB|KOM//advmod//45 tillfällig//JJ|POS|UTR|SIN|IND|NOM//xcomp//40 ,//MID//punct//48 mindre//AB|KOM//advmod//48 strukturerad//PC|PRF|UTR|SIN|IND|NOM//amod//45 och//KN//cc//51 mer//AB|KOM//advmod//51 styrd//PC|PRF|UTR|SIN|IND|NOM//conj//45 av//PP//case//53 myndighetsledningen//NN|UTR|SIN|DEF|NOM//obl:agent//51 för//PP//case//55 samordningsorganet//NN|NEU|SIN|DEF|NOM//nmod//53 än//KN//mark//58 i//PP//case//58 kollegiemodellen//NN|UTR|SIN|DEF|NOM//nmod//55 .//MAD//punct//5

4.3.2 Informell resursfördelning;Projektarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 inom//PP//case//2 E-delegationen//NN|UTR|SIN|DEF|NOM//nmod//0 präglas//VB|PRS|SFO//ROOT//3 av//PP//case//6 ett//DT|NEU|SIN|IND//det//6 arbetssätt//NN|NEU|SIN|IND|NOM//obl:agent//3 som//HP|-|-|-//nsubj//8 innebär//VB|PRS|AKT//acl:relcl//6 att//SN//mark//15 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//15 i//PP//case//14 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 omfattning//NN|UTR|SIN|IND|NOM//nmod//11 ställt//VB|SUP|AKT//ccomp//8 de//DT|UTR/NEU|PLU|DEF//det//18 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 personalresurserna//NN|UTR|PLU|DEF|NOM//obj//15 till//PP//case//21 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 förfogande//NN|NEU|SIN|IND|NOM//obl//15 –//PAD//punct//3 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 handlar//VB|PRS|AKT//parataxis//3 om//PP//case//28 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//28 hundra//RG|NOM//nummod//28 personer//NN|UTR|PLU|IND|NOM//obl//24 som//HP|-|-|-//nsubj:pass//35 under//PP//case//34 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 eller//KN//cc//33 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//31 perioder//NN|UTR|PLU|IND|NOM//obl//35 involverats//VB|SUP|SFO//acl:relcl//28 i//PP//case//38 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//38 arbete//NN|NEU|SIN|IND|NOM//obl//35 .//MAD//punct//24
4.3.2 Informell resursfördelning;Övergång//NN|UTR|SIN|IND|NOM//xcomp//3 till//PP//case//45 en//DT|UTR|SIN|IND//det//45 konventionell//JJ|POS|UTR|SIN|IND|NOM//amod//45 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//45 myndighet//NN|UTR|SIN|IND|NOM//obl//40 kan//VB|PRS|AKT//aux//47 minska//VB|INF|AKT//conj//3 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//50 intresse//NN|NEU|SIN|IND|NOM//obj//47 av//PP//case//53 den//DT|UTR|SIN|DEF//det//53 samverkan//NN|UTR|SIN|IND|NOM//nmod//50 som//HP|-|-|-//nsubj//56 idag//AB//advmod//56 sker//VB|PRS|AKT//acl:relcl//53 informellt//AB|POS//advmod//56 .//MAD//punct//3
