Aktiva åtgärder för att främja lika rättigheter och möjligheter;–//PP//punct//4 ett//DT|NEU|SIN|IND//det//4 systematiskt//AB|POS//advmod//3 målinriktat//PC|PRF|NEU|SIN|IND|NOM//amod//4 arbete//NN|NEU|SIN|IND|NOM//ROOT//4 på//PP//case//7 tre//RG|NOM//nummod//7 samhällsområden//NN|NEU|PLU|IND|NOM//nmod//4
Aktiva åtgärder för att främja lika rättigheter och möjligheter;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 åtgärder//NN|UTR|PLU|IND|NOM//nmod//2 inom//PP//case//7 diskrimineringsområdet//NN|NEU|SIN|DEF|NOM//nmod//5
Aktiva åtgärder för att främja lika rättigheter och möjligheter;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till statsrådet Nyamko Sabuni;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 30//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2008//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//1 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 undersöka//VB|INF|AKT//advcl//7 effekterna//NN|UTR|PLU|DEF|NOM//obj//13 av//PP//case//17 de//DT|UTR/NEU|PLU|DEF//det//17 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//14 om//PP//case//20 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 åtgärder//NN|UTR|PLU|IND|NOM//nmod//17 som//HP|-|-|-//nsubj:pass//22 tas//VB|PRS|SFO//acl:relcl//20 upp//PL//compound:prt//22 i//PP//case//25 lagarna//NN|UTR|PLU|DEF|NOM//obl//22 mot//PP//case//27 diskriminering//NN|UTR|SIN|IND|NOM//obl//22 (//PAD//punct//27 Dir//NN|AN//appos//27 .//MAD//punct//27
Till statsrådet Nyamko Sabuni;2008:05//RG|NOM//obl//22 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet Nyamko Sabuni;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//35 är//VB|PRS|AKT//parataxis//1 att//IE//mark//37 undersöka//VB|INF|AKT//xcomp//35 om//SN//case//37 och//KN//cc//42 i//PP//case//42 så//AB//amod//42 fall//NN|NEU|PLU|IND|NOM//conj//37 hur//HA//advmod//46 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//46 har//VB|PRS|AKT//aux//46 haft//VB|SUP|AKT//ccomp//37 effekt//NN|UTR|SIN|IND|NOM//obj//46 på//PP//case//49 arbetet//NN|NEU|SIN|DEF|NOM//obl//46 för//PP//case//52 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 rättigheter//NN|UTR|PLU|IND|NOM//nmod//49 och//KN//cc//54 möjligheter//NN|UTR|PLU|IND|NOM//conj//52 oavsett//PP//case//56 kön//NN|NEU|SIN|IND|NOM//nmod//54 ,//MID//punct//59 etnisk//JJ|POS|UTR|SIN|IND|NOM//amod//59 tillhörighet//NN|UTR|SIN|IND|NOM//conj//56 ,//MID//punct//61 religion//NN|UTR|SIN|IND|NOM//conj//56 eller//KN//cc//64 annan//JJ|POS|UTR|SIN|IND|NOM//amod//64 trosuppfattning//NN|UTR|SIN|IND|NOM//conj//56 samt//KN//cc//67 inom//PP//case//67 utbildningsområdet//NN|NEU|SIN|DEF|NOM//conj//56 även//AB//advmod//70 oavsett//PP//case//70 funktionshinder//NN|NEU|SIN|IND|NOM//conj//56 och//KN//cc//73 sexuell//JJ|POS|UTR|SIN|IND|NOM//amod//73 läggning//NN|UTR|SIN|IND|NOM//conj//70 .//MAD//punct//35
Till statsrådet Nyamko Sabuni;I//PP//case//76 uppdraget//NN|NEU|SIN|DEF|NOM//obl//77 ingår//VB|PRS|AKT//parataxis//35 att//IE//mark//79 undersöka//VB|INF|AKT//xcomp//77 vilka//HD|UTR/NEU|PLU|IND//det//82 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 åtgärder//NN|UTR|PLU|IND|NOM//obj//79 som//HP|-|-|-//nsubj//85 har//VB|PRS|AKT//aux//85 haft//VB|SUP|AKT//acl:relcl//82 bäst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//87 effekt//NN|UTR|SIN|IND|NOM//obj//85 för//PP//case//90 respektive//AB//cc//90 diskrimineringsgrund//NN|UTR|SIN|IND|NOM//obl//85 samt//KN//cc//95 vilka//HD|UTR/NEU|PLU|IND//det//93 kostnader//NN|UTR|PLU|IND|NOM//nmod//94 åtgärderna//NN|UTR|PLU|DEF|NOM//nsubj//95 medför//VB|PRS|AKT//conj//77 för//PP//case//98 de//DT|UTR/NEU|PLU|DEF//det//98 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//95 .//MAD//punct//35
Till statsrådet Nyamko Sabuni;Med//PP//case//1 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//37 som//KN//nsubj//6 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//2 ska//VB|PRS|AKT//aux//6 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//6 överväga//VB|INF|AKT//acl:relcl//1 hur//HA//advmod//13 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//13 på//PP//case//11 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 åtgärder//NN|UTR|PLU|IND|NOM//nmod//8 kan//VB|PRS|AKT//aux//13 göras//VB|INF|SFO//ccomp//6 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 ,//MID//punct//16 skarpa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 och//KN//cc//18 kopplas//VB|PRS|SFO//conj//14 till//PP//case//22 en//DT|UTR|SIN|IND//det//22 verkningsfull//JJ|POS|UTR|SIN|IND|NOM//amod//22 sanktion//NN|UTR|SIN|IND|NOM//obl//18 samt//KN//cc//25 om//PP//case//25 krav//NN|NEU|PLU|IND|NOM//obl//13 på//PP//case//28 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 åtgärder//NN|UTR|PLU|IND|NOM//nmod//25 ,//MID//punct//1 och//KN//cc//37 i//PP//case//34 så//AB//fixed//31 fall//NN|NEU|SIN|IND|NOM//fixed//31 vilka//HP|UTR/NEU|PLU|IND//obl//37 ,//MID//punct//37 bör//VB|PRS|AKT//aux//37 utvidgas//VB|INF|SFO//ROOT//37 till//PP//case//40 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//40 diskrimineringsgrunder//NN|UTR|PLU|IND|NOM//obl//37 och//KN//cc//43 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//43 samhällsområden//NN|NEU|PLU|IND|NOM//conj//40 .//MAD//punct//37
Till statsrådet Nyamko Sabuni;I//PP//case//46 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//47 ingår//VB|PRS|AKT//parataxis//37 att//IE//mark//49 överväga//VB|INF|AKT//xcomp//47 om//SN//mark//53 åtgärderna//NN|UTR|PLU|DEF|NOM//nsubj//53 bör//VB|PRS|AKT//aux//53 kvarstå//VB|INF|AKT//advcl//47 i//PP//case//56 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 omfattning//NN|UTR|SIN|IND|NOM//obl//53 eller//KN//cc//62 om//SN//mark//62 någon//DT|UTR|SIN|IND//det//60 åtgärd//NN|UTR|SIN|IND|NOM//nsubj:pass//62 bör//VB|PRS|AKT//aux//62 ändras//VB|INF|SFO//conj//53 eller//KN//cc//64 tas//VB|INF|SFO//conj//62 bort//PL//compound:prt//64 samt//KN//cc//70 om//SN//mark//70 sanktionssystemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//70 bör//VB|PRS|AKT//aux//70 ändras//VB|INF|SFO//conj//62 .//MAD//punct//37
Till statsrådet Nyamko Sabuni;För//PP//case//73 utbildningsområdet//NN|NEU|SIN|DEF|NOM//obl//74 ingår//VB|PRS|AKT//conj//37 att//IE//mark//76 överväga//VB|INF|AKT//xcomp//74 om//SN//case//78 krav//NN|NEU|PLU|IND|NOM//obl//76 på//PP//case//81 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 åtgärder//NN|UTR|PLU|IND|NOM//nmod//78 bör//VB|PRS|AKT//aux//83 gälla//VB|INF|AKT//conj//37 alla//DT|UTR/NEU|PLU|IND/DEF//det//85 verksamheter//NN|UTR|PLU|IND|NOM//obj//83 som//HP|-|-|-//nsubj:pass//87 omfattas//VB|PRS|SFO//acl:relcl//85 av//PP//case//91 den//DT|UTR|SIN|DEF//det//91 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//91 diskrimineringslagen//NN|UTR|SIN|DEF|NOM//obl:agent//87 .//MAD//punct//37
