Ett stärkt konsumentskydd vid telefonförsäljning;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 konsumentskydd//NN|NEU|SIN|IND|NOM//nmod//2 vid//PP//case//6 telefonförsäljning//NN|UTR|SIN|IND|NOM//nmod//4
Ett stärkt konsumentskydd vid telefonförsäljning;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0

Till statsrådet Per Bolund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 31//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2013//RG|NOM//mark//7 att//IE//mark//7 tillkalla//VB|INF|AKT//advcl//1 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 överväga//VB|INF|AKT//acl//12 om//SN//case//16 konsumentskyddet//NN|NEU|SIN|DEF|NOM//nsubj:pass//22 i//PP//case//20 samband//NN|NEU|SIN|IND|NOM//fixed//17 med//PP//fixed//17 telefonförsäljning//NN|UTR|SIN|IND|NOM//nmod//16 behöver//VB|PRS|AKT//aux//22 stärkas//VB|INF|SFO//advcl//7 och//KN//cc//27 att//IE//mark//27 vid//PP//case//26 behov//NN|NEU|SIN|IND|NOM//obl//27 föreslå//VB|INF|AKT//conj//7 åtgärder//NN|UTR|PLU|IND|NOM//obj//27 .//MAD//punct//7
Till statsrådet Per Bolund;Till//PP//case//32 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//32 utredare//NN|UTR|SIN|IND|NOM//obl//33 förordnades//VB|PRT|SFO//parataxis//7 samma//DT|UTR/NEU|SIN/PLU|IND//det//36 dag//NN|UTR|SIN|IND|NOM//fixed//34 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//37 Anne//PM|NOM//obl//33 Kuttenkeuler//PM|NOM//flat:name//37 .//MAD//punct//1
Till statsrådet Per Bolund;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//obl//2 2014//RG|NOM//nummod//8 generalsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//11 Jan//PM|NOM//appos//8 Bertoft//PM|NOM//flat:name//11 ,//MID//punct//11 jur.kand//PM|NOM//conj//11 .//MID//punct//8
Till statsrådet Per Bolund;Christoffer//PM|NOM//nsubj:pass//49 Lewinowitz//PM|NOM//flat//16 ,//MID//punct//19 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//16 för//PP//case//21 konsumentfrågor//NN|UTR|PLU|IND|NOM//nmod//19 Anna//PM|NOM//flat//21 Montelius//PM|NOM//flat:name//22 ,//MID//punct//19 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//26 Jan//PM|NOM//conj//16 Nyquist//PM|NOM//flat:name//26 ,//MID//punct//26 föreningsjuristen//NN|UTR|SIN|DEF|NOM//nmod//30 Anna-Karin//PM|NOM//conj//16 Smedberg//PM|NOM//flat:name//30 Strömqvist//PM|NOM//flat//30 ,//MID//punct//30 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 direktören//NN|UTR|SIN|DEF|NOM//nmod//36 Tore//PM|NOM//conj//16 Thallaug//PM|NOM//flat:name//36 och//KN//cc//40 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 direktören//NN|UTR|SIN|DEF|NOM//nmod//41 Tina//PM|NOM//conj//16 Wahlroth//PM|NOM//flat:name//41 .//MAD//punct//16
Till statsrådet Per Bolund;Att//IE//mark//47 som//KN//mark//47 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//47 biträda//VB|INF|AKT//acl//16 utredningen//NN|UTR|SIN|DEF|NOM//obj//47 förordnades//VB|PRT|SFO//parataxis//8 från//PP//case//56 och//KN//cc//55 med//PP//case//54 samma//DT|UTR/NEU|SIN/PLU|IND//det//54 datum//NN|NEU|SIN|IND|NOM//obl//55 ämnessakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//50 Tove//PM|NOM//obl//49 Kockum//PM|NOM//flat//56 ,//MID//punct//56 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//60 Malou//PM|NOM//appos//56 Larsson//PM|NOM//flat:name//60 Klevhill//PM|NOM//flat:name//60 och//KN//cc//64 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//60 Danijela//PM|NOM//nmod//66 Pavic//PM|NOM//flat//56 .//MAD//punct//2
Till statsrådet Per Bolund;Från//PP//advmod//7 och//KN//fixed//0 med//PP//fixed//0 den//DT|UTR|SIN|DEF//det//5 1//RO|NOM//nummod//5 september//NN|UTR|SIN|IND|NOM//fixed//0 2014//RG|NOM//nummod//5 entledigades//VB|PRT|SFO//ROOT//7 Tove//PM|NOM//nsubj:pass//7 Kockum//PM|NOM//flat//8 och//KN//cc//16 från//PP//advmod//15 och//KN//fixed//11 med//PP//case//15 samma//DT|UTR/NEU|SIN/PLU|IND//det//15 datum//NN|NEU|SIN|IND|NOM//obl//16 förordnades//VB|PRT|SFO//conj//7 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//18 Mikael//PM|NOM//nsubj:pass//16 Pauli//PM|NOM//flat:name//18 som//KN//case//21 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//xcomp//16 .//MID//punct//7
Till statsrådet Per Bolund;Malou//PM|NOM//nmod//24 Larsson//PM|NOM//compound//25 Klevhill//PM|NOM//nsubj:pass//26 entledigades//VB|PRT|SFO//parataxis//7 från//PP//advmod//26 och//KN//cc//32 med//PP//case//32 den//DT|UTR|SIN|DEF//det//32 21//RG|NOM//nummod//32 januari//NN|UTR|SIN|IND|NOM//conj//7 2015//RG|NOM//nummod//32 och//KN//cc//38 från//PP//case//37 samma//DT|UTR/NEU|SIN/PLU|IND//det//37 datum//NN|NEU|SIN|IND|NOM//obl//38 förordnades//VB|PRT|SFO//conj//7 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//40 Anna-Karin//PM|NOM//nsubj//38 Zeybrandt//PM|NOM//flat:name//40 Vinterhav//PM|NOM//xcomp//38 som//KN//mark//44 expert//NN|UTR|SIN|IND|NOM//acl//42 .//MAD//punct//7
Till statsrådet Per Bolund;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//obl//10 2014//RG|NOM//nummod//8 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//obl//2 Ylva//PM|NOM//flat:name//10 Meyer//PM|NOM//flat:name//11 .//MAD//punct//2
Till statsrådet Per Bolund;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//6 konsumentskydd//NN|NEU|SIN|IND|NOM//nmod//4 vid//PP//case//8 telefonförsäljning//NN|UTR|SIN|IND|NOM//nmod//6 (//PAD//punct//4 Ju//NN|AN//advmod//11 2013:15//RG|NOM//appos//4 )//PAD//punct//2 .//MAD//punct//2
Till statsrådet Per Bolund;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 Ett//DT|NEU|SIN|IND//det//6 stärkt//PC|PRF|NEU|SIN|IND|NOM//amod//6 konsumentskydd//NN|NEU|SIN|IND|NOM//obj//1 vid//PP//case//8 telefonförsäljning//NN|UTR|SIN|IND|NOM//obl//1  //_SP////8 (//PAD//punct//8 SOU//PM|NOM//appos//8 2015:61//RG|NOM//nummod//11 )//PAD//punct//1 .//MAD//punct//1
Till statsrådet Per Bolund;Till//PP//case//1 betänkandet//NN|NEU|SIN|DEF|NOM//obl//2 bifogas//VB|PRS|SFO//ROOT//2 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 yttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//2 .//MAD//punct//2
Till statsrådet Per Bolund;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//9 är//VB|PRS|AKT//cop//9 härmed//AB//advmod//9 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//2 .//MAD//punct//9
Till statsrådet Per Bolund;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2015//RG|NOM//nummod//2
Till statsrådet Per Bolund;Anne//PM|NOM//ROOT//0 Kuttenkeuler//PM|NOM//flat//0 ///MID//cc//3 Ylva//PM|NOM//conj//0 Meyer//PM|NOM//flat//3

