Biojet för flyget;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 styrmedel//NN|NEU|PLU|IND|NOM//nmod//2 för//PP//mark//7 att//IE//mark//7 främja//VB|INF|AKT//acl//0 användning//NN|UTR|SIN|IND|NOM//obj//7 av//PP//case//10 biobränsle//NN|NEU|SIN|IND|NOM//nmod//8 för//PP//case//12 flyget//NN|NEU|SIN|DEF|NOM//obl//7
Biojet för flyget;Stockholm//PM|NOM//ROOT//0 2019//RG|NOM//nummod//0

Till statsrådet och chefen för miljödepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 22//RG|NOM//nummod//4 februari//NN|UTR|SIN|IND|NOM//obj//1 2018//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 analysera//VB|INF|AKT//acl//12 hur//HA//advmod//22 flygets//NN|NEU|SIN|DEF|GEN//nmod:poss//17 användning//NN|UTR|SIN|IND|NOM//nsubj:pass//22 av//PP//case//20 hållbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 biobränslen//NN|NEU|PLU|IND|NOM//nmod//17 kan//VB|PRS|AKT//aux//22 främjas//VB|INF|SFO//ccomp//14 för//PP//mark//25 att//IE//mark//25 bidra//VB|INF|AKT//advcl//22 till//PP//case//27 övergången//NN|UTR|SIN|DEF|NOM//obl//25 till//PP//case//31 ett//DT|NEU|SIN|IND//det//31 fossilfritt//JJ|POS|NEU|SIN|IND|NOM//amod//31 energisystem//NN|NEU|SIN|IND|NOM//nmod//27 och//KN//cc//34 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//34 klimatpåverkan//NN|UTR|SIN|IND|NOM//conj//31 .//MAD//punct//4
Till statsrådet och chefen för miljödepartementet;Maria//PM|NOM//nsubj//38 Wetterstrand//PM|NOM//flat//36 förordnades//VB|PRT|SFO//conj//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//40 dag//NN|UTR|SIN|IND|NOM//obl//38 som//KN//mark//43 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//43 utredare//NN|UTR|SIN|IND|NOM//obl//38 .//MAD//punct//38
Till statsrådet och chefen för miljödepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 12//RG|NOM//nummod//6 april//NN|UTR|SIN|IND|NOM//obl//2 2018//RG|NOM//nummod//6 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//9 Andreas//PM|NOM//appos//6 Kannesten//NN|UTR|SIN|DEF|NOM//flat:name//9 och//KN//cc//15 fr.o.m.//AB|AN//case//15 den//DT|UTR|SIN|DEF//det//14 1//RO|NOM//nummod//15 september//NN|UTR|SIN|IND|NOM//obl//16 2018//RG|NOM//nummod//9 doktoranden//NN|UTR|SIN|DEF|NOM//nmod//18 Anna//PM|NOM//appos//6 Elofsson//PM|NOM//flat:name//18 .//MAD//punct//2
Till statsrådet och chefen för miljödepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 1//RO|NOM//nummod//6 september//NN|UTR|SIN|IND|NOM//obl//2 2018//RG|NOM//nummod//6 departementssekreterarna//NN|UTR|PLU|DEF|NOM//nmod//9 Emmi//PM|NOM//appos//2 Jozsa//PM|NOM//flat//9 ,//MID//punct//9 Lina//PM|NOM//nmod//13 Kinning//PM|NOM//conj//9 och//KN//cc//15 Ina//PM|NOM//conj//9 Müller//PM|NOM//flat:name//15 Engelbrektson//PM|NOM//flat//15 ,//MID//punct//20 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//20 Stefan//PM|NOM//conj//9 Andersson//PM|NOM//flat:name//20 ,//MID//punct//23 utredaren//NN|UTR|SIN|DEF|NOM//conj//9 Backa//PM|NOM//case//25 Fredrik//PM|NOM//nmod//23 Brandt//PM|NOM//flat//25 ,//MID//punct//28 professorn//NN|UTR|SIN|DEF|NOM//nmod//29 Pål//PM|NOM//conj//9 Börjesson//PM|NOM//flat:name//29 ,//MID//punct//29 projektledaren//NN|UTR|SIN|DEF|NOM//nmod//33 Maria//PM|NOM//appos//9 Fiskerud//PM|NOM//flat:name//33 ,//MID//punct//33 stf//NN|AN//parataxis//2 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//38 Johan//PM|NOM//nsubj//36 Holmér//PM|NOM//flat:name//38 ,//MID//punct//41 forskningschefen//NN|UTR|SIN|DEF|NOM//nmod//42 Mikael//PM|NOM//nmod//38 Johannesson//PM|NOM//flat//42 ,//MID//punct//45 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//46 Jonas//PM|NOM//conj//36 Lindmark//PM|NOM//flat:name//46 ,//MID//punct//49 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//50 Max//PM|NOM//conj//36 Ohlsson//PM|NOM//flat:name//50 ,//MID//punct//50 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//54 Anna//PM|NOM//appos//50 Segerstedt//PM|NOM//flat:name//54 och//KN//cc//57 forskningsledaren//NN|UTR|SIN|DEF|NOM//nmod//58 Jonas//PM|NOM//conj//50 Åkerman//PM|NOM//flat:name//58 .//MAD//punct//2
Till statsrådet och chefen för miljödepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 som//HP|-|-|-//nsubj//2 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Biojetutredningen//NN|UTR|SIN|DEF|NOM//obj//2 har//VB|PRS|AKT//aux//6 slutfört//VB|SUP|AKT//ROOT//6 uppdraget//NN|NEU|SIN|DEF|NOM//obj//6 och//KN//cc//9 överlämnar//VB|PRS|AKT//conj//6 härmed//AB//advmod//9 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//12 Biojet//AB//obj//9 för//PP//case//14 flyget//NN|NEU|SIN|DEF|NOM//obl//9  //_SP////14 (//PAD//punct//17 SOU//PM|NOM//appos//9 2019:11//RG|NOM//nummod//17 )//PAD//punct//17 .//MAD//punct//23
Till statsrådet och chefen för miljödepartementet;Till//PP//case//22 betänkandet//NN|NEU|SIN|DEF|NOM//obl//23 fogas//VB|PRS|SFO//conj//6 ett//DT|NEU|SIN|IND//det//26 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//26 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//23 .//MAD//punct//6
Till statsrådet och chefen för miljödepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 februari//NN|UTR|SIN|IND|NOM//obl//0 2019//RG|NOM//nummod//0
Till statsrådet och chefen för miljödepartementet;Maria//PM|NOM//ROOT//0 Wetterstrand//PM|NOM//flat:name//0 ///MID//cc//3 Andreas//PM|NOM//conj//0 Kannesten//NN|UTR|SIN|DEF|NOM//flat:name//3
