Territoriellt samarbete inom EU;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 territoriellt//JJ|POS|NEU|SIN|IND|NOM//amod//5 samarbete//NN|NEU|SIN|IND|NOM//nmod//2 inom//PP//case//7 EU//PM|NOM//nmod//5
Territoriellt samarbete inom EU;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet och chefen för Näringsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 16//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 2006//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 överväga//VB|INF|AKT//acl//12 behoven//NN|NEU|PLU|DEF|NOM//obj//14 av//PP//case//18 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 författningar//NN|UTR|PLU|IND|NOM//nmod//15 och//KN//cc//20 författningsändringar//NN|UTR|PLU|IND|NOM//conj//18 med//PP//case//22 anledning//NN|UTR|SIN|IND|NOM//nmod//20 av//PP//case//27 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//27 och//KN//cc//26 rådets//NN|NEU|SIN|DEF|GEN//conj//24 beslut//NN|NEU|SIN|IND|NOM//nmod//22 om//PP//case//31 en//DT|UTR|SIN|IND//det//31 ny//JJ|POS|UTR|SIN|IND|NOM//amod//31 förordning//NN|UTR|SIN|IND|NOM//obl//14 om//PP//case//35 en//DT|UTR|SIN|IND//det//35 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//35 gruppering//NN|UTR|SIN|IND|NOM//nmod//31 för//PP//case//38 territoriellt//JJ|POS|NEU|SIN|IND|NOM//amod//38 samarbete//NN|NEU|SIN|IND|NOM//nmod//35 (//PAD//punct//38 EGTS//PM|NOM//appos//38 )//PAD//punct//4 .//MAD//punct//1
Till statsrådet och chefen för Näringsdepartementet;Hovrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//1 Bertil//PM|NOM//nsubj:pass//3 Ahnborg//PM|NOM//flat:name//1 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 19//RG|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//obl//3 2006//RG|NOM//obl//3 att//IE//mark//11 vara//VB|INF|AKT//cop//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//xcomp//3 .//MAD//punct//3
Till statsrådet och chefen för Näringsdepartementet;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//nmod//10 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//10 Christer//PM|NOM//conj//6 Christensen//PM|NOM//flat:name//10 och//KN//cc//14 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 Petra//PM|NOM//conj//6 Jansson//PM|NOM//flat:name//14 ,//MID//punct//17 Johan//PM|NOM//conj//6 Lundmark//PM|NOM//flat//17 och//KN//cc//20 Helene//PM|NOM//conj//6 Ramqvist//PM|NOM//flat//20 .//MAD//punct//4
Till statsrådet och chefen för Näringsdepartementet;Den//DT|UTR|SIN|DEF//det//25 1//RO|NOM//nummod//25 februari//NN|UTR|SIN|IND|NOM//obl//27 2007//RG|NOM//nummod//25 entledigades//VB|PRT|SFO//parataxis//4 Petra//PM|NOM//nsubj:pass//27 Jansson//PM|NOM//flat//28 och//KN//cc//34 som//KN//obl//34 ny//JJ|POS|UTR|SIN|IND|NOM//amod//33 expert//NN|UTR|SIN|IND|NOM//amod//34 förordnades//VB|PRT|SFO//conj//27 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//36 Helena//PM|NOM//obj//34 Linde//PM|NOM//flat:name//36 .//MAD//punct//4
Till statsrådet och chefen för Näringsdepartementet;Den//DT|UTR|SIN|DEF//det//41 15//RG|NOM//nummod//41 mars//NN|UTR|SIN|IND|NOM//obl//43 2007//RG|NOM//nummod//41 förordnades//VB|PRT|SFO//parataxis//4 ministern//NN|UTR|SIN|DEF|NOM//nmod//45 Anders//PM|NOM//nmod:poss//46 Elofson//PM|NOM//nsubj:pass//43 som//KN//mark//48 expert//NN|UTR|SIN|IND|NOM//xcomp//43 .//MAD//punct//4
Till statsrådet och chefen för Näringsdepartementet;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//8 har//VB|PRS|AKT//aux//8 fr.o.m.//AB|AN//case//5 den//DT|UTR|SIN|DEF//det//5 20//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//obl//8 2006//RG|NOM//nummod//5 varit//VB|SUP|AKT//cop//8 hovrättsassesssorn//NN|UTR|SIN|DEF|NOM//ROOT//8 Ann-Charlotte//PM|NOM//punct//8 Bragsjö//PM|NOM//flat:name//9 .//MAD//punct//8
Till statsrådet och chefen för Näringsdepartementet;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 skulle//VB|PRT|AKT//aux//4 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 redovisa//VB|INF|AKT//ROOT//4 sitt//PS|NEU|SIN|DEF//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//obj//4 senast//AB|SUV//case//10 den//DT|UTR|SIN|DEF//det//9 31//RG|NOM//nummod//10 augusti//NN|UTR|SIN|IND|NOM//obl//4 2007//RG|NOM//nummod//10 .//MAD//punct//4
Till statsrådet och chefen för Näringsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 beviljades//VB|PRT|SFO//conj//4 emellertid//AB//advmod//14 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//17 tid//NN|UTR|SIN|IND|NOM//obj//14 för//PP//case//19 redovisningen//NN|UTR|SIN|DEF|NOM//obl//14 t.o.m.//AB|AN//case//23 den//DT|UTR|SIN|DEF//det//23 31//RG|NOM//nummod//23 december//NN|UTR|SIN|IND|NOM//nmod//19 2007//RG|NOM//nummod//23 .//MAD//punct//4
