Sammanfattning;Sammanfattningsvis//AB//advmod//1 innebär//VB|PRS|AKT//ROOT//1 det//PN|NEU|SIN|DEF|SUB/OBJ//det//3 anförda//PC|PRF|UTR/NEU|SIN|DEF|NOM//obj//1 att//SN//mark//6 vi//PN|UTR|PLU|DEF|SUB//nsubj//6 funnit//VB|SUP|AKT//ccomp//1 att//SN//mark//16 en//DT|UTR|SIN|IND//det//10 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//10 manual//NN|UTR|SIN|IND|NOM//nsubj//16 i//PP//case//13 humanitär//JJ|POS|UTR|SIN|IND|NOM//amod//13 rätt//NN|UTR|SIN|IND|NOM//nmod//10 bör//VB|PRS|AKT//aux//16 kunna//VB|INF|AKT//aux//16 möta//VB|INF|AKT//ccomp//6 en//DT|UTR|SIN|IND//det//18 rad//NN|UTR|SIN|IND|NOM//nmod//20 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 behov//NN|NEU|PLU|IND|NOM//obj//16 som//HP|-|-|-//obl//25 sammantaget//PC|PRF|NEU|SIN|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 så//AB//advmod//25 starka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//20 att//SN//mark//29 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//29 väl//AB|POS//advmod//29 motiverar//VB|PRS|AKT//advcl//25 att//SN//mark//41 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//41 med//PP//mark//34 att//IE//mark//34 ta//VB|INF|AKT//acl//31 fram//PL//compound:prt//34 ett//DT|NEU|SIN|IND//det//37 utkast//NN|NEU|SIN|IND|NOM//obj//34 till//PP//case//40 en//DT|UTR|SIN|IND//det//40 manual//NN|UTR|SIN|IND|NOM//obl//34 inleds//VB|PRS|SFO//ccomp//29 .//MAD//punct//1
9.3.2 Utformning;Omfattningen//NN|UTR|SIN|DEF|NOM//nsubj//41 och//KN//cc//40 detaljrikedomen//NN|UTR|SIN|DEF|NOM//conj//38 gör//VB|PRS|AKT//conj//12 dock//AB//advmod//41 att//SN//mark//47 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//47 knappast//AB|SUV//advmod//47 är//VB|PRS|AKT//cop//47 användbar//JJ|POS|UTR|SIN|IND|NOM//ccomp//41 i//PP//case//52 mer//AB|KOM//advmod//50 direkt//AB|POS//advmod//51 operativt//JJ|POS|NEU|SIN|IND|NOM//amod//52 arbete//NN|NEU|SIN|IND|NOM//obl//47 .//MID//punct//41
9.3.2 Utformning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//55 hänger//VB|PRS|AKT//parataxis//41 samman//PL//compound:prt//55 med//PP//mark//64 att//SN//mark//64 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//64 som//HP|-|-|-//nsubj//61 arbetat//VB|SUP|AKT//acl:relcl//59 med//PP//case//63 manualen//NN|UTR|SIN|DEF|NOM//obl//61 utgått//VB|SUP|AKT//advcl//55 från//PP//case//68 fyra//RG|NOM//nummod//68 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 nivåer//NN|UTR|PLU|IND|NOM//obl//64 inom//PP//case//70 militären//NN|UTR|SIN|DEF|NOM//nmod//68 ,//MID//punct//74 med//PP//case//74 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 behov//NN|NEU|PLU|IND|NOM//obl//55 av//PP//case//76 information//NN|UTR|SIN|IND|NOM//nmod//74 om//PP//case//80 den//DT|UTR|SIN|DEF//det//80 humanitära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//80 rätten//NN|UTR|SIN|DEF|NOM//nmod//76 ,//MID//punct//80 där//HA//advmod//85 manualen//NN|UTR|SIN|DEF|NOM//nsubj//85 är//VB|PRS|AKT//cop//85 utformad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//80 med//PP//case//89 den//DT|UTR|SIN|DEF//det//89 högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//89 nivån//NN|UTR|SIN|DEF|NOM//obl//85 som//KN//mark//91 utgångspunkt//NN|UTR|SIN|IND|NOM//acl//89 .//MAD//punct//74
9.3.2 Utformning;För//PP//case//96 de//DT|UTR/NEU|PLU|DEF//det//96 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 nivåerna//NN|UTR|PLU|DEF|NOM//nmod//74 förutsätts//VB|PRS|SFO//advcl//41 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//99 information//NN|UTR|SIN|IND|NOM//nsubj:pass//97 genom//PP//case//101 kort//NN|NEU|PLU|IND|NOM//advmod//97 med//PP//case//103 soldatregler//NN|UTR|PLU|IND|NOM//nmod//101 ,//MID//punct//105 häften//NN|NEU|PLU|IND|NOM//conj//103 med//PP//case//107 information//NN|UTR|SIN|IND|NOM//nmod//105 och//KN//cc//111 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//111 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//111 handböcker//NN|UTR|PLU|IND|NOM//conj//107 .//MAD//punct//41
9.3.2 Utformning;För//PP//case//115 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//115 vidkommande//NN|NEU|SIN|IND|NOM//obl//116 finns//VB|PRS|SFO//parataxis//41 knappast//AB|SUV//advmod//116 behov//NN|NEU|PLU|IND|NOM//nsubj//116 av//PP//case//123 en//DT|UTR|SIN|IND//det//123 så//AB//advmod//122 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//123 nivåuppdelning//NN|UTR|SIN|IND|NOM//nmod//118 utan//KN//case//126 en//DT|UTR|SIN|IND//det//126 manual//NN|UTR|SIN|IND|NOM//nmod//123 bör//VB|PRS|AKT//aux//133 på//PP//case//131 ett//DT|NEU|SIN|IND//det//131 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//131 sätt//NN|NEU|SIN|IND|NOM//obl//133 kunna//VB|INF|AKT//aux//133 anknytas//VB|INF|SFO//conj//116 till//PP//case//137 den//DT|UTR|SIN|DEF//det//137 operativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//137 nivån//NN|UTR|SIN|DEF|NOM//obl//133 .//MAD//punct//41
9.3.2 Utformning;Den//DT|UTR|SIN|DEF//det//2 kanadensiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 manualen//NN|UTR|SIN|DEF|NOM//nsubj//3 synes//VB|PRS|SFO//ROOT//3 bättre//AB|KOM//advmod//3 motsvara//VB|INF|AKT//xcomp//3 de//DT|UTR/NEU|PLU|DEF//det//7 behov//NN|NEU|PLU|IND|NOM//obj//5 som//HP|-|-|-//nsubj//9 finns//VB|PRS|SFO//acl:relcl//7 i//PP//case//11 Sverige//PM|NOM//obl//9 .//MAD//punct//3
9.3.2 Utformning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//14 riktar//VB|PRS|AKT//parataxis//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//14 primärt//AB|POS//advmod//14 till//PP//case//19 ”//PAD//nmod//19 praktiker//NN|UTR|PLU|IND|NOM//obl//14 ”//PAD//punct//14 på//PP//case//26 de//DT|UTR/NEU|PLU|DEF//det//26 taktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 ///MID//cc//25 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//23 nivåerna//NN|UTR|PLU|DEF|NOM//obl//14 vilket//HP|NEU|SIN|IND//nsubj//28 motsvarar//VB|PRS|AKT//acl:relcl//26 den//DT|UTR|SIN|DEF//det//30 målgrupp//NN|UTR|SIN|IND|NOM//obj//28 som//HP|-|-|-//obj//33 vi//PN|UTR|PLU|DEF|SUB//nsubj//33 anser//VB|PRS|AKT//acl:relcl//30 att//SN//mark//39 en//DT|UTR|SIN|IND//det//37 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//37 manual//NN|UTR|SIN|IND|NOM//nsubj//39 bör//VB|PRS|AKT//aux//39 rikta//VB|INF|AKT//ccomp//33 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//39 till//PP//compound:prt//39 .//MAD//punct//3
9.3.2 Utformning;Manualen//NN|UTR|SIN|DEF|NOM//nsubj//44 har//VB|PRS|AKT//parataxis//3 också//AB//advmod//44 en//DT|UTR|SIN|IND//det//49 mindre//AB|KOM//advmod//48 akademisk//JJ|POS|UTR|SIN|IND|NOM//amod//49 prägel//NN|UTR|SIN|IND|NOM//obj//44 och//KN//cc//53 är//VB|PRS|AKT//cop//53 mer//AB|KOM//advmod//53 koncentrerad//PC|PRF|UTR|SIN|IND|NOM//conj//44 än//KN//case//57 den//DT|UTR|SIN|DEF//det//57 brittiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 manualen//NN|UTR|SIN|DEF|NOM//obl//53 .//MAD//punct//3
9.3.2 Utformning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//62 är//VB|PRS|AKT//cop//62 väl//AB|POS//advmod//62 strukturerad//PC|PRF|UTR|SIN|IND|NOM//parataxis//3 och//KN//cc//64 genomarbetad//PC|PRF|UTR|SIN|IND|NOM//conj//62 i//PP//case//71 sak//NN|UTR|SIN|IND|NOM//fixed//65 med//PP//fixed//65 en//DT|UTR|SIN|IND//det//71 god//JJ|POS|UTR|SIN|IND|NOM//amod//71 pedagogisk//JJ|POS|UTR|SIN|IND|NOM//amod//71 presentation//NN|UTR|SIN|IND|NOM//obl//62 .//MAD//punct//62
9.3.2 Utformning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//74 har//VB|PRS|AKT//aux//81 nu//AB//advmod//74 ,//MID//punct//74 med//PP//case//79 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 erfarenheter//NN|UTR|PLU|IND|NOM//obl//74 ,//MID//punct//74 använts//VB|SUP|SFO//conj//3 under//PP//case//86 mer//AB|KOM//advmod//85 än//KN//fixed//83 nio//RG|NOM//nummod//86 år//NN|NEU|PLU|IND|NOM//obl//81 av//PP//case//90 den//DT|UTR|SIN|DEF//det//90 kanadensiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//90 försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//86 vilket//HP|NEU|SIN|IND//nsubj//92 innebär//VB|PRS|AKT//acl:relcl//90 en//DT|UTR|SIN|IND//det//95 god//JJ|POS|UTR|SIN|IND|NOM//amod//95 kvalitetssäkring//NN|UTR|SIN|IND|NOM//obj//92 .//MAD//punct//3
9.3.2 Utformning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//100 har//VB|PRS|AKT//aux//100 dessutom//AB//advmod//100 använts//VB|SUP|SFO//parataxis//3 som//KN//case//102 förebild//NN|UTR|SIN|IND|NOM//obl//100 för//PP//case//106 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 staters//NN|UTR|PLU|IND|GEN//nmod:poss//106 manualer//NN|UTR|PLU|IND|NOM//obl//100 .//MID//punct//3
