Möjlighet att begränsa eller förbjuda odling av genetiskt modifierade växter i Sverige;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 begränsning//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 odling//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//9 genmodifierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//9 växter//NN|UTR|PLU|IND|NOM//nmod//6
Till statsrådet Åsa Romson;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//10 har//VB|PRS|AKT//aux//10 bidragit//VB|SUP|AKT//parataxis//2 med//PP//case//13 värdefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 synpunkter//NN|UTR|PLU|IND|NOM//obl//10 och//KN//cc//15 förslag//NN|NEU|PLU|IND|NOM//conj//13 som//HP|-|-|-//nsubj:pass//21 till//PP//case//19 övervägande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 del//NN|UTR|SIN|IND|NOM//obl//21 har//VB|PRS|AKT//aux//21 arbetats//VB|SUP|SFO//acl:relcl//15 in//PL//compound:prt//21 i//PP//case//24 betänkandet//NN|NEU|SIN|DEF|NOM//obl//21 .//MAD//punct//10
Till statsrådet Åsa Romson;I//PP//case//27 betänkandet//NN|NEU|SIN|DEF|NOM//obl//29 har//VB|PRS|AKT//aux//29 använts//VB|SUP|SFO//conj//10 uttrycket//NN|NEU|SIN|DEF|NOM//nsubj:pass//29 ”//PAD//punct//32 vi//PN|UTR|PLU|DEF|SUB//obl:agent//29 ”//PAD//punct//32 .//MAD//punct//29
Till statsrådet Åsa Romson;Med//PP//case//36 ”//PM|NOM//obl//39 vi//PN|UTR|PLU|DEF|SUB//nsubj//39 ”//PM|NOM//punct//37 avses//VB|PRS|SFO//parataxis//2 utredaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//39 och//KN//cc//43 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 sekreterare//NN|UTR|SIN|IND|NOM//conj//40 .//MAD//punct//39
Till statsrådet Åsa Romson;Birgitta//PM|NOM//nsubj//47 Eilemar//PM|NOM//flat:name//45 svarar//VB|PRS|AKT//parataxis//39 dock//AB//advmod//47 som//KN//case//51 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//51 utredare//NN|UTR|SIN|IND|NOM//obl//47 ensam//JJ|POS|UTR|SIN|IND|NOM//acl//51 för//PP//case//54 innehållet//NN|NEU|SIN|DEF|NOM//obl//52 i//PP//case//56 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//54 .//MAD//punct//39
Till statsrådet Åsa Romson;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 med//PP//case//4 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//5 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//5 .//MAD//punct//5
Till statsrådet Åsa Romson;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 2016//RG|NOM//nummod//2
Till statsrådet Åsa Romson;Birgitta//PM|NOM//nmod//5 Eilemar//PM|NOM//flat:name//0 /Heléne//RG|NOM//punct//0 Ström//PM|NOM//flat//0 4.1.3//RG|NOM//flat//0 Krav//NN|NEU|PLU|IND|NOM//ROOT//5 på//PP//case//7 övervakning//NN|UTR|SIN|IND|NOM//nmod//5 av//PP//case//10 godkända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 4.14.4//RG|NOM//nmod//7 Det//DT|NEU|SIN|DEF//det//13 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 innehållet//NN|NEU|SIN|DEF|NOM//nmod//7 i//PP//case//16 6.1//RG|NOM//nummod//16 Konsekvenser//NN|UTR|PLU|IND|NOM//nmod//13 av//PP//mark//19 att//IE//mark//19 genomföra//VB|INF|AKT//acl//16 eller//KN//cc//23 att//IE//mark//23 inte//AB//advmod//23 genomföra//VB|INF|AKT//conj//19 7.2//RG|NOM//nmod//25 Förslaget//NN|NEU|SIN|DEF|NOM//obj//23 till//PP//case//27 förordning//NN|UTR|SIN|IND|NOM//obl//23 om//PP//case//29 ändring//NN|UTR|SIN|IND|NOM//nmod//27 i//PP//case//31 förordning//NN|UTR|SIN|IND|NOM//nmod//29 (//PAD//punct//33 2002:1086//RG|NOM//appos//31 )//PAD//punct//33 om//PP//case//36 utsättning//NN|UTR|SIN|IND|NOM//obl//23 av//PP//case//41 genetiskt//AB|POS//advmod//39 modifierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 7.3//RG|NOM//nmod//41 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//36 till//PP//case//43 förordning//NN|UTR|SIN|IND|NOM//nmod//36 om//PP//case//45 ändring//NN|UTR|SIN|IND|NOM//nmod//43 i//PP//case//47 förordning//NN|UTR|SIN|IND|NOM//nmod//45 (//PAD//punct//49 2007:273//RG|NOM//nmod//45 )//PAD//punct//49 om//PP//case//52 försiktighetsåtgärder//NN|UTR|PLU|IND|NOM//obl//23 vid//PP//case//54 odling//NN|UTR|SIN|IND|NOM//nmod//52 och//KN//punct//5


1.1 Förslag till lag om ändring i miljöbalken (1998:808);Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//10 i//PP//case//5 miljöbalken//NN|UTR|SIN|DEF|NOM//obl//10 (//PAD//punct//7 1998:808//RG|NOM//conj//5 )//PAD//punct//7 ska//VB|PRS|AKT//aux//10 införas//VB|INF|SFO//ccomp//1 fyra//RG|NOM//nummod//13 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 paragrafer//NN|UTR|PLU|IND|NOM//obl//10 ,//MID//punct//13 13//RG|NOM//nummod//16 kap.//NN|AN//nmod//19 20–24//RG|NOM//nummod//18 §//NN|AN//nmod//19 §//NN|AN//nmod//13 ,//MID//punct//10 och//KN//cc//24 närmast//AB|SUV//advmod//24 20//RG|NOM//nummod//24 §//NN|AN//nmod//27 en//DT|UTR|SIN|IND//det//27 ny//JJ|POS|UTR|SIN|IND|NOM//amod//27 rubrik//NN|UTR|SIN|IND|NOM//conj//10 av//PP//case//30 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 lydelse//NN|UTR|SIN|IND|NOM//nmod//27 .//MAD//punct//1
