Id-kort för folkbokförda i Sverige ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Id-kortsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Id-kort för folkbokförda i Sverige ;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 april//NN|UTR|SIN|IND|NOM//obj//1 2007//RG|NOM//nummod//4 att//IE//mark//7 bemyndiga//VB|INF|AKT//advcl//1 chefen//NN|UTR|SIN|DEF|NOM//obj//7 för//PP//case//10 Integrations-//PM|SMS//nmod//8 och//KN//cc//12 jämställdhetsdepartementet//NN|NEU|SIN|DEF|NOM//conj//10 att//IE//mark//14 tillkalla//VB|INF|AKT//acl//8 en//DT|UTR|SIN|IND//det//17 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//17 utredare//NN|UTR|SIN|IND|NOM//obj//14 med//PP//case//19 uppdrag//NN|NEU|SIN|IND|NOM//obl//14 att//IE//mark//21 utreda//VB|INF|AKT//advcl//14 hur//HA//advmod//25 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//25 kan//VB|PRS|AKT//aux//25 säkerställas//VB|INF|SFO//ccomp//21 att//SN//mark//28 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 finns//VB|PRS|SFO//ccomp//25 möjlighet//NN|UTR|SIN|IND|NOM//nsubj//28 för//PP//case//31 personer//NN|UTR|PLU|IND|NOM//nmod//29 som//HP|-|-|-//nsubj//36 inte//AB//advmod//36 är//VB|PRS|AKT//cop//36 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 medborgare//NN|UTR|PLU|IND|NOM//obl//28 men//KN//cc//39 som//HP|-|-|-//nsubj//39 har//VB|PRS|AKT//conj//36 rätt//PL//obj//39 att//IE//mark//43 vara//VB|INF|AKT//cop//43 bosatta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//40 i//PP//case//45 Sverige//PM|NOM//obl//43 att//IE//mark//47 få//VB|INF|AKT//xcomp//39 identitetskort//NN|NEU|SIN|IND|NOM//obj//47 .//MAD//punct//1
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 19//RG|NOM//nummod//2 april//NN|UTR|SIN|IND|NOM//obl//4 2007//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 justitierådet//NN|NEU|SIN|DEF|NOM//nmod//11 Per//PM|NOM//flat//5 Virdesten//PM|NOM//flat//5 att//IE//mark//11 vara//VB|INF|AKT//cop//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//4 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj//2 har//VB|PRS|AKT//aux//10 från//PP//case//8 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 8//RO|NOM//nummod//8 maj//NN|UTR|SIN|IND|NOM//obl//10 2007//RG|NOM//nummod//8 medverkat//VB|SUP|AKT//ROOT//10 folkbokföringsjuristen//NN|UTR|SIN|DEF|NOM//nmod//12 Marie//PM|NOM//nsubj//10 Ahlqvist//PM|NOM//flat//12 Bresle//PM|NOM//flat//12 ,//MID//punct//12 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//17 Eva//PM|NOM//appos//12 Lotta//PM|NOM//flat:name//17 Johansson//PM|NOM//flat:name//17 ,//MID//punct//12 utredaren//NN|UTR|SIN|DEF|NOM//nmod//22 Roy//PM|NOM//conj//12 Melchert//PM|NOM//flat//22 ,//MID//punct//22 t.f//AB|AN//conj//12 .//MAD//punct//10
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//28 Mira//PM|NOM//nsubj//10 Naumanen//PM|NOM//flat//28 ,//MID//punct//28 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//32 Erik//PM|NOM//appos//28 Stenström//PM|NOM//flat:name//32 samt//KN//cc//36 polisintendenten//NN|UTR|SIN|DEF|NOM//nmod//36 Staffan//PM|NOM//conj//28 Tilling//PM|NOM//flat:name//36 .//MAD//punct//10
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//1 Henrik//PM|NOM//nsubj//5 Andersson//PM|NOM//flat:name//1 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//cop//5 sekreterare//NN|UTR|SIN|IND|NOM//ROOT//5 i//PP//case//7 utredningen//NN|UTR|SIN|DEF|NOM//nmod//5 sedan//PP//case//11 den//DT|UTR|SIN|DEF//det//11 1//RO|NOM//nummod//11 maj//NN|UTR|SIN|IND|NOM//nmod//5 2007//RG|NOM//nummod//11 .//MAD//punct//5
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Id-kortsutredningen//NN|UTR|SIN|DEF|NOM//obj//2 (//PAD//punct//4 IJ//PM|NOM//appos//4 2007:03//RG|NOM//nummod//6 )//PAD//punct//4 .//MID//punct//2
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Härmed//AB//advmod//11 överlämnar//VB|PRS|AKT//conj//2 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//11 sitt//PS|NEU|SIN|DEF//nmod:poss//14 betänkande//NN|NEU|SIN|IND|NOM//nmod//15 Id-kort//NN|NEU|SIN|IND|NOM//obj//11  //_SP////15 för//PP//case//18 folkbokförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//11 i//PP//case//20 Sverige//PM|NOM//nmod//18 (//PAD//punct//11 SOU//PM|NOM//nmod//23 2007:100//RG|NOM//appos//11 )//PAD//punct//23 .//MAD//punct//30
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//30 är//VB|PRS|AKT//cop//30 härmed//AB//advmod//30 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//2 .//MAD//punct//2
