– en utvärdering;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 utvärdering//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 bidragsbrottslagen//NN|UTR|SIN|DEF|NOM//nmod//4
– en utvärdering;Stockholm//PM|NOM//ROOT//0 2018//RG|NOM//nummod//0

Till statsrådet och chefen för Finansdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 30//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 2016//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utvärdera//VB|INF|AKT//acl//12 tillämpningen//NN|UTR|SIN|DEF|NOM//obj//14 av//PP//case//17 bidragsbrottslagen//NN|UTR|SIN|DEF|NOM//nmod//15 (//PAD//punct//19 2007:612//RG|NOM//appos//17 )//PAD//punct//19 och//KN//cc//23 de//DT|UTR/NEU|PLU|DEF//det//23 effekter//NN|UTR|PLU|IND|NOM//conj//17 som//HP|-|-|-//obj//27 lagen//NN|UTR|SIN|DEF|NOM//nsubj//27 har//VB|PRS|AKT//aux//27 fått//VB|SUP|AKT//acl:relcl//23 samt//KN//cc//29 utvärdera//VB|INF|AKT//conj//27 lagen//NN|UTR|SIN|DEF|NOM//obj//29 (//PAD//punct//32 2008:206//RG|NOM//appos//30 )//PAD//punct//32 om//PP//case//35 underrättelseskyldighet//NN|UTR|SIN|IND|NOM//obl//29 vid//PP//case//38 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 utbetalningar//NN|UTR|PLU|IND|NOM//nmod//35 från//PP//case//40 välfärdssystemen//NN|NEU|PLU|DEF|NOM//nmod//38 .//MAD//punct//1
Till statsrådet och chefen för Finansdepartementet;Enligt//PP//case//43 direktiven//NN|NEU|PLU|DEF|NOM//obl//46 skulle//VB|PRT|AKT//aux//46 uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//46 redovisas//VB|INF|SFO//parataxis//1 senast//AB|SUV//case//50 den//DT|UTR|SIN|DEF//det//49 31//RG|NOM//nummod//50 augusti//NN|UTR|SIN|IND|NOM//obl//46 2017//RG|NOM//nummod//50 .//MAD//punct//46
Till statsrådet och chefen för Finansdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//54 beslutade//VB|PRT|AKT//parataxis//46 genom//PP//case//56 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//54 den//DT|UTR|SIN|DEF//det//59 6//RO|NOM//nummod//59 april//NN|UTR|SIN|IND|NOM//obl//54 2017//RG|NOM//nummod//59 att//IE//mark//62 förlänga//VB|INF|AKT//acl//59 utredningstiden//NN|UTR|SIN|DEF|NOM//obj//62 .//MAD//punct//1
Till statsrådet och chefen för Finansdepartementet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//69 skulle//VB|PRT|AKT//aux//69 i//PP//advmod//69 stället//NN|NEU|SIN|DEF|NOM//fixed//67 redovisas//VB|INF|SFO//parataxis//1 senast//AB|SUV//case//73 den//DT|UTR|SIN|DEF//det//73 28//RG|NOM//nummod//73 februari//NN|UTR|SIN|IND|NOM//obl//69 2018//RG|NOM//nummod//73 .//MAD//punct//1
Till statsrådet och chefen för Finansdepartementet;Den//DT|UTR|SIN|DEF//det//2 20//RG|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 2016//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//6 Lena//PM|NOM//nsubj:pass//4 Egelin//PM|NOM//flat:name//6 att//IE//mark//11 vara//VB|INF|AKT//cop//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//11
Till statsrådet och chefen för Finansdepartementet;Som//KN//case//14 experter//NN|UTR|PLU|IND|NOM//obl//17 i//PP//case//16 utredningen//NN|UTR|SIN|DEF|NOM//nmod//14 utsågs//VB|PRT|SFO//conj//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//19 dag//NN|UTR|SIN|IND|NOM//compound:prt//17 verksamhetsutvecklaren//NN|UTR|SIN|DEF|NOM//nmod//21 Karin//PM|NOM//appos//17 Everbrand//PM|NOM//flat:name//21 (//PAD//punct//21 Försäkringskassan//NN|UTR|SIN|DEF|NOM//appos//21 )//PAD//punct//21 ,//MID//punct//17 juristen//NN|UTR|SIN|DEF|NOM//nmod//31 och//KN//cc//30 kvalificerade//VB|PRT|AKT//amod//30 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//31 Ylva//PM|NOM//appos//17 Evers//PM|NOM//flat//31 (//PAD//punct//31 Polismyndigheten//NN|UTR|SIN|DEF|NOM//appos//31 )//PAD//punct//17 ,//MID//punct//38 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//38 Erland//PM|NOM//appos//4 Koch//PM|NOM//flat:name//38 (//PAD//punct//38 Justitiedepartementet//PM|NOM//appos//38 )//PAD//punct//38 ,//MID//punct//4 särskilde//PC|PRF|MAS|SIN|DEF|NOM//advmod//46 rådgivaren//NN|UTR|SIN|DEF|NOM//nmod//46 Clas//PM|NOM//dep//4 Lind//PM|NOM//flat:name//46 (//PAD//punct//46 Migrationsverket//NN|NEU|SIN|DEF|NOM//appos//46 )//PAD//punct//46 ,//MID//punct//53 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 Anna//PM|NOM//dep//4 Meyrowitsch//PM|NOM//flat:name//53 (//PAD//punct//56 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//54 )//PAD//punct//56 ,//MID//punct//60 kontrollanalytikern//NN|UTR|SIN|DEF|NOM//nmod//60 Helena//PM|NOM//dep//4 Rönnblom//PM|NOM//flat:name//60 (//PAD//punct//60 Centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 Studiestödsnämnden//NN|UTR|SIN|DEF|NOM//appos//60 )//PAD//punct//60 ,//MID//punct//4 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//68 Maria//PM|NOM//dep//4 Söderberg//PM|NOM//flat:name//68 (//PAD//punct//68 Socialdepartementet//NN|NEU|SIN|DEF|NOM//appos//68 )//PAD//punct//68 ,//MID//punct//76 polisinspektören//NN|UTR|SIN|DEF|NOM//nmod//75 Anna-Lena//PM|NOM//nsubj//76 Tapper//PM|NOM//conj//4 (//PAD//punct//76 Polismyndigheten//NN|UTR|SIN|DEF|NOM//appos//76 )//PAD//punct//76 och//KN//cc//82 kammaråklagaren//NN|UTR|SIN|DEF|NOM//nmod//82 Susanne//PM|NOM//conj//4 Öhbom//PM|NOM//flat:name//82 (//PAD//punct//82 Södertörns//PM|GEN//nmod:poss//86 åklagarkammare//NN|UTR|PLU|IND|NOM//appos//82 )//PAD//punct//82 .//MAD//punct//4
Till statsrådet och chefen för Finansdepartementet;Maria//PM|NOM//nsubj:pass//94 Söderberg//PM|NOM//flat:name//89 och//KN//cc//92 Anna//PM|NOM//conj//89 Meyrowitsch//PM|NOM//flat:name//92 entledigades//VB|PRT|SFO//parataxis//4 från//PP//case//97 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//97 uppdrag//NN|NEU|PLU|IND|NOM//obl//94 med//PP//case//99 verkan//NN|UTR|SIN|IND|NOM//nmod//97 från//PP//advmod//94 och//KN//fixed//100 med//PP//fixed//100 den//DT|UTR|SIN|DEF//det//105 20//RG|NOM//nummod//105 september//NN|UTR|SIN|IND|NOM//fixed//100 2017//RG|NOM//nummod//105 respektive//AB//fixed//100 den//DT|UTR|SIN|DEF//det//109 19//RG|NOM//nummod//110 oktober//NN|UTR|SIN|IND|NOM//nmod//111 2017//RG|NOM//obl//94 .//MAD//punct//94
Till statsrådet och chefen för Finansdepartementet;Förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//114 Lena//PM|NOM//nsubj:pass//129 Dalman//PM|NOM//flat:name//114 (//PAD//punct//114 Sveriges//PM|GEN//nmod:poss//118 Kommuner//NN|UTR|PLU|IND|NOM//appos//114 och//KN//cc//120 Landsting//NN|UTR|SIN|IND|NOM//conj//118 )//PAD//punct//114 och//KN//cc//124 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//124 Elisabeth//PM|NOM//conj//114 Sundin//PM|NOM//flat:name//124 (//PAD//punct//114 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//114 )//PAD//punct//114 förordnades//VB|PRT|SFO//parataxis//94 att//IE//mark//132 vara//VB|INF|AKT//cop//132 experter//NN|UTR|PLU|IND|NOM//xcomp//129 i//PP//case//134 utredningen//NN|UTR|SIN|DEF|NOM//nmod//132 från//PP//advmod//129 och//KN//cc//137 med//PP//fixed//135 den//DT|UTR|SIN|DEF//det//140 2//RO|NOM//nummod//140 mars//NN|UTR|SIN|IND|NOM//obl//129 2017//RG|NOM//nummod//140 respektive//AB//cc//145 den//DT|UTR|SIN|DEF//det//145 19//RG|NOM//nummod//145 oktober//NN|UTR|SIN|IND|NOM//conj//94 2017//RG|NOM//nummod//145 .//MAD//punct//94
