arbete, hållbar tillväxt och välfärd;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Till statsrådet Sven-Erik Bucht;Den//DT|UTR|SIN|DEF//det//147 30//RG|NOM//nummod//147 september//NN|UTR|SIN|IND|NOM//obl//149 2016//RG|NOM//nummod//147 entledigades//VB|PRT|SFO//parataxis//4 Anna//PM|NOM//nsubj:pass//149 Hedberg//PM|NOM//flat:name//150 .//MAD//punct//4
Till statsrådet Sven-Erik Bucht;Den//DT|UTR|SIN|DEF//det//155 1//RO|NOM//nummod//155 oktober//NN|UTR|SIN|IND|NOM//obl//157 2016//RG|NOM//nummod//155 förordnades//VB|PRT|SFO//parataxis//4 departementssekreterare//NN|UTR|SIN|IND|NOM//nmod//159 Maria//PM|NOM//nsubj:pass//157 Ahlsved//PM|NOM//flat:name//159 som//KN//case//162 expert//NN|UTR|SIN|IND|NOM//xcomp//157 i//PP//case//164 kommittén//NN|UTR|SIN|DEF|NOM//obl//157 .//MAD//punct//4
Till statsrådet Sven-Erik Bucht;Som//KN//mark//1 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//2 anställdes//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 1//RO|NOM//nummod//5 augusti//NN|UTR|SIN|IND|NOM//nsubj:pass//2 2015//RG|NOM//nummod//7 utredare//NN|UTR|PLU|IND|NOM//parataxis//2 Martin//PM|NOM//nsubj//7 Johansson//PM|NOM//flat:name//8 .//MAD//punct//7
Till statsrådet Sven-Erik Bucht;Som//KN//case//12 sekreterare//NN|UTR|SIN|IND|NOM//obl//13 anställdes//VB|PRT|SFO//conj//2 den//DT|UTR|SIN|DEF//det//16 24//RG|NOM//nummod//16 augusti//NN|UTR|SIN|IND|NOM//nsubj:pass//13 2015//RG|NOM//nummod//18 utredare//NN|UTR|PLU|IND|NOM//appos//13 Hanna//PM|NOM//nsubj//18 Wallinder//PM|NOM//flat:name//19 ,//MID//punct//18 den//DT|UTR|SIN|DEF//det//24 2//RO|NOM//nummod//24 september//NN|UTR|SIN|IND|NOM//appos//18 2015//RG|NOM//nummod//26 fil//NN|AN//nmod//24 .//MAD//punct//18
Till statsrådet Sven-Erik Bucht;mag//NN|AN//parataxis//2 .//MID//punct//28
Till statsrådet Sven-Erik Bucht;Martin//PM|NOM//discourse//61 Olauzon//PM|NOM//flat:name//30 och//KN//cc//38 den//DT|UTR|SIN|DEF//det//34 14//RG|NOM//nummod//35 september//NN|UTR|SIN|IND|NOM//obl//38 2015//RG|NOM//nummod//35 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//38 Mathilda//PM|NOM//conj//30 Åberg//PM|NOM//flat:name//38 .//MAD//punct//30
Till statsrådet Sven-Erik Bucht;Den//DT|UTR|SIN|DEF//det//43 31//RG|NOM//nummod//43 december//NN|UTR|SIN|IND|NOM//obl//45 2015//RG|NOM//nummod//43 entledigades//VB|PRT|SFO//parataxis//30 Martin//PM|NOM//nsubj:pass//45 Olauzon//PM|NOM//flat//46 .//MAD//punct//30
Till statsrådet Sven-Erik Bucht;Den//DT|UTR|SIN|DEF//det//51 10//RG|NOM//nummod//51 april//NN|UTR|SIN|IND|NOM//obl//53 2016//RG|NOM//nummod//51 entledigades//VB|PRT|SFO//parataxis//30 Martin//PM|NOM//nsubj:pass//53 Johansson//PM|NOM//flat//54 .//MAD//punct//30
Till statsrådet Sven-Erik Bucht;Den//DT|UTR|SIN|DEF//det//59 1//RO|NOM//nummod//59 april//NN|UTR|SIN|IND|NOM//obl//61 2016//RG|NOM//nummod//59 anställdes//VB|PRT|SFO//conj//2 tidigare//AB|KOM//amod//63 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//64 Sören//PM|NOM//obj//61 Häggroth//PM|NOM//flat:name//64 som//KN//mark//67 huvudsekreterare//NN|UTR|SIN|IND|NOM//xcomp//61 .//MAD//punct//61
Till statsrådet Sven-Erik Bucht;Den//DT|UTR|SIN|DEF//det//71 19//RG|NOM//nummod//71 juni//NN|UTR|SIN|IND|NOM//obl//73 2016//RG|NOM//nummod//71 entledigades//VB|PRT|SFO//parataxis//61 Mathilda//PM|NOM//nsubj:pass//73 Åberg//PM|NOM//flat//74 .//MAD//punct//73
