9 Ikraftträdande och genomförande ;Förslag//NN|NEU|PLU|IND|NOM//nsubj//12 ://MID//punct//0
9 Ikraftträdande och genomförande  / Ikraftträdande;Vi//PN|UTR|PLU|DEF|SUB//nsubj//55 anser//VB|PRS|AKT//parataxis//1 även//AB//advmod//55 att//SN//mark//60 ikraftträdandet//NN|NEU|SIN|DEF|NOM//nsubj//60 bör//VB|PRS|AKT//aux//60 ske//VB|INF|AKT//ccomp//55 efter//PP//case//64 de//DT|UTR/NEU|PLU|DEF//det//64 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 val//NN|NEU|PLU|IND|NOM//obl//60 som//HP|-|-|-//nsubj:pass//67 ska//VB|PRS|AKT//aux//67 hållas//VB|INF|SFO//acl:relcl//64 i//PP//case//70 september//NN|UTR|SIN|IND|NOM//fixed//68 2018//RG|NOM//obl//67 .//MAD//punct//1

9 Ikraftträdande och genomförande  / Övergångsbestämmelser;De//DT|UTR/NEU|PLU|DEF//det//1 regionplaner//NN|UTR|PLU|IND|NOM//nsubj//10 som//HP|-|-|-//nsubj:pass//4 har//VB|PRS|AKT//aux//4 antagits//VB|SUP|SFO//acl:relcl//1 före//PP//case//8 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 januari//NN|UTR|SIN|IND|NOM//obl//4 2019//RG|NOM//nummod//8 föreslår//VB|PRS|AKT//ROOT//10 vi//PN|UTR|PLU|DEF|SUB//nsubj//10 ska//VB|PRS|AKT//aux//13 gälla//VB|INF|AKT//advcl//10 som//KN//case//17 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 fysiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 program//NN|NEU|PLU|IND|NOM//obl//13 enligt//PP//case//21 den//DT|UTR|SIN|DEF//det//21 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 lagen//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//10
9 Ikraftträdande och genomförande  / Övergångsbestämmelser;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//24 berör//VB|PRS|AKT//parataxis//10 endast//AB//advmod//24 Stockholms//PM|GEN//nmod:poss//27 län//NN|NEU|SIN|IND|NOM//obj//24 .//MAD//punct//24
9 Ikraftträdande och genomförande  / Övergångsbestämmelser;Länets//NN|NEU|SIN|DEF|GEN//nmod:poss//30 regionplan//NN|UTR|SIN|IND|NOM//nsubj:pass//31 antogs//VB|PRT|SFO//parataxis//24 2010//RG|NOM//nummod//31 och//KN//cc//34 gäller//VB|PRS|AKT//conj//31 fram//AB//advmod//34 till//PP//case//37 2018//RG|NOM//obl//34 .//MAD//punct//31
9 Ikraftträdande och genomförande  / Övergångsbestämmelser;Stockholms//PM|GEN//nmod:poss//40 läns//NN|NEU|SIN|IND|GEN//nmod:poss//41 landsting//NN|NEU|SIN|IND|NOM//nsubj//42 förbereder//VB|PRS|AKT//conj//31 för//PP//case//44 närvarande//NN|NEU|SIN|IND|NOM//advmod//42 en//DT|UTR|SIN|IND//det//47 ny//JJ|POS|UTR|SIN|IND|NOM//amod//47 regionplan//NN|UTR|SIN|IND|NOM//obj//42 .//MAD//punct//24
9 Ikraftträdande och genomförande  / Övergångsbestämmelser;Vidare//AB|KOM//advmod//1 föreslår//VB|PRS|AKT//ROOT//1 vi//PN|UTR|PLU|DEF|SUB//nsubj//1 att//SN//mark//7 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 lagförslag//NN|NEU|PLU|IND|NOM//nsubj//7 ska//VB|PRS|AKT//aux//7 träda//VB|INF|AKT//ccomp//1 i//PP//compound:prt//7 kraft//NN|UTR|SIN|IND|NOM//obj//7 vid//PP//case//12 samma//DT|UTR/NEU|SIN/PLU|IND//det//12 tidpunkt//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//1
9 Ikraftträdande och genomförande  / Övergångsbestämmelser;Äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 föreskrifter//NN|UTR|PLU|IND|NOM//nsubj//4 ska//VB|PRS|AKT//aux//4 fortfarande//AB//advmod//4 gälla//VB|INF|AKT//ROOT//4 för//PP//case//6 ärenden//NN|NEU|PLU|IND|NOM//obl//4 om//PP//case//8 regionplaner//NN|UTR|PLU|IND|NOM//nmod//6 ,//MID//punct//10 översiktsplaner//NN|UTR|PLU|IND|NOM//conj//8 ,//MID//punct//12 detaljplaner//NN|UTR|PLU|IND|NOM//conj//8 och//KN//cc//14 områdesbestämmelser//NN|UTR|PLU|IND|NOM//conj//8 ,//MID//punct//16 länsplaner//NN|UTR|PLU|IND|NOM//conj//8 för//PP//case//19 regional//JJ|POS|UTR|SIN|IND|NOM//amod//19 transportinfarstruktur//NN|UTR|SIN|IND|NOM//nmod//16 ,//MID//punct//22 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 utvecklingsprogram//NN|NEU|PLU|IND|NOM//conj//8 ,//MID//punct//24 trafikförsörjningsprogram//NN|NEU|PLU|IND|NOM//conj//8 och//KN//cc//27 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 riktlinjer//NN|UTR|PLU|IND|NOM//conj//8 för//PP//case//29 bostadsförsörjning//NN|UTR|SIN|IND|NOM//nmod//27 .//MAD//punct//4
9 Ikraftträdande och genomförande  / Övergångsbestämmelser;Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 ska//VB|PRS|AKT//aux//33 gälla//VB|INF|AKT//parataxis//4 för//PP//case//35 rapporter//NN|UTR|PLU|IND|NOM//obl//33 om//PP//case//37 bostadsmarknadsanalyser//NN|UTR|PLU|IND|NOM//nmod//35 som//HP|-|-|-//nsubj:pass//40 har//VB|PRS|AKT//aux//40 påbörjats//VB|SUP|SFO//acl:relcl//37 före//PP//case//44 den//DT|UTR|SIN|DEF//det//44 1//RO|NOM//nummod//44 januari//NN|UTR|SIN|IND|NOM//obl//40 2019//RG|NOM//nummod//44 samt//KN//cc//48 för//PP//case//48 mål//NN|NEU|PLU|IND|NOM//conj//44 och//KN//cc//50 ärenden//NN|NEU|PLU|IND|NOM//conj//48 som//HP|-|-|-//nsubj//52 avser//VB|PRS|AKT//acl:relcl//50 överklagande//NN|NEU|SIN|IND|NOM//xcomp//52 och//KN//cc//55 överprövning//NN|UTR|SIN|IND|NOM//conj//53 av//PP//case//57 beslut//NN|NEU|PLU|IND|NOM//nmod//55 om//PP//case//60 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//60 planeringsdokument//NN|NEU|PLU|IND|NOM//obl//52 och//KN//cc//62 rapporter//NN|UTR|PLU|IND|NOM//conj//60 till//PP//case//65 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//65 målet//NN|NEU|SIN|DEF|NOM//obl//52 eller//KN//cc//67 ärendet//NN|NEU|SIN|DEF|NOM//conj//65 är//VB|PRS|AKT//cop//70 slutligt//AB|POS//advmod//70 avgjort//PC|PRF|NEU|SIN|IND|NOM//conj//4 .//MAD//punct//4

