En förvaltning som håller ihop;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 E-delegationen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Mehmet Kaplan;Cecilia//PM|NOM//nsubj//23 Bredenwall//PM|NOM//flat//20 var//VB|PRT|AKT//cop//23 t.f//AB|AN//parataxis//2 .//MAD//punct//23
Till statsrådet Mehmet Kaplan;kanslichef//NN|UTR|SIN|IND|NOM//parataxis//23 under//PP//case//27 perioden//NN|UTR|SIN|DEF|NOM//nmod//25 1//RG|NOM//nummod//29 april//NN|UTR|SIN|IND|NOM//nmod//25 2012//RG|NOM//nummod//29 till//PP//case//35 och//KN//fixed//31 med//AB//fixed//31 11//RG|NOM//nummod//35 november//NN|UTR|SIN|IND|NOM//nmod//25 2012//RG|NOM//nummod//35 .//MAD//punct//23
Till statsrådet Mehmet Kaplan;Ewa//PM|NOM//nsubj:pass//40 Carlsson//PM|NOM//flat:name//38 anställdes//VB|PRT|SFO//conj//23 som//KN//mark//42 kanslichef//NN|UTR|SIN|IND|NOM//obl//40 från//PP//case//47 och//KN//fixed//43 med//PP//case//47 12//RG|NOM//nummod//47 november//NN|UTR|SIN|IND|NOM//nmod//42 2012//RG|NOM//nummod//47 .//MAD//punct//2
Till statsrådet Mehmet Kaplan;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 E-delegationen//NN|UTR|SIN|DEF|NOM//obj//2 .//MAD//punct//2
Till statsrådet Mehmet Kaplan;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2009//RG|NOM//nummod//8 sitt//PS|NEU|SIN|DEF//nmod:poss//8 första//RO|NOM//amod//8 betänkande//NN|NEU|SIN|IND|NOM//nmod//9 Strategi//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//12 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 arbete//NN|NEU|SIN|IND|NOM//obl//1 med//PP//case//15  //_SP////13 e-förvaltning//NN|UTR|SIN|IND|NOM//obl//1 (//PAD//punct//15 SOU//PM|NOM//appos//15 2009:86//RG|NOM//nummod//17 )//PAD//punct//15 .//MAD//punct//1
Till statsrådet Mehmet Kaplan;Därefter//AB//advmod//22 har//VB|PRS|AKT//aux//25 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 betänkanden//NN|NEU|PLU|IND|NOM//nsubj:pass//25 redovisats//VB|SUP|SFO//conj//1 ://MID//punct//25
Till statsrådet Mehmet Kaplan;//NN|AN//parataxis//25 Så//AB//advmod//34 enkelt//AB|POS//fixed//28 som//KN//mark//31 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//28 för//PP//fixed//28 så//AB//advmod//34 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//advcl//25 som//KN//mark//36 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//34 –//RG|NOM//punct//39 från//PP//case//39 strategi//NN|UTR|SIN|IND|NOM//obl//25 till//PP//case//41 handling//NN|UTR|SIN|IND|NOM//nmod//39 för//PP//case//44 e//JJ|AN//nummod//44 förvaltning//NN|UTR|SIN|IND|NOM//nmod//39 (//PAD//punct//39 SOU//PM|NOM//appos//39 2010:20//RG|NOM//nmod//46 )//PAD//punct//39 //NN|AN//obl//25 Så//AB//advmod//56 enkelt//AB|POS//fixed//50 som//KN//mark//53 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//50 för//PP//fixed//50 så//AB//advmod//56 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//advcl//25 som//KN//mark//58 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//56 .//MAD//punct//25
Till statsrådet Mehmet Kaplan;Under//PP//case//61 konstruktion//NN|UTR|SIN|IND|NOM//obl//25 –//RG|NOM//punct//61 framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//65  //_SP////63 e-förvaltning//NN|UTR|SIN|IND|NOM//conj//61 (//PAD//punct//65 SOU//PM|NOM//appos//65 2010:62//RG|NOM//conj//61 )//PAD//punct//61 //NN|AN//conj//61 Så//AB//advmod//74 enkelt//AB|POS//fixed//71 som//KN//mark//74 möjligt//JJ|POS|NEU|SIN|IND|NOM//advmod//70 för//PP//case//77 så//AB//advmod//77 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//61 som//KN//mark//79 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//77 –//RG|NOM//punct//82 En//DT|UTR|SIN|IND//det//82 bit//NN|UTR|SIN|IND|NOM//conj//61 på//PP//case//84 väg//NN|UTR|SIN|IND|NOM//nmod//82 (//PAD//punct//82 SOU//PM|NOM//nmod//82 2011:27//RG|NOM//nummod//82 )//PAD//punct//61 //NN|AN//conj//61 Så//AB//advmod//96 enkelt//AB|POS//fixed//90 som//KN//mark//93 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//90 för//PP//fixed//90 så//AB//advmod//96 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//61 som//KN//mark//98 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//96 –//MID//punct//61 vägen//NN|UTR|SIN|DEF|NOM//nsubj//116 till//PP//case//102 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//104  //_SP////102 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//100 (//PAD//punct//104 SOU//PM|NOM//appos//104 2011:67//RG|NOM//conj//106 )//PAD//punct//106 //NN|AN//conj//104 Så//AB//advmod//116 enkelt//AB|POS//fixed//110 som//KN//mark//113 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//110 för//PP//fixed//110 så//AB//advmod//116 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//61 som//KN//mark//118 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//116 –//MID//punct//122 den//DT|UTR|SIN|DEF//det//122 mjuka//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//122 infrastrukturen//NN|UTR|SIN|DEF|NOM//conj//61 på//PP//case//124 väg//NN|UTR|SIN|IND|NOM//nmod//122 (//PAD//punct//122 SOU//PM|NOM//appos//122 2012:18//RG|NOM//nmod//126 )//PAD//punct//129 //NN|AN//conj//61 Så//AB//advmod//133 enkelt//AB|POS//fixed//130 som//KN//mark//133 möjligt//JJ|POS|NEU|SIN|IND|NOM//conj//61 för//PP//case//136 så//AB//advmod//136 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//61 som//KN//mark//138 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//136 –//RG|NOM//punct//141 förstärkt//PC|PRF|UTR|SIN|IND|NOM//amod//141 samordning//NN|UTR|SIN|IND|NOM//conj//61 av//PP//case//144 förvaltningsgemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//144 tjänster//NN|UTR|PLU|IND|NOM//nmod//141 (//PAD//punct//141 SOU//PM|NOM//conj//61 2012:68//RG|NOM//conj//146 )//PAD//punct//146 //NN|AN//conj//61 Så//AB//advmod//153 enkelt//AB|POS//fixed//150 som//KN//mark//153 möjligt//JJ|POS|NEU|SIN|IND|NOM//conj//61 för//PP//case//156 så//AB//advmod//156 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//61 som//KN//mark//158 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//156 –//RG|NOM//punct//160 samordning//NN|UTR|SIN|IND|NOM//conj//61 och//KN//cc//163 digital//JJ|POS|UTR|SIN|IND|NOM//amod//163 samverkan//NN|UTR|SIN|IND|NOM//conj//61 (//PAD//punct//61 SOU//PM|NOM//appos//61 2013:22//RG|NOM//conj//61 )//PAD//punct//61 //NN|AN//nmod//169 Organisering//NN|UTR|SIN|IND|NOM//conj//61 av//PP//case//173 framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//173  //_SP////171 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//169 (//PAD//punct//173 SOU//PM|NOM//conj//169 2013:75//RG|NOM//nummod//175 )//PAD//punct//169 //NN|AN//conj//61 Så//AB//advmod//182 enkelt//AB|POS//fixed//179 som//KN//mark//182 möjligt//JJ|POS|NEU|SIN|IND|NOM//conj//61 för//PP//case//185 så//AB//advmod//185 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//61 som//KN//mark//187 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//185 .//MID//punct//61
Till statsrådet Mehmet Kaplan; //_SP////188 It-standardisering//NN|UTR|SIN|IND|NOM//conj//61 inom//PP//case//192 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//190 (//PAD//punct//61 SOU//PM|NOM//appos//61 2013:77//RG|NOM//nmod//194 )//PAD//punct//61 //NN|AN//conj//61 Så//AB//advmod//201 enkelt//AB|POS//fixed//198 som//KN//mark//201 möjligt//JJ|POS|NEU|SIN|IND|NOM//conj//61 för//PP//case//204 så//AB//advmod//204 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//61 som//KN//mark//206 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//204 –//RG|NOM//punct//210 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//209 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//210 förutsättningar//NN|UTR|PLU|IND|NOM//conj//61 för//PP//case//212 samverkan//NN|UTR|SIN|IND|NOM//nmod//210 och//KN//cc//214 service//NN|UTR|SIN|IND|NOM//conj//212 (//PAD//punct//210 SOU//PM|NOM//appos//210 2014:39//RG|NOM//conj//210 )//PAD//punct//61 //AB|AN//conj//61 Automatiserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//221 beslut//NN|NEU|PLU|IND|NOM//conj//61 –//PAD//punct//224 färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//224 regler//NN|UTR|PLU|IND|NOM//nsubj//225 ger//VB|PRS|AKT//acl:relcl//61 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//227 reglering//NN|UTR|SIN|IND|NOM//obj//225 (//PAD//punct//225 SOU//PM|NOM//appos//225 2014:75//RG|NOM//obl//225 )//PAD//punct//1
Till statsrådet Mehmet Kaplan;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 sitt//PS|NEU|SIN|DEF//nmod:poss//3 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//1 En//DT|UTR|SIN|IND//det//5 förvaltning//NN|UTR|SIN|IND|NOM//obj//1 som//HP|-|-|-//nsubj//7 håller//VB|PRS|AKT//acl:relcl//5 ihop//PL//compound:prt//7  //_SP////8 (//PAD//punct//11 SOU//PM|NOM//appos//5 2015:66//RG|NOM//nummod//11 )//PAD//punct//11 .//MAD//punct//19
