7LOO VWDWVUnGHW RFK FKHIHQ I|U 0LOM|GHSDUWHPHQWHW;+//MID//cc//1 nNDQ//NN|AN//ROOT//1 -XOLXV//MAD//punct//1

,QQHKnOO (1);)//PAD//punct//2 |UNRUWQLQJDU//JJ|POS|UTR/NEU|-|-|SMS//advmod//2 6DPPDQIDWWQLQJ//AB|AN//ROOT//2 )//PAD//punct//2 |UIDWWQLQJVI|UVODJ//NN|UTR|SIN|IND|NOM//parataxis//2
,QQHKnOO (1);RP//PM|NOM//nsubj//1 IXQNWLRQVNRQWUROO//PM|NOM//ROOT//1 DY//PM|NOM//obj//1
,QQHKnOO (1);YHQWLODWLRQVV\VWHP//RG|NOM//ROOT//0
,QQHKnOO (1);RP//PM|NOM//nmod//1 IDVWLJKHWVUHJLVWHU//PM|NOM//nsubj:pass//26 $//NN|UTR|SIN|IND|NOM//nmod//1 875('1,1*(16//NN|UTR|SIN|IND|NOM//cc//5 833'5//RG|NOM//cop//5 $//NN|UTR|SIN|IND|NOM//nmod//1 *//MID//punct//5 2&+//RG|NOM//nummod//8 $//NN|AN//nmod//9 5%(7//RG|NOM//nmod//5 (//PAD//punct//9 8WUHGQLQJVXSSGUDJHW//AB|AN//advmod//12 0LOM|NYDOLWHWVPnO//PM|NOM//nmod//14 RFK//PM|NOM//nmod//14 GHOPnO//PM|NOM//appos//9 $//PM|NOM//punct//9 OOPlQW//PM|NOM//nmod//17 %//NN|AN//nsubj//18 \JJQDGVPLOM|XWUHGQLQJHQ//RG|NOM//amod//21 %//NN|AN//nmod//20 \JJQDGHUV//MID//amod//21 HQHUJLSUHVWDQGD//PM|NOM//appos//1 '//PAD//punct//21 HNODUDWLRQHU//PM|NOM//nmod//25 gYHUYlJDQGHQ//PM|NOM//nmod//25 RFK//PM|NOM//appos//1 I|UVODJ//PM|NOM//ROOT//26 $//PM|NOM//nummod//26 OOPlQQD//PM|NOM//case//31 XWJnQJVSXQNWHU//RG|NOM//nmod//31 $//PM|NOM//nmod//31 OOPlQW//PM|NOM//obl//26
,QQHKnOO (1);PRWVYDUDQGH//PM|NOM//ROOT//0 (//PAD//punct//2 QNlWHU//NN|UTR|SIN|IND|NOM//appos//0
,QQHKnOO (1);"NRPPXQ//PM|NOM//ROOT//0 ""//PAD//punct//0"
,QQHKnOO (1);"XWK\UQLQJ//RG|NOM//ROOT//0 ""//PAD//punct//0 )//PAD//punct//0 DVWLJKHWVPlNODUHQV//PAD//parataxis//0 UROO//NN|NEU|PLU|IND|NOM//obj//3 &//KN|AN//cc//6 5(*,67(5//RG|NOM//conj//4 )//PAD//punct//3 DVWLJKHWVUHJLVWUHW//PM|NOM//conj//3 $//PM|NOM//conj//3 OOPlQW//PM|NOM//conj//3 1lUPDUH//RG|NOM//nummod//13 RP//PM|NOM//nmod//13 E\JJQDGVUHJLVWUHW//PM|NOM//conj//3 /lJHQKHWVUHJLVWUHW//RG|NOM//conj//3 3DQWEUHYVUHJLVWUHW//JJ|AN//nummod//16 1nJUD//JJ|POS|NEU|SIN|IND|NOM//conj//3 I|UHVODJQD//PM|NOM//amod//18 UHJLVWHU//PM|NOM//nmod//3 0LOM|LQIRUPDWLRQ//RG|NOM//conj//3 L//PM|NOM//flat:name//19 IDVWLJKHWVUHJLVWUHW//PM|NOM//conj//3 .RPPXQHUQD//RG|NOM//punct//3 RFK//PM|NOM//conj//3 IDVWLJKHWVUHJLVWUHW//PM|NOM//obj//23 2IIHQWOLJKHWVSULQFLSHQ//AB|AN//punct//3 6HNUHWHVVODJHQ//NN|AN//punct//3 $//UO//conj//3 OOPlQW//NN|UTR|SIN|IND|NOM//conj//3"
,QQHKnOO (1);QlULQJVOLYHW//RG|NOM//nsubj:pass//6 6HNUHWHVV//AB|AN//nummod//2 L//PM|NOM//nmod//5 XSSGUDJVYHUNVDPKHW//PM|NOM//flat:name//2 gYHUYlJDQGHQ//PM|NOM//nmod//5 RFK//PM|NOM//nmod//0 I|UVODJ//PM|NOM//ROOT//6 $//PM|NOM//nummod//6 OOPlQQD//PM|NOM//nmod//6 XWJnQJVSXQNWHU//RG|NOM//nmod//10 0|MOLJKHWHUQD//RG|NOM//nmod//11 WLOO//PM|NOM//nmod//12 XSSI|OMQLQJ//PM|NOM//obj//6 (//PAD//punct//6 OHNWURQLVN//PM|NOM//parataxis//6 KDQWHULQJ//PM|NOM//flat//14 ,//MID//punct//18 QIRUPDWLRQVVSULGQLQJ//NN|UTR|SIN|DEF|NOM//compound//18 7LOOV\QVYHUNVDPKHWHQ//RG|NOM//conj//14 ,//MID//punct//20 QWHJULWHW//PM|NOM//conj//14 ,//MID//punct//20 QWHJULWHWVIUnJRU//UO//mark//25 bQGDPnOHQ//AB|AN//nmod//25 '//PAD//punct//25 g95,*$//UO//conj//14 )//PAD//punct//25 5c*25//RG|NOM//conj//14 ,//MID//punct//29 NUDIWWUlGDQGH//PAD//parataxis//6 RFK//PM|NOM//nsubj//29 |YHUJnQJVEHVWlPPHOVHU//RG|NOM//conj//6 ,//MID//punct//33 NUDIWWUlGDQGH//PAD//parataxis//6 gYHUJnQJVEHVWlPPHOVHU//NN|UTR|SIN|IND|NOM//nsubj//33 .RQVHNYHQVHU//MAD//punct//33 (//PAD//punct//37 NRQRPLVND//PM|NOM//appos//6 NRQVHNYHQVHU//PM|GEN//nmod//39 $//MID//nmod//40 OOPlQW//PM|NOM//obj//37 (//PAD//punct//37 NRQRPLVND//PM|NOM//amod//43 NRQVHNYHQVHU//PM|GEN//nsubj//44 I|U//PM|NOM//parataxis//37 /DQWPlWHULYHUNHW//PM|NOM//punct//37 ,//MID//punct//37 QIRUPDWLRQ//PM|NOM//conj//37
,QQHKnOO (1); //_SP////1 6DPPDQIDWWQLQJ//KN|AN//nmod//2 DY//PM|NOM//nsubj//5 NRVWQDGHUQD//PM|NOM//nmod//2 )//PAD//punct//2 LQDQVLHULQJ//PM|NOM//ROOT//5 gYULJD//PAD//obj//5 NRQVHNYHQVHU//PM|NOM//obj//5 )//PAD//punct//5 |UIDWWQLQJVNRPPHQWDU//NN|NEU|SIN|IND|NOM//conj//5
,QQHKnOO (1);RP//PM|NOM//nsubj//1 IXQNWLRQVNRQWUROO//PM|NOM//ROOT//1 DY//PM|NOM//obj//1
,QQHKnOO (1);YHQWLODWLRQVV\VWHP//RG|NOM//ROOT//0
,QQHKnOO (1);RP//PM|NOM//nsubj//1 IDVWLJKHWVUHJLVWHU//PM|NOM//nummod//2 %//NN|AN//obl//3 LODJRU//AB|KOM//ROOT//3 %//NN|AN//nmod//5 LODJD//PM|NOM//nsubj//3 %//NN|AN//nmod//7 LODJD//PM|NOM//conj//3 %//NN|AN//nmod//9 LODJD//PM|NOM//conj//3 %//NN|AN//nmod//11 LODJD//PM|NOM//conj//3 %//NN|AN//nmod//13 LODJD//PM|NOM//compound//15 %//NN|AN//nmod//15 LODJD//PM|NOM//obj//3


,QOHGQLQJ (1);'//PAD//punct//3 lUXW|YHU//PM|NOM//nmod//3 KDU//PM|NOM//nmod//3 XWUHGQLQJHQ//PM|NOM//nsubj//4 RFNVn//PM|GEN//advcl//18 InWW//PM|NOM//nmod//6 L//PM|NOM//nmod//4 XSSGUDJ//RO|NOM//flat//6 DWW//PM|NOM//nmod//9 XWYlUGHUD//RG|NOM//appos//4 ODJHQ//NN|AN//nmod//11 RP//PM|NOM//xcomp//4 E\JJIHOVI|UVlNULQJ//NN|UTR|SIN|IND|NOM//nummod//13 RFK//PM|NOM//conj//11 I|UHVOn//RG|NOM//conj//11 PRWLYHUDGH//NN|UTR|SIN|IND|NOM//compound//16 ODJlQGULQJDU//RG|NOM//obl//4 VDPW//NN|UTR|SIN|IND|NOM//advmod//4 |YHUYlJD//PP//ROOT//18 RP//PM|NOM//nmod//20 NUDYHW//NN|UTR|PLU|IND|NOM//nmod//21 Sn//NN|AN//nsubj//18 E\JJIHOVI|UVlNULQJ//NN|UTR|SIN|IND|NOM//det//24 E|U//PM|NOM//amod//24 XWYLGJDV//PM|NOM//obl//18


5HJLVWHU;PLOMRQHU//VB|PRS|AKT//nsubj//1 NU//AB//ROOT//1


NDS;†//NN|UTR|SIN|IND|NOM//ROOT//0
NDS;BBBBBBBBBBBBB//PM|NOM//ROOT//0
NDS;E\JJQDGVGHNODUDWLRQ//NN|NEU|SIN|IND|NOM//ROOT//0
NDS;BBBBBBBBBBBBB//PM|NOM//ROOT//0
NDS;BBBBBBBBBBBBB//PM|NOM//nsubj//3 +//MID//cc//2 lULJHQRP//AB|AN//conj//0 I|UHVNULYV//PM|NOM//ROOT//3 I|OMDQGH//PM|NOM//obl//3 †//NN|AN//punct//3 †//NN|AN//punct//3 †//NN|AN//punct//3

gYHUOnWHOVH RFK XWK\UQLQJ;†//NN|UTR|SIN|IND|NOM//ROOT//0

$QVODJ;†//NN|UTR|SIN|IND|NOM//ROOT//0

$YOlPQDQGH DY GHNODUDWLRQHQ;†//NN|UTR|SIN|IND|NOM//ROOT//0

8QGDQWDJ IUnQ NUDYHW (1);†//NN|UTR|SIN|IND|NOM//ROOT//0

7LOOV\Q;†//NN|UTR|SIN|IND|NOM//ROOT//0 †//NN|AN//punct//0
7LOOV\Q;BBBBBBBBBBBBB//PM|NOM//ROOT//0 †//PM|NOM//punct//0
7LOOV\Q;BBBBBBBBBBBBB//PM|NOM//ROOT//0 †//PM|NOM//punct//0
7LOOV\Q;E\JJQDGVGHNODUDWLRQHU//PM|NOM//ROOT//0
7LOOV\Q;BBBBBBBBBBBBB//PM|NOM//nsubj//3 +//MID//cc//2 lULJHQRP//AB|AN//conj//0 I|UHVNULYV//PM|NOM//ROOT//3 I|OMDQGH//PM|NOM//obl//3

,QOHGQLQJ (2);†//NN|UTR|SIN|IND|NOM//ROOT//0

'HNODUDWLRQVVN\OGLJKHWHQV RPIDWWQLQJ;†//NN|UTR|SIN|IND|NOM//ROOT//0

8SSUlWWDQGH RFK XSSGDWHULQJ;†//NN|UTR|SIN|IND|NOM//ROOT//0

,QQHKnOO (2);†//NN|UTR|SIN|IND|NOM//ROOT//0 (//PAD//punct//0 Q//PM|NOM//amod//4 E\JJQDGVGHNODUDWLRQ//PM|NOM//amod//4 VNDOO//PM|NOM//appos//0 LQQHKnOOD//RG|NOM//nmod//4 I|OMDQGH//PM|NOM//amod//8 LGHQWLILNDWLRQVXSSJLIWHU//PM|NOM//nummod//8 %//NN|AN//nmod//4 \JJQDGVlJDUHQV//RG|NOM//conj//4 IDVWLJKHWVlJDUHQV//PAD//conj//4 QDPQ//PM|NOM//conj//4 †//PM|NOM//punct//4 †//NN|AN//punct//4 †//NN|AN//punct//4 †//NN|AN//punct//4

(OHNWURQLVND GRNXPHQW;†//NN|UTR|SIN|IND|NOM//ROOT//0

8QGDQWDJ IUnQ NUDYHW (2);†//NN|UTR|SIN|IND|NOM//ROOT//0
8QGDQWDJ IUnQ NUDYHW (2);BBBBBBBBBBBBB//PM|NOM//ROOT//0


8WUHGQLQJVXSSGUDJHW;EHO\VD//AB//advmod//1 XWIRUPQLQJ//NN|UTR|SIN|DEF|NOM//amod//5 RFK//PM|NOM//nsubj//1 XSSE\JJQDG//RG|NOM//obl//4 DY//PM|NOM//compound//5 HWW//PM|NOM//nmod//6 QDWLRQHOOW//PM|NOM//nsubj//7 UHJLVWHU//PM|GEN//amod//8 PHG//PM|NOM//nmod:poss//13 E\JJQDGVDQNQXWQD//PM|NOM//flat//8 XSSJLIWHU//PM|NOM//conj//8 VRP//NN|AN//nmod//12 JHU//PM|NOM//conj//8 XQGHUODJ//PM|NOM//nsubj//14 I|U//PM|NOM//ROOT//14 XSSI|OM//NN|UTR|SIN|IND|NOM//punct//14


,QOHGQLQJ (3);5HOHYDQWD//AB|AN//nsubj//1 GHODU//PM|NOM//ROOT//1 DY//PM|NOM//flat//1 PLOM|PnOHQ//RG|NOM//nmod//6 EHKDQGODU//PM|NOM//amod//6 YL//PM|NOM//nmod//6 L//PM|NOM//obj//1 NDSLWHO//PM|NOM//flat:name//6 ,//MID//punct//9 NDSLWHO//PM|NOM//conj//6


