10 Domstolars och socialnämnders beslutsunderlag ;10.1//RG|NOM//nmod//2 Gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 rätt//NN|UTR|SIN|IND|NOM//ROOT//2
10 Domstolars och socialnämnders beslutsunderlag ;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//138 som//HP|-|-|-//nsubj//135 verkställer//VB|PRS|AKT//acl:relcl//133 en//DT|UTR|SIN|IND//det//137 utredning//NN|UTR|SIN|IND|NOM//obj//135 skall//VB|PRS|AKT//parataxis//125 ,//MID//punct//144 om//SN//mark//144 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//144 inte//AB//advmod//144 är//VB|PRS|AKT//cop//144 olämpligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//138 ,//MID//punct//146 söka//VB|INF|AKT//conj//144 klarlägga//VB|INF|AKT//xcomp//146 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//149 inställning//NN|UTR|SIN|IND|NOM//obj//147 och//KN//cc//151 redovisa//VB|INF|AKT//conj//147 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//151 för//PP//case//154 domstolen//NN|UTR|SIN|DEF|NOM//obl//151 .//MAD//punct//144 –//PM|NOM//punct//159
10 Domstolars och socialnämnders beslutsunderlag ;Barnet//NN|NEU|SIN|DEF|NOM//nsubj:pass//159 får//VB|PRS|AKT//aux//159 höras//VB|INF|SFO//parataxis//144 inför//PP//case//161 domstolen//NN|UTR|SIN|DEF|NOM//obl//159 ,//MID//punct//166 om//SN//mark//166 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//165 skäl//NN|NEU|PLU|IND|NOM//nsubj//166 talar//VB|PRS|AKT//advcl//159 för//PP//case//168 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//166 och//KN//cc//172 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//172 är//VB|PRS|AKT//cop//172 uppenbart//JJ|POS|NEU|SIN|IND|NOM//conj//144 att//SN//mark//177 barnet//NN|NEU|SIN|DEF|NOM//nsubj//177 inte//AB//advmod//177 kan//VB|PRS|AKT//aux//177 ta//VB|INF|AKT//csubj//172 skada//NN|UTR|SIN|IND|NOM//obj//177 av//PP//mark//181 att//IE//mark//181 höras//VB|INF|SFO//acl//178 .//MAD//punct//125
10 Domstolars och socialnämnders beslutsunderlag ;I//PP//case//1 mål//NN|NEU|SIN|IND|NOM//obl//12 eller//KN//cc//3 ärenden//NN|NEU|PLU|IND|NOM//conj//1 om//PP//case//5 vårdnad//NN|UTR|SIN|IND|NOM//nmod//3 ,//MID//punct//7 boende//NN|NEU|SIN|IND|NOM//conj//5 eller//KN//cc//9 umgänge//NN|NEU|SIN|IND|NOM//conj//5 får//VB|PRS|AKT//aux//12 domstolen//NN|UTR|SIN|DEF|NOM//nsubj//12 fatta//VB|INF|AKT//ROOT//12 interimistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 beslut//NN|NEU|PLU|IND|NOM//obj//12 ,//MID//punct//12 dvs.//AB|AN//advmod//17 beslut//NN|NEU|PLU|IND|NOM//nsubj//38 som//HP|-|-|-//nsubj//19 gäller//VB|PRS|AKT//acl:relcl//17 fram//AB//advmod//19 till//PP//case//22 dess//AB//obl//19 att//SN//mark//25 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//25 avgjorts//VB|SUP|SFO//ccomp//19 genom//PP//case//28 en//DT|UTR|SIN|IND//det//28 dom//NN|UTR|SIN|IND|NOM//obl//25 eller//KN//cc//31 ett//DT|NEU|SIN|IND//det//31 beslut//NN|NEU|SIN|IND|NOM//conj//28 som//HP|-|-|-//nsubj//33 vunnit//VB|SUP|AKT//acl:relcl//31 laga//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 kraft//NN|UTR|SIN|IND|NOM//obj//33 eller//KN//cc//37 föräldrarna//NN|UTR|PLU|DEF|NOM//conj//35 träffat//VB|SUP|AKT//parataxis//12 ett//DT|NEU|SIN|IND//det//40 avtal//NN|NEU|SIN|IND|NOM//obj//38 i//PP//case//42 frågan//NN|UTR|SIN|DEF|NOM//nmod//40 och//KN//cc//46 avtalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//46 har//VB|PRS|AKT//aux//46 godkänts//VB|SUP|SFO//conj//38 av//PP//case//48 socialnämnden//NN|UTR|SIN|DEF|NOM//obl:agent//46 .//MAD//punct//12
10 Domstolars och socialnämnders beslutsunderlag ;Innan//SN//mark//54 ett//DT|NEU|SIN|IND//det//53 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//53 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//54 meddelas//VB|PRS|SFO//advcl//57 kan//VB|PRS|AKT//aux//57 domstolen//NN|UTR|SIN|DEF|NOM//nsubj//57 inhämta//VB|INF|AKT//parataxis//12 upplysningar//NN|UTR|PLU|IND|NOM//obj//57 från//PP//case//60 socialnämnden//NN|UTR|SIN|DEF|NOM//nmod//58 i//PP//case//62 frågan//NN|UTR|SIN|DEF|NOM//obl//57 (//PAD//punct//62 6//RG|NOM//nummod//65 kap.//NN|AN//nmod//67 20//RG|NOM//nummod//67 §//NN|AN//nmod//69 andra//RO|NOM//amod//69 stycket//NN|NEU|SIN|DEF|NOM//nmod//70 FB//PM|NOM//appos//62 )//PAD//punct//57 .//MID//punct//12
10 Domstolars och socialnämnders beslutsunderlag ;Sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//74 upplysningar//NN|UTR|PLU|IND|NOM//nsubj:pass//75 kallas//VB|PRS|SFO//parataxis//12 i//PP//case//78 det//DT|NEU|SIN|DEF//det//78 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//75 för//PP//case//80 snabbupplysningar//NN|UTR|PLU|IND|NOM//nmod//78 .//MAD//punct//12
10 Domstolars och socialnämnders beslutsunderlag ;Om//SN//mark//2 domstolen//NN|UTR|SIN|DEF|NOM//nsubj//2 finner//VB|PRS|AKT//advcl//16 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 erforderligt//AB|POS//xcomp//2 att//IE//mark//6 anlita//VB|INF|AKT//acl//4 sakkunnig//NN|UTR|SIN|IND|NOM//obj//6 för//PP//mark//10 att//IE//mark//10 pröva//VB|INF|AKT//advcl//6 en//DT|UTR|SIN|IND//det//12 fråga//NN|UTR|SIN|IND|NOM//obj//10 ,//MID//punct//16 vars//HS|DEF//nmod:poss//15 bedömande//NN|NEU|SIN|IND|NOM//nsubj//16 kräver//VB|PRS|AKT//ROOT//16 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//18 fackkunskap//NN|UTR|SIN|IND|NOM//obj//16 ,//MID//punct//16 får//VB|PRS|AKT//aux//22 domstolen//NN|UTR|SIN|DEF|NOM//nsubj//22 inhämta//VB|INF|AKT//conj//16 yttrande//NN|NEU|SIN|IND|NOM//obj//22 över//PP//case//25 frågan//NN|UTR|SIN|DEF|NOM//obl//22 från//PP//case//27 myndighet//NN|UTR|SIN|IND|NOM//nmod//25 eller//KN//cc//29 tjänsteman//NN|UTR|SIN|IND|NOM//conj//27 eller//KN//cc//31 annan//JJ|POS|UTR|SIN|IND|NOM//conj//27 som//HP|-|-|-//nsubj//34 är//VB|PRS|AKT//cop//34 satt//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//31 att//IE//mark//36 tillhandagå//VB|INF|AKT//xcomp//34 med//PP//case//38 yttrande//NN|NEU|SIN|IND|NOM//obl//36 i//PP//case//40 ämnet//NN|NEU|SIN|DEF|NOM//obl//36 eller//KN//cc//42 uppdra//VB|INF|AKT//conj//36 åt//PP//compound:prt//42 en//RG|UTR|SIN|IND|NOM//fixed//43 eller//KN//cc//46 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//44 för//PP//case//48 redbarhet//NN|UTR|SIN|IND|NOM//obl//42 och//KN//cc//51 för//PP//case//51 skicklighet//NN|UTR|SIN|IND|NOM//conj//48 i//PP//case//55 ämnet//NN|NEU|SIN|DEF|NOM//nmod//55 kända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//55 personer//NN|UTR|PLU|IND|NOM//nmod//51 att//IE//mark//57 avge//VB|INF|AKT//acl//51 yttrande//NN|NEU|SIN|IND|NOM//obj//57 .//MAD//punct//16
10 Domstolars och socialnämnders beslutsunderlag ;En//DT|UTR|SIN|IND//det//61 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//nsubj:pass//68 som//HP|-|-|-//nsubj//63 avgivit//VB|SUP|AKT//acl:relcl//61 skriftligt//JJ|POS|NEU|SIN|IND|NOM//amod//65 utlåtande//NN|NEU|SIN|IND|NOM//obj//63 skall//VB|PRS|AKT//aux//68 också//AB//advmod//68 höras//VB|INF|SFO//parataxis//16 muntligen//NN|UTR|SIN|DEF|NOM//advmod//68 ,//MID//punct//73 om//SN//mark//73 part//NN|UTR|SIN|IND|NOM//nsubj//73 yrkar//VB|PRS|AKT//advcl//78 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//73 eller//KN//cc//76 domstolen//NN|UTR|SIN|DEF|NOM//conj//73 annars//AB//advmod//78 finner//VB|PRS|AKT//conj//16 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//78 erforderligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//78 (//PAD//punct//80 40//RG|NOM//nummod//83 kap.//NN|AN//nmod//84 1//RG|NOM//nummod//87 och//KN//cc//84 8//RG|NOM//nummod//84 §//NN|AN//nmod//89 §//NN|AN//nmod//89 RB//PM|NOM//nmod//80 )//PAD//punct//78 .//MAD//punct//16
10 Domstolars och socialnämnders beslutsunderlag ;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//93 innebär//VB|PRS|AKT//parataxis//16 att//SN//mark//105 domstolen//NN|UTR|SIN|DEF|NOM//nsubj//105 i//PP//case//98 ett//DT|NEU|SIN|IND//det//98 mål//NN|NEU|SIN|IND|NOM//nmod//95 om//PP//case//100 vårdnad//NN|UTR|SIN|IND|NOM//nmod//98 ,//MID//punct//102 boende//NN|NEU|SIN|IND|NOM//conj//100 eller//KN//cc//104 umgänge//NN|NEU|SIN|IND|NOM//conj//100 har//VB|PRS|AKT//ccomp//93 möjlighet//NN|UTR|SIN|IND|NOM//obj//105 att//IE//mark//108 höra//VB|INF|AKT//acl//106 barnpsykiatrisk//JJ|POS|UTR|SIN|IND|NOM//amod//110 expertis//NN|UTR|SIN|IND|NOM//obj//108 eller//KN//cc//112 inhämta//VB|INF|AKT//conj//108 skriftligt//JJ|POS|NEU|SIN|IND|NOM//amod//114 utlåtande//NN|NEU|SIN|IND|NOM//obj//112 från//PP//case//117 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//117 expertis//NN|UTR|SIN|IND|NOM//obl//112 .//MAD//punct//93
10 Domstolars och socialnämnders beslutsunderlag ;10.2//RG|NOM//nummod//120 Snabbupplysningar//NN|UTR|PLU|IND|NOM//appos//93
10 Domstolars och socialnämnders beslutsunderlag ;Förslag//NN|NEU|PLU|IND|NOM//ROOT//0 ://MID//punct//0
