Skärpta regler om utländska månggiften;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 strängare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 regler//NN|UTR|PLU|IND|NOM//nmod//2 om//PP//case//8 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 månggiften//NN|NEU|PLU|IND|NOM//nmod//5
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 januari//NN|UTR|SIN|IND|NOM//obl//0 2020//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Anne//PM|NOM//nmod//3 Kuttenkeuler//PM|NOM//flat:name//0 /Lars//MID//nmod:poss//3 Swedenborg//PM|NOM//ROOT//3


1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//12 5//RG|NOM//nummod//4 kap.//NN|AN//nmod//7 5//RG|NOM//nummod//6 §//NN|AN//nmod//7 äktenskapsbalken//NN|UTR|SIN|DEF|NOM//nsubj//12 (//PAD//punct//7 1987:230//RG|NOM//appos//7 )//PAD//punct//7 ska//VB|PRS|AKT//aux//12 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 lydelse//NN|UTR|SIN|IND|NOM//obj//12 .//MAD//punct//12
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);5//RG|NOM//nummod//17 kap.//NN|AN//appos//12  //_SP////17 5//RG|NOM//nummod//20 §//NN|AN//nmod//17
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);En//DT|UTR|SIN|IND//det//1 make//NN|UTR|SIN|IND|NOM//nsubj//2 har//VB|PRS|AKT//ROOT//2 rätt//NN|UTR|SIN|IND|NOM//obj//2 till//PP//case//5 äktenskapsskillnad//NN|UTR|SIN|IND|NOM//obl//2 utan//PP//case//8 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 betänketid//NN|UTR|SIN|IND|NOM//obl//2 om//SN//mark//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 görs//VB|PRS|SFO//advcl//2 sannolikt//AB|POS//advmod//11 att//SN//mark//16 maken//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 har//VB|PRS|AKT//aux//16 tvingats//VB|SUP|SFO//ccomp//11 att//IE//mark//18 ingå//VB|INF|AKT//xcomp//16 äktenskapet//NN|NEU|SIN|DEF|NOM//obj//18 eller//KN//cc//24 om//SN//mark//24 maken//NN|UTR|SIN|DEF|NOM//nsubj//24 har//VB|PRS|AKT//aux//24 ingått//VB|SUP|AKT//conj//18 äktenskapet//NN|NEU|SIN|DEF|NOM//obj//24 före//PP//case//29 18//RG|NOM//nummod//28 års//NN|NEU|PLU|IND|GEN//nmod:poss//29 ålder//NN|UTR|SIN|IND|NOM//obl//24 .//MAD//punct//2
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Om//SN//mark//34 äktenskapet//NN|NEU|SIN|DEF|NOM//nsubj:pass//34 har//VB|PRS|AKT//aux//34 ingåtts//VB|SUP|SFO//advcl//2 trots//PP//mark//39 att//SN//mark//39 makarna//NN|UTR|PLU|DEF|NOM//nsubj//39 är//VB|PRS|AKT//cop//39 släkt//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//34 med//PP//case//41 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//39 i//PP//case//44 rätt//NN|UTR|SIN|IND|NOM//amod//44 upp-//AB|SMS//amod//47 och//KN//cc//46 nedstigande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//44 led//NN|NEU|PLU|IND|NOM//conj//34 eller//KN//cc//50 är//VB|PRS|AKT//cop//50 helsyskon//NN|NEU|PLU|IND|NOM//conj//47 ,//MID//punct//53 har//VB|PRS|AKT//aux//53 var//PN|UTR|SIN|IND|SUB/OBJ//conj//2 och//KN//fixed//53 en//PN|UTR|SIN|IND|SUB/OBJ//fixed//53 av//PP//case//57 makarna//NN|UTR|PLU|DEF|NOM//nmod//53 rätt//NN|UTR|SIN|IND|NOM//obj//2 till//PP//case//60 äktenskapsskillnad//NN|UTR|SIN|IND|NOM//obl//2 utan//PP//case//63 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 betänketid//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//66 gäller//VB|PRS|AKT//conj//2 om//SN//mark//70 äktenskapet//NN|NEU|SIN|DEF|NOM//nsubj:pass//70 har//VB|PRS|AKT//aux//70 ingåtts//VB|SUP|SFO//advcl//66 trots//PP//mark//78 att//SN//mark//78 någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj//78 av//PP//case//75 makarna//NN|UTR|PLU|DEF|NOM//nmod//73 redan//AB//advmod//78 var//VB|PRT|AKT//cop//78 gift//PC|PRF|UTR|SIN|IND|NOM//advcl//70 eller//KN//cc//80 partner//NN|UTR|SIN|IND|NOM//conj//78 i//PP//case//84 ett//DT|NEU|SIN|IND//det//84 registrerat//PC|PRF|NEU|SIN|IND|NOM//amod//84 partnerskap//NN|NEU|SIN|IND|NOM//nmod//80 och//KN//cc//88 det//DT|NEU|SIN|DEF//det//88 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//88 äktenskapet//NN|NEU|SIN|DEF|NOM//conj//78 eller//KN//cc//90 partnerskapet//NN|NEU|SIN|DEF|NOM//conj//88 inte//AB//advmod//93 har//VB|PRS|AKT//aux//93 blivit//VB|SUP|AKT//conj//70 upplöst//PC|PRF|UTR|SIN|IND|NOM//xcomp//93 .//MAD//punct//2
1.1 Förslag till lag om ändring av äktenskapsbalken (1987:230);Om//SN//mark//3 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 är//VB|PRS|AKT//cop//3 fråga//NN|UTR|SIN|IND|NOM//advcl//17 om//PP//case//5 tvegifte//NN|NEU|SIN|IND|NOM//obl//3 ,//MID//punct//17 har//VB|PRS|AKT//aux//17 var//PN|UTR|SIN|IND|SUB/OBJ//cop//17 och//KN//fixed//8 en//PN|UTR|SIN|IND|SUB/OBJ//fixed//8 av//PP//case//12 makarna//NN|UTR|PLU|DEF|NOM//nmod//10 i//PP//case//16 det//DT|NEU|SIN|DEF//det//16 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 äktenskapet//NN|NEU|SIN|DEF|NOM//nmod//12 rätt//NN|UTR|SIN|IND|NOM//ROOT//17 att//IE//mark//19 få//VB|INF|AKT//acl//17 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//19 upplöst//PC|PRF|NEU|SIN|IND|NOM//xcomp//19 genom//PP//case//23 äktenskapsskillnad//NN|UTR|SIN|IND|NOM//obl//19 utan//PP//case//26 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 betänketid//NN|UTR|SIN|IND|NOM//obl//19 .//MAD//punct//17
