– samverkan på regional nivå;Volym//NN|UTR|SIN|IND|NOM//nmod//1 1//RG|NOM//ROOT//1
– samverkan på regional nivå;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Indelningskommittén//NN|UTR|SIN|DEF|NOM//nmod//0
– samverkan på regional nivå;Stockholm//PM|NOM//ROOT//0 2018//RG|NOM//nummod//0

Till statsrådet Ardalan Shekarabi;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 bemyndigade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 2//RO|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2015//RG|NOM//nummod//4 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//8 Ardalan//PM|NOM//nmod//8 Shekarabi//PM|NOM//appos//4 att//IE//mark//10 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//12 kommitté//NN|UTR|SIN|IND|NOM//obj//10 med//PP//case//14 uppgift//NN|UTR|SIN|IND|NOM//nmod//12 att//IE//mark//16 föreslå//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//19 ny//JJ|POS|UTR|SIN|IND|NOM//amod//19 indelning//NN|UTR|SIN|IND|NOM//obj//16 av//PP//case//21 län//NN|NEU|SIN|IND|NOM//nmod//19 och//KN//cc//23 landsting//NN|NEU|SIN|IND|NOM//conj//21 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Med//PP//case//26 stöd//NN|NEU|SIN|IND|NOM//obl//29 av//PP//case//28 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//26 beslutades//VB|PRT|SFO//conj//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//31 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//29 att//IE//mark//33 förordna//VB|INF|AKT//acl//31 landshövdingen//NN|UTR|SIN|DEF|NOM//nmod//35 Barbro//PM|NOM//obj//33 Holmberg//PM|NOM//flat:name//35 som//KN//case//41 ordförande//NN|UTR|SIN|IND|NOM//nmod//41 och//KN//cc//40 förbundsordföranden//NN|UTR|SIN|DEF|NOM//conj//38 Kent//PM|NOM//xcomp//29 Johansson//PM|NOM//flat:name//41 som//KN//case//45 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//45 ordförande//NN|UTR|SIN|IND|NOM//xcomp//41 i//PP//case//47 kommittén//NN|UTR|SIN|DEF|NOM//obl//29 .//MAD//punct//1
Till statsrådet Ardalan Shekarabi;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//51 har//VB|PRS|AKT//aux//51 tagit//VB|SUP|AKT//conj//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//51 namnet//NN|NEU|SIN|DEF|NOM//nmod//54 Indelningskommittén//NN|UTR|SIN|DEF|NOM//obj//51 .//MAD//punct//51
Till statsrådet Ardalan Shekarabi;Den//DT|UTR|SIN|DEF//det//2 22//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//4 2017//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 om//PP//case//7 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//4 till//PP//case//9 kommittén//NN|UTR|SIN|DEF|NOM//obl//4 (//PAD//punct//9 dir//NN|AN//appos//9 .//MAD//punct//9
Till statsrådet Ardalan Shekarabi;2017:72//RG|NOM//obl//4 )//PAD//punct//13 .//MAD//punct//4
Till statsrådet Ardalan Shekarabi;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 11//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//nmod//8 2015//RG|NOM//nummod//7 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//8 Ulf//PM|NOM//dep//2 Andersson//PM|NOM//flat:name//8 ,//MID//punct//8 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//12 Matilda//PM|NOM//appos//8 Berggren//PM|NOM//flat:name//12 ,//MID//punct//12 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//16 Ina//PM|NOM//conj//8 Berggård//PM|NOM//flat:name//16 ,//MID//punct//16 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//20 Niclas//PM|NOM//conj//8 Damm//PM|NOM//flat:name//20 ,//MID//punct//20 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//24 Emma//PM|NOM//conj//8 Hermansson//PM|NOM//flat:name//24 ,//MID//punct//8 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//28 Sara//PM|NOM//appos//8 Jendi//PM|NOM//flat:name//28 Linder//PM|NOM//flat:name//28 ,//MID//punct//8 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//33 Martin//PM|NOM//appos//8 Jeppson//PM|NOM//flat:name//33 och//KN//cc//36 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//37 Henrik//PM|NOM//conj//33 Källsbo//PM|NOM//flat:name//37 .//MAD//punct//2
Till statsrådet Ardalan Shekarabi;Den//DT|UTR|SIN|DEF//det//42 15//RG|NOM//nummod//42 mars//NN|UTR|SIN|IND|NOM//obl//44 2016//RG|NOM//nummod//42 entledigades//VB|PRT|SFO//parataxis//2 Martin//PM|NOM//nsubj:pass//44 Jeppson//PM|NOM//flat:name//45 och//KN//cc//49 samma//DT|UTR/NEU|SIN/PLU|IND//det//49 dag//NN|UTR|SIN|IND|NOM//conj//45 förordnades//VB|PRT|SFO//conj//44 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//52 Petra//PM|NOM//compound//54 Zetterberg//PM|NOM//flat:name//52 Ferngren//PM|NOM//obl:agent//50 som//KN//mark//56 expert//NN|UTR|SIN|IND|NOM//xcomp//50 i//PP//case//58 kommittén//NN|UTR|SIN|DEF|NOM//obl//50 .//MAD//punct//2
