Ett klimatpolitiskt ramverk för Sverige;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Miljömålsberedningen//NN|UTR|SIN|DEF|NOM//nmod//0
Till statsrådet Åsa Romson;2015:101//RG|NOM//nmod//129 )//PAD//punct//122 ska//VB|PRS|AKT//aux//141 förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//141 till//PP//case//140 klimatpolitiskt//JJ|POS|NEU|SIN|IND|NOM//amod//140 ramverk//NN|NEU|SIN|IND|NOM//obl//141 redovisas//VB|PRS|SFO//parataxis//1 senast//AB|SUV//case//145 den//DT|UTR|SIN|DEF//det//145 1//RO|NOM//nummod//145 mars//NN|UTR|SIN|IND|NOM//obl//141 2016//RG|NOM//nummod//145 och//KN//cc//149 beredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//149 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//158 till//PP//case//152 en//DT|UTR|SIN|IND//det//152 strategi//NN|UTR|SIN|IND|NOM//nmod//149 med//PP//case//154 styrmedel//NN|NEU|PLU|IND|NOM//nmod//152 och//KN//cc//156 åtgärder//NN|UTR|PLU|IND|NOM//conj//154 ska//VB|PRS|AKT//aux//158 redovisas//VB|INF|SFO//advcl//141 senast//AB|SUV//case//162 den//DT|UTR|SIN|DEF//det//162 1//RO|NOM//nummod//162 juni//NN|UTR|SIN|IND|NOM//obl//158 2016//RG|NOM//nummod//162 .//MAD//punct//1
Till statsrådet Åsa Romson;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 personer//NN|UTR|PLU|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//4 ledamöter//NN|UTR|PLU|IND|NOM//ROOT//4 i//PP//case//6 kommittén//NN|UTR|SIN|DEF|NOM//nmod//4 under//PP//case//9 aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//9 utredningstid//NN|UTR|SIN|IND|NOM//obl//4 ://MID//punct//9
Till statsrådet Åsa Romson;riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//12 Stina//PM|NOM//dep//44 Bergström//PM|NOM//flat:name//12 ,//MID//punct//12 Matilda//PM|NOM//conj//12 Ernkrans//PM|NOM//flat//15 ,//MID//punct//18 Johan//PM|NOM//conj//12 Hultberg//PM|NOM//flat:name//18 och//KN//cc//21 Rickard//PM|NOM//conj//12 Nordin//PM|NOM//flat//21 samt//KN//cc//24 1//RG|NOM//conj//12 ://MID//punct//12 e//PP//nummod//28 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//28 ordförande//NN|UTR|SIN|IND|NOM//conj//12 i//PP//case//30 kommunstyrelsen//NN|UTR|SIN|DEF|NOM//nmod//28 i//PP//case//33 Aneby//PM|GEN//nmod:poss//33 kommun//NN|UTR|SIN|IND|NOM//nmod//34 Irene//PM|NOM//conj//12 Oskarsson//PM|NOM//flat:name//34 .//MAD//punct//12
Till statsrådet Åsa Romson;Från//PP//advmod//42 och//KN//fixed//37 med//PP//fixed//37 den//DT|UTR|SIN|DEF//det//42 6//RO|NOM//nummod//42 mars//NN|UTR|SIN|IND|NOM//obl//44 2015//RG|NOM//nummod//42 entledigades//VB|PRT|SFO//conj//4 riksdagsledamot//NN|UTR|SIN|IND|NOM//advmod//44 Fredrik//PM|NOM//conj//4 Malm//PM|NOM//flat:name//46 från//PP//case//49 uppdraget//NN|NEU|SIN|DEF|NOM//obl//46 som//KN//mark//51 ledamot//NN|UTR|SIN|IND|NOM//advcl//4 ,//MID//punct//56 och//KN//cc//56 samma//DT|UTR/NEU|SIN/PLU|IND//det//55 dag//NN|UTR|SIN|IND|NOM//obl//56 förordnades//VB|PRT|SFO//conj//4 riksdagsledamot//NN|UTR|SIN|IND|NOM//advmod//56 Lars//PM|NOM//nsubj//56 Tysklind//PM|NOM//flat:name//58 som//KN//mark//61 ledamot//NN|UTR|SIN|IND|NOM//xcomp//56 .//MAD//punct//4
Till statsrådet Åsa Romson;Från//PP//advmod//68 och//KN//fixed//63 med//PP//fixed//63 den//DT|UTR|SIN|DEF//det//68 8//RO|NOM//nummod//68 januari//NN|UTR|SIN|IND|NOM//obl//70 2015//RG|NOM//nummod//68 entledigades//VB|PRT|SFO//parataxis//4 riksdagsledamot//NN|UTR|SIN|IND|NOM//advmod//70 Emma//PM|NOM//conj//4 Wallrup//PM|NOM//flat//72 från//PP//case//75 uppdraget//NN|NEU|SIN|DEF|NOM//obl//4 som//KN//mark//77 ledamot//NN|UTR|SIN|IND|NOM//obl//4 ,//MID//punct//82 och//KN//cc//82 samma//DT|UTR/NEU|SIN/PLU|IND//det//81 dag//NN|UTR|SIN|IND|NOM//obl//82 förordnades//VB|PRT|SFO//conj//4 riksdagsledamot//NN|UTR|SIN|IND|NOM//advmod//82 Jens//PM|NOM//nsubj//82 Holm//PM|NOM//flat:name//84 som//KN//mark//87 ledamot//NN|UTR|SIN|IND|NOM//xcomp//82 .//MAD//punct//4
Till statsrådet Åsa Romson;Från//PP//advmod//94 och//KN//fixed//89 med//PP//fixed//89 den//DT|UTR|SIN|DEF//det//94 1//RO|NOM//nummod//94 januari//NN|UTR|SIN|IND|NOM//obl//96 2015//RG|NOM//nummod//94 förordnades//VB|PRT|SFO//parataxis//4 Anders//PM|NOM//nmod//98 Wijkman//PM|NOM//nsubj:pass//96 som//KN//mark//100 ordförande//NN|UTR|SIN|IND|NOM//xcomp//96 i//PP//case//102 kommittén//NN|UTR|SIN|DEF|NOM//obl//100 .//MAD//punct//4
Till statsrådet Åsa Romson;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 personer//NN|UTR|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 biträtt//VB|SUP|AKT//ROOT//3 kommittén//NN|UTR|SIN|DEF|NOM//obj//3 som//KN//case//6 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//4 i//PP//case//8 arbetet//NN|NEU|SIN|DEF|NOM//nmod//6 under//PP//case//11 aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//11 utredningstid//NN|UTR|SIN|IND|NOM//obl//3 ://MID//punct//11
Till statsrådet Åsa Romson;sektionschef//NN|UTR|SIN|IND|NOM//appos//11 Ann-Sofie//PM|NOM//nmod//15 Eriksson//PM|NOM//conj//13 ,//MID//punct//18 miljöpolicyansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//18 Lovisa//PM|NOM//conj//13 Hagberg//PM|NOM//flat:name//18 ,//MID//punct//22 ordförande//NN|UTR|SIN|IND|NOM//nmod//22 Sven-Erik//PM|NOM//conj//13 Hammar//PM|NOM//flat:name//22 ,//MID//punct//25 miljöchef//NN|UTR|SIN|IND|NOM//dep//68 Klas//PM|NOM//nsubj//25 Lundberg//PM|NOM//flat:name//26 ,//MID//punct//29 senior//NN|UTR|SIN|IND|NOM//amod//30 rådgivare//NN|UTR|SIN|IND|NOM//conj//25 ,//MID//punct//32 GD-stab//NN|UTR|SIN|IND|NOM//conj//30 Eva//PM|NOM//conj//30 Thörnelöf//PM|NOM//flat:name//33 .//MAD//punct//30
Till statsrådet Åsa Romson;Från//PP//case//41 och//KN//fixed//36 med//PP//fixed//36 den//DT|UTR|SIN|DEF//det//41 10//RG|NOM//nummod//41 februari//NN|UTR|SIN|IND|NOM//obl//43 2015//RG|NOM//nummod//41 entledigades//VB|PRT|SFO//conj//25 ,//MID//punct//46 ordförande//NN|UTR|SIN|IND|NOM//nmod//46 Mikael//PM|NOM//conj//43 Karlsson//PM|NOM//flat:name//46 ,//MID//punct//46 länsråd//NN|NEU|SIN|IND|NOM//nmod//50 Susanna//PM|NOM//appos//43 Löfgren//PM|NOM//flat:name//50 ,//MID//punct//50 kommunalråd//NN|NEU|SIN|IND|NOM//nmod//54 Henrik//PM|NOM//conj//43 Ripa//PM|NOM//flat:name//54 och//KN//cc//57 miljöansvarig//JJ|POS|UTR|SIN|IND|NOM//nmod//58 Inger//PM|NOM//obl//43 Strömdahl//PM|NOM//flat:name//58 ,//MID//punct//62 från//PP//case//62 uppdragen//NN|NEU|PLU|DEF|NOM//obl//43 som//KN//mark//64 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//62 .//MAD//punct//25
Till statsrådet Åsa Romson;Samma//DT|UTR/NEU|SIN/PLU|IND//det//67 dag//NN|UTR|SIN|IND|NOM//obl//68 förordnades//VB|PRT|SFO//parataxis//3 programdirektör//NN|UTR|SIN|IND|NOM//nmod//70 Nina//PM|NOM//dep//68 Ekelund//PM|NOM//flat:name//70 ,//MID//punct//70 ansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//74 energi//NN|UTR|SIN|IND|NOM//conj//70 och//KN//cc//77 klimat//NN|NEU|SIN|IND|NOM//nmod//77 Maria//PM|NOM//conj//70 Sunér//PM|NOM//flat:name//70 Fleming//PM|NOM//flat:name//70 ,//MID//punct//70 kommunalråd//NN|NEU|SIN|IND|NOM//nmod//82 Maria//PM|NOM//appos//70 Gardfjell//PM|NOM//flat:name//82 ,//MID//punct//85 utredare//NN|UTR|SIN|IND|NOM//conj//68 Johan//PM|NOM//nsubj//85 Hall//PM|NOM//flat:name//86 ,//MID//punct//90 ordförande//NN|UTR|SIN|IND|NOM//nmod//90 Johanna//PM|NOM//conj//68 Sandahl//PM|NOM//flat:name//90 ,//MID//punct//90 länsöverdirektör//NN|UTR|SIN|IND|NOM//nmod//94 Lisbeth//PM|NOM//appos//90 Schultze//PM|NOM//flat:name//94 som//KN//mark//97 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//90 .//MAD//punct//3
