
Till Statsrådet Lena Sommestad;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Atomansvarsutredningen//NN|UTR|SIN|DEF|NOM//obj//2 (//PAD//punct//4 M//PM|NOM//appos//4 2004:04//RG|NOM//conj//4 )//PAD//punct//4 .//MAD//punct//2
Till Statsrådet Lena Sommestad;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 sitt//PS|NEU|SIN|DEF//nmod:poss//5 betänkande//NN|NEU|SIN|IND|NOM//obj//3 Översyn//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//8 atomansvaret//NN|NEU|SIN|DEF|NOM//nmod//6  //_SP////8 (//PAD//punct//6 SOU//PM|NOM//appos//6 2006:43//RG|NOM//nummod//11 )//PAD//punct//6 .//MAD//punct//3
Till Statsrådet Lena Sommestad;Till//PP//case//1 betänkandet//NN|NEU|SIN|DEF|NOM//obl//2 fogas//VB|PRS|SFO//ROOT//2 två//RG|NOM//nummod//4 yttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//2 av//PP//case//6 företrädare//NN|UTR|PLU|IND|NOM//nmod//4 för//PP//case//9 E.ON//PM|NOM//nmod//9 Sverige//PM|NOM//nmod//6 AB//PM|NOM//nsubj:pass//2 och//KN//cc//13 Fortum//PM|NOM//nmod//13 Oyj//PM|NOM//conj//10 .//MAD//punct//2
Till Statsrådet Lena Sommestad;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 med//PP//case//4 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//5 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//5 .//MAD//punct//5
Till Statsrådet Lena Sommestad;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 april//NN|UTR|SIN|IND|NOM//obl//0 2006//RG|NOM//nummod//0
Till Statsrådet Lena Sommestad;Håkan//PM|NOM//nsubj//43 Rustand//PM|NOM//flat//0 /Li//MID//cc//3 Wallén//PM|NOM//conj//0 2.1//RG|NOM//flat:name//3 Vägen//NN|UTR|SIN|DEF|NOM//obj//0 mot//PP//case//10 en//DT|UTR|SIN|IND//det//10 förnyad//PC|PRF|UTR|SIN|IND|NOM//amod//10 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//10 reglering//NN|UTR|SIN|IND|NOM//nmod//5 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//12 2.2//RG|NOM//nmod//10 Det//DT|NEU|SIN|DEF//det//15 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 innehållet//NN|NEU|SIN|DEF|NOM//obl//0 i//PP//case//19 2004//RG|NOM//nummod//18 års//NN|NEU|SIN|IND|GEN//nmod:poss//19 3.1//RG|NOM//nmod//15 En//DT|UTR|SIN|IND//det//22 kort//JJ|POS|UTR|SIN|IND|NOM//amod//22 presentation//NN|UTR|SIN|IND|NOM//obj//0 av//PP//case//25 det//DT|NEU|SIN|DEF//det//25 nordiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//22 och//KN//cc//29 det//DT|NEU|SIN|DEF//det//29 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 3.2//RG|NOM//conj//0 En//DT|UTR|SIN|IND//det//31 sammanställning//NN|UTR|SIN|IND|NOM//obj//0 av//PP//case//33 ansvarsnivåer//NN|UTR|PLU|IND|NOM//nmod//31 i//PP//case//35 stater//NN|UTR|PLU|IND|NOM//nmod//31 som//HP|-|-|-//nsubj//37 ingår//VB|PRS|AKT//acl:relcl//35 i//PP//case//40 3.3//RG|NOM//nmod//40 Implementeringsarbetet//NN|NEU|SIN|DEF|NOM//obl//37 i//PP//case//42 stater//NN|UTR|PLU|IND|NOM//nmod//40 anslutna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//43 till//PP//case//46 6.3//RG|NOM//nmod//46 Tillämpningsområdet//NN|NEU|SIN|DEF|NOM//obl//43 för//PP//case//48 Paris-//NN|NEU|-|-|SMS//nmod//46 och//KN//cc//50 6.7//RG|NOM//conj//48 De//DT|UTR/NEU|PLU|DEF//det//52 skadelidandes//NN|UTR|PLU|IND|GEN//nmod:poss//53 möjligheter//NN|UTR|PLU|IND|NOM//conj//48 att//IE//mark//55 framställa//VB|INF|AKT//acl//53 ett//DT|NEU|SIN|IND//det//59 samlat//PC|PRF|NEU|SIN|IND|NOM//amod//59 6.8//RG|NOM//nummod//59 Frågor//NN|UTR|PLU|IND|NOM//obj//55 om//PP//case//62 domstols//NN|UTR|SIN|IND|GEN//amod//62 behörighet//NN|UTR|SIN|IND|NOM//nmod//59 och//KN//cc//65 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 rätt//NN|UTR|SIN|IND|NOM//conj//62 att//SN//mark//101 8.5//RG|NOM//amod//70 Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 lösningar//NN|UTR|PLU|IND|NOM//nsubj//101 på//PP//case//74 den//DT|UTR|SIN|DEF//det//74 privata//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//74 marknaden//NN|UTR|SIN|DEF|NOM//nmod//70 som//HP|-|-|-//nsubj//77 kan//VB|PRS|AKT//aux//77 ge//VB|INF|AKT//acl:relcl//74 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//79 täckning//NN|UTR|SIN|IND|NOM//obj//77 för//PP//case//85 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//82 8.6//RG|NOM//nmod//83 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//85 sammanfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 bedömningar//NN|UTR|PLU|IND|NOM//obl//77 av//PP//case//88 andra//RO|NOM//amod//88 8.7//RG|NOM//nmod//85 En//DT|UTR|SIN|IND//det//90 finansieringslösning//NN|UTR|SIN|IND|NOM//obj//77 som//HP|-|-|-//nsubj//92 sträcker//VB|PRS|AKT//acl:relcl//90 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//92 längre//AB|KOM//advmod//92 än//KN//case//97 till//PP//case//97 9.2//RG|NOM//obl//92 Hur//HA//advmod//101 kan//VB|PRS|AKT//aux//101 man//PN|UTR|SIN|IND|SUB//nsubj//101 tillgodose//VB|INF|AKT//acl//65 önskemålet//NN|NEU|SIN|DEF|NOM//obj//101 att//SN//mark//107 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//107 utöver//PP//case//106 referensbeloppet//NN|NEU|SIN|DEF|NOM//obl//107 finns//VB|PRS|SFO//advcl//43 ytterligare//AB|KOM//advmod//109 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 medel//NN|NEU|PLU|IND|NOM//nsubj//107 att//SN//mark//112 9.2.2//RG|NOM//acl//110 Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//114 bedömning//NN|UTR|SIN|IND|NOM//obj//112 av//PP//case//117 en//DT|UTR|SIN|IND//det//117 finansieringslösning//NN|UTR|SIN|IND|NOM//nmod//114 inom//PP//case//123 ramen//NN|UTR|SIN|DEF|NOM//fixed//118 för//PP//fixed//118 den//DT|UTR|SIN|DEF//det//123 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//123 9.3//RG|NOM//nmod//117 Hur//HA//advmod//125 långt//AB|POS//advmod//128 är//VB|PRS|AKT//cop//128 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//128 möjligt//JJ|POS|NEU|SIN|IND|NOM//conj//43 att//IE//mark//130 finna//VB|INF|AKT//csubj//128 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//132 täckning//NN|UTR|SIN|IND|NOM//obj//130 som//HP|-|-|-//nsubj//134 motsvarar//VB|PRS|AKT//acl:relcl//132 anläggningsinnehavarens//NN|UTR|SIN|DEF|GEN//nmod:poss//137 obegränsade//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//137 9.4//RG|NOM//nmod//138 Prissättningen//NN|UTR|SIN|DEF|NOM//obj//134 av//PP//case//141 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//141 åtaganden//NN|NEU|PLU|IND|NOM//nmod//138 på//PP//case//143 9.5//RG|NOM//nmod//141 En//DT|UTR|SIN|IND//det//146 sammanfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//146 stegmodell//NN|UTR|SIN|IND|NOM//obj//134 av//PP//case//149 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//149 förslag//NN|NEU|SIN|IND|NOM//nmod//146


Förslag till lag om ansvar och ersättning vid radiologiska olyckor;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1
Förslag till lag om ansvar och ersättning vid radiologiska olyckor;Inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 bestämmelser//NN|UTR|PLU|IND|NOM//ROOT//1
