Informationssäkerhet för samhällsviktiga och digitala tjänster;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Informationssäkerhet för samhällsviktiga och digitala tjänster;Utredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 om//PP//case//2 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//0 av//PP//case//4 NIS-direktivet//NN|NEU|SIN|DEF|NOM//nmod//2
Informationssäkerhet för samhällsviktiga och digitala tjänster;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Anders Ygeman;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 31//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//46 2016//RG|NOM//nummod//4 att//IE//mark//7 utse//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 föreslå//VB|INF|AKT//acl//12 hur//HA//advmod//19 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//19 och//KN//cc//18 rådet//NN|NEU|SIN|DEF|NOM//conj//16 direktiv//NN|NEU|SIN|IND|NOM//obj//14 (//PAD//punct//21 EU//PM|NOM//appos//19 )//PAD//punct//21 2016/1148//RG|NOM//conj//19 av//PP//case//27 den//DT|UTR|SIN|DEF//det//27 6//RO|NOM//nummod//27 juli//NN|UTR|SIN|IND|NOM//nmod//23 2016//RG|NOM//nummod//27 om//PP//case//30 åtgärder//NN|UTR|PLU|IND|NOM//nmod//23 för//PP//case//35 en//DT|UTR|SIN|IND//det//35 hög//JJ|POS|UTR|SIN|IND|NOM//amod//35 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//35 nivå//NN|UTR|SIN|IND|NOM//nmod//30 på//PP//case//37 säkerhet//NN|UTR|SIN|IND|NOM//nmod//35 i//PP//case//39 nätverks-//NN|UTR|-|-|SMS//nmod//35 och//KN//cc//41 informationssystem//NN|NEU|PLU|IND|NOM//conj//39 i//PP//case//44 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 unionen//NN|UTR|SIN|DEF|NOM//nmod//35 ska//VB|PRS|AKT//aux//46 genomföras//VB|INF|SFO//ccomp//1 i//PP//case//49 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//49 rätt//NN|UTR|SIN|IND|NOM//obl//46 .//MAD//punct//1
Till statsrådet Anders Ygeman;Utredarens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 varit//VB|SUP|AKT//ROOT//3 att//IE//mark//5 föreslå//VB|INF|AKT//ccomp//3 hur//HA//advmod//9 direktivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//9 ska//VB|PRS|AKT//aux//9 genomföras//VB|INF|SFO//ccomp//5 i//PP//case//12 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//12 rätt//NN|UTR|SIN|IND|NOM//obl//9 .//MID//punct//3
Till statsrådet Anders Ygeman;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 har//VB|PRS|AKT//aux//16 innefattat//VB|SUP|AKT//parataxis//3 bland//PP//case//18 annat//PN|NEU|SIN|IND|SUB/OBJ//obl//16 att//IE//mark//20 föreslå//VB|INF|AKT//acl//18 hur//HA//advmod//23 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//34 på//PP//case//25 utpekande//NN|NEU|SIN|IND|NOM//nmod//23 av//PP//case//27 myndigheter//NN|UTR|PLU|IND|NOM//nmod//25 med//PP//case//29 ansvar//NN|NEU|SIN|IND|NOM//nmod//27 för//PP//case//32 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 funktioner//NN|UTR|PLU|IND|NOM//nmod//29 ska//VB|PRS|AKT//aux//34 genomföras//VB|INF|SFO//ccomp//20 ,//MID//punct//34 med//PP//case//37 inriktningen//NN|UTR|SIN|DEF|NOM//obl//34 att//SN//mark//44 Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//44 för//PP//case//41 samhällsskydd//NN|UTR|SIN|IND|NOM//nmod//39 och//KN//cc//43 beredskap//NN|UTR|SIN|IND|NOM//conj//41 ges//VB|PRS|SFO//acl//37 en//DT|UTR|SIN|IND//det//47 samordnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//47 roll//NN|UTR|SIN|IND|NOM//obj//44 på//PP//case//49 området//NN|NEU|SIN|DEF|NOM//obl//44 men//KN//cc//54 att//SN//mark//54 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//54 ansvar//NN|NEU|SIN|IND|NOM//conj//44 för//PP//case//56 tillsyn//NN|UTR|SIN|IND|NOM//nmod//54 inom//PP//case//59 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//59 sektorer//NN|UTR|PLU|IND|NOM//nmod//54 ska//VB|PRS|AKT//aux//61 fortsätta//VB|INF|AKT//conj//16 gälla//VB|INF|AKT//xcomp//61 ,//MID//punct//62 hur//HA//advmod//76 identifiering//NN|UTR|SIN|IND|NOM//nsubj:pass//76 av//PP//case//65 och//KN//cc//68 krav//NN|NEU|PLU|IND|NOM//conj//65 på//PP//case//70 leverantörer//NN|UTR|PLU|IND|NOM//nmod//65 som//HP|-|-|-//nsubj:pass//72 omfattas//VB|PRS|SFO//acl:relcl//70 av//PP//case//74 direktivet//NN|NEU|SIN|DEF|NOM//obl//72 kan//VB|PRS|AKT//aux//76 genomföras//VB|INF|SFO//ccomp//62 i//PP//case//80 ett//DT|NEU|SIN|IND//det//80 samlat//PC|PRF|NEU|SIN|IND|NOM//amod//80 regelverk//NN|NEU|SIN|IND|NOM//obl//76 med//PP//case//82 beaktande//NN|NEU|SIN|IND|NOM//nmod//80 av//PP//case//85 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//82 ,//MID//punct//87 sektorsansvar//NN|NEU|SIN|IND|NOM//conj//85 och//KN//cc//93 vad//HP|NEU|SIN|IND//dislocated//93 som//HP|-|-|-//nsubj//93 är//VB|PRS|AKT//cop//93 mest//AB|SUV//advmod//93 effektivt//JJ|POS|NEU|SIN|IND|NOM//conj//82 utifrån//PP//case//96 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 perspektiv//NN|NEU|PLU|IND|NOM//obl//93 ,//MID//punct//98 föreslå//VB|INF|AKT//conj//16 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//100 ändringar//NN|UTR|PLU|IND|NOM//obj//98 i//PP//case//102 offentlighets-//NN|UTR|-|-|SMS//obl//98 och//KN//cc//104 sekretesslagen//NN|UTR|SIN|DEF|NOM//conj//102 (//PAD//punct//106 2009:400//RG|NOM//appos//98 )//PAD//punct//106 för//PP//mark//116 att//SN//mark//116 känslig//JJ|POS|UTR|SIN|IND|NOM//amod//111 information//NN|UTR|SIN|IND|NOM//nsubj:pass//116 i//PP//case//113 incidentrapporter//NN|UTR|PLU|IND|NOM//nmod//111 ska//VB|PRS|AKT//aux//116 kunna//VB|INF|AKT//aux//116 skyddas//VB|INF|SFO//advcl//98 ,//MID//punct//119 och//KN//cc//119 lämna//VB|INF|AKT//conj//116 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 författningsförslag//NN|NEU|PLU|IND|NOM//obj//119 .//MAD//punct//16
Till statsrådet Anders Ygeman;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//13 om//PP//mark//5 hur//HA//advmod//5 en//DT|UTR|SIN|IND//det//5 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//5 strategi//NN|UTR|SIN|IND|NOM//acl//0 för//PP//case//7 säkerhet//NN|UTR|SIN|IND|NOM//nmod//5 i//PP//case//9 nätverk//NN|NEU|PLU|IND|NOM//nmod//7 och//KN//cc//11 informationssystem//NN|NEU|PLU|IND|NOM//conj//9 bör//VB|PRS|AKT//aux//13 utformas//VB|INF|SFO//advcl//16 har//VB|PRS|AKT//aux//16 inte//AB//advmod//16 omfattats//VB|SUP|SFO//ROOT//16 av//PP//case//18 uppdraget//NN|NEU|SIN|DEF|NOM//obl:agent//16 .//MAD//punct//16
Till statsrådet Anders Ygeman;Lagmannen//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 i//PP//case//4 Stockholms//PM|GEN//nmod:poss//3 tingsrätt//NN|UTR|SIN|IND|NOM//nmod//4 Stefan//PM|NOM//nmod//0 Strömberg//PM|NOM//flat//4 förordnades//VB|PRT|SFO//ROOT//6 att//SN//mark//15 fr.o.m.//AB|AN//case//11 den//DT|UTR|SIN|DEF//det//11 2//RO|NOM//nummod//11 maj//NN|UTR|SIN|IND|NOM//obl//15 2016//RG|NOM//nummod//11 vara//VB|INF|AKT//cop//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//xcomp//6 .//MAD//punct//6
Till statsrådet Anders Ygeman;Förordnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//0 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//0 har//VB|PRS|AKT//advcl//0 under//PP//case//6 hela//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 eller//KN//cc//6 delar//NN|UTR|PLU|IND|NOM//obl//0 av//PP//case//8 utredningstiden//NN|UTR|SIN|DEF|NOM//nmod//6 varit//VB|SUP|AKT//punct//0 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//11 Dan//PM|NOM//nsubj//0 Leeman//PM|NOM//flat:name//11 (//PAD//punct//14 Justitiedepartementet//PM|NOM//appos//11 )//PAD//punct//14 ,//MID//punct//11 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Henrik//PM|NOM//appos//11 Moberg//PM|NOM//flat:name//18 (//PAD//punct//18 Socialdepartementet//NN|NEU|SIN|DEF|NOM//appos//18 )//PAD//punct//18 ,//MID//punct//11 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 Mia//PM|NOM//conj//11 Persson//PM|NOM//flat:name//25 (//PAD//punct//28 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//appos//11 )//PAD//punct//28 och//KN//cc//32 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//32 Jörgen//PM|NOM//conj//11 Samuelsson//PM|NOM//flat:name//32 (//PAD//punct//35 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//appos//32 )//PAD//punct//35 .//MAD//punct//0
Till statsrådet Anders Ygeman;Som//KN//mark//1 experter//NN|UTR|PLU|IND|NOM//obl//5 att//IE//mark//3 biträda//VB|INF|AKT//acl//1 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 fr.o.m.//AB|AN//case//9 den//DT|UTR|SIN|DEF//det//9 5//RO|NOM//nummod//9 oktober//NN|UTR|SIN|IND|NOM//obl//5 2016//RG|NOM//nummod//9 numera//AB//advmod//12 stf//NN|AN//discourse//15 .//MID//punct//12
