Skydd för vuxna i internationella situationer – 2000 års Haagkonvention;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 skydd//NN|NEU|SIN|IND|NOM//nmod//2 för//PP//case//6 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//4 i//PP//case//9 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 situationer//NN|UTR|PLU|IND|NOM//nmod//0
Skydd för vuxna i internationella situationer – 2000 års Haagkonvention;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obj//1 2014//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 lämna//VB|INF|AKT//acl//12 förslag//NN|NEU|SIN|IND|NOM//obj//14 om//PP//case//19 ett//DT|NEU|SIN|IND//det//19 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//19 tillträde//NN|NEU|SIN|IND|NOM//nmod//15 till//PP//case//23 2000//RG|NOM//nummod//22 års//NN|NEU|SIN|IND|GEN//nmod:poss//23 Haagkonvention//NN|UTR|SIN|IND|NOM//nmod//19 om//PP//case//26 internationellt//JJ|POS|NEU|SIN|IND|NOM//amod//26 skydd//NN|NEU|SIN|IND|NOM//obl//14 för//PP//case//28 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//26 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//32 ska//VB|PRS|AKT//aux//32 analysera//VB|INF|AKT//conj//1 behovet//NN|NEU|SIN|DEF|NOM//obj//32 av//PP//case//35 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//33 för//PP//mark//41 att//SN//mark//41 Sverige//PM|NOM//nsubj//41 ska//VB|PRS|AKT//aux//41 kunna//VB|INF|AKT//aux//41 tillträda//VB|INF|AKT//advcl//32 konventionen//NN|UTR|SIN|DEF|NOM//obj//41 och//KN//cc//44 lämna//VB|INF|AKT//conj//41 förslag//NN|NEU|SIN|IND|NOM//obj//44 till//PP//case//48 de//DT|UTR/NEU|PLU|DEF//det//48 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//45 som//HP|-|-|-//case//51 ett//DT|NEU|SIN|IND//det//51 tillträde//NN|NEU|SIN|IND|NOM//obl//44 till//PP//case//53 konventionen//NN|UTR|SIN|DEF|NOM//nmod//51 ger//VB|PRS|AKT//conj//41 anledning//NN|UTR|SIN|IND|NOM//obj//54 till//PP//compound:prt//54 .//MAD//punct//32
Till statsrådet och chefen för Justitiedepartementet;Den//DT|UTR|SIN|DEF//det//2 23//RG|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//obl//4 2014//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 ,//MID//punct//5 tillika//AB//amod//9 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 ordföranden//NN|UTR|SIN|DEF|NOM//conj//5 ,//MID//punct//11 Ulrika//PM|NOM//conj//4 Beergrehn//PM|NOM//flat:name//11 som//KN//mark//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//nmod//11 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 7//RO|NOM//nummod//7 mars//NN|UTR|SIN|IND|NOM//nmod//11 2014//RG|NOM//nummod//7 numera//AB//advmod//11 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//11 Kent//PM|NOM//nsubj//4 Löfgren//PM|NOM//flat:name//11 och//KN//cc//16 numera//AB//advmod//16 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//16 Carl//PM|NOM//conj//11 Rosenmüller//PM|NOM//flat:name//16 .//MAD//punct//11
Till statsrådet och chefen för Justitiedepartementet;Carl//PM|NOM//nsubj//21 Rosenmüller//PM|NOM//flat:name//19 ersattes//VB|PRT|SFO//conj//4 från//PP//case//27 och//KN//cc//24 med//PP//conj//22 den//DT|UTR|SIN|DEF//det//26 8//RO|NOM//nummod//27 september//NN|UTR|SIN|IND|NOM//obl//21 2014//RG|NOM//nummod//27 av//PP//case//31 rättssakkunnige//NN|UTR|PLU|DEF|NOM//nmod//31 Johan//PM|NOM//nmod//27 Klefbäck//PM|NOM//flat:name//31 .//MAD//punct//21
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 7//RO|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//2 2014//RG|NOM//nummod//7 professorn//NN|UTR|SIN|DEF|NOM//conj//5 Maarit//PM|NOM//conj//2 Jänterä-Jareborg//PM|NOM//obj//2 ,//MID//punct//9 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//12 Maria//PM|NOM//appos//9 Ek//PM|NOM//flat:name//12 Oldsjö//PM|NOM//flat:name//12 ,//MID//punct//12 juristen//NN|UTR|SIN|DEF|NOM//nmod//17 Gaston//PM|NOM//conj//9 Fernández//PM|NOM//flat:name//17 Palma//PM|NOM//flat:name//17 ,//MID//punct//17 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//24 Eva//PM|NOM//det//24 von//PM|NOM//nmod//24 Schéele//PM|NOM//conj//9 ,//MID//punct//9 advokaten//NN|UTR|SIN|DEF|NOM//nmod//27 Theddo//PM|NOM//conj//9 Rother-Schirren//PM|NOM//flat//27 och//KN//cc//31 juristen//NN|UTR|SIN|DEF|NOM//nmod//31 Charlotte//PM|NOM//conj//27 Rudebeck//PM|NOM//flat//31 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Gaston//PM|NOM//nsubj//37 Fernández//PM|NOM//flat:name//34 Palma//PM|NOM//flat:name//34 ersattes//VB|PRT|SFO//parataxis//2 den//DT|UTR|SIN|DEF//det//40 2//RO|NOM//nummod//40 juni//NN|UTR|SIN|IND|NOM//obl//37 2014//RG|NOM//nummod//40 av//PP//case//45 juristen//NN|UTR|SIN|DEF|NOM//nmod//44 Kristina//PM|NOM//nmod:poss//45 Swiech//PM|NOM//nmod//40 .//MID//punct//40
Till statsrådet och chefen för Justitiedepartementet;Carl//PM|NOM//appos//40 Rosenmüller//PM|NOM//flat//47 förordnades//VB|PRT|SFO//conj//37 den//DT|UTR|SIN|DEF//det//52 8//RO|NOM//nummod//52 september//NN|UTR|SIN|IND|NOM//obl//49 2014//RG|NOM//nummod//52 som//KN//mark//55 expert//NN|UTR|SIN|IND|NOM//xcomp//49 .//MAD//punct//2
