Den vuxenpedagogiska praktiken;Illustrationer//NN|UTR|PLU|IND|NOM//ROOT//0 endast//AB//advmod//0 i//PP//case//5 den//DT|UTR|SIN|DEF//det//5 tryckta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//5 versionen//NN|UTR|SIN|DEF|NOM//obl//0
Utbildning för en förändrad arbetsvardag;Alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//14 ska//VB|PRS|AKT//aux//14 ta//VB|INF|AKT//parataxis//1 initiativ//NN|NEU|SIN|IND|NOM//obj//14 i//PP//case//19 ett//DT|NEU|SIN|IND//det//19 ständigt//JJ|POS|NEU|SIN|IND|NOM//amod//19 förbättringsarbete//NN|NEU|SIN|IND|NOM//obl//14 .//MAD//punct//14
Utbildning för en förändrad arbetsvardag;Man//PN|UTR|SIN|IND|SUB//nsubj//23 ska//VB|PRS|AKT//aux//23 plocka//VB|INF|AKT//conj//14 fram//PL//compound:prt//23 information//NN|UTR|SIN|IND|NOM//obj//23 om//PP//case//27 arbetet//NN|NEU|SIN|DEF|NOM//nmod//25 ,//MID//punct//29 skriva//VB|INF|AKT//conj//23 felrapporter//NN|UTR|PLU|IND|NOM//obj//29 ,//MID//punct//32 jobba//VB|INF|AKT//conj//23 fram//PL//compound:prt//32 förslag//NN|NEU|PLU|IND|NOM//obj//32 till//PP//case//36 lösningar//NN|UTR|PLU|IND|NOM//nmod//34 på//PP//case//38 problem//NN|NEU|PLU|IND|NOM//nmod//36 .//MAD//punct//23
Utbildning för en förändrad arbetsvardag;Alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//42 ska//VB|PRS|AKT//aux//42 arbeta//VB|INF|AKT//parataxis//23 kundorienterat//PC|PRF|NEU|SIN|IND|NOM//xcomp//42 .//MAD//punct//42
Utbildning för en förändrad arbetsvardag;I//PP//case//47 Ericssons//PM|GEN//nmod:poss//47 verkstad//NN|UTR|SIN|IND|NOM//obl//52 i//PP//case//49 Kista//PM|NOM//nmod//47 ska//VB|PRS|AKT//aux//52 metallarbetarna//NN|UTR|PLU|DEF|NOM//nsubj//52 prioritera//VB|INF|AKT//advcl//42 och//KN//cc//54 lägga//VB|INF|AKT//conj//52 upp//PL//compound:prt//54 sitt//PS|NEU|SIN|DEF//nmod:poss//58 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//58 arbete//NN|NEU|SIN|IND|NOM//obj//54 inom//PP//case//60 arbetslaget//NN|NEU|SIN|DEF|NOM//obl//54 utifrån//PP//case//65 den//DT|UTR|SIN|DEF//det//64 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 kundens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 behov//NN|NEU|PLU|IND|NOM//obl//54 .//MAD//punct//42
Utbildning för en förändrad arbetsvardag;Ingen//PN|UTR|SIN|IND|SUB/OBJ//nsubj:pass//68 tillåts//VB|PRS|SFO//parataxis//42 jobba//VB|INF|AKT//xcomp//68 för//PP//case//71 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//69 själv//JJ|POS|UTR|SIN|IND|NOM//amod//71 .//MAD//punct//68
Utbildning för en förändrad arbetsvardag;På//PP//case//75 Posten//NN|UTR|SIN|DEF|NOM//nmod//76 Brev//NN|NEU|PLU|IND|NOM//obl//68 ska//VB|PRS|AKT//aux//82 de//DT|UTR/NEU|PLU|DEF//det//79 kontorister//NN|UTR|PLU|IND|NOM//nsubj//82 som//HP|-|-|-//nsubj//81 är//VB|PRS|AKT//cop//82 kvar//PL//advmod//68 ,//MID//punct//68 efter//PP//mark//87 att//SN//mark//87 organisationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//87 plattats//VB|SUP|SFO//advcl//68 till//PP//compound:prt//87 ,//MID//punct//90 arbeta//VB|INF|AKT//conj//42 efterfrågestyrt//NN|NEU|SIN|IND|NOM//advmod//90 .//MAD//punct//42
Utbildning för en förändrad arbetsvardag;Arbetsuppgifter//NN|UTR|PLU|IND|NOM//nsubj//98 enligt//PP//case//96 förutbestämda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//96 arbetsbeskrivningar//NN|UTR|PLU|IND|NOM//nmod//93 ska//VB|PRS|AKT//aux//98 uppta//VB|INF|AKT//parataxis//42 högst//AB|SUV//advmod//100 en//DT|UTR|SIN|IND//det//101 tredjedel//NN|UTR|SIN|IND|NOM//obj//98 av//PP//case//103 tiden//NN|UTR|SIN|DEF|NOM//nmod//101 ,//MID//punct//42 resten//NN|UTR|SIN|DEF|NOM//nsubj//107 ska//VB|PRS|AKT//aux//107 utgöra//VB|INF|AKT//conj//42 svar//NN|NEU|SIN|IND|NOM//obj//107 på//PP//case//110 frågeställningar//NN|UTR|PLU|IND|NOM//nmod//108 och//KN//cc//112 behov//NN|NEU|PLU|IND|NOM//conj//110 från//PP//case//114 brevbärarlagen//NN|UTR|SIN|DEF|NOM//nmod//112 .//MAD//punct//42
Utbildning för en förändrad arbetsvardag;I//PP//case//117 SJ//PM|NOM//obl//42 ://MID//punct//117 s//NN|NEU|SIN|IND|GEN//nummod//120 verkstad//NN|UTR|SIN|IND|NOM//appos//117 ska//VB|PRS|AKT//aux//125 den//DT|UTR|SIN|DEF//det//124 dagliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//124 arbetsledningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//125 klaras//VB|PRS|SFO//conj//23 inom//PP//case//127 arbetslaget//NN|NEU|SIN|DEF|NOM//obl//125 .//MAD//punct//23
Utbildning för en förändrad arbetsvardag;Informationssystemen//NN|UTR|SIN|DEF|NOM//nsubj:pass//131 ska//VB|PRS|AKT//aux//131 byggas//VB|INF|SFO//conj//23 om//PL//case//145 ,//MID//punct//131 så//AB//mark//137 att//SN//fixed//134 lagen//NN|UTR|SIN|DEF|NOM//nsubj//137 får//VB|PRS|AKT//advcl//131 de//DT|UTR/NEU|PLU|DEF//det//139 uppgifter//NN|UTR|PLU|IND|NOM//obj//137 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//141 behöver//VB|PRS|AKT//acl:relcl//139 för//PP//case//145 sitt//PS|NEU|SIN|DEF//nmod:poss//145 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//145 arbete//NN|NEU|SIN|IND|NOM//obl//141 och//KN//cc//149 för//PP//case//149 sitt//PS|NEU|SIN|DEF//nmod:poss//149 samarbete//NN|NEU|SIN|IND|NOM//conj//145 med//PP//case//152 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//152 enheter//NN|UTR|PLU|IND|NOM//nmod//149 .//MAD//punct//23
Utbildning för en förändrad arbetsvardag;Korta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 jobb//NN|NEU|PLU|IND|NOM//ROOT//1 och//KN//cc//4 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 anställningsformer//NN|UTR|PLU|IND|NOM//conj//1
Utbildning för en förändrad arbetsvardag;Läget//NN|NEU|SIN|DEF|NOM//nsubj//5 på//PP//case//2 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//5 också//AB//advmod//5 medfört//VB|SUP|AKT//ROOT//5 en//DT|UTR|SIN|IND//det//9 helt//AB|POS//advmod//8 ny//JJ|POS|UTR|SIN|IND|NOM//amod//9 flora//NN|UTR|SIN|IND|NOM//obj//5 av//PP//case//11 arbetsformer//NN|UTR|PLU|IND|NOM//nmod//9 med//PP//case//13 provanställningar//NN|UTR|PLU|IND|NOM//nmod//11 ,//MID//punct//15 nätverk//NN|NEU|PLU|IND|NOM//conj//13 ,//MID//punct//17 projektanställningar//NN|UTR|PLU|IND|NOM//conj//13 ,//MID//punct//19 ALU-jobb//NN|NEU|PLU|IND|NOM//conj//13 och//KN//cc//21 entreprenader//NN|UTR|PLU|IND|NOM//conj//13 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//29 av//PP//case//26 dessa//DT|UTR/NEU|PLU|DEF//det//26 arbetsformer//NN|UTR|PLU|IND|NOM//nmod//23 är//VB|PRS|AKT//cop//29 ett//DT|NEU|SIN|IND//det//29 resultat//NN|NEU|SIN|IND|NOM//parataxis//5 både//KN//cc//35 av//PP//mark//35 att//SN//mark//35 arbetsgivarna//NN|UTR|PLU|DEF|NOM//nsubj//35 inte//AB//advmod//35 vågar//VB|PRS|AKT//conj//29 anställa//VB|INF|AKT//xcomp//35 i//PP//case//39 en//DT|UTR|SIN|IND//det//39 lågkonjunktur//NN|UTR|SIN|IND|NOM//obl//36 och//KN//cc//44 av//PP//case//44 en//DT|UTR|SIN|IND//det//44 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//44 konkurrens//NN|UTR|SIN|IND|NOM//conj//29 mellan//PP//case//46 arbetslösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//44 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 anställningsförhållanden//NN|NEU|PLU|IND|NOM//nsubj:pass//51 kan//VB|PRS|AKT//aux//51 ses//VB|INF|SFO//parataxis//5 som//KN//case//54 en//DT|UTR|SIN|IND//det//54 förlängning//NN|UTR|SIN|IND|NOM//obl//51 och//KN//cc//56 spegling//NN|UTR|SIN|IND|NOM//conj//54 av//PP//case//60 det//DT|NEU|SIN|DEF//det//60 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 arbetsinnehållet//NN|NEU|SIN|DEF|NOM//nmod//56 inom//PP//case//64 de//DT|UTR/NEU|PLU|DEF//det//64 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 företagen//NN|NEU|PLU|DEF|NOM//nmod//60 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//72 är//VB|PRS|AKT//cop//72 inte//AB//advmod//72 längre//AB|KOM//advmod//72 en//DT|UTR|SIN|IND//det//72 stabil//JJ|POS|UTR|SIN|IND|NOM//amod//72 värld//NN|UTR|SIN|IND|NOM//parataxis//5 och//KN//cc//76 en//DT|UTR|SIN|IND//det//76 stabil//JJ|POS|UTR|SIN|IND|NOM//amod//76 kunskap//NN|UTR|SIN|IND|NOM//conj//72 som//HP|-|-|-//nsubj:pass//78 behövs//VB|PRS|SFO//acl:relcl//76 i//PP//case//81 en//DT|UTR|SIN|IND//det//81 verksamhet//NN|UTR|SIN|IND|NOM//obl//78 .//MAD//punct//72
Utbildning för en förändrad arbetsvardag;Kunskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//84 förnyelse//NN|UTR|SIN|IND|NOM//conj//72 ,//MID//punct//88 det//DT|NEU|SIN|DEF//det//88 livslånga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//88 lärandet//NN|NEU|SIN|DEF|NOM//conj//84 ,//MID//punct//90 förmåga//NN|UTR|SIN|IND|NOM//conj//84 att//IE//mark//92 samspela//VB|INF|AKT//acl//90 med//PP//case//94 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//92 för//PP//mark//97 att//IE//mark//97 nå//VB|INF|AKT//advcl//72 resultat//NN|NEU|PLU|IND|NOM//obj//97 ,//MID//punct//102 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//102 vill//VB|PRS|AKT//aux//102 säga//VB|INF|AKT//conj//5 social//JJ|POS|UTR|SIN|IND|NOM//amod//104 kompetens//NN|UTR|SIN|IND|NOM//obj//102 ,//MID//punct//5 och//KN//cc//108 att//IE//mark//108 finna//VB|INF|AKT//conj//5 och//KN//cc//110 upprätthålla//VB|INF|AKT//conj//108 nätverk//NN|NEU|PLU|IND|NOM//obj//110 blir//VB|PRS|AKT//advcl//5 allt//AB//advmod//114 mer//AB|KOM//advmod//115 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//112 i//PP//case//123 ett//DT|NEU|SIN|IND//det//123 allt//AB//advmod//119 snabbare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//123 och//KN//cc//122 mer//AB|KOM//advmod//122 dynamiskt//JJ|POS|NEU|SIN|IND|NOM//amod//123 arbetsliv//NN|NEU|SIN|IND|NOM//obl//112 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;Arbetslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 utveckling//NN|UTR|SIN|IND|NOM//nsubj//3 måste//VB|PRS|AKT//aux//3 påverka//VB|INF|AKT//ROOT//3 metodik//NN|UTR|SIN|IND|NOM//obj//3 i//PP//case//6 Kunskapslyftet//NN|NEU|SIN|DEF|NOM//nmod//4
Utbildning för en förändrad arbetsvardag;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 läget//NN|NEU|SIN|DEF|NOM//obl//6 på//PP//case//5 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//3 behövs//VB|PRS|SFO//ROOT//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 en//DT|UTR|SIN|IND//det//10 kraftfull//JJ|POS|UTR|SIN|IND|NOM//amod//10 insats//NN|UTR|SIN|IND|NOM//nsubj:pass//6 som//HP|-|-|-//mark//12 Kunskapslyftet//NN|NEU|SIN|DEF|NOM//appos//10 från//PP//case//15 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 sida//NN|UTR|SIN|IND|NOM//nmod//12 .//MAD//punct//6
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 behövs//VB|PRS|SFO//parataxis//6 en//DT|UTR|SIN|IND//det//20 IT-politik//NN|UTR|SIN|IND|NOM//nsubj:pass//18 som//HP|-|-|-//nsubj//24 inte//AB//advmod//24 bara//AB//advmod//24 handlar//VB|PRS|AKT//acl:relcl//20 om//PP//mark//27 att//IE//mark//27 ha//VB|INF|AKT//advcl//24 kompetens//NN|UTR|SIN|IND|NOM//obj//27 på//PP//case//30 högskolorna//NN|UTR|PLU|DEF|NOM//obl//27 och//KN//cc//32 forskning//NN|UTR|SIN|IND|NOM//conj//30 .//MID//punct//6
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 handlar//VB|PRS|AKT//parataxis//6 också//AB//advmod//35 om//PP//mark//39 att//IE//mark//39 se//VB|INF|AKT//advcl//35 till//PL//compound:prt//39 att//SN//mark//46 alla//DT|UTR/NEU|PLU|IND/DEF//det//44 arbetsföra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 medborgare//NN|UTR|PLU|IND|NOM//nsubj//46 är//VB|PRS|AKT//cop//46 kompetenta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//39 ,//MID//punct//48 förberedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//46 och//KN//cc//51 med//PP//case//51 förmåga//NN|UTR|SIN|IND|NOM//conj//46 att//IE//mark//53 utnyttja//VB|INF|AKT//acl//51 och//KN//cc//55 delta//VB|INF|AKT//conj//53 i//PP//case//59 det//DT|NEU|SIN|DEF//det//59 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 informationssamhället//NN|NEU|SIN|DEF|NOM//obl//55 .//MID//punct//35
Utbildning för en förändrad arbetsvardag;När//HA//case//64 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//61 gäller//VB|PRS|AKT//fixed//61 vuxenutbildning//NN|UTR|SIN|IND|NOM//obl//65 har//VB|PRS|AKT//parataxis//6 vi//PN|UTR|PLU|DEF|SUB//nsubj//65 en//DT|UTR|SIN|IND//det//69 lång//JJ|POS|UTR|SIN|IND|NOM//amod//69 tradition//NN|UTR|SIN|IND|NOM//obj//65 i//PP//case//71 Sverige//PM|NOM//obl//65 med//PP//case//73 en//PN|UTR|SIN|IND|SUB/OBJ//obl//65 av//PP//case//78 världens//NN|UTR|SIN|DEF|GEN//nmod:poss//78 mest//AB|SUV//advmod//77 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 vuxenutbildningar//NN|UTR|PLU|IND|NOM//nmod//73 .//MAD//punct//6
Utbildning för en förändrad arbetsvardag;Men//KN//cc//82 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//82 går//VB|PRS|AKT//conj//6 inte//AB//advmod//82 bara//AB//advmod//82 att//IE//mark//86 öka//VB|INF|AKT//csubj//82 volymen//NN|UTR|SIN|DEF|NOM//obj//86 på//PP//case//89 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//obl//86 med//PP//case//95 de//DT|UTR/NEU|PLU|DEF//det//95 100//RG|NOM//nummod//93 000//RG|NOM//nummod//95 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 utbildningsplatser//NN|UTR|PLU|IND|NOM//obl//86 som//HP|-|-|-//obl//98 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//98 beslutat//VB|SUP|AKT//acl:relcl//95 om//PL//compound:prt//98 inom//PP//case//101 Kunskapslyftet//NN|NEU|SIN|DEF|NOM//obl//98 .//MID//punct//82
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//111 som//HP|-|-|-//nsubj//105 hänt//VB|SUP|AKT//acl:relcl//103 i//PP//case//107 arbetslivet//NN|NEU|SIN|DEF|NOM//obl//105 måste//VB|PRS|AKT//aux//111 också//AB//advmod//111 få//VB|INF|AKT//aux//111 påverka//VB|INF|AKT//parataxis//82 både//KN//cc//113 insatser//NN|UTR|PLU|IND|NOM//obj//111 och//KN//cc//115 metodik//NN|UTR|SIN|IND|NOM//conj//113 i//PP//case//117 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//nmod//115 .//MAD//punct//6
Utbildning för en förändrad arbetsvardag;Ett//DT|NEU|SIN|IND//det//2 livslångt//JJ|POS|NEU|SIN|IND|NOM//amod//2 lärande//NN|NEU|SIN|IND|NOM//ROOT//2
Utbildning för en förändrad arbetsvardag;Den//DT|UTR|SIN|DEF//det//1 metodik//NN|UTR|SIN|IND|NOM//dislocated//31 som//HP|-|-|-//nsubj:pass//4 nu//AB//advmod//4 behövs//VB|PRS|SFO//acl:relcl//1 innebär//VB|PRS|AKT//xcomp//4 att//SN//mark//8 läraren//NN|UTR|SIN|DEF|NOM//nsubj//8 blir//VB|PRS|AKT//ccomp//5 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//8 av//PP//case//12 en//DT|UTR|SIN|IND//det//12 arbetsledare//NN|UTR|SIN|IND|NOM//obl//8 eller//KN//cc//14 handledare//NN|UTR|SIN|IND|NOM//conj//12 som//HP|-|-|-//nsubj//16 vägleder//VB|PRS|AKT//acl:relcl//12 kursdeltagarna//NN|UTR|PLU|DEF|NOM//obj//16 när//HA//mark//25 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//25 på//PP//case//22 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 sätt//NN|NEU|PLU|IND|NOM//obl//23 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//19 ska//VB|PRS|AKT//aux//25 arbeta//VB|INF|AKT//advcl//16 med//PP//case//28 sin//PS|UTR|SIN|DEF//nmod:poss//28 inlärning//NN|UTR|SIN|IND|NOM//obl//25 .//MAD//punct//1
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 handlar//VB|PRS|AKT//advcl//44 om//PP//mark//34 att//IE//mark//34 ta//VB|INF|AKT//advcl//31 de//DT|UTR/NEU|PLU|DEF//det//37 första//RO|NOM//amod//37 stegen//NN|NEU|PLU|DEF|NOM//obj//34 på//PP//case//41 ett//DT|NEU|SIN|IND//det//41 livslångt//JJ|POS|NEU|SIN|IND|NOM//amod//41 lärande//NN|NEU|SIN|IND|NOM//obl//34 .//MAD//punct//31
Utbildning för en förändrad arbetsvardag;Då//AB//advmod//44 får//VB|PRS|AKT//ROOT//44 läraren//NN|UTR|SIN|DEF|NOM//nsubj//44 en//DT|UTR|SIN|IND//det//49 helt//AB|POS//advmod//48 ny//JJ|POS|UTR|SIN|IND|NOM//amod//49 roll//NN|UTR|SIN|IND|NOM//obj//44 i//PP//mark//52 att//IE//mark//52 motivera//VB|INF|AKT//acl//49 arbetsuppgiften//NN|UTR|SIN|DEF|NOM//obj//52 och//KN//cc//56 att//IE//mark//56 hitta//VB|INF|AKT//conj//52 kopplingen//NN|UTR|SIN|DEF|NOM//obj//56 till//PP//case//59 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//56 som//HP|-|-|-//nsubj//62 redan//AB//advmod//62 finns//VB|PRS|SFO//acl:relcl//59 i//PP//case//65 kursdeltagarens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 världsbild//NN|UTR|SIN|IND|NOM//obl//62 .//MAD//punct//44
Utbildning för en förändrad arbetsvardag;En//DT|UTR|SIN|IND//det//68 vuxen//JJ|POS|UTR|SIN|IND|NOM//nsubj//69 har//VB|PRS|AKT//parataxis//44 med//PL//case//71 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//69 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//74 erfarenheter//NN|UTR|PLU|IND|NOM//obj//69 .//MAD//punct//44
Utbildning för en förändrad arbetsvardag;För//PP//mark//79 att//IE//mark//79 kunna//VB|INF|AKT//aux//79 lära//VB|INF|AKT//advcl//44 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//79 måste//VB|PRS|AKT//ccomp//79 man//PN|UTR|SIN|IND|SUB//nsubj//81 särskilt//AB//advmod//81 när//HA//mark//88 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//86 gäller//VB|PRS|AKT//fixed//84 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//86 bygga//VB|INF|AKT//advcl//81 på//PP//case//90 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//88 man//PN|UTR|SIN|IND|SUB//nsubj//93 redan//AB//advmod//93 kan//VB|PRS|AKT//acl:relcl//90 .//MAD//punct//44
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//98 är//VB|PRS|AKT//cop//98 lärarens//NN|UTR|SIN|DEF|GEN//nmod:poss//98 uppgift//NN|UTR|SIN|IND|NOM//parataxis//44 att//IE//mark//100 förklara//VB|INF|AKT//csubj//98 det//DT|NEU|SIN|DEF//det//102 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//obj//100 i//PP//case//107 förhållande//NN|NEU|SIN|IND|NOM//fixed//103 till//PP//fixed//103 den//DT|UTR|SIN|DEF//det//107 världsbilden//NN|UTR|SIN|DEF|NOM//obl//100 .//MAD//punct//98
Utbildning för en förändrad arbetsvardag;Lärarens//NN|UTR|SIN|DEF|GEN//nmod:poss//110 uppgift//NN|UTR|SIN|IND|NOM//nsubj//114 är//VB|PRS|AKT//cop//114 också//AB//advmod//114 att//IE//mark//114 avgränsa//VB|INF|AKT//conj//98 ämnet//NN|NEU|SIN|DEF|NOM//obj//114 och//KN//cc//117 hjälpa//VB|INF|AKT//conj//114 till//PL//compound:prt//117 att//IE//mark//120 bestämma//VB|INF|AKT//xcomp//117 ordningsföljden//NN|UTR|SIN|DEF|NOM//obj//120 och//KN//cc//123 takten//NN|UTR|SIN|DEF|NOM//conj//121 i//PP//case//125 utbildningen//NN|UTR|SIN|DEF|NOM//nmod//123 .//MAD//punct//98
Utbildning för en förändrad arbetsvardag;Läraren//NN|UTR|SIN|DEF|NOM//nsubj//128 bidrar//VB|PRS|AKT//parataxis//98 också//AB//advmod//128 med//PP//case//131 modeller//NN|UTR|PLU|IND|NOM//obl//128 ,//MID//punct//133 analyser//NN|UTR|PLU|IND|NOM//conj//131 ,//MID//punct//128 leder//VB|PRS|AKT//conj//128 diskussioner//NN|UTR|PLU|IND|NOM//obj//135 ,//MID//punct//139 och//KN//cc//139 föreslår//VB|PRS|AKT//conj//128 bearbetning//NN|UTR|SIN|IND|NOM//obj//139 av//PP//case//143 det//DT|NEU|SIN|DEF//det//143 stoff//NN|NEU|SIN|IND|NOM//nmod//140 som//HP|-|-|-//nsubj:pass//146 ska//VB|PRS|AKT//aux//146 läras//VB|INF|SFO//acl:relcl//143 in//PL//compound:prt//146 utifrån//PP//case//152 sin//PS|UTR|SIN|DEF//nmod:poss//152 mer//AB|KOM//advmod//151 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//152 kunskap//NN|UTR|SIN|IND|NOM//obl//146 .//MAD//punct//98
Utbildning för en förändrad arbetsvardag;Lärandet//NN|NEU|SIN|DEF|NOM//ROOT//0 som//KN//cc//2 arbete//NN|NEU|SIN|IND|NOM//appos//0
Utbildning för en förändrad arbetsvardag;Den//DT|UTR|SIN|DEF//det//2 här//AB//fixed//0 förändringen//NN|UTR|SIN|DEF|NOM//nsubj//5 av//PP//case//4 metodiken//NN|UTR|SIN|DEF|NOM//nmod//2 har//VB|PRS|AKT//ROOT//5 en//DT|UTR|SIN|IND//det//8 enkel//JJ|POS|UTR|SIN|IND|NOM//amod//8 grund//NN|UTR|SIN|IND|NOM//obj//5 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;När//HA//mark//12 arbetsplatserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//12 förändras//VB|PRS|SFO//advcl//16 måste//VB|PRS|AKT//aux//16 också//AB//advmod//16 skolan//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 förändras//VB|PRS|SFO//advcl//5 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;Precis//AB//advmod//23 som//KN//case//23 på//PP//case//23 en//DT|UTR|SIN|IND//det//23 modern//JJ|POS|UTR|SIN|IND|NOM//amod//23 arbetsplats//NN|UTR|SIN|IND|NOM//nsubj//24 får//VB|PRS|AKT//parataxis//5 gruppen//NN|UTR|SIN|DEF|NOM//nsubj//24 en//DT|UTR|SIN|IND//det//27 arbetsuppgift//NN|UTR|SIN|IND|NOM//obj//24 .//MAD//punct//5
Utbildning för en förändrad arbetsvardag;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 sker//VB|PRS|AKT//parataxis//5 en//DT|UTR|SIN|IND//det//32 målstyrning//NN|UTR|SIN|IND|NOM//nsubj//35 och//KN//cc//34 gruppen//NN|UTR|SIN|DEF|NOM//conj//32 söker//VB|PRS|AKT//conj//5 själv//JJ|POS|UTR|SIN|IND|NOM//compound:prt//35 information//NN|UTR|SIN|IND|NOM//obj//35 –//RG|NOM//punct//35 både//KN//cc//41 via//PP//case//41 klassbiblioteket//NN|NEU|SIN|DEF|NOM//conj//35 och//KN//cc//43 läroböcker//NN|UTR|PLU|IND|NOM//conj//41 och//KN//cc//47 genom//PP//mark//47 att//IE//mark//47 lyssna//VB|INF|AKT//conj//35 på//PP//case//49 läraren//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//5
