– övergångsstyre och utjämning;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 översyn//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//8 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//8 regional//JJ|POS|UTR|SIN|IND|NOM//amod//8 förvaltning//NN|UTR|SIN|IND|NOM//nmod//4 m.m.//AB|AN//conj//0
– övergångsstyre och utjämning;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till statsrådet Stefan Attefall;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 16//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2009//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//15 dels//KN//advmod//15 se//VB|INF|AKT//advcl//7 över//PL//case//20 den//DT|UTR|SIN|DEF//det//20 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 regionala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 förvaltningen//NN|UTR|SIN|DEF|NOM//obl//15 ,//MID//punct//23 dels//KN//advmod//23 föreslå//VB|INF|AKT//conj//1 de//DT|UTR/NEU|PLU|DEF//det//25 lagändringar//NN|UTR|PLU|IND|NOM//obj//23 som//HP|-|-|-//nsubj:pass//27 behövs//VB|PRS|SFO//acl:relcl//25 för//PP//mark//34 att//SN//mark//34 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 landsting//NN|NEU|PLU|IND|NOM//nsubj:pass//34 ska//VB|PRS|AKT//aux//34 kunna//VB|INF|AKT//aux//34 bildas//VB|INF|SFO//advcl//27 .//MAD//punct//23
Till statsrådet Stefan Attefall;Den//DT|UTR|SIN|DEF//det//38 28//RG|NOM//nummod//38 september//NN|UTR|SIN|IND|NOM//obl//40 2009//RG|NOM//nummod//38 förordnades//VB|PRT|SFO//parataxis//23 generaldirektören//NN|UTR|SIN|DEF|NOM//nmod//42 Mats//PM|NOM//dep//40 Sjöstrand//PM|NOM//flat:name//42 som//KN//mark//46 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//46 utredare//NN|UTR|SIN|IND|NOM//xcomp//40 .//MAD//punct//1
Till statsrådet Stefan Attefall;En//DT|UTR|SIN|IND//det//1 företeckningen//NN|UTR|SIN|IND|NOM//ROOT//1 över//PP//case//3 de//PN|UTR/NEU|PLU|DEF|SUB//nmod//1 som//HP|-|-|-//nsubj:pass//5 förordnats//VB|SUP|SFO//acl:relcl//3 som//KN//mark//7 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//5 och//KN//cc//9 experter//NN|UTR|PLU|IND|NOM//conj//7 samt//KN//cc//12 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 sekretariat//NN|NEU|PLU|IND|NOM//nsubj:pass//13 bifogas//VB|PRS|SFO//conj//5 .//MAD//punct//1
Till statsrådet Stefan Attefall;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 redovisar//VB|PRS|AKT//ROOT//1 nu//AB//advmod//1 den//DT|UTR|SIN|DEF//det//4 del//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//6 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//4 som//HP|-|-|-//nsubj//8 avser//VB|PRS|AKT//acl:relcl//6 indelningsdelegerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 och//KN//cc//11 mellankommunal//JJ|POS|UTR|SIN|IND|NOM//conj//9 kostnadsutjämning//NN|UTR|SIN|IND|NOM//obj//8 vid//PP//case//15 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//15 landstingsindelning//NN|UTR|SIN|IND|NOM//nmod//12 och//KN//cc//17 överlämnar//VB|PRS|AKT//conj//8 delbetänkandet//NN|NEU|SIN|DEF|NOM//obj//17
Till statsrådet Stefan Attefall;Sammanläggningar//NN|UTR|PLU|IND|NOM//ROOT//0 av//PP//case//2 landsting//NN|NEU|SIN|IND|NOM//nmod//0 –//RG|NOM//punct//4 övergångsstyre//NN|UTR|PLU|IND|NOM//conj//2 och//KN//cc//6 utjämning//NN|UTR|SIN|IND|NOM//conj//4 ,//MID//punct//0
Till statsrådet Stefan Attefall;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 oktober//NN|UTR|SIN|IND|NOM//obl//0 2010//RG|NOM//nummod//2
Till statsrådet Stefan Attefall;Mats//PM|NOM//ROOT//0 Sjöstrand//PM|NOM//flat:name//0
Till statsrådet Stefan Attefall;Petter//PM|NOM//ROOT//0 Classon//PM|NOM//flat:name//0

Sakkunniga, experter och sekretariat;5.2//RG|NOM//nmod//1 Förslaget//NN|NEU|SIN|DEF|NOM//ROOT//1 till//PP//case//3 lag//NN|UTR|SIN|IND|NOM//nmod//1 om//PP//case//5 ändring//NN|UTR|SIN|IND|NOM//nmod//3 i//PP//case//7 lagen//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//9 1992:339//RG|NOM//nmod//5 )//PAD//punct//9 om//PP//case//1


