11 Erfarenheter av kortare arbetstid;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 redovisas//VB|PRS|SFO//ROOT//3 uppfattningar//NN|UTR|PLU|IND|NOM//nsubj:pass//3 om//PP//case//7 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 arbetstid//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//10 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//10 inverkan//NN|UTR|SIN|IND|NOM//conj//7 på//PP//case//12 hälsa//NN|UTR|SIN|IND|NOM//nmod//10 och//KN//cc//14 jämställdhet//NN|UTR|SIN|IND|NOM//conj//12 .//MAD//punct//3
11.1 Hälsa och välbefinnande;Stressen//NN|UTR|SIN|DEF|NOM//nsubj//31 i//PP//case//25 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//23 och//KN//cc//27 risken//NN|UTR|SIN|DEF|NOM//conj//23 för//PP//case//29 utbrändhet//NN|UTR|SIN|IND|NOM//nmod//27 är//VB|PRS|AKT//cop//31 frågor//NN|UTR|PLU|IND|NOM//parataxis//1 som//HP|-|-|-//nsubj:pass//34 idag//AB//advmod//34 lyfts//VB|PRS|SFO//acl:relcl//31 14//RG|NOM//nummod//36 procent//NN|UTR|PLU|IND|NOM//obj//34 av//PP//case//38 befolkningen//NN|UTR|SIN|DEF|NOM//nmod//36 i//PP//case//41 arbetsför//JJ|POS|UTR|SIN|IND|NOM//amod//41 ålder//NN|UTR|SIN|IND|NOM//nmod//38 (//PAD//punct//31 20–64//RG|NOM//nummod//44 år//NN|NEU|PLU|IND|NOM//appos//31 )//PAD//punct//31 fick//VB|PRT|AKT//conj//1 under//PP//advmod//48 2004//RG|NOM//nummod//49 sin//PS|UTR|SIN|DEF//nmod:poss//50 försörjning//NN|UTR|SIN|IND|NOM//obj//46 från//PP//case//52 sjukpenning//NN|UTR|SIN|IND|NOM//obl//46 och//KN//cc//54 sjuk-//NN|UTR|SIN|IND|NOM//conj//52 och//KN//cc//56 aktivitetsersättning//NN|UTR|SIN|IND|NOM//conj//52 (//PAD//punct//46 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 förtidspension//NN|UTR|SIN|IND|NOM//appos//46 )//PAD//punct//46 .//MAD//punct//68
11.1 Hälsa och välbefinnande;Nästan//AB//advmod//63 60//RG|NOM//nummod//64 procent//NN|UTR|PLU|IND|NOM//nsubj//68 av//PP//case//67 de//DT|UTR/NEU|PLU|DEF//det//67 sjukskrivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//64 uppger//VB|PRS|AKT//conj//1 att//SN//mark//73 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//73 skulle//VB|PRT|AKT//aux//73 kunna//VB|INF|AKT//aux//73 arbeta//VB|INF|AKT//ccomp//68 ,//MID//punct//77 åtminstone//AB//advmod//77 en//DT|UTR|SIN|IND//det//77 del//NN|UTR|SIN|IND|NOM//obl//73 av//PP//case//81 sin//PS|UTR|SIN|DEF//nmod:poss//81 normala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//81 arbetstid//NN|UTR|SIN|IND|NOM//nmod//77 ,//MID//punct//89 om//SN//mark//89 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//89 i//PP//case//87 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//87 utsträckning//NN|UTR|SIN|IND|NOM//obl//89 kunde//VB|PRT|AKT//aux//89 påverka//VB|INF|AKT//conj//73 sin//PS|UTR|SIN|DEF//nmod:poss//91 arbetssituation//NN|UTR|SIN|IND|NOM//obj//89 .//MAD//punct//1
11.1 Hälsa och välbefinnande;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//98 skulle//VB|PRT|AKT//aux//95 tex//AB|AN//fixed//93 .//MAD//punct//93
11.1 Hälsa och välbefinnande;kunna//VB|INF|AKT//aux//98 handla//VB|INF|AKT//parataxis//1 om//PP//mark//103 att//IE//mark//103 vid//PP//case//102 behov//NN|NEU|SIN|IND|NOM//obl//103 arbeta//VB|INF|AKT//advcl//98 färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//105 timmar//NN|UTR|PLU|IND|NOM//obj//103 per//PP//case//107 dag//NN|UTR|SIN|IND|NOM//nmod//105 eller//KN//cc//109 vecka//NN|UTR|SIN|IND|NOM//conj//107 eller//KN//cc//111 få//VB|INF|AKT//conj//103 mer//AB|KOM//advmod//113 flexibla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//114 arbetstider//NN|UTR|PLU|IND|NOM//obj//111 .//MAD//punct//98
11.1 Hälsa och välbefinnande;32//RG|NOM//nummod//117 procent//NN|UTR|PLU|IND|NOM//nsubj//121 av//PP//case//120 de//DT|UTR/NEU|PLU|DEF//det//120 heltidssjukskrivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//117 uppger//VB|PRS|AKT//parataxis//98 att//SN//mark//126 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//126 skulle//VB|PRT|AKT//aux//126 vilja//VB|INF|AKT//aux//126 arbeta//VB|INF|AKT//ccomp//121 deltid//NN|UTR|SIN|IND|NOM//obj//126 med//PP//case//132 tanke//NN|UTR|SIN|IND|NOM//fixed//128 på//PP//fixed//128 sin//PS|UTR|SIN|DEF//nmod:poss//132 arbetsförmåga//NN|UTR|SIN|IND|NOM//obl//126 .//MAD//punct//98
11.1 Hälsa och välbefinnande;Arbetstiden//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//3 aspekter//NN|UTR|PLU|IND|NOM//obj//1 som//HP|-|-|-//nsubj//5 har//VB|PRS|AKT//acl:relcl//3 betydelse//NN|UTR|SIN|IND|NOM//obj//5 för//PP//case//9 arbetstagarens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 hälsa//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//11 välbefinnande//NN|NEU|SIN|IND|NOM//conj//9 .//MAD//punct//1
11.1 Hälsa och välbefinnande;Bland//PP//case//14 annat//PN|NEU|SIN|IND|SUB/OBJ//obl//15 har//VB|PRS|AKT//conj//1 möjligheten//NN|UTR|SIN|DEF|NOM//nsubj//15 till//PP//case//18 återhämtning//NN|UTR|SIN|IND|NOM//nmod//16 mellan//PP//case//20 arbetspass//NN|NEU|SIN|IND|NOM//nmod//18 och//KN//cc//22 möjligheten//NN|UTR|SIN|DEF|NOM//conj//20 att//IE//mark//25 själv//JJ|POS|UTR|SIN|IND|NOM//advmod//25 påverka//VB|INF|AKT//acl//22 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//27 arbetstidsförhållanden//NN|NEU|PLU|IND|NOM//obj//25 så//AB//mark//32 att//SN//fixed//28 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//32 kan//VB|PRS|AKT//aux//32 anpassas//VB|INF|SFO//advcl//25 till//PP//case//34 livssituationen//NN|UTR|SIN|DEF|NOM//obl//32 i//PP//case//37 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//35 betydelse//NN|UTR|SIN|IND|NOM//obl//32 .//MAD//punct//1
11.1 Hälsa och välbefinnande;Genom//PP//mark//2 att//IE//mark//2 arbeta//VB|INF|AKT//advcl//7 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 tid//NN|UTR|SIN|IND|NOM//obj//2 per//PP//case//6 vecka//NN|UTR|SIN|IND|NOM//nmod//4 blir//VB|PRS|AKT//ROOT//7 tiden//NN|UTR|SIN|DEF|NOM//nsubj//7 för//PP//case//10 återhämtning//NN|UTR|SIN|IND|NOM//obl//7 längre//AB|KOM//advmod//7 och//KN//cc//13 möjligheten//NN|UTR|SIN|DEF|NOM//conj//11 att//IE//mark//15 orka//VB|INF|AKT//acl//13 vara//VB|INF|AKT//cop//17 kvar//PL//compound:prt//15 i//PP//case//19 arbetslivet//NN|NEU|SIN|DEF|NOM//obl//17 ökar//VB|PRS|AKT//advcl//7 .//MID//punct//7
11.1 Hälsa och välbefinnande;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//23 finns//VB|PRS|SFO//parataxis//7 samtidigt//AB//advmod//23 en//DT|UTR|SIN|IND//det//26 risk//NN|UTR|SIN|IND|NOM//nsubj//23 att//SN//mark//29 arbetstempot//NN|NEU|SIN|DEF|NOM//nsubj:pass//29 drivs//VB|PRS|SFO//acl//26 upp//PL//compound:prt//29 för//PP//case//33 de//DT|UTR/NEU|PLU|DEF//det//33 kvarvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//29 .//MAD//punct//23
11.1 Hälsa och välbefinnande;Ett//DT|NEU|SIN|IND//det//37 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//37 inflytande//NN|NEU|SIN|IND|NOM//nsubj//40 över//PP//case//39 arbetstiden//NN|UTR|SIN|DEF|NOM//nmod//37 ger//VB|PRS|AKT//parataxis//23 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 möjligheter//NN|UTR|PLU|IND|NOM//obj//40 för//PP//case//44 arbetstagaren//NN|UTR|SIN|DEF|NOM//nmod//42 att//IE//mark//46 kombinera//VB|INF|AKT//acl//42 arbete//NN|NEU|SIN|IND|NOM//obj//46 ,//MID//punct//49 fritidssysselsättning//NN|UTR|SIN|IND|NOM//conj//47 och//KN//cc//51 familjeliv//NN|NEU|SIN|IND|NOM//conj//47 .//MAD//punct//7
