Sammanfattning;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//5 haft//VB|SUP|AKT//ROOT//5 att//IE//mark//7 ta//VB|INF|AKT//xcomp//5 ställning//NN|UTR|SIN|IND|NOM//obj//7 till//PP//case//11 tre//RG|NOM//nummod//11 huvudfrågor//NN|UTR|PLU|IND|NOM//obl//7 nämligen//AB//advmod//7 1//RG|NOM//nummod//7 .//MAD//punct//5
Sammanfattning;markägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//18 och//KN//cc//17 nyttjanderättshavarnas//NN|UTR|PLU|DEF|GEN//conj//15 ställning//NN|UTR|SIN|IND|NOM//obj//5 vid//PP//case//20 prospektering//NN|UTR|SIN|IND|NOM//nmod//18 ,//MID//punct//18 2//RG|NOM//nummod//18 .//MAD//punct//5
Sammanfattning;markägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//25 ställning//NN|UTR|SIN|IND|NOM//obj//5 vid//PP//case//27 gruvbrytning//NN|UTR|SIN|IND|NOM//nmod//25 ,//MID//punct//5 och//KN//cc//30 3//RG|NOM//conj//5 .//MAD//punct//5
Sammanfattning;skyddet//NN|NEU|SIN|DEF|NOM//obj//5 för//PP//case//35 värdefull//JJ|POS|UTR|SIN|IND|NOM//amod//35 miljö//NN|UTR|SIN|IND|NOM//nmod//32 vid//PP//case//37 undersökningsarbeten//NN|NEU|PLU|IND|NOM//nmod//35
Sammanfattning;I//PP//case//2 det//DT|NEU|SIN|DEF//det//2 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//3 presenteras//VB|PRS|SFO//ROOT//3 inledningsvis//AB//advmod//3 en//DT|UTR|SIN|IND//det//6 sammanfattning//NN|UTR|SIN|IND|NOM//nsubj:pass//3 av//PP//case//9 de//DT|UTR/NEU|PLU|DEF//det//9 överväganden//NN|NEU|PLU|IND|NOM//nmod//6 och//KN//cc//11 ställningstaganden//NN|NEU|PLU|IND|NOM//conj//9 som//HP|-|-|-//nsubj//13 legat//VB|SUP|AKT//acl:relcl//11 till//PP//case//17 grund//NN|UTR|SIN|IND|NOM//fixed//14 för//PP//fixed//14 förslaget//NN|NEU|SIN|DEF|NOM//obl//13 .//MAD//punct//3
Sammanfattning;Därefter//AB//advmod//20 presenteras//VB|PRS|SFO//parataxis//3 förslagets//NN|NEU|SIN|DEF|GEN//nmod:poss//22 huvudpunkter//NN|UTR|PLU|IND|NOM//nsubj:pass//20 i//PP//case//24 sammanfattning//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//20
Sammanfattning;Slutligen//AB//advmod//27 anges//VB|PRS|SFO//parataxis//20 i//PP//case//29 punktform//NN|UTR|SIN|IND|NOM//obl//27 de//DT|UTR/NEU|PLU|DEF//det//31 förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//27 till//PP//case//33 lagändringar//NN|UTR|PLU|IND|NOM//nmod//31 som//HP|-|-|-//nsubj:pass//35 lämnas//VB|PRS|SFO//acl:relcl//33 i//PP//case//37 betänkandet//NN|NEU|SIN|DEF|NOM//obl//35 .//MAD//punct//20

Allmänna överväganden Mineralutvinning är av allmänt intresse;De//DT|UTR/NEU|PLU|DEF//det//2 geologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//12 för//PP//mark//5 att//IE//mark//5 finna//VB|INF|AKT//acl//2 utvinningsbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 mineraltillgångar//NN|UTR|PLU|IND|NOM//obj//5 i//PP//case//9 Sverige//PM|NOM//obl//5 är//VB|PRS|AKT//cop//12 förhållandevis//AB//advmod//12 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//12 .//MAD//punct//12
Allmänna överväganden Mineralutvinning är av allmänt intresse;Sverige//PM|NOM//nsubj//17 har//VB|PRS|AKT//aux//17 också//AB//advmod//17 har//VB|PRS|AKT//parataxis//12 en//DT|UTR|SIN|IND//det//20 lång//JJ|POS|UTR|SIN|IND|NOM//amod//20 tradition//NN|UTR|SIN|IND|NOM//obj//17 som//KN//mark//22 gruvland//NN|NEU|SIN|IND|NOM//acl//20 och//KN//cc//27 är//VB|PRS|AKT//cop//27 den//DT|UTR|SIN|DEF//det//27 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//27 producenten//NN|UTR|SIN|DEF|NOM//conj//17 av//PP//case//29 järnmalm//NN|UTR|SIN|IND|NOM//nmod//27 ,//MID//punct//31 koppar//NN|UTR|SIN|IND|NOM//conj//29 och//KN//cc//33 silver//NN|NEU|SIN|IND|NOM//conj//29 i//PP//case//35 EU//PM|NOM//nmod//27 .//MAD//punct//17
Allmänna överväganden Mineralutvinning är av allmänt intresse;En//DT|UTR|SIN|IND//det//40 hög//JJ|POS|UTR|SIN|IND|NOM//amod//40 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//40 kompetens//NN|UTR|SIN|IND|NOM//nsubj:pass//42 har//VB|PRS|AKT//aux//42 utbildats//VB|SUP|SFO//conj//17 på//PP//case//44 gruvområdet//NN|NEU|SIN|DEF|NOM//obl//42 med//PP//case//49 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//49 världsledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 industriföretag//NN|NEU|PLU|IND|NOM//nmod//44 som//KN//nsubj//51 följd//NN|UTR|SIN|IND|NOM//acl:relcl//49 .//MAD//punct//17
Allmänna överväganden Mineralutvinning är av allmänt intresse;Mineralutvinning//NN|UTR|SIN|IND|NOM//nsubj//54 har//VB|PRS|AKT//conj//12 mycket//AB|POS//advmod//56 stor//JJ|POS|UTR|SIN|IND|NOM//amod//57 betydelse//NN|UTR|SIN|IND|NOM//obj//54 för//PP//case//59 sysselsättning//NN|UTR|SIN|IND|NOM//obl//54 och//KN//cc//61 välstånd//NN|NEU|SIN|IND|NOM//conj//59 i//PP//case//64 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 regioner//NN|UTR|PLU|IND|NOM//nmod//61 i//PP//case//66 Sverige//PM|NOM//nmod//64 .//MAD//punct//54
