Näringsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 4//RO|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2001//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//1 en//DT|UTR|SIN|IND//det//9 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//11 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 närmare//AB|KOM//advmod//14 granska//VB|INF|AKT//amod//15 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//7 för//PP//case//17 tillskapandet//NN|NEU|SIN|DEF|NOM//nmod//15 av//PP//case//20 en//DT|UTR|SIN|IND//det//20 vägtrafikinspektion//NN|UTR|SIN|IND|NOM//nmod//17 .//MAD//punct//1
Näringsdepartementet;Den//DT|UTR|SIN|DEF//det//2 10//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2001//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 generaldirektör//NN|UTR|SIN|IND|NOM//nmod//6 Jörgen//PM|NOM//nsubj:pass//4 Andersson//PM|NOM//flat:name//6 som//KN//case//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//4
Näringsdepartementet;Den//DT|UTR|SIN|DEF//det//2 22//RG|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//obl//4 2002//RG|NOM//nummod//2 anställdes//VB|PRT|SFO//ROOT//4 Matts-Åke//PM|NOM//nsubj:pass//4 Belin//PM|NOM//flat:name//5 som//KN//case//8 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Näringsdepartementet;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//12 har//VB|PRS|AKT//aux//12 antagit//VB|SUP|AKT//parataxis//4 namnet//NN|NEU|SIN|DEF|NOM//nmod//14 Vägtrafikinspektionsutredningen//NN|UTR|SIN|DEF|NOM//obj//12 .//MAD//punct//12
Näringsdepartementet;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sitt//PS|NEU|SIN|DEF//nmod:poss//4 delbetänkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 Tillsyn//NN|UTR|SIN|IND|NOM//obl//1 över//PP//case//7 vägtrafiksäkerheten//NN|UTR|SIN|DEF|NOM//obl//5 –//RG|NOM//punct//10 en//DT|UTR|SIN|IND//det//10 vägtrafikinspektion//NN|UTR|SIN|IND|NOM//obl//1 .//MAD//punct//1
Näringsdepartementet;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 5//RO|NOM//nummod//3 mars//NN|UTR|SIN|IND|NOM//obj//0 2002//RG|NOM//nummod//3
Näringsdepartementet;Jörgen//PM|NOM//ROOT//0 Andersson//PM|NOM//flat:name//0
Näringsdepartementet;Matts-Åke//PM|NOM//ROOT//0 Belin//PM|NOM//flat:name//0

1 Utredarens arbete;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//7 den//DT|UTR|SIN|DEF//det//4 10//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//nmod//7 2001//RG|NOM//nummod//7 tillkallade//VB|PRT|AKT//amod//7 chefen//NN|UTR|SIN|DEF|NOM//ROOT//7 för//PP//case//9 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//7 mig//PN|UTR|SIN|DEF|OBJ//nmod//7 såsom//KN//mark//14 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//obl//14 generaldirektör//NN|UTR|SIN|IND|NOM//csubj//7 Jörgen//PM|NOM//obj//14 Andersson//PM|NOM//flat:name//15 .//MAD//punct//7
1 Utredarens arbete;Till//PP//case//19 sekreterare//NN|UTR|SIN|IND|NOM//obl//20 förordnades//VB|PRT|SFO//parataxis//7 den//DT|UTR|SIN|DEF//det//23 22//RG|NOM//nummod//23 januari//NN|UTR|SIN|IND|NOM//nsubj:pass//20 2002//RG|NOM//nummod//23 Matts-Åke//PM|NOM//appos//23 Belin//PM|NOM//flat:name//25 .//MAD//punct//20
