Kraftsamling!;–//RG|NOM//punct//2 museisamverkan//NN|UTR|SIN|DEF|NOM//nsubj//2 ger//VB|PRS|AKT//ROOT//2 resultat//NN|NEU|SIN|IND|NOM//obj//2

BILAGOR;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 från//PP//case//2 Museikoordinatorn//NN|UTR|SIN|DEF|NOM//nmod//0
BILAGOR;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0


Dokumentation av ett rundabordssamtal om samverkan och uppdraget som museikoordinator;Den//DT|UTR|SIN|DEF//det//2 23//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 2007//RG|NOM//nummod//2 bjöd//VB|PRT|AKT//ROOT//4 kulturdepartementet//NN|NEU|SIN|DEF|NOM//obj//4 med//PP//case//8 kulturminister//NN|UTR|SIN|IND|NOM//nmod//8 Lena//PM|NOM//obl//4 Adelsohn//PM|NOM//flat:name//8 Liljeroth//PM|NOM//flat:name//8 i//PP//case//12 spetsen//NN|UTR|SIN|DEF|NOM//obl//4 in//AB//case//16 till//PP//fixed//13 ett//DT|NEU|SIN|IND//det//16 rundabordssamtal//NN|NEU|SIN|IND|NOM//obl//4 om//PP//case//18 samverkan//NN|UTR|SIN|IND|NOM//nmod//16 inom//PP//case//20 museisektorn//NN|UTR|SIN|DEF|NOM//nmod//18 och//KN//cc//23 om//PP//case//23 uppdraget//NN|NEU|SIN|DEF|NOM//conj//4 som//KN//mark//25 museikoordinator//NN|UTR|SIN|IND|NOM//acl//23 .//MAD//punct//4
Dokumentation av ett rundabordssamtal om samverkan och uppdraget som museikoordinator;Omkring//AB//advmod//28 70//RG|NOM//nummod//29 personer//NN|UTR|PLU|IND|NOM//appos//4 –//RG|NOM//punct//32 företrädesvis//AB//advmod//32 museichefer//NN|UTR|PLU|IND|NOM//appos//29 –//RG|NOM//punct//32 samlades//VB|PRT|SFO//xcomp//4 i//PP//case//36 Rotundan//NN|UTR|SIN|DEF|NOM//obl//34 i//PP//case//38 Rosenbad//PM|NOM//obl//34 ,//MID//punct//40 Stockholm//PM|NOM//conj//38 ,//MID//punct//34 för//PP//mark//44 att//IE//mark//44 ge//VB|INF|AKT//advcl//4 sin//PS|UTR|SIN|DEF//nmod:poss//46 syn//NN|UTR|SIN|IND|NOM//obj//44 på//PP//case//49 koordinatorns//NN|UTR|SIN|DEF|GEN//nmod:poss//49 roll//NN|UTR|SIN|IND|NOM//obl//44 samt//KN//cc//51 farhågor//NN|UTR|PLU|IND|NOM//conj//49 och//KN//cc//53 förhoppningar//NN|UTR|PLU|IND|NOM//conj//51 med//PP//case//56 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//56 samverkan//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//4
Dokumentation av ett rundabordssamtal om samverkan och uppdraget som museikoordinator;Tipsen//NN|NEU|PLU|DEF|NOM//nsubj//4 och//KN//cc//2 råden//NN|NEU|PLU|DEF|NOM//conj//0 var//VB|PRT|AKT//cop//4 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//ROOT//4 och//KN//cc//8 den//DT|UTR|SIN|DEF//det//8 nytillträdde//PC|PRF|MAS|SIN|DEF|NOM//amod//8 museikoordinatorn//NN|UTR|SIN|DEF|NOM//nmod//9 Christina//PM|NOM//conj//4 von//PM|NOM//flat:name//9 Arbin//PM|NOM//flat:name//9 fick//VB|PRT|AKT//conj//4 en//DT|UTR|SIN|IND//det//15 hel//JJ|POS|UTR|SIN|IND|NOM//amod//15 del//NN|UTR|SIN|IND|NOM//nmod//16 uppslag//NN|NEU|PLU|IND|NOM//obj//12 att//IE//mark//18 ta//VB|INF|AKT//acl//16 med//PL//case//20 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//18 i//PP//case//24 sin//PS|UTR|SIN|DEF//nmod:poss//24 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 roll//NN|UTR|SIN|IND|NOM//obl//18 .//MAD//punct//4
Dokumentation av ett rundabordssamtal om samverkan och uppdraget som museikoordinator;Men//KN//cc//31 ,//MID//punct//31 som//HP|-|-|-//obj//31 hon//PN|UTR|SIN|DEF|SUB//nsubj//31 själv//JJ|POS|UTR|SIN|IND|NOM//amod//29 sa//VB|PRT|AKT//conj//4 i//PP//case//34 ett//DT|NEU|SIN|IND//det//34 anförande//NN|NEU|SIN|IND|NOM//obl//31 i//PP//case//36 början//NN|UTR|SIN|DEF|NOM//nmod//34 av//PP//case//38 diskussionen//NN|UTR|SIN|DEF|NOM//nmod//36 ://MID//punct//31
Dokumentation av ett rundabordssamtal om samverkan och uppdraget som museikoordinator;Detta//DT|NEU|SIN|DEF//det//41 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//45 är//VB|PRS|AKT//cop//45 inte//AB//advmod//45 bara//AB//advmod//45 mitt//PS|NEU|SIN|DEF//parataxis//31 ,//MID//punct//31 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//52 är//VB|PRS|AKT//cop//52 i//PP//case//51 hög//JJ|POS|UTR|SIN|IND|NOM//amod//51 grad//NN|UTR|SIN|IND|NOM//obl//52 ert//PS|NEU|SIN|DEF//conj//31 .//MAD//punct//4
