Ökad likvärdighet för elever med funktionshinder;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 specialskolor//NN|UTR|PLU|IND|NOM//nmod//2
Ökad likvärdighet för elever med funktionshinder;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet Jan Björklund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 7//RO|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//1 2006//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//advcl//7 hur//HA//advmod//20 Ekeskolan//NN|UTR|SIN|DEF|NOM//nsubj:pass//20 och//KN//cc//18 Hällsboskolan//PM|NOM//conj//16 ska//VB|PRS|AKT//aux//20 återetableras//VB|INF|SFO//ccomp//14 som//KN//case//23 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 specialskolor//NN|UTR|PLU|IND|NOM//obl//20 för//PP//case//25 elever//NN|UTR|PLU|IND|NOM//nmod//23 med//PP//case//27 synskada//NN|UTR|SIN|IND|NOM//amod//33 och//KN//cc//30 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 funktionshinder//NN|NEU|PLU|IND|NOM//conj//27 respektive//AB//cc//32 grav//NN|UTR|SIN|IND|NOM//conj//27 språkstörning//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//4
Till statsrådet Jan Björklund;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//36 redovisade//VB|PRT|AKT//conj//1 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//38 förslag//NN|NEU|PLU|IND|NOM//obj//36 i//PP//case//40 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//38 Två//RG|NOM//nummod//44 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 specialskolor//NN|UTR|PLU|IND|NOM//obj//36 (//PAD//punct//44 SOU//PM|NOM//appos//44 2007:30//RG|NOM//nmod//46 )//PAD//punct//46 till//PP//case//51 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//51 Björklund//PM|NOM//conj//44 den//DT|UTR|SIN|DEF//det//54 15//RG|NOM//nummod//54 maj//NN|UTR|SIN|IND|NOM//obl//36 2007//RG|NOM//nummod//54 .//MAD//punct//36
Till statsrådet Jan Björklund;Därutöver//AB//advmod//1 ingår//VB|PRS|AKT//ROOT//1 i//PP//case//3 direktiven//NN|NEU|PLU|DEF|NOM//obl//1 att//IE//mark//5 kartlägga//VB|INF|AKT//acl//3 och//KN//cc//7 analysera//VB|INF|AKT//conj//5 hur//HA//advmod//9 stort//AB//amod//10 behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//14 av//PP//case//12 utbildningsplatser//NN|UTR|PLU|IND|NOM//nmod//10 kan//VB|PRS|AKT//aux//14 förväntas//VB|INF|SFO//advcl//1 bli//VB|INF|AKT//xcomp//14 vid//PP//case//17 inrättande//NN|NEU|SIN|IND|NOM//obl//15 av//PP//case//21 en//DT|UTR|SIN|IND//det//21 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//21 specialskola//NN|UTR|SIN|IND|NOM//nmod//17 för//PP//case//23 elever//NN|UTR|PLU|IND|NOM//nmod//21 i//PP//case//25 gymnasieåldern//NN|UTR|SIN|DEF|NOM//nmod//23 med//PP//case//27 synskada//NN|UTR|SIN|IND|NOM//nmod//25 och//KN//cc//30 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 funktionshinder//NN|NEU|PLU|IND|NOM//conj//27 .//MAD//punct//14
Till statsrådet Jan Björklund;I//PP//case//33 uppdraget//NN|NEU|SIN|DEF|NOM//obl//34 ingår//VB|PRS|AKT//conj//1 bl.a.//AB|AN//advmod//34 att//IE//mark//37 analysera//VB|INF|AKT//xcomp//34 och//KN//cc//39 lämna//VB|INF|AKT//conj//37 förslag//NN|NEU|SIN|IND|NOM//obj//39 till//PP//case//44 en//DT|UTR|SIN|IND//det//44 lämplig//JJ|POS|UTR|SIN|IND|NOM//amod//44 organisationsform//NN|UTR|SIN|IND|NOM//nmod//40 för//PP//case//48 en//DT|UTR|SIN|IND//det//48 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//48 specialskola//NN|UTR|SIN|IND|NOM//nmod//44 samt//KN//cc//52 vid//PP//case//51 behov//NN|NEU|SIN|IND|NOM//obl//52 lämna//VB|INF|AKT//conj//37 förslag//NN|NEU|SIN|IND|NOM//obj//52 till//PP//case//55 författningsändringar//NN|UTR|PLU|IND|NOM//nmod//53 om//PP//case//57 möjligheten//NN|UTR|SIN|DEF|NOM//nmod//55 till//PP//case//60 förlängd//PC|PRF|UTR|SIN|IND|NOM//amod//60 skolgång//NN|UTR|SIN|IND|NOM//nmod//57 i//PP//case//62 specialskolan//NN|UTR|SIN|DEF|NOM//nmod//60 .//MAD//punct//34
Till statsrådet Jan Björklund;I//PP//case//65 direktiven//NN|NEU|PLU|DEF|NOM//obl//66 ingår//VB|PRS|AKT//conj//1 även//AB//advmod//66 att//IE//mark//69 kartlägga//VB|INF|AKT//xcomp//66 och//KN//cc//71 analysera//VB|INF|AKT//conj//69 hur//HA//advmod//87 utbildningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//87 för//PP//case//75 döva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//73 ,//MID//punct//77 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//80 eller//KN//cc//79 dövblinda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//77 elever//NN|UTR|PLU|IND|NOM//conj//75 utifrån//PP//case//82 behov//NN|NEU|SIN|IND|NOM//nmod//73 och//KN//cc//84 efterfrågan//NN|UTR|SIN|IND|NOM//conj//82 bäst//AB|SUV//advmod//87 kan//VB|PRS|AKT//aux//87 organiseras//VB|INF|SFO//ccomp//71 så//AB//mark//91 att//SN//fixed//88 eleverna//NN|UTR|PLU|DEF|NOM//nsubj//91 ges//VB|PRS|SFO//advcl//87 möjlighet//NN|UTR|SIN|IND|NOM//nsubj:pass//91 att//IE//mark//94 få//VB|INF|AKT//acl//92 en//DT|UTR|SIN|IND//det//97 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//97 utbildning//NN|UTR|SIN|IND|NOM//obj//94 av//PP//case//100 hög//JJ|POS|UTR|SIN|IND|NOM//amod//100 kvalitet//NN|UTR|SIN|IND|NOM//nmod//97 .//MAD//punct//1
Till statsrådet Jan Björklund;Därvid//AB//advmod//106 ska//VB|PRS|AKT//aux//106 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//106 särskilt//AB//advmod//106 analysera//VB|INF|AKT//parataxis//1 skillnaderna//NN|UTR|PLU|DEF|NOM//obj//106 mellan//PP//case//110 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 specialskolor//NN|UTR|PLU|IND|NOM//nmod//107 för//PP//case//115 döva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//115 eller//KN//cc//114 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//112 elever//NN|UTR|PLU|IND|NOM//nmod//110 samt//KN//cc//118 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 hörselklasskolor//NN|UTR|PLU|IND|NOM//conj//110 med//PP//case//120 kommunen//NN|UTR|SIN|DEF|NOM//nmod//118 som//KN//mark//122 huvudman//NN|UTR|SIN|IND|NOM//acl//107 .//MAD//punct//106
Till statsrådet Jan Björklund;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//125 omfattar//VB|PRS|AKT//parataxis//106 även//AB//advmod//125 utbildning//NN|UTR|SIN|IND|NOM//obj//125 vid//PP//case//129 riksgymnasieskolor//NN|UTR|PLU|IND|NOM//nmod//127 för//PP//case//134 döva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//134 eller//KN//cc//133 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//131 elever//NN|UTR|PLU|IND|NOM//nmod//129 samt//KN//cc//136 elever//NN|UTR|PLU|IND|NOM//conj//134 med//PP//case//139 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//139 rörelsehinder//NN|UTR|PLU|IND|NOM//nmod//136 .//MAD//punct//106
Till statsrådet Jan Björklund;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//143 ska//VB|PRS|AKT//aux//143 överväga//VB|INF|AKT//conj//106 om//SN//mark//146 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//146 krävs//VB|PRS|SFO//advcl//143 förändringar//NN|UTR|PLU|IND|NOM//nsubj:pass//146 i//PP//case//149 styrning//NN|UTR|SIN|IND|NOM//nmod//147 ,//MID//punct//151 organisation//NN|UTR|SIN|IND|NOM//conj//149 eller//KN//cc//153 ansvarsfördelning//NN|UTR|SIN|IND|NOM//conj//149 för//PP//case//155 utbildningen//NN|UTR|SIN|DEF|NOM//nmod//153 .//MAD//punct//106
