CAMPUS KIRUNA;Utredning//NN|UTR|SIN|IND|NOM//ROOT//0 om//PP//case//3 en//DT|UTR|SIN|IND//det//3 rymdhögskola//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//5 Kiruna//PM|NOM//nmod//3 (//PAD//punct//5 U//PM|NOM//appos//5 1999:10//RG|NOM//nmod//0 )//PAD//punct//0
SAMMANFATTNING;Distansutbildning//NN|UTR|SIN|IND|NOM//nsubj:pass//61 skall//VB|PRS|AKT//aux//61 användas//VB|INF|SFO//conj//30 .//MAD//punct//61 ·//NN|UTR|SIN|IND|NOM//discourse//66
SAMMANFATTNING;En//DT|UTR|SIN|IND//det//65 utbyggnad//NN|UTR|SIN|IND|NOM//nsubj:pass//66 föreslås//VB|PRS|SFO//parataxis//61 från//PP//mark//71 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//67 och//KN//cc//70 hittills//AB//conj//68 planerade//VB|PRT|AKT//advcl//66 ca//AB|AN//advmod//73 300//RG|NOM//obj//71 till//PP//case//76 450//RG|NOM//nummod//76 helårsstudenter//NN|UTR|PLU|IND|NOM//obl//71 .//MAD//punct//66 ·//NN|UTR|SIN|IND|NOM//punct//66
SAMMANFATTNING;En//DT|UTR|SIN|IND//det//81 ”//JJ|POS|UTR|SIN|IND|NOM//punct//81 visionsgrupp//NN|UTR|SIN|IND|NOM//nsubj:pass//83 ”//RG|NOM//punct//81 föreslås//VB|PRS|SFO//conj//66 få//VB|INF|AKT//xcomp//83 i//PP//case//86 uppgift//NN|UTR|SIN|IND|NOM//obl//84 att//IE//mark//88 föreslå//VB|INF|AKT//acl//86 utbildningar//NN|UTR|PLU|IND|NOM//obj//88 som//HP|-|-|-//nsubj//92 kan//VB|PRS|AKT//aux//92 stärka//VB|INF|AKT//acl:relcl//89 den//DT|UTR|SIN|DEF//det//95 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//95 samhällsutvecklingen//NN|UTR|SIN|DEF|NOM//obj//92 i//PP//case//97 Kiruna//PM|NOM//obl//92 .//MAD//punct//66 ·//PP//punct//101
SAMMANFATTNING;Utbildningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//101 föreslås//VB|PRS|SFO//parataxis//66 organiserad//PC|PRF|UTR|SIN|IND|NOM//xcomp//101 inom//PP//case//105 en//DT|UTR|SIN|IND//det//105 Rymd-//NN|UTR|-|-|SMS//obl//102 och//KN//cc//107 miljöhögskola//NN|UTR|SIN|IND|NOM//conj//105 ,//MID//punct//109 RMH//PM|NOM//conj//105 ,//MID//punct//112 i//PP//case//112 Kiruna//PM|NOM//conj//105 som//HP|-|-|-//nsubj:pass//114 knyts//VB|PRS|SFO//acl:relcl//112 till//PP//case//118 Luleå//PM|GEN//nmod:poss//118 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//118 universitet//NN|NEU|SIN|IND|NOM//obl//114 och//KN//cc//121 till//PP//advmod//121 Umeå//PM|GEN//conj//118 universitet//NN|NEU|SIN|IND|NOM//obj//121
SAMMANFATTNING;För//PP//mark//2 att//IE//mark//2 upprätthålla//VB|INF|AKT//advcl//14 en//DT|UTR|SIN|IND//det//4 grundutbildning//NN|UTR|SIN|IND|NOM//obj//2 med//PP//case//7 god//JJ|POS|UTR|SIN|IND|NOM//amod//7 forskningsanknytning//NN|UTR|SIN|IND|NOM//nmod//4 måste//VB|PRS|AKT//aux//14 forskningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 och//KN//cc//11 forskarutbildningen//NN|UTR|SIN|DEF|NOM//conj//9 i//PP//case//13 Kiruna//PM|NOM//nmod//11 ges//VB|PRS|SFO//ROOT//14 ett//DT|NEU|SIN|IND//det//19 gott//JJ|POS|NEU|SIN|IND|NOM//amod//19 och//KN//cc//18 ökat//PC|PRF|NEU|SIN|IND|NOM//conj//16 stöd//NN|NEU|SIN|IND|NOM//nsubj:pass//14 .//MAD//punct//14
SAMMANFATTNING;För//PP//mark//23 att//IE//mark//23 uppnå//VB|INF|AKT//advcl//14 optimal//JJ|POS|UTR|SIN|IND|NOM//amod//25 samverkan//NN|UTR|SIN|IND|NOM//obj//23 mellan//PP//case//27 grundutbildning//NN|UTR|SIN|IND|NOM//nmod//25 och//KN//cc//29 forskning//NN|UTR|SIN|IND|NOM//conj//27 inom//PP//case//31 rymdfysikområdet//NN|NEU|SIN|DEF|NOM//obl//23 ,//MID//punct//23 samtidigt//AB//advmod//39 som//HA//mark//39 forskningens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 självständighet//NN|UTR|SIN|IND|NOM//nsubj:pass//39 och//KN//cc//38 utvecklingsmöjligheter//NN|UTR|PLU|IND|NOM//conj//36 bibehålls//VB|PRS|SFO//advcl//23 ,//MID//punct//14 föreslår//VB|PRS|AKT//parataxis//14 vi//PN|UTR|PLU|DEF|SUB//nsubj//41 att//SN//mark//46 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 IRF-Kiruna//PM|NOM//nsubj//46 får//VB|PRS|AKT//ccomp//41 samma//DT|UTR/NEU|SIN/PLU|IND//det//48 status//NN|UTR|SIN|IND|NOM//obj//46 som//KN//case//52 en//DT|UTR|SIN|IND//det//52 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//52 forskningsanläggning//NN|UTR|SIN|IND|NOM//acl//48 och//KN//cc//54 knyts//VB|PRS|SFO//conj//46 till//PP//case//58 det//DT|NEU|SIN|DEF//det//58 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//58 Vetenskapsrådet//NN|NEU|SIN|DEF|NOM//obl//54 .//MAD//punct//14
SAMMANFATTNING;Vi//PN|UTR|PLU|DEF|SUB//nsubj//61 föreslår//VB|PRS|AKT//parataxis//14 Luleå//PM|GEN//iobj//61 tekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 universitet//NN|NEU|SIN|IND|NOM//obj//61 ,//MID//punct//67 alternativt//AB|POS//advmod//67 Umeå//PM|GEN//appos//64 universitet//NN|NEU|SIN|IND|NOM//obj//67 ,//MID//punct//71 som//KN//case//71 värduniversitet//NN|NEU|SIN|IND|NOM//obl//61 för//PP//case//73 IRF//PM|NOM//nmod//71 .//MAD//punct//71
SAMMANFATTNING;De//DT|UTR/NEU|PLU|DEF//det//77 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//77 IRF-avdelningarna//NN|UTR|PLU|DEF|NOM//appos//71 vid//PP//case//80 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 universitet//NN|NEU|PLU|IND|NOM//nmod//77 föreslår//VB|PRS|AKT//conj//61 vi//PN|UTR|PLU|DEF|SUB//nsubj:pass//84 skall//VB|PRS|AKT//aux//84 knytas//VB|INF|SFO//xcomp//81 organisatoriskt//AB|POS//advmod//84 till//PP//case//88 respektive//AB//amod//88 hemmauniversitet//NN|UTR|SIN|IND|NOM//obl//84 .//MAD//punct//61
SAMMANFATTNING;I//PP//case//2 vårt//PS|NEU|SIN|DEF//nmod:poss//2 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 ingår//VB|PRS|AKT//ROOT//3 inte//AB//advmod//3 att//IE//mark//6 ge//VB|INF|AKT//csubj//3 förslag//NN|NEU|SIN|IND|NOM//obj//6 till//PP//mark//16 hur//HA//advmod//16 den//DT|UTR|SIN|DEF//det//12 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 inom//PP//case//14 MRI//PM|NOM//nmod//12 skall//VB|PRS|AKT//aux//16 behandlas//VB|INF|SFO//advcl//6 .//MAD//punct//3
SAMMANFATTNING;Vi//PN|UTR|PLU|DEF|SUB//nsubj//19 utgår//VB|PRS|AKT//parataxis//3 dock//AB//advmod//19 i//PP//case//23 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//23 förslag//NN|NEU|PLU|IND|NOM//obl//19 från//PP//mark//27 att//SN//mark//27 denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//27 säkras//VB|PRS|SFO//acl//23 i//PP//case//30 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 omfattning//NN|UTR|SIN|IND|NOM//obl//27 och//KN//cc//32 ges//VB|PRS|SFO//conj//19 en//DT|UTR|SIN|IND//det//37 mera//AB|KOM//advmod//35 permanent//JJ|POS|UTR|SIN|IND|NOM//amod//37 organisatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//37 anknytning//NN|UTR|SIN|IND|NOM//obj//32 .//MAD//punct//19
