En trygg dricksvattenförsörjning;–//RG|NOM//punct//2 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 förslag//NN|NEU|PLU|IND|NOM//ROOT//2 ,//MID//punct//4 finansiering//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//6 konsekvenser//NN|UTR|PLU|IND|NOM//conj//2
En trygg dricksvattenförsörjning;Del//NN|UTR|SIN|IND|NOM//nmod//1 2//RG|NOM//ROOT//1
En trygg dricksvattenförsörjning;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Dricksvattenutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
En trygg dricksvattenförsörjning;Stockholm//PM|NOM//ROOT//0 2016//RG|NOM//nummod//2 1.12//RG|NOM//nmod//3 Förslag//NN|NEU|PLU|IND|NOM//obj//0 till//PP//case//5 förordning//NN|UTR|SIN|IND|NOM//nmod//3 om//PP//case//7 ändring//NN|UTR|SIN|IND|NOM//nmod//5 i//PP//case//9 förordningen//NN|UTR|SIN|DEF|NOM//nmod//7 (//PAD//punct//9 2013:1020//RG|NOM//appos//9 )//PAD//punct//9 med//PP//case//14 instruktion//NN|UTR|SIN|IND|NOM//nmod//7 för//PP//case//17 1.14//RG|NOM//nmod//17 Förslag//NN|NEU|PLU|IND|NOM//nmod//14 till//PP//case//19 förordning//NN|UTR|SIN|IND|NOM//nmod//17 om//PP//case//21 ändring//NN|UTR|SIN|IND|NOM//nmod//19 i//PP//case//23 förordningen//NN|UTR|SIN|DEF|NOM//nmod//21 (//PAD//punct//25 2008:1233//RG|NOM//appos//23 )//PAD//punct//25 med//PP//case//28 instruktion//NN|UTR|SIN|IND|NOM//nmod//23 för//PP//case//33 Sveriges//PM|GEN//nmod:poss//32 geologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 1.16//RG|NOM//nmod:poss//33 Förslag//NN|NEU|PLU|IND|NOM//nmod//28 till//PP//case//35 förordning//NN|UTR|SIN|IND|NOM//nmod//33 om//PP//case//37 ändring//NN|UTR|SIN|IND|NOM//nmod//35 i//PP//case//39 förordningen//NN|UTR|SIN|DEF|NOM//nmod//37 (//PAD//punct//41 2009:974//RG|NOM//appos//39 )//PAD//punct//41 med//PP//case//44 instruktion//NN|UTR|SIN|IND|NOM//nmod//37 för//PP//case//47 Sveriges//PM|GEN//nmod:poss//47 4.2.3//RG|NOM//nmod//44 Alternativ//NN|NEU|PLU|IND|NOM//conj//44 för//PP//case//51 framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 5.5//RG|NOM//nmod//53 Samhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//53 förmåga//NN|UTR|SIN|IND|NOM//nmod//37 att//IE//mark//55 hantera//VB|INF|AKT//acl//53 klimateffekter//NN|UTR|PLU|IND|NOM//obj//55 på//PP//case//59 5.5.5//RG|NOM//nmod//59 Kunskapsförsörjning//NN|UTR|SIN|IND|NOM//nmod//56 ,//MID//punct//61 forskning//NN|UTR|SIN|IND|NOM//conj//59 och//KN//cc//63 6.2.3//RG|NOM//conj//59 Direktivet//NN|NEU|SIN|DEF|NOM//obj//55 för//PP//case//67 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//67 användning//NN|UTR|SIN|IND|NOM//obl//55 av//PP//case//69 6.3.2//RG|NOM//nmod//67 Miljöbalkens//NN|UTR|SIN|DEF|GEN//nmod:poss//71 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//69 och//KN//cc//74 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//74 6.5.2//RG|NOM//conj//69 Regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 underlag//NN|NEU|PLU|IND|NOM//conj//67 och//KN//cc//79 länsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//79 roll//NN|UTR|SIN|IND|NOM//conj//76 i//PP//case//83 8.4.3//RG|NOM//nmod:poss//83 Producenternas//NN|UTR|PLU|DEF|GEN//flat:name//81 undersökning//NN|UTR|SIN|IND|NOM//nmod//79 av//PP//case//85 9.4.2//RG|NOM//nmod//86 Myndigheten//NN|UTR|SIN|DEF|NOM//appos//53 för//PP//case//88 samhällsskydd//NN|NEU|SIN|IND|NOM//nmod//86 och//KN//cc//91 9.6.1//RG|NOM//nsubj//91 Risk-//NN|UTR|-|-|SMS//conj//88 och//KN//cc//93 sårbarhetsanalys//NN|UTR|SIN|IND|NOM//conj//91 samt//KN//cc//95 plan//NN|UTR|SIN|IND|NOM//conj//88 för//PP//case//98 14.2.2//RG|NOM//amod//98 Konsekvenser//NN|UTR|PLU|IND|NOM//nmod//95 av//PP//case//100 förslagen//NN|NEU|PLU|DEF|NOM//nmod//98 för//PP//case//103 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//103 aktörer//NN|UTR|PLU|IND|NOM//nmod//100 14.3.2//RG|NOM//conj//0 Konsekvenser//NN|UTR|PLU|IND|NOM//obj//0 av//PP//case//107 förslagen//NN|NEU|PLU|DEF|NOM//nmod//105 för//PP//case//110 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 aktörer//NN|UTR|PLU|IND|NOM//nmod//107 14.4.2//RG|NOM//nmod//112 Konsekvenser//NN|UTR|PLU|IND|NOM//obj//0 av//PP//case//114 förslagen//NN|NEU|PLU|DEF|NOM//nmod//112 för//PP//case//117 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//117 aktörer//NN|UTR|PLU|IND|NOM//nmod//118 14.5.2//RG|NOM//nummod//119 Konsekvenser//NN|UTR|PLU|IND|NOM//obj//0 av//PP//case//121 förslagen//NN|NEU|PLU|DEF|NOM//nmod//119 för//PP//case//124 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//124 aktörer//NN|UTR|PLU|IND|NOM//nmod//121 15.16//RG|NOM//nummod//124 Förslaget//NN|NEU|SIN|DEF|NOM//obj//0 till//PP//case//128 förordning//NN|UTR|SIN|IND|NOM//obl//0 om//PP//case//130 ändring//NN|UTR|SIN|IND|NOM//nmod//128 i//PP//case//132 förordningen//NN|UTR|SIN|DEF|NOM//nmod//130 (//PAD//punct//134 2009:974//RG|NOM//appos//132 )//PAD//punct//134 med//PP//case//137 instruktion//NN|UTR|SIN|IND|NOM//nmod//130 för//PP//case//139 Sveriges//PM|GEN//nmod//137

12 Samlade överväganden och förslag;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 överväganden//NN|NEU|PLU|IND|NOM//nsubj:pass//32 och//KN//cc//4 förslag//NN|NEU|PLU|IND|NOM//conj//2 ://MID//punct//2
12 Samlade överväganden och förslag; //_SP////5 Dricksvattnet//NN|NEU|SIN|DEF|NOM//nsubj//8 utgör//VB|PRS|AKT//parataxis//2 landets//NN|NEU|SIN|DEF|GEN//obj//8 i//PP//case//14 särklass//NN|UTR|SIN|IND|NOM//amod//14 mest//AB|SUV//advmod//13 samhällskritiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 försörjningssystem//NN|NEU|SIN|IND|NOM//nmod//9 ,//MID//punct//17 en//DT|UTR|SIN|IND//det//17 förutsättning//NN|UTR|SIN|IND|NOM//conj//2 för//PP//mark//27 att//SN//mark//27 samhälle//NN|NEU|SIN|IND|NOM//nsubj//27 ,//MID//punct//22 företag//NN|NEU|PLU|IND|NOM//conj//20 och//KN//cc//25 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 verksamheter//NN|UTR|PLU|IND|NOM//conj//20 ska//VB|PRS|AKT//aux//27 fungera//VB|INF|AKT//acl//17 .//MAD//punct//2
12 Samlade överväganden och förslag;Det//DT|NEU|SIN|DEF//det//31 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 dricksvattnet//NN|NEU|SIN|DEF|NOM//nsubj:pass//32 används//VB|PRS|SFO//ROOT//32 av//PP//case//36 cirka//AB//advmod//35 85//RG|NOM//nummod//36 procent//NN|UTR|PLU|IND|NOM//obl:agent//32 av//PP//case//38 befolkningen//NN|UTR|SIN|DEF|NOM//nmod//36 ,//MID//punct//36 priset//NN|NEU|SIN|DEF|NOM//appos//36 har//VB|PRS|AKT//aux//46 hittills//AB//advmod//46 endast//AB//advmod//46 varit//VB|SUP|AKT//cop//46 några//DT|UTR/NEU|PLU|IND//det//46 ören//NN|NEU|PLU|IND|NOM//obl//32 per//PP//case//48 liter//NN|UTR|SIN|IND|NOM//nmod//46 .//MAD//punct//32
12 Samlade överväganden och förslag;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//53 är//VB|PRS|AKT//cop//53 ett//DT|NEU|SIN|IND//det//53 livsmedel//NN|NEU|SIN|IND|NOM//parataxis//32 som//HP|-|-|-//obj//57 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//57 måste//VB|PRT|AKT//aux//57 ha//VB|INF|AKT//acl:relcl//53 varje//DT|UTR/NEU|SIN|IND//det//59 dag//NN|UTR|SIN|IND|NOM//obj//57 under//PP//case//62 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 livet//NN|NEU|SIN|DEF|NOM//obl//57 .//MAD//punct//53
12 Samlade överväganden och förslag;Naturgivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj//8 ,//MID//punct//3 klimatförändringar//NN|UTR|PLU|IND|NOM//conj//1 ,//MID//punct//5 demografi//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//7 samhällsutveckling//NN|UTR|SIN|IND|NOM//conj//1 innebär//VB|PRS|AKT//ROOT//8 i//PP//advmod//8 dag//NN|UTR|SIN|IND|NOM//fixed//9 påtagliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 utmaningar//NN|UTR|PLU|IND|NOM//obj//8 för//PP//case//14 dricksvattenförsörjningen//NN|UTR|SIN|DEF|NOM//nmod//12 och//KN//cc//16 anger//VB|PRS|AKT//conj//8 också//AB//advmod//16 villkoren//NN|NEU|PLU|DEF|NOM//obj//16 för//PP//case//20 framtiden//NN|UTR|SIN|DEF|NOM//nmod//18 .//MAD//punct//8
12 Samlade överväganden och förslag;Ett//DT|NEU|SIN|IND//det//24 regionalt//JJ|POS|NEU|SIN|IND|NOM//amod//24 perspektiv//NN|NEU|SIN|IND|NOM//nsubj:pass//34 ,//MID//punct//28 med//PP//case//28 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//28 inriktning//NN|UTR|SIN|IND|NOM//appos//24 på//PP//case//31 mellankommunal//JJ|POS|UTR|SIN|IND|NOM//amod//31 samverkan//NN|UTR|SIN|IND|NOM//nmod//28 och//KN//cc//33 långsiktighet//NN|UTR|SIN|IND|NOM//conj//31 krävs//VB|PRS|SFO//parataxis//8 för//PP//case//38 att//IE//mark//37 säkra//VB|INF|AKT//amod//38 förutsättningar//NN|UTR|PLU|IND|NOM//obl//34 och//KN//cc//40 verksamheter//NN|UTR|PLU|IND|NOM//conj//38 i//PP//case//43 ett//DT|NEU|SIN|IND//det//43 generationsperspektiv//NN|NEU|SIN|IND|NOM//obl//34 .//MAD//punct//8
