5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Isabell//PM|NOM//ROOT//0 Schierenbeck//PM|NOM//flat//0
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;"De//DT|UTR/NEU|PLU|DEF//nsubj//59 så//AB//advmod//59 kallade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//6 frontlinjebyråkraternas//NN|UTR|PLU|DEF|GEN//nmod:poss//61 myndighetsutövning//NN|UTR|SIN|IND|NOM//obj//59 blir//VB|PRS|AKT//conj//6 därmed//AB//advmod//62 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//62 för//PP//mark//70 att//SN//mark//70 vi//PN|UTR|PLU|DEF|SUB//nsubj//70 skall//VB|PRS|AKT//aux//70 kunna//VB|INF|AKT//aux//70 förstå//VB|INF|AKT//advcl//62 och//KN//cc//72 förklara//VB|INF|AKT//conj//70 den//DT|UTR|SIN|DEF//det//75 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//75 politikens//NN|UTR|SIN|DEF|GEN//nmod:poss//76 utfall//NN|NEU|SIN|IND|NOM//obj//72 (//PAD//punct//78 Brodkin//PM|NOM//appos//76 1997//RG|NOM//nummod//78 ;//MID//punct//78"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;"Eriksen//PM|NOM//conj//78 2001//RG|NOM//nummod//81 ;//MID//punct//78"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;"Lipsky//PM|NOM//conj//78 1980//RG|NOM//nummod//84 ;//MID//punct//78"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Winter//PM|NOM//conj//78 2002//RG|NOM//nummod//87 )//PAD//punct//78 .//MAD//punct//6
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//7 som//HP|-|-|-//case//4 för//PP//case//4 hundra//RG|NOM//nummod//4 år//NN|NEU|PLU|IND|NOM//acl:relcl//0 sedan//AB//advmod//4 var//VB|PRT|AKT//cop//7 konflikter//NN|UTR|PLU|IND|NOM//nsubj//24 mellan//PP//case//9 kollektiv//NN|NEU|SIN|IND|NOM//nmod//7 –//RG|NOM//punct//12 mellan//PP//case//12 överhet//NN|UTR|SIN|IND|NOM//nmod//7 och//KN//cc//14 undersåtar//NN|UTR|PLU|IND|NOM//conj//12 ,//MID//punct//17 mellan//PP//case//17 kapitalister//NN|UTR|PLU|IND|NOM//conj//12 och//KN//cc//19 arbetare//NN|UTR|PLU|IND|NOM//conj//17 –//RG|NOM//punct//7 är//VB|PRS|AKT//cop//24 idag//AB//advmod//24 snarare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//24 konflikter//NN|UTR|PLU|IND|NOM//ROOT//24 som//HP|-|-|-//nsubj//26 utspelar//VB|PRS|AKT//acl:relcl//24 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//26 i//PP//case//32 ett//DT|NEU|SIN|IND//det//32 komplext//JJ|POS|NEU|SIN|IND|NOM//amod//32 organisatoriskt//JJ|POS|NEU|SIN|IND|NOM//amod//32 sammanhang//NN|NEU|SIN|IND|NOM//obl//26 mellan//PP//case//36 den//DT|UTR|SIN|DEF//det//36 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//36 individen//NN|UTR|SIN|DEF|NOM//nmod//32 ,//MID//punct//38 välfärdsbyråkraten//NN|UTR|SIN|DEF|NOM//conj//36 och//KN//cc//42 den//DT|UTR|SIN|DEF//det//42 professionelle//JJ|POS|MAS|SIN|DEF|NOM//amod//42 hjälparen//NN|UTR|SIN|DEF|NOM//conj//36 .//MAD//punct//24
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;(//PAD//punct//45 Lindqvist//PM|NOM//appos//24 2000:35//RG|NOM//nummod//45 )//PAD//punct//45 .//MAD//punct//24
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Rafael//PM|NOM//nmod//1 Lindqvist//PM|NOM//nsubj//5 (//PAD//punct//1 2000//RG|NOM//nummod//1 )//PAD//punct//1 lyfter//VB|PRS|AKT//advcl//59 fram//PL//compound:prt//5 individens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//9 utrymme//NN|NEU|SIN|IND|NOM//obj//5 i//PP//case//13 den//DT|UTR|SIN|DEF//det//13 moderna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 välfärdsstaten//NN|UTR|SIN|DEF|NOM//obl//5 ,//MID//punct//13 både//KN//cc//17 som//KN//mark//17 mottagare//NN|UTR|SIN|IND|NOM//nsubj//34 av//PP//case//20 välfärdsstatens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 tjänster//NN|UTR|PLU|IND|NOM//nmod//17 och//KN//cc//23 som//KN//mark//23 myndighetsutövare//NN|UTR|SIN|IND|NOM//conj//17 inom//PP//case//26 välfärdsstatens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 verksamhetsområden//NN|NEU|PLU|IND|NOM//nmod//23 .//MAD//punct//17
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Nyfikenheten//NN|UTR|SIN|DEF|NOM//nmod//17 kring//PP//case//33 dessa//DT|UTR/NEU|PLU|DEF//det//31 välfärdsstatens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 egentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 maktutövare//NN|UTR|PLU|IND|NOM//nmod//28 ligger//VB|PRS|AKT//conj//5 till//PP//case//39 grund//NN|UTR|SIN|IND|NOM//fixed//35 för//PP//fixed//35 denna//DT|UTR|SIN|DEF//det//39 studie//NN|UTR|SIN|IND|NOM//obl//34 som//HP|-|-|-//nsubj//41 handlar//VB|PRS|AKT//acl:relcl//39 om//PP//case//44 frontlinjebyråkraternas//NN|UTR|PLU|DEF|GEN//nmod:poss//44 arbete//NN|NEU|SIN|IND|NOM//obl//41 med//PP//case//46 invandrarklienter//NN|UTR|PLU|IND|NOM//obl//41 .//MAD//punct//34
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Mer//AB|KOM//advmod//49 precist//AB|POS//obl//50 handlar//VB|PRS|AKT//parataxis//34 studien//NN|UTR|SIN|DEF|NOM//obj//50 om//PP//case//54 frontlinjebyråkraters//NN|UTR|PLU|IND|GEN//nmod:poss//54 möte//NN|NEU|SIN|IND|NOM//nmod//51 med//PP//case//56 invandrarklienter//NN|UTR|PLU|IND|NOM//nmod//54 .//MID//punct//34
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Hur//HA//advmod//59 uppfattar//VB|PRS|AKT//ROOT//59 frontlinjebyråkraterna//NN|UTR|PLU|DEF|NOM//nsubj//59 invandrarklienterna//NN|UTR|PLU|DEF|NOM//obj//59 ?//MID//punct//59
