BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;KATARINA//PM|NOM//nmod//1 DUNÉR//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 ﬁl//NN|AN//advmod//1 .//MAD//punct//7
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;kand//NN|AN//conj//1 .//MAD//punct//7
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;och//KN//cc//10 TV-producent//NN|UTR|SIN|IND|NOM//conj//7
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;BO//PM|NOM//ROOT//0 PERSSON//PM|NOM//nmod//0  //_SP////1 ,//MID//punct//5  //_SP////3 ﬁl//NN|AN//conj//0 .//MAD//punct//5
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;dr//NN|AN//nmod//0 .//MAD//punct//7 ,//MID//punct//10
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;studierektor//NN|UTR|SIN|IND|NOM//conj//7 och//KN//cc//12 universitetslektor//NN|UTR|SIN|IND|NOM//conj//10 vid//PP//case//15 Stockholms//PM|GEN//nmod:poss//15 universitet//NN|NEU|SIN|IND|NOM//nmod//10
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;AGNETA//PM|NOM//nmod//1 STARK//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 ekon//NN|UTR|PLU|IND|NOM//conj//1 .//MID//punct//5
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;dr//NN|AN//conj//1 .//MAD//punct//1 ,//MID//punct//10
BARBRO BURSELL  ,  överintendent på Livrustkammaren, samtalsledare ;professor//NN|UTR|SIN|IND|NOM//conj//1 i//PP//case//12 genusforskning//NN|UTR|SIN|IND|NOM//nmod//10 vid//PP//case//15 Linköpings//PM|GEN//nmod:poss//15 universitet//NN|NEU|SIN|IND|NOM//nmod//10

Vad kan historien lära oss?;Den//DT|UTR|SIN|DEF//det//2 11//RG|NOM//nummod//2 maj//NN|UTR|SIN|IND|NOM//obl//4 1999//RG|NOM//nummod//2 träffades//VB|PRT|SFO//ROOT//4 ett//DT|NEU|SIN|IND//det//7 litet//JJ|POS|NEU|SIN|IND|NOM//amod//7 sällskap//NN|NEU|SIN|IND|NOM//nsubj:pass//4 på//PP//case//9 Livrustkammaren//NN|UTR|SIN|DEF|NOM//nmod//7 i//PP//case//11 Stockholm//PM|NOM//obl//4 .//MAD//punct//4
