Fokus på åtgärder;–//RG|NOM//punct//2 En//DT|UTR|SIN|IND//det//2 plan//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//5 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//5 rehabilitering//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//7 arbetslivet//NN|NEU|SIN|DEF|NOM//nmod//5
Pehrsson;Till//PP//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 13//RG|NOM//nummod//8 juni//NN|UTR|SIN|IND|NOM//nmod//11 2005//RG|NOM//nummod//10 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//11 Henrik//PM|NOM//nsubj//4 Jansson//PM|NOM//flat:name//11 ,//MID//punct//11 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//11 samt//KN//cc//18 departementssekreterarna//NN|UTR|PLU|DEF|NOM//nmod//18 Tommy//PM|NOM//conj//11 Larsson//PM|NOM//flat:name//18 ,//MID//punct//21 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//18 ,//MID//punct//11 Hugo//PM|NOM//conj//11 Lindgren//PM|NOM//flat:name//23 ,//MID//punct//26 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//26 Mona//PM|NOM//conj//11 Stål//PM|NOM//flat:name//28 ,//MID//punct//31 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//28 och//KN//cc//33 Marie//PM|NOM//conj//28 Åkhagen//PM|NOM//flat:name//28 ,//MID//punct//28 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 .//MAD//punct//11
Pehrsson;Samtidigt//AB//advmod//39 förordnades//VB|PRT|SFO//advcl//4 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//39 att//IE//mark//43 ingå//VB|INF|AKT//acl//41 i//PP//case//45 utredningen//NN|UTR|SIN|DEF|NOM//obl//43 ://MID//punct//39
Pehrsson;enhetscheferna//NN|UTR|PLU|DEF|NOM//nmod//48 Kerstin//PM|NOM//appos//39 Ahlberg//PM|NOM//flat:name//48 ,//MID//punct//51 Arbetslivsinstitutet//NN|NEU|SIN|DEF|NOM//conj//48 ,//MID//punct//53 Ywonne//PM|NOM//conj//48 Strempl//PM|NOM//flat:name//53 ,//MID//punct//56 Arbetsmiljöverket//PM|NOM//conj//48 och//KN//cc//58 Ingrid//PM|NOM//conj//48 Wangerud//PM|NOM//flat:name//58 ,//MID//punct//58 Försäkringskassans//NN|UTR|SIN|DEF|GEN//nmod:poss//62 huvudkontor//NN|NEU|SIN|IND|NOM//conj//48 .//MAD//punct//48
Pehrsson;Den//DT|UTR|SIN|DEF//det//66 22//RG|NOM//nummod//66 november//NN|UTR|SIN|IND|NOM//obl//68 2005//RG|NOM//nummod//66 förordnades//VB|PRT|SFO//parataxis//48 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//70 Magdalena//PM|NOM//nsubj//68 Brasch//PM|NOM//flat:name//70 ,//MID//punct//73 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//48 som//KN//mark//75 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//nmod//73 och//KN//cc//77 utredaren//NN|UTR|SIN|DEF|NOM//nmod//78 Lisbeth//PM|NOM//conj//48 Lidbom//PM|NOM//flat:name//78 ,//MID//punct//81 AMS//PM|NOM//conj//48 som//KN//mark//83 expert//NN|UTR|SIN|IND|NOM//conj//48 .//MID//punct//48
Pehrsson;Den//DT|UTR|SIN|DEF//det//87 10//RG|NOM//nummod//87 januari//NN|UTR|SIN|IND|NOM//obl//89 2006//RG|NOM//nummod//87 ersattes//VB|PRT|SFO//parataxis//48 Hugo//PM|NOM//nsubj:pass//89 Lindgren//PM|NOM//obj//89 av//PP//case//93 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//94 Leif//PM|NOM//conj//48 Westerlind//PM|NOM//flat:name//94 ,//MID//punct//94 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//48 .//MID//punct//48
Pehrsson;Den//DT|UTR|SIN|DEF//det//101 1//RO|NOM//nummod//101 februari//NN|UTR|SIN|IND|NOM//obl//103 2006//RG|NOM//nummod//101 ersattes//VB|PRT|SFO//parataxis//48 Henrik//PM|NOM//nsubj:pass//103 Jansson//PM|NOM//flat:name//104 av//PP//case//108 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//108 Göran//PM|NOM//nmod//104 Wickström//PM|NOM//flat:name//108 ,//MID//punct//108 Socialdepartementet//NN|NEU|SIN|DEF|NOM//xcomp//103 .//MAD//punct//4
Pehrsson;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 representanter//NN|UTR|PLU|IND|NOM//nsubj:pass//7 för//PP//case//4 arbetsmarknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 parter//NN|UTR|PLU|IND|NOM//nmod//1 har//VB|PRS|AKT//aux//7 också//AB//advmod//7 knutits//VB|SUP|SFO//ROOT//7 till//PP//case//9 utredningen//NN|UTR|SIN|DEF|NOM//obl//7 genom//PP//case//12 en//DT|UTR|SIN|IND//det//12 referensgrupp//NN|UTR|SIN|IND|NOM//obl//7 ://MID//punct//12
Pehrsson;Alf//PM|NOM//appos//12 Eckerhall//PM|NOM//flat//14 ,//MID//punct//18 Svenskt//JJ|POS|NEU|SIN|IND|NOM//nmod//18 Näringsliv//NN|NEU|SIN|IND|NOM//conj//14 ,//MID//punct//14 Kerstin//PM|NOM//conj//14 Hildingsson//PM|NOM//flat//20 ,//MID//punct//23 SACO//PM|NOM//conj//20 ,//MID//punct//25 Christina//PM|NOM//conj//14 Järnstedt//PM|NOM//flat:name//25 ,//MID//punct//28 LO//PM|NOM//conj//14 ,//MID//punct//14 Jens//PM|NOM//conj//14 Karlsson//PM|NOM//flat//30 ,//MID//punct//33 Företagarna//NN|UTR|PLU|DEF|NOM//conj//14 ,//MID//punct//14 Karin//PM|NOM//conj//14 Lien//PM|NOM//flat:name//35 Olofsson//PM|NOM//flat:name//35 ,//MID//punct//35 Arbetsgivarverket//PM|NOM//conj//14 ,//MID//punct//14 Alicia//PM|NOM//appos//14 Lycke//PM|NOM//flat//41 ,//MID//punct//44 TCO//PM|NOM//conj//41 och//KN//cc//46 Johanna//PM|NOM//conj//41 Read//PM|NOM//flat:name//46 Hilmarsdottir//PM|NOM//flat:name//46 ,//MID//punct//14
Pehrsson;Sveriges//PM|GEN//nmod:poss//1 Kommuner//NN|UTR|PLU|IND|NOM//nsubj:pass//9 och//KN//cc//3 Landsting//NN|UTR|SIN|IND|NOM//conj//1 .//MAD//punct//1
Pehrsson;Den//DT|UTR|SIN|DEF//det//7 20//RG|NOM//nummod//7 oktober//NN|UTR|SIN|IND|NOM//obl//9 2005//RG|NOM//nummod//7 ersattes//VB|PRT|SFO//ROOT//9 Johanna//PM|NOM//nsubj:pass//9 Read//PM|NOM//flat//10 Hilmarsdottir//PM|NOM//obj//9 av//PP//case//14 Eva//PM|NOM//nmod//12 Thulin//PM|NOM//flat//14 Skantze//PM|NOM//flat//14 och//KN//cc//18 Hedda//PM|NOM//conj//14 Mann//PM|NOM//flat//18 .//MAD//punct//9
