På tröskeln till lönearbete;Diskriminering//NN|UTR|SIN|IND|NOM//ROOT//0 ,//MID//punct//2 exkludering//NN|UTR|SIN|IND|NOM//conj//0 och//KN//cc//4 underordning//NN|UTR|SIN|IND|NOM//conj//0 av//PP//case//6 personer//NN|UTR|PLU|IND|NOM//nmod//4 med//PP//case//9 utländsk//JJ|POS|UTR|SIN|IND|NOM//amod//9 bakgrund//NN|UTR|SIN|IND|NOM//nmod//6
På tröskeln till lönearbete;Redaktör//NN|UTR|SIN|IND|NOM//ROOT//0 ://MID//punct//0
På tröskeln till lönearbete;Anders//PM|NOM//nmod//3 Neergaard//PM|NOM//appos//0
På tröskeln till lönearbete;Rapport//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 makt//NN|UTR|SIN|IND|NOM//nmod//2 ,//MID//punct//6 integration//NN|UTR|SIN|IND|NOM//conj//4 och//KN//cc//9 strukturell//JJ|POS|UTR|SIN|IND|NOM//amod//9 diskriminering//NN|UTR|SIN|IND|NOM//conj//4
På tröskeln till lönearbete;Stockholm//PM|NOM//ROOT//0 2006//RG|NOM//nummod//0

Förord;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//8 om//PP//case//2 Makt//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//4 integration//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//7 strukturell//JJ|POS|UTR|SIN|IND|NOM//amod//7 diskriminering//NN|UTR|SIN|IND|NOM//conj//2 tillsattes//VB|PRT|SFO//ROOT//8 efter//PP//case//11 ett//DT|NEU|SIN|IND//det//11 regeringsbeslut//NN|NEU|SIN|IND|NOM//obl//8 den//DT|UTR|SIN|DEF//det//14 22//RG|NOM//nummod//14 april//NN|UTR|SIN|IND|NOM//obl//8 2004//RG|NOM//nummod//14 och//KN//cc//17 har//VB|PRS|AKT//aux//21 i//PP//advmod//21 uppdrag//NN|NEU|SIN|IND|NOM//fixed//18 att//IE//mark//21 identifiera//VB|INF|AKT//conj//8 och//KN//cc//23 kartlägga//VB|INF|AKT//conj//21 mekanismer//NN|UTR|PLU|IND|NOM//obj//23 bakom//PP//case//26 strukturell//JJ|POS|UTR|SIN|IND|NOM//obl//23 ///MID//cc//29 institutionell//JJ|POS|UTR|SIN|IND|NOM//amod//29 diskriminering//NN|UTR|SIN|IND|NOM//conj//26 på//PP//case//33 grund//NN|UTR|SIN|IND|NOM//fixed//30 av//PP//fixed//30 etnisk//JJ|POS|UTR|SIN|IND|NOM//nmod//29 och//KN//cc//35 religiös//JJ|POS|UTR|SIN|IND|NOM//amod//36 tillhörighet//NN|UTR|SIN|IND|NOM//conj//33 .//MAD//punct//8
Förord;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj:pass//40 ska//VB|PRS|AKT//aux//40 redovisas//VB|INF|SFO//conj//8 successivt//AB|POS//advmod//40 i//PP//case//43 syfte//NN|NEU|SIN|IND|NOM//obl//40 att//IE//mark//45 ge//VB|INF|AKT//acl//43 underlag//NN|NEU|SIN|IND|NOM//obj//45 för//PP//case//50 en//DT|UTR|SIN|IND//det//50 fördjupad//PC|PRF|UTR|SIN|IND|NOM//amod//50 diskussion//NN|UTR|SIN|IND|NOM//nmod//46 om//PP//obl//45 och//KN//cc//53 åtgärder//NN|UTR|PLU|IND|NOM//conj//45 mot//PP//case//56 strukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 hinder//NN|NEU|PLU|IND|NOM//nmod//53 för//PP//mark//63 att//SN//mark//63 alla//DT|UTR/NEU|PLU|IND/DEF//det//60 medborgare//NN|UTR|PLU|IND|NOM//nsubj//63 ska//VB|PRS|AKT//aux//63 kunna//VB|INF|AKT//aux//63 delta//VB|INF|AKT//advcl//45 i//PP//case//65 samhällslivet//NN|NEU|SIN|DEF|NOM//obl//63 på//PP//case//68 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 villkor//NN|NEU|PLU|IND|NOM//obl//63 och//KN//cc//72 med//PP//case//72 samma//DT|UTR/NEU|SIN/PLU|IND//det//72 möjligheter//NN|UTR|PLU|IND|NOM//conj//68 .//MAD//punct//72
Förord;Föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 rapport//NN|UTR|SIN|IND|NOM//nsubj//76 granskar//VB|PRS|AKT//parataxis//72 den//DT|UTR|SIN|DEF//det//81 strukturella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//81 ///MID//cc//80 institutionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//78 diskrimineringen//NN|UTR|SIN|DEF|NOM//obj//76 inom//PP//case//83 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//81 och//KN//cc//88 är//VB|PRS|AKT//cop//88 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//88 elfte//RO|NOM//amod//88 publikation//NN|UTR|SIN|IND|NOM//conj//81 .//MAD//punct//8
Förord;Rapporten//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 ett//DT|NEU|SIN|IND//det//4 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//4 bidrag//NN|NEU|SIN|IND|NOM//ROOT//4 som//HP|-|-|-//nsubj//6 visar//VB|PRS|AKT//acl:relcl//4 på//PP//case//8 falskheten//NN|UTR|SIN|DEF|NOM//obl//6 i//PP//case//10 föreställningen//NN|UTR|SIN|DEF|NOM//nmod//8 om//PP//mark//15 att//SN//mark//15 diskriminering//NN|UTR|SIN|IND|NOM//nsubj//15 är//VB|PRS|AKT//cop//15 resultatet//NN|NEU|SIN|DEF|NOM//obl//6 av//PP//case//22 några//DT|UTR/NEU|PLU|IND//det//21 ”//PAD//punct//19 onda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 ”//PAD//punct//19 individers//NN|UTR|PLU|IND|GEN//nmod:poss//22 agerande//NN|NEU|SIN|IND|NOM//nmod//15 .//MAD//punct//4
Förord;Diskrimineringen//NN|UTR|SIN|DEF|NOM//nsubj//37 på//PP//case//26 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//24 i//PP//advmod//24 allmänhet//NN|UTR|SIN|IND|NOM//fixed//27 och//KN//cc//31 inom//PP//case//31 rekrytering//NN|UTR|SIN|IND|NOM//conj//24 i//PP//nmod//31 synnerhet//NN|UTR|SIN|IND|NOM//fixed//32 är//VB|PRS|AKT//cop//37 en//DT|UTR|SIN|IND//det//37 systematisk//JJ|POS|UTR|SIN|IND|NOM//amod//37 företeelse//NN|UTR|SIN|IND|NOM//parataxis//4 som//HP|-|-|-//nsubj//40 är//VB|PRS|AKT//cop//40 inbyggd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//37 i//PP//case//44 arbetsmarknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//44 normala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 funktionssätt//NN|NEU|SIN|IND|NOM//obl//40 .//MID//punct//37
