En lag om upphandling av koncessioner;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Genomförandeutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
En lag om upphandling av koncessioner;Stockholm//PM|NOM//ROOT//0 2014//RG|NOM//nummod//0

Till statsrådet Stefan Attefall;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 27//RG|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 2012//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 lämna//VB|INF|AKT//acl//12 förslag//NN|NEU|SIN|IND|NOM//obj//14 till//PP//mark//64 hur//HA//advmod//64 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//64 i//PP//case//21 förslaget//NN|NEU|SIN|DEF|NOM//nmod//19 till//PP//case//26 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 och//KN//cc//25 rådets//NN|NEU|SIN|DEF|GEN//conj//23 direktiv//NN|NEU|PLU|IND|NOM//nmod//19 om//PP//case//29 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//29 upphandling//NN|UTR|SIN|IND|NOM//nmod//26 (//PAD//punct//29 KOM(2011//PM|NOM//appos//29 )//PAD//punct//31 896//RG|NOM//nummod//31 )//PAD//punct//29 och//KN//cc//36 förslaget//NN|NEU|SIN|DEF|NOM//conj//19 till//PP//case//41 Europarlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//41 och//KN//cc//40 rådets//NN|NEU|SIN|DEF|GEN//conj//38 direktiv//NN|NEU|PLU|IND|NOM//nmod//36 om//PP//case//43 upphandling//NN|UTR|SIN|IND|NOM//nmod//41 av//PP//case//45 enheter//NN|UTR|PLU|IND|NOM//nmod//43 som//HP|-|-|-//nsubj//48 är//VB|PRS|AKT//cop//48 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//43 på//PP//case//51 områdena//NN|NEU|PLU|DEF|NOM//nmod//51 vatten//NN|NEU|SIN|IND|NOM//obl//48 ,//MID//punct//53 energi//NN|UTR|SIN|IND|NOM//conj//51 ,//MID//punct//55 transporter//NN|UTR|PLU|IND|NOM//conj//51 och//KN//cc//57 posttjänster//NN|UTR|PLU|IND|NOM//conj//51 (//PAD//punct//36 KOM(2011//PM|NOM//nmod//36 )//PAD//punct//59 895//RG|NOM//nmod//36 )//PAD//punct//19 bör//VB|PRS|AKT//aux//64 genomföras//VB|INF|SFO//advcl//14 i//PP//case//67 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//67 rätt//NN|UTR|SIN|IND|NOM//obl//64 enligt//PP//case//70 den//DT|UTR|SIN|DEF//det//70 lydelse//NN|UTR|SIN|IND|NOM//nmod//67 direktiven//NN|NEU|PLU|DEF|NOM//nsubj//72 får//VB|PRS|AKT//acl:relcl//4 när//HA//mark//76 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//76 har//VB|PRS|AKT//aux//76 antagits//VB|SUP|SFO//advcl//72 .//MAD//punct//1
Till statsrådet Stefan Attefall;Vidare//AB|KOM//advmod//83 ska//VB|PRS|AKT//aux//83 den//DT|UTR|SIN|DEF//det//82 särskilde//PC|PRF|MAS|SIN|DEF|NOM//amod//82 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//83 analysera//VB|INF|AKT//parataxis//1 och//KN//cc//85 ge//VB|INF|AKT//conj//83 förslag//NN|NEU|SIN|IND|NOM//obj//85 till//PP//mark//108 hur//HA//advmod//108 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//90 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//108 i//PP//case//92 förslaget//NN|NEU|SIN|DEF|NOM//nmod//90 till//PP//case//97 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//97 och//KN//cc//96 rådets//NN|NEU|SIN|DEF|GEN//conj//94 direktiv//NN|NEU|PLU|IND|NOM//nmod//90 om//PP//case//99 tilldelning//NN|UTR|SIN|IND|NOM//nmod//97 av//PP//case//101 koncessioner//NN|UTR|PLU|IND|NOM//nmod//99 (//PAD//punct//101 KOM(2011//PM|NOM//conj//101 )//PAD//punct//101 897//RG|NOM//nmod//99 )//PAD//punct//90 bör//VB|PRS|AKT//aux//108 genomföras//VB|INF|SFO//advcl//85 i//PP//case//111 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//111 rätt//NN|UTR|SIN|IND|NOM//obl//108 enligt//PP//case//114 den//DT|UTR|SIN|DEF//det//114 lydelse//NN|UTR|SIN|IND|NOM//nmod//111 direktivet//NN|NEU|SIN|DEF|NOM//nsubj//116 får//VB|PRS|AKT//acl:relcl//114 när//HA//mark//120 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//120 har//VB|PRS|AKT//aux//120 antagits//VB|SUP|SFO//advcl//116 .//MAD//punct//83
Till statsrådet Stefan Attefall;Den//DT|UTR|SIN|DEF//det//2 27//RG|NOM//nummod//2 september//NN|UTR|SIN|IND|NOM//obl//4 2012//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 justitierådet//NN|NEU|SIN|DEF|NOM//nmod//6 Eskil//PM|NOM//nsubj:pass//4 Nord//PM|NOM//flat//6 som//KN//mark//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//4
Till statsrådet Stefan Attefall;Som//KN//case//13 sekreterare//NN|UTR|SIN|IND|NOM//obl//14 anställdes//VB|PRT|SFO//parataxis//4 kammarrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//16 Mattias//PM|NOM//obj//14 Almqvist//PM|NOM//flat:name//16 fr.o.m.//AB|AN//case//21 den//DT|UTR|SIN|DEF//det//21 1//RO|NOM//nummod//21 november//NN|UTR|SIN|IND|NOM//obl//14 2012//RG|NOM//nummod//21 och//KN//cc//24 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//25 Sofia//PM|NOM//conj//21 Lönnberg//PM|NOM//flat:name//25 fr.o.m.//AB|AN//case//30 den//DT|UTR|SIN|DEF//det//30 1//RO|NOM//nummod//30 februari//NN|UTR|SIN|IND|NOM//obl//14 2014//RG|NOM//nummod//30 .//MAD//punct//4
Till statsrådet Stefan Attefall;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Genomförandeutredningen//NN|UTR|SIN|DEF|NOM//obj//2 .//MAD//punct//2
Till statsrådet Stefan Attefall;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//7 beslutade//VB|PRT|AKT//parataxis//2 om//PP//case//9 precisering//NN|UTR|SIN|IND|NOM//obl//7 av//PP//case//9 och//KN//cc//12 förlängd//PC|PRF|UTR|SIN|IND|NOM//conj//9 tid//NN|UTR|SIN|IND|NOM//obj//12 för//PP//case//15 uppdraget//NN|NEU|SIN|DEF|NOM//obl//12 den//DT|UTR|SIN|DEF//det//18 21//RG|NOM//nummod//18 februari//NN|UTR|SIN|IND|NOM//obl//12 2013//RG|NOM//nummod//18 ,//MID//punct//18 den//DT|UTR|SIN|DEF//det//23 26//RG|NOM//nummod//23 september//NN|UTR|SIN|IND|NOM//conj//18 2013//RG|NOM//nummod//23 och//KN//cc//28 den//DT|UTR|SIN|DEF//det//28 13//RG|NOM//nummod//28 mars//NN|UTR|SIN|IND|NOM//conj//18 2014//RG|NOM//nummod//28 .//MAD//punct//7
Till statsrådet Stefan Attefall;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//32 överlämnade//VB|PRT|AKT//conj//7 delbetänkandet//NN|NEU|SIN|DEF|NOM//det//35 Nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 regler//NN|UTR|PLU|IND|NOM//obj//32 om//PP//case//37 upphandling//NN|UTR|SIN|IND|NOM//nmod//35 (//PAD//punct//37 SOU//PM|NOM//appos//37 2014:51//RG|NOM//conj//37 )//PAD//punct//37 i//PP//case//43 juli//NN|UTR|SIN|IND|NOM//nmod//37 2014//RG|NOM//nummod//43 .//MAD//punct//7
Till statsrådet Stefan Attefall;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sitt//PS|NEU|SIN|DEF//nmod:poss//4 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//1 En//DT|UTR|SIN|IND//det//6 lag//NN|UTR|SIN|IND|NOM//obj//1 om//PP//case//8 upphandling//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//10 koncessioner//NN|UTR|PLU|IND|NOM//nmod//8 (//PAD//punct//12 SOU//PM|NOM//appos//6 2014:69//RG|NOM//nummod//12 )//PAD//punct//12 .//MAD//punct//1
Till statsrådet Stefan Attefall;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet Stefan Attefall;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 september//NN|UTR|SIN|IND|NOM//obl//0 2014//RG|NOM//nummod//2
Till statsrådet Stefan Attefall;Eskil//PM|NOM//nsubj//2 Nord//PM|NOM//flat//0 /Mattias//MID//ROOT//2 Almqvist//PM|NOM//obj//2
Till statsrådet Stefan Attefall;Sofia//PM|NOM//ROOT//0 Lönnberg//PM|NOM//flat:name//0


1.1 Förslag till lag om upphandling av koncessioner / 1 kap. Lagens innehåll och definitioner;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

1.1 Förslag till lag om upphandling av koncessioner / Lagens innehåll;1//RG|NOM//nummod//1 §//NN|AN//nsubj//6  //_SP////1 I//PP//case//5 denna//DT|UTR|SIN|DEF//det//5 lag//NN|UTR|SIN|IND|NOM//obl//6 finns//VB|PRS|SFO//ROOT//6 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//6 om//PP//case//9 upphandling//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//11 koncessioner//NN|UTR|PLU|IND|NOM//nmod//9 .//MAD//punct//6
1.1 Förslag till lag om upphandling av koncessioner / Lagens innehåll;Innehållet//NN|NEU|SIN|DEF|NOM//nsubj//4 i//PP//case//2 lagen//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//4 uppdelat//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 enligt//PP//case//6 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//4 .//MAD//punct//4
