Nytt nationellt kunskapscentrum;Ombildning//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 RKC//PM|NOM//nmod//0
Nytt nationellt kunskapscentrum;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 Rikskvinnocentrum//NN|NEU|SIN|IND|NOM//nmod//2
Nytt nationellt kunskapscentrum;Stockholm//PM|NOM//ROOT//0 2004//RG|NOM//nummod//0
Nytt nationellt kunskapscentrum;Omslag//NN|NEU|SIN|IND|NOM//ROOT//0 ://MID//punct//0
Nytt nationellt kunskapscentrum;Kollage//NN|NEU|SIN|IND|NOM//appos//0 av//PP//case//5 Ann-Marie//PM|NOM//nmod//5 Tung//PM|NOM//nmod//2
Nytt nationellt kunskapscentrum;Strukturer//NN|UTR|PLU|IND|NOM//ROOT//0 formar//VB|PRS|AKT//xcomp//0 människor//NN|UTR|PLU|IND|NOM//obj//1 ,//MID//punct//5 människor//NN|UTR|PLU|IND|NOM//nsubj//5 formar//VB|PRS|AKT//parataxis//0 strukturer//NN|UTR|PLU|IND|NOM//obj//5 .//MAD//punct//0

Till statsrådet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 februari//NN|UTR|SIN|IND|NOM//obj//1 2004//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 och//KN//cc//16 föreslå//VB|INF|AKT//conj//14 formerna//NN|UTR|PLU|DEF|NOM//obj//16 för//PP//case//20 en//DT|UTR|SIN|IND//det//20 ombildning//NN|UTR|SIN|IND|NOM//nmod//17 av//PP//case//22 Rikskvinnocentrum//PM|NOM//nmod//20 till//PP//case//26 ett//DT|NEU|SIN|IND//det//26 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//26 centrum//NN|NEU|SIN|IND|NOM//obl//16 .//MAD//punct//1
Till statsrådet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//6 9//RO|NOM//nummod//6 mars//NN|UTR|SIN|IND|NOM//nmod//9 2004//RG|NOM//nummod//8 kommunalråd//NN|NEU|SIN|IND|NOM//nmod//9 Ingegerd//PM|NOM//dep//3 Sahlström//PM|NOM//flat//9 .//MAD//punct//3
Till statsrådet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//13 dag//NN|UTR|SIN|IND|NOM//obl//14 förordnades//VB|PRT|SFO//parataxis//3 förbundssekreterare//NN|UTR|SIN|IND|NOM//nmod//17 Ann-Marie//PM|NOM//nmod//17 Tung//PM|NOM//nsubj:pass//14 som//KN//mark//19 huvudsekreterare//NN|UTR|SIN|IND|NOM//xcomp//14 för//PP//case//21 utredningen//NN|UTR|SIN|DEF|NOM//obl//14 .//MAD//punct//3
Till statsrådet;Till//PP//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 27//RG|NOM//nummod//10 april//NN|UTR|SIN|IND|NOM//nmod//13 2004//RG|NOM//nummod//12 ämnessakkunnig//NN|UTR|SIN|IND|NOM//nmod//13 Magnus//PM|NOM//nsubj//4 Holmén//PM|NOM//flat:name//13 (//PAD//punct//13 Justitiedepartementet//PM|NOM//appos//13 )//PAD//punct//13 ,//MID//punct//19 departementssekreterare//NN|UTR|SIN|IND|NOM//nmod//20 Hanna//PM|NOM//appos//4 Lantz//PM|NOM//flat:name//20 (//PAD//punct//20 Socialdepartementet//NN|NEU|SIN|DEF|NOM//appos//20 )//PAD//punct//20 och//KN//cc//30 kansliråd//NN|NEU|SIN|IND|NOM//nmod//27 Katarina//PM|NOM//nmod//30 Schmidt//PM|NOM//flat:name//27 (//PAD//punct//30 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//4 )//PAD//punct//30 .//MAD//punct//4
Till statsrådet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Ombildning//NN|UTR|SIN|IND|NOM//obj//2 av//PP//case//6 Rikskvinnocentrum//PM|NOM//nmod//4  //_SP////6 (//PAD//punct//9 N2004:06//PM|NOM//appos//4 )//PAD//punct//9 .//MAD//punct//2
Till statsrådet;Härmed//AB//advmod//1 överlämnar//VB|PRS|AKT//ROOT//1 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1 Ett//DT|NEU|SIN|IND//det//7 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//7 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//7 kunskapscentrum//NN|NEU|SIN|IND|NOM//obj//1 –//PAD//punct//7 ombildning//NN|UTR|SIN|IND|NOM//appos//7 av//PP//case//11 RKC//PM|NOM//nmod//9  //_SP////11 (//PAD//punct//9 SOU//PM|NOM//nmod//15 2004:117//RG|NOM//appos//7 )//PAD//punct//7 .//MAD//punct//1
Till statsrådet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//aux:pass//3 därmed//AB//advmod//3 avslutat//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
