Till statsrådet Maj-Inger Klingvall ;Försäkringen//NN|UTR|SIN|DEF|NOM//nsubj//27 omfattar//VB|PRS|AKT//parataxis//4 ersättning//NN|UTR|SIN|IND|NOM//obj//27 vid//PP//case//33 såväl//KN//advmod//31 korta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 ,//MID//punct//33 långvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//27 som//KN//case//36 varaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 fall//NN|NEU|PLU|IND|NOM//nmod//33 av//PP//case//39 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//39 arbetsförmåga//NN|UTR|SIN|IND|NOM//nmod//36 på//PP//case//43 grund//NN|UTR|SIN|IND|NOM//fixed//40 av//PP//fixed//40 sjukdom//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//27
Till statsrådet Maj-Inger Klingvall ;I//PP//case//46 betänkandet//NN|NEU|SIN|DEF|NOM//obl//47 lämnades//VB|PRT|SFO//conj//4 också//AB//advmod//47 förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//47 till//PP//mark//56 hur//HA//advmod//56 de//DT|UTR/NEU|PLU|DEF//det//54 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 ersättningsreglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//56 skall//VB|PRS|AKT//aux//56 anpassas//VB|INF|SFO//acl//49 till//PP//case//60 det//DT|NEU|SIN|DEF//det//60 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//60 ålderspensionssystemet//NN|NEU|SIN|DEF|NOM//obl//56 och//KN//cc//63 vilken//HD|UTR|SIN|IND//det//63 ålderspensionsrätt//NN|UTR|SIN|IND|NOM//nsubj:pass//67 som//HP|-|-|-//mark//65 förtidspensionärer//NN|UTR|PLU|IND|NOM//acl:relcl//63 skall//VB|PRS|AKT//aux//67 tillgodoräknas//VB|INF|SFO//acl:relcl//60 i//PP//case//70 detta//DT|NEU|SIN|DEF//det//70 system//NN|NEU|SIN|IND|NOM//obl//67 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//73 föreslog//VB|PRT|AKT//parataxis//4 också//AB//advmod//73 förändringar//NN|UTR|PLU|IND|NOM//obj//73 bl.a.//AB|AN//advmod//73 i//PP//case//78 reglerna//NN|UTR|PLU|DEF|NOM//obl//73 om//PP//case//81 arbetslivsinriktad//PC|PRF|UTR|SIN|IND|NOM//amod//81 rehabilitering//NN|UTR|SIN|IND|NOM//nmod//78 samt//KN//cc//83 förändringar//NN|UTR|PLU|IND|NOM//conj//81 som//HP|-|-|-//nsubj//85 syftar//VB|PRS|AKT//acl:relcl//83 till//PP//mark//94 att//IE//mark//94 i//PP//case//90 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 utsträckning//NN|UTR|SIN|IND|NOM//obl//94 än//KN//case//93 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//93 regler//NN|UTR|PLU|IND|NOM//nmod//90 möjliggöra//VB|INF|AKT//advcl//85 aktivitet//NN|UTR|SIN|IND|NOM//obj//94 hos//PP//case//97 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//94 som//HP|-|-|-//nsubj:pass//99 beviljats//VB|SUP|SFO//acl:relcl//97 förtidspension//NN|UTR|SIN|IND|NOM//obj//99 .//MAD//punct//73
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 framhöll//VB|PRT|AKT//ROOT//1 i//PP//case//3 betänkandet//NN|NEU|SIN|DEF|NOM//obl//1 att//SN//mark//7 utredningstiden//NN|UTR|SIN|DEF|NOM//nsubj//7 varit//VB|SUP|AKT//cop//7 knapp//JJ|POS|UTR|SIN|IND|NOM//ccomp//1 ,//MID//punct//7 vilket//HP|NEU|SIN|IND//nsubj//10 fått//VB|SUP|AKT//acl:relcl//7 till//PP//compound:prt//10 följd//NN|UTR|SIN|IND|NOM//fixed//11 att//SN//mark//17 konkreta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 lagförslag//NN|NEU|PLU|IND|NOM//nsubj:pass//17 inte//AB//advmod//17 upprättats//VB|SUP|SFO//ccomp//10 vad//HA//nsubj//19 avser//VB|PRS|AKT//conj//7 vissa//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//19 av//PP//case//23 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 förslag//NN|NEU|SIN|IND|NOM//obl//19 samt//KN//cc//28 att//SN//mark//28 inte//AB//advmod//28 heller//AB//advmod//28 förslag//NN|NEU|PLU|IND|NOM//conj//7 till//PP//case//30 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//nmod//28 då//AB//advmod//33 kunde//VB|PRT|AKT//aux//33 lämnas//VB|INF|SFO//acl:relcl//28 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//36 förklarade//VB|PRT|AKT//parataxis//1 dock//AB//advmod//36 att//SN//mark//40 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//40 avsåg//VB|PRT|AKT//ccomp//36 att//IE//mark//42 återkomma//VB|INF|AKT//xcomp//40 med//PP//case//44 förslag//NN|NEU|PLU|IND|NOM//obl//42 till//PP//case//46 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//nmod//44 .//MAD//punct//36
Till statsrådet Maj-Inger Klingvall ;Efter//PP//mark//4 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//0 att//SN//fixed//0 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//4 lämnades//VB|PRT|SFO//advcl//5 har//VB|PRS|AKT//ROOT//5 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//5 med//PP//case//8 övergångsbestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//6 fortsatt//VB|SUP|AKT//xcomp//5 .//MID//punct//9
Till statsrådet Maj-Inger Klingvall ;Även//AB//advmod//15 detta//DT|NEU|SIN|DEF//det//13 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//15 har//VB|PRS|AKT//aux//15 bedrivits//VB|SUP|SFO//appos//9 under//PP//case//17 tidspress//NN|UTR|SIN|IND|NOM//obl//15 .//MAD//punct//9
Till statsrådet Maj-Inger Klingvall ;Konstruerandet//NN|NEU|SIN|DEF|NOM//nsubj//38 av//PP//case//2 regler//NN|UTR|PLU|IND|NOM//nmod//0 för//PP//case//4 övergången//NN|UTR|SIN|DEF|NOM//nmod//0 framför//PP//case//6 allt//PN|NEU|SIN|IND|SUB/OBJ//nmod//0 mellan//PP//case//10 det//DT|NEU|SIN|DEF//det//10 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 förtidspensionssystemet//NN|NEU|SIN|DEF|NOM//nmod//6 och//KN//cc//19 det//PN|NEU|SIN|DEF|SUB/OBJ//det//16 av//PP//case//14 utredningen//NN|UTR|SIN|DEF|NOM//nmod//16 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//16 systemet//NN|NEU|SIN|DEF|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 tekniskt//AB|POS//advmod//19 komplicerat//PC|PRF|NEU|SIN|IND|NOM//conj//0 och//KN//cc//21 kräver//VB|PRS|AKT//conj//19 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 överväganden//NN|NEU|PLU|IND|NOM//obj//21 .//MAD//punct//0
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//38 har//VB|PRS|AKT//aux//38 därför//AB//advmod//38 i//PP//case//32 det//DT|NEU|SIN|DEF//det//32 nu//AB//advmod//31 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 betänkandet//NN|NEU|SIN|DEF|NOM//obl//38 i//PP//case//35 dessa//DT|UTR/NEU|PLU|DEF//det//35 delar//NN|UTR|PLU|IND|NOM//nmod//32 inte//AB//advmod//38 kunnat//VB|SUP|AKT//aux//38 lämna//VB|INF|AKT//ROOT//38 lagförslag//NN|NEU|SIN|IND|NOM//obj//38 utan//KN//cc//42 har//VB|PRS|AKT//aux//42 inskränkt//VB|SUP|AKT//conj//38 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//42 till//PP//mark//46 att//IE//mark//46 lämna//VB|INF|AKT//advcl//42 principiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 förslag//NN|NEU|PLU|IND|NOM//obj//46 till//PP//case//50 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//nmod//48 .//MAD//punct//38
Till statsrådet Maj-Inger Klingvall ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 är//VB|PRS|AKT//cop//3 av//PP//case//3 värde//NN|NEU|SIN|IND|NOM//ROOT//3 att//SN//mark//9 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 regler//NN|UTR|PLU|IND|NOM//nsubj//9 kommer//VB|PRS|AKT//aux//9 att//IE//mark//9 gälla//VB|INF|AKT//csubj//3 för//PP//mark//20 hur//HA//advmod//20 avskaffandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//20 av//PP//case//16 det//DT|NEU|SIN|DEF//det//16 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//16 grundavdraget//NN|NEU|SIN|DEF|NOM//nmod//12 för//PP//case//18 folkpensionärer//NN|UTR|PLU|IND|NOM//nmod//16 skall//VB|PRS|AKT//aux//20 hanteras//VB|INF|SFO//advcl//9 vid//PP//case//22 övergången//NN|UTR|SIN|DEF|NOM//obl//20 till//PP//case//26 de//DT|UTR/NEU|PLU|DEF//det//26 reformerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 systemen//NN|NEU|PLU|DEF|NOM//nmod//22 såväl//KN//mark//29 vad//HP|NEU|SIN|IND//nsubj//29 avser//VB|PRS|AKT//acl:cleft//3 ålderssom//KN//case//31 förtidspension//NN|UTR|SIN|IND|NOM//obj//29 .//MID//punct//3
