Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 4//RO|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//obl//0 2003//RG|NOM//nummod//5 .//MAD//punct//0

Förlängd tid för uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 om//PP//case//3 järnvägssektorns//NN|UTR|SIN|DEF|GEN//nmod:poss//3 organisation//NN|UTR|SIN|IND|NOM//nmod//0 m.m.//AB|AN//conj//3 (//PAD//punct//6 N2001:09//PM|NOM//appos//0 )//PAD//punct//6 skulle//VB|PRT|AKT//aux//10 ha//VB|INF|AKT//aux//10 lämnat//VB|SUP|AKT//ROOT//10 sitt//PS|NEU|SIN|DEF//nmod:poss//12 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//10 senast//AB|SUV//case//16 den//DT|UTR|SIN|DEF//det//16 14//RG|NOM//nummod//16 november//NN|UTR|SIN|IND|NOM//obl//10 2003//RG|NOM//nummod//16 .//MAD//punct//10
Förlängd tid för uppdraget;Detta//DT|NEU|SIN|DEF//det//1 betänkande//NN|NEU|SIN|IND|NOM//nsubj//9 skulle//VB|PRT|AKT//aux//9 enligt//PP//case//6 det//DT|NEU|SIN|DEF//det//6 ursprungliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 uppdraget//NN|NEU|SIN|DEF|NOM//obl//9 bland//PP//advmod//9 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//7 innehålla//VB|INF|AKT//ROOT//9 ett//DT|NEU|SIN|IND//det//11 förslag//NN|NEU|SIN|IND|NOM//obj//9 till//PP//mark//24 hur//HA//advmod//14 COTIF//PM|NOM//nsubj:pass//24 (//PAD//punct//14 Convention//UO//appos//14 relative//UO//conj//14 aux//UO//nmod:poss//19 transports//PM|GEN//conj//14 internationaux//NN|UTR|SIN|IND|NOM//case//21 ferroviares//NN|UTR|SIN|IND|GEN//nmod//14 )//PAD//punct//14 skall//VB|PRS|AKT//aux//24 genomföras//VB|INF|SFO//acl//11 i//PP//case//27 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//27 rätt//NN|UTR|SIN|IND|NOM//obl//24 .//MID//punct//9
Förlängd tid för uppdraget;Dessutom//AB//advmod//32 skulle//VB|PRT|AKT//aux//32 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//32 lämna//VB|INF|AKT//conj//9 förslag//NN|NEU|SIN|IND|NOM//obj//32 till//PP//case//36 de//DT|UTR/NEU|PLU|DEF//det//36 ändringar//NN|UTR|PLU|IND|NOM//nmod//33 i//PP//case//40 den//DT|UTR|SIN|DEF//det//40 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 järnvägslagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//36 som//HA//obl//43 genomförandet//NN|NEU|SIN|DEF|NOM//nsubj//43 ger//VB|PRS|AKT//acl:relcl//40 anledning//NN|UTR|SIN|IND|NOM//obj//43 till//PP//case//41 .//MAD//punct//9
Förlängd tid för uppdraget;Denna//DT|UTR|SIN|DEF//det//48 del//NN|UTR|SIN|IND|NOM//nsubj:pass//58 av//PP//case//50 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//48 skall//VB|PRS|AKT//aux//58 med//PP//case//53 ändring//NN|UTR|SIN|IND|NOM//obl//58 av//PP//case//57 de//DT|UTR/NEU|PLU|DEF//det//57 ursprungliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 direktiven//NN|NEU|PLU|DEF|NOM//nmod//53 redovisas//VB|PRS|SFO//parataxis//9 i//PP//case//62 ett//DT|NEU|SIN|IND//det//62 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//62 betänkande//NN|NEU|SIN|IND|NOM//obl//58 senast//AB|SUV//case//66 den//DT|UTR|SIN|DEF//det//65 15//RG|NOM//nummod//66 september//NN|UTR|SIN|IND|NOM//nmod//62 2004//RG|NOM//nummod//66 .//MAD//punct//9
Förlängd tid för uppdraget;(//PAD//punct//70 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//appos//9 )//PAD//punct//70

Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;•//NN|UTR|SIN|IND|NOM//ROOT//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;•//NN|UTR|SIN|IND|NOM//ROOT//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;•//NN|UTR|SIN|IND|NOM//ROOT//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;•//NN|UTR|SIN|IND|NOM//ROOT//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;•//NN|UTR|SIN|IND|NOM//ROOT//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;•//NN|UTR|SIN|IND|NOM//ROOT//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Artikel//NN|UTR|SIN|IND|NOM//ROOT//0 2//RG|NOM//nummod//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Tillfällig//JJ|POS|UTR|SIN|IND|NOM//amod//1 depositarie//NN|UTR|SIN|IND|NOM//ROOT//1
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Artikel//NN|UTR|SIN|IND|NOM//nmod//2 3//RG|NOM//nummod//2 Undertecknande//NN|NEU|SIN|IND|NOM//ROOT//2 .//MAD//punct//2
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Ratifikation//NN|UTR|SIN|IND|NOM//appos//2 .//MAD//punct//2
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Godtagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//2 .//MAD//punct//2
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Godkännande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//2 .//MAD//punct//8
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Anslutning//NN|UTR|SIN|IND|NOM//conj//8
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Artikel//NN|UTR|SIN|IND|NOM//nmod//2 4//RG|NOM//nummod//2 Ikraftträdande//NN|UTR|PLU|IND|NOM//ROOT//2
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Artikel//NN|UTR|SIN|IND|NOM//nmod//1 5//RG|NOM//ROOT//1
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Förklaringar//NN|UTR|PLU|IND|NOM//ROOT//0 och//KN//cc//2 förbehåll//NN|NEU|PLU|IND|NOM//conj//0
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Artikel//NN|UTR|SIN|IND|NOM//nmod//2 6//RG|NOM//nummod//2 Övergångsbestämmelser//NN|UTR|PLU|IND|NOM//ROOT//2
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Artikel//NN|UTR|SIN|IND|NOM//nmod//1 7//RG|NOM//ROOT//1
Protokoll av den 3 juni 1999 om ändring av fördraget om internationell järnvägstrafik (COTIF) av den 9 maj 1980;Protokollstexter//NN|UTR|SIN|IND|NOM//ROOT//0
