4.1.1 Konsumentvaror;Begreppen//NN|NEU|PLU|DEF|NOM//amod//1 produkt//NN|UTR|SIN|IND|NOM//ROOT//1 och//KN//cc//3 vara//VB|INF|AKT//conj//1
4.1.1 Konsumentvaror;Produktsäkerhetslagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 tillämpas//VB|PRS|SFO//ROOT//1 på//PP//case//4 bl.a.//AB|AN//advmod//4 varor//NN|UTR|PLU|IND|NOM//obl//1 som//HP|-|-|-//nsubj:pass//6 tillhandahålls//VB|PRS|SFO//acl:relcl//4 i//PP//case//8 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//6 .//MAD//punct//1
4.1.1 Konsumentvaror;En//DT|UTR|SIN|IND//det//11 förutsättning//NN|UTR|SIN|IND|NOM//parataxis//1 är//VB|PRS|AKT//cop//11 att//SN//mark//19 varan//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 i//PP//case//18 inte//AB//advmod//18 obetydlig//JJ|POS|UTR|SIN|IND|NOM//amod//18 omfattning//NN|UTR|SIN|IND|NOM//obl//19 utnyttjas//VB|PRS|SFO//csubj//11 eller//KN//cc//24 kan//VB|PRS|AKT//aux//24 komma//VB|INF|AKT//aux//24 att//IE//mark//24 utnyttjas//VB|INF|SFO//conj//19 av//PP//case//26 konsumenter//NN|UTR|PLU|IND|NOM//obl:agent//24 för//PP//case//29 enskilt//JJ|POS|NEU|SIN|IND|NOM//amod//29 bruk//NN|NEU|SIN|IND|NOM//nmod//26 (//PAD//punct//26 1//RG|NOM//nummod//32 §//NN|AN//nmod//34 andra//RO|NOM//amod//34 stycket//NN|NEU|SIN|DEF|NOM//appos//26 )//PAD//punct//11 .//MAD//punct//1
4.1.1 Konsumentvaror;I//PP//case//3 samband//NN|NEU|SIN|IND|NOM//fixed//0 med//PP//fixed//0 genomförandet//NN|NEU|SIN|DEF|NOM//obl//16 av//PP//case//7 1992//RG|NOM//nummod//6 års//NN|NEU|SIN|IND|GEN//nmod:poss//7 direktiv//NN|NEU|SIN|IND|NOM//nmod//3 om//PP//case//10 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//10 produktsäkerhet//NN|UTR|SIN|IND|NOM//nmod//7 (//PAD//punct//3 1992//RG|NOM//nummod//13 års//NN|NEU|SIN|IND|GEN//nmod:poss//14 direktiv//NN|NEU|SIN|IND|NOM//appos//3 )//PAD//punct//3 behandlades//VB|PRT|SFO//ROOT//16 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 huruvida//SN//mark//22 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//21 begrepp//NN|NEU|PLU|IND|NOM//amod//21 produkt//NN|UTR|SIN|IND|NOM//nsubj//22 överensstämde//VB|PRT|AKT//acl//17 med//PP//case//24 begreppet//NN|NEU|SIN|DEF|NOM//obl//22 vara//VB|INF|AKT//advmod//16 i//PP//case//29 den//DT|UTR|SIN|DEF//det//29 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 produktsäkerhetslagen//NN|UTR|SIN|DEF|NOM//obl//16 .//MAD//punct//16
4.1.1 Konsumentvaror;I//PP//case//32 propositionen//NN|UTR|SIN|DEF|NOM//obl//33 anförde//VB|PRT|AKT//parataxis//16 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//33 att//SN//mark//42 en//DT|UTR|SIN|IND//det//37 definition//NN|UTR|SIN|IND|NOM//nsubj//42 av//PP//case//40 ”//PAD//nmod//40 produkt//NN|UTR|SIN|IND|NOM//nmod//37 ”//PM|NOM//punct//37 finns//VB|PRS|SFO//ccomp//33 i//PP//case//46 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//46 direktiv//NN|NEU|SIN|IND|NOM//amod//46 85/374//RG|NOM//obl//42 ///MID//cc//48 EEG//NN|AN//conj//46 av//PP//case//52 den//DT|UTR|SIN|DEF//det//52 25//RG|NOM//nummod//52 juli//NN|UTR|SIN|IND|NOM//obl//42 1985//RG|NOM//nummod//52 om//PP//case//55 tillnärmning//NN|UTR|SIN|IND|NOM//obl//42 av//PP//case//58 medlemsstaternas//NN|UTR|PLU|DEF|GEN//nmod:poss//58 lagar//NN|UTR|PLU|IND|NOM//nmod//55 och//KN//cc//61 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 författningar//NN|UTR|PLU|IND|NOM//conj//58 om//PP//case//63 skadeståndsansvar//NN|UTR|PLU|IND|NOM//nmod//61 för//PP//case//65 produkter//NN|UTR|PLU|IND|NOM//nmod//55 med//PP//case//67 säkerhetsbrister//NN|UTR|PLU|IND|NOM//nmod//65 ,//MID//punct//67 vilket//HP|NEU|SIN|IND//nsubj:pass//70 införlivats//VB|SUP|SFO//acl:relcl//67 i//PP//case//73 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//73 rätt//NN|UTR|SIN|IND|NOM//obl//70 genom//PP//case//75 produktansvarslagen//NN|UTR|SIN|DEF|NOM//nmod//73 (//PAD//punct//77 1992:18//RG|NOM//appos//75 )//PAD//punct//77 .//MAD//punct//83
4.1.1 Konsumentvaror;Enligt//PP//case//82 denna//DT|UTR|SIN|DEF//det//82 definition//NN|UTR|SIN|IND|NOM//obl//83 avses//VB|PRS|SFO//conj//33 med//PP//case//85 produkter//NN|UTR|PLU|IND|NOM//obl//83 lösa//VB|INF|AKT//xcomp//83 saker//NN|UTR|PLU|IND|NOM//obj//86 (//PAD//punct//87 ”//PAD//punct//90 movables//NN|UTR|SIN|IND|NOM//appos//87 ”//RG|NOM//punct//90 )//PAD//punct//83 även//AB//mark//96 om//SN//fixed//93 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//96 infogats//VB|SUP|SFO//advcl//83 i//PP//case//102 annan//JJ|POS|UTR|SIN|IND|NOM//advmod//99 lös//JJ|POS|UTR|SIN|IND|NOM//amod//102 eller//KN//cc//101 fast//JJ|POS|UTR|SIN|IND|NOM//conj//99 egendom//NN|UTR|SIN|IND|NOM//obl//96 .//MAD//punct//33
4.1.1 Konsumentvaror;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//105 ansåg//VB|PRT|AKT//parataxis//33 att//SN//mark//108 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//108 låg//VB|PRT|AKT//ccomp//105 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//108 nära//AB|POS//advmod//108 till//PP//case//112 hands//NN|UTR|SIN|IND|NOM//obl//108 att//IE//mark//114 anta//VB|INF|AKT//csubj//108 att//SN//mark//121 innebörden//NN|UTR|SIN|DEF|NOM//nsubj//121 av//PP//case//119 begreppet//NN|NEU|SIN|DEF|NOM//nmod//119 produkt//NN|UTR|SIN|IND|NOM//nmod//116 är//VB|PRS|AKT//cop//121 densamma//PN|UTR|SIN|DEF|SUB/OBJ//ccomp//114 i//PP//case//123 produktsäkerhetsdirektivet//NN|NEU|SIN|DEF|NOM//obl//121 .//MAD//punct//33
4.1.1 Konsumentvaror;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//126 bedömde//VB|PRT|AKT//parataxis//33 att//SN//mark//130 denna//DT|UTR|SIN|DEF//det//129 definition//NN|UTR|SIN|IND|NOM//nsubj//130 överensstämmer//VB|PRS|AKT//ccomp//126 med//PP//case//133 produktsäkerhetslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//133 varubegrepp//NN|NEU|SIN|IND|NOM//obl//130 .//MAD//punct//33
4.1.1 Konsumentvaror;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 saknar//VB|PRS|AKT//ROOT//1 anledning//NN|UTR|SIN|IND|NOM//obj//1 att//IE//mark//4 göra//VB|INF|AKT//advcl//1 någon//DT|UTR|SIN|IND//det//7 annan//JJ|POS|UTR|SIN|IND|NOM//amod//7 bedömning//NN|UTR|SIN|IND|NOM//obj//4 i//PP//case//10 denna//DT|UTR|SIN|DEF//det//10 fråga//NN|UTR|SIN|IND|NOM//obl//4 än//KN//case//12 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//4 som//HP|-|-|-//obj//15 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//15 gjorde//VB|PRT|AKT//acl:relcl//12 .//MAD//punct//1
4.1.1 Konsumentvaror;I//PP//case//2 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//2 speciallagstiftning//NN|UTR|SIN|IND|NOM//obl//14 om//PP//case//4 produktsäkerhet//NN|UTR|SIN|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 genomför//VB|PRS|AKT//acl:relcl//4 EG-direktiv//NN|NEU|SIN|IND|NOM//obj//6 som//HP|-|-|-//nsubj:pass//9 grundas//VB|PRS|SFO//acl:relcl//7 på//PP//case//13 den//DT|UTR|SIN|DEF//det//13 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 metoden//NN|UTR|SIN|DEF|NOM//obl//9 har//VB|PRS|AKT//aux//23 såväl//KN//advmod//16 ”//PM|NOM//punct//14 vara//VB|INF|AKT//advmod//14 ”//PAD//fixed//17 som//KN//mark//21 ”//PAD//punct//21 produkt//NN|UTR|SIN|IND|NOM//nsubj:pass//23 ”//PM|NOM//punct//21 använts//VB|SUP|SFO//ROOT//23 .//MAD//punct//23 ”//PAD//punct//28
