mot förorening från fartyg;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
mot förorening från fartyg;Utredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 om//PP//case//2 förorening//NN|UTR|SIN|IND|NOM//nmod//0 från//PP//case//4 fartyg//NN|NEU|PLU|IND|NOM//nmod//2
mot förorening från fartyg;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet Catharina Elmsäter-Svärd;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 15//RG|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//xcomp//7 över//PL//compound:prt//14 lagen//NN|UTR|SIN|DEF|NOM//obj//14 (//PAD//punct//18 1980:424//RG|NOM//conj//16 )//PAD//punct//18 om//PP//case//21 åtgärder//NN|UTR|PLU|IND|NOM//obl//14 mot//PP//case//23 förorening//NN|UTR|SIN|IND|NOM//nmod//21 från//PP//case//25 fartyg//NN|NEU|PLU|IND|NOM//nmod//23 och//KN//cc//31 om//SN//mark//30 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 är//VB|PRS|AKT//cop//30 lämpligt//JJ|POS|NEU|SIN|IND|NOM//advcl//31 föreslå//VB|INF|AKT//conj//14 en//DT|UTR|SIN|IND//det//34 ny//JJ|POS|UTR|SIN|IND|NOM//amod//34 lag//NN|UTR|SIN|IND|NOM//obj//31 .//MAD//punct//1
Till statsrådet Catharina Elmsäter-Svärd;Även//AB//advmod//39 den//DT|UTR|SIN|DEF//det//39 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 förordningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//54 (//PAD//punct//39 1980:789//RG|NOM//appos//39 )//PAD//punct//41 om//PP//case//44 åtgärder//NN|UTR|PLU|IND|NOM//nmod//39 mot//PP//case//46 förorening//NN|UTR|SIN|IND|NOM//nmod//44 från//PP//case//48 fartyg//NN|NEU|PLU|IND|NOM//nmod//46 skulle//VB|PRT|AKT//aux//54 som//KN//mark//52 en//DT|UTR|SIN|IND//det//52 följd//NN|UTR|SIN|IND|NOM//obl//54 härav//AB//nmod//52 ses//VB|PRS|SFO//parataxis//1 över//PL//compound:prt//54 .//MAD//punct//54
Till statsrådet Catharina Elmsäter-Svärd;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//59 skulle//VB|PRT|AKT//aux//59 undersöka//VB|INF|AKT//conj//54 möjligheten//NN|UTR|SIN|DEF|NOM//obj//59 att//IE//mark//67 ,//MID//punct//67 om//SN//mark//67 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//67 är//VB|PRS|AKT//cop//67 praktiskt//AB|POS//advmod//67 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//60 ,//MID//punct//69 införa//VB|INF|AKT//advcl//59 likartade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 bestämmelser//NN|UTR|PLU|IND|NOM//obj//69 i//PP//case//74 lagen//NN|UTR|SIN|DEF|NOM//obl//69 som//HP|-|-|-//nsubj//78 i//PP//advmod//78 dag//NN|UTR|SIN|IND|NOM//fixed//76 finns//VB|PRS|SFO//acl:relcl//74 i//PP//case//80 fartygssäkerhetslagen//NN|UTR|SIN|DEF|NOM//obl//78 (//PAD//punct//80 2003:364//RG|NOM//appos//80 )//PAD//punct//59 .//MAD//punct//88
Till statsrådet Catharina Elmsäter-Svärd;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//88 har//VB|PRS|AKT//aux//88 vidare//AB|KOM//advmod//88 haft//VB|SUP|AKT//conj//54 i//PP//compound:prt//88 uppdrag//NN|NEU|SIN|IND|NOM//fixed//89 att//IE//mark//92 föreslå//VB|INF|AKT//advcl//88 hur//HA//advmod//124 de//DT|UTR/NEU|PLU|DEF//det//95 problem//NN|NEU|PLU|IND|NOM//nsubj//124 som//HP|-|-|-//nsubj//98 kan//VB|PRS|AKT//aux//98 uppstå//VB|INF|AKT//acl:relcl//95 när//HA//mark//101 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//101 låter//VB|PRS|AKT//advcl//98 verkställa//VB|INF|AKT//xcomp//101 en//DT|UTR|SIN|IND//det//104 åtgärd//NN|UTR|SIN|IND|NOM//obj//102 på//PP//case//106 bekostnad//NN|UTR|SIN|IND|NOM//nmod//104 av//PP//case//109 fartygets//NN|NEU|SIN|DEF|GEN//nmod:poss//109 redare//NN|UTR|PLU|IND|NOM//nmod//106 eller//KN//cc//111 ägare//NN|UTR|SIN|IND|NOM//conj//109 då//HA//advmod//115 ägare//NN|UTR|SIN|IND|NOM//nsubj//115 är//VB|PRS|AKT//cop//115 okänd//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//104 eller//KN//cc//117 saknar//VB|PRS|AKT//conj//115 tillgångar//NN|UTR|PLU|IND|NOM//obj//117 kan//VB|PRS|AKT//aux//120 motverkas//VB|INF|SFO//conj//115 .//MAD//punct//95
Till statsrådet Catharina Elmsäter-Svärd;I//PP//case//123 uppdraget//NN|NEU|SIN|DEF|NOM//obl//124 ingick//VB|PRT|AKT//ccomp//92 också//AB//advmod//124 att//IE//mark//127 överväga//VB|INF|AKT//xcomp//124 om//SN//mark//135 lagen//NN|UTR|SIN|DEF|NOM//nsubj//135 i//PP//case//133 alla//DT|UTR/NEU|PLU|IND/DEF//det//133 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//133 delar//NN|UTR|PLU|IND|NOM//nmod//129 ska//VB|PRS|AKT//aux//135 bli//VB|INF|AKT//ccomp//127 tillämplig//JJ|POS|UTR|SIN|IND|NOM//xcomp//135 även//AB//advmod//139 för//PP//case//139 fritidsbåtar//NN|UTR|PLU|IND|NOM//obl//136 samt//KN//cc//142 att//IE//mark//142 se//VB|INF|AKT//advcl//135 över//PL//case//144 sanktionssystemet//NN|NEU|SIN|DEF|NOM//obl//142 i//PP//case//146 lagen//NN|UTR|SIN|DEF|NOM//nmod//144 i//PP//case//148 syfte//NN|NEU|SIN|IND|NOM//nmod//146 att//IE//mark//150 göra//VB|INF|AKT//xcomp//142 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//150 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//150 och//KN//cc//154 mer//AB|KOM//advmod//155 effektivt//AB|POS//advmod//150 .//MAD//punct//54
Till statsrådet Catharina Elmsäter-Svärd;Till//PP//case//1 utredare//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 15//RG|NOM//nummod//6 juli//NN|UTR|SIN|IND|NOM//obl//2 2010//RG|NOM//nummod//8 Johan//PM|NOM//parataxis//2 Franson//PM|NOM//flat:name//8 .//MAD//punct//8
Till statsrådet Catharina Elmsäter-Svärd;Som//KN//mark//13 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//13 förordnades//VB|PRT|SFO//advcl//19 fr.o.m.//AB|AN//case//17 den//DT|UTR|SIN|DEF//det//16 17//RG|NOM//nummod//17 september//NN|UTR|SIN|IND|NOM//obl//13 2010//RG|NOM//nummod//17 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//appos//8 Liv//NN|NEU|SIN|IND|NOM//nsubj//19 Bernitz//PM|NOM//flat//20 ,//MID//punct//19 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//24 Johan//PM|NOM//nsubj//33 Bergström//PM|NOM//flat:name//24 Ring//PM|NOM//flat//24 ,//MID//punct//24 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//29 Natasa//PM|NOM//appos//24 Boskovic//PM|NOM//flat:name//29 ,//MID//punct//32 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//24 Tommie//PM|NOM//parataxis//19 Börjesson//PM|NOM//flat:name//33 ,//MID//punct//33 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//37 Åsa//PM|NOM//conj//33 Marklund//PM|NOM//flat:name//37 Andersson//PM|NOM//flat:name//37 ,//MID//punct//37 sektionschefen//NN|UTR|SIN|DEF|NOM//nmod//42 Anna//PM|NOM//conj//33 Petersson//PM|NOM//flat:name//42 ,//MID//punct//45 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//conj//42 ,//MID//punct//19 och//KN//cc//49 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//49 Marin//PM|NOM//conj//8 Ratcovich//PM|NOM//flat:name//49 ,//MID//punct//52 Kustbevakningen//NN|UTR|SIN|DEF|NOM//conj//49 .//MID//punct//49
