Bakgrund;Överförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//11 av//PP//case//2 straffverkställighet//NN|UTR|SIN|IND|NOM//nmod//0 mellan//PP//case//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 länder//NN|NEU|PLU|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//11 sedan//PP//case//9 lång//JJ|POS|UTR|SIN|IND|NOM//amod//9 tid//NN|UTR|SIN|IND|NOM//obl//6 en//DT|UTR|SIN|IND//det//11 del//NN|UTR|SIN|IND|NOM//nsubj//104 av//PP//case//16 det//DT|NEU|SIN|DEF//det//16 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 straffrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 samarbetet//NN|NEU|SIN|DEF|NOM//nmod//11 .//MAD//punct//11
Bakgrund;Samarbetet//NN|NEU|SIN|DEF|NOM//nsubj//19 bygger//VB|PRS|AKT//parataxis//11 på//PP//case//22 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 överenskommelser//NN|UTR|PLU|IND|NOM//obl//19 mellan//PP//case//24 stater//NN|UTR|PLU|IND|NOM//nmod//22 såsom//KN//mark//26 konventioner//NN|UTR|PLU|IND|NOM//appos//24 och//KN//cc//28 bilaterala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//26 avtal//NN|NEU|PLU|IND|NOM//conj//26 .//MAD//punct//11
Bakgrund;Sverige//PM|NOM//nsubj//36 har//VB|PRS|AKT//aux//36 för//PP//case//35 sin//PS|UTR|SIN|DEF//nmod:poss//35 del//NN|UTR|SIN|IND|NOM//obl//36 ansett//VB|SUP|AKT//parataxis//11 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//36 även//AB//advmod//40 kunna//VB|INF|AKT//aux//40 samarbeta//VB|INF|AKT//xcomp//36 på//PP//case//42 området//NN|NEU|SIN|DEF|NOM//obl//40 utan//PP//case//44 avtal//NN|NEU|SIN|IND|NOM//nmod//42 under//PP//case//47 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 förutsättningar//NN|UTR|PLU|IND|NOM//nmod//44 .//MAD//punct//36
Bakgrund;Samarbetet//NN|NEU|SIN|DEF|NOM//nsubj//52 inom//PP//case//51 Norden//PM|NOM//nmod//49 bygger//VB|PRS|AKT//conj//36 i//PP//case//56 stället//NN|NEU|SIN|DEF|NOM//fixed//53 på//PP//fixed//53 lagharmonisering//NN|UTR|SIN|IND|NOM//obl//52 som//HP|-|-|-//nsubj//58 byggt//VB|SUP|AKT//acl:relcl//56 på//PP//case//61 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//61 anpassning//NN|UTR|SIN|IND|NOM//obl//58 och//KN//cc//64 mellan//PP//case//64 medlemsstaterna//NN|UTR|PLU|DEF|NOM//conj//61 inom//PP//case//66 EU//PM|NOM//nmod//64 har//VB|PRS|AKT//aux//69 samarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//69 utvecklats//VB|SUP|SFO//conj//36 genom//PP//case//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 rambeslut//NN|NEU|PLU|IND|NOM//obl//69 .//MAD//punct//11
Bakgrund;Det//DT|NEU|SIN|DEF//det//76 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//76 syftet//NN|NEU|SIN|DEF|NOM//appos//11 med//PP//case//78 samarbetet//NN|NEU|SIN|DEF|NOM//nmod//76 är//VB|PRS|AKT//cop//81 att//IE//mark//81 underlätta//VB|INF|AKT//csubj//11 den//DT|UTR|SIN|DEF//expl//83 dömdes//PC|PRF|MAS|SIN|DEF|GEN//ccomp//81 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//85 återanpassning//NN|UTR|SIN|IND|NOM//obj//83 genom//PP//mark//88 att//IE//mark//88 möjliggöra//VB|INF|AKT//advcl//83 att//SN//mark//91 påföljden//NN|UTR|SIN|DEF|NOM//nsubj:pass//91 verkställs//VB|PRS|SFO//ccomp//88 där//HA//advmod//94 den//DT|UTR|SIN|DEF//nsubj//94 dömde//PC|PRF|MAS|SIN|DEF|NOM//advcl//91 är//VB|PRS|AKT//cop//96 medborgare//NN|UTR|PLU|IND|NOM//obj//94 eller//KN//cc//98 har//VB|PRS|AKT//conj//94 sin//PS|UTR|SIN|DEF//nmod:poss//100 hemvist//NN|UTR|SIN|IND|NOM//obj//98 .//MAD//punct//11
Bakgrund;För//PP//case//103 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//104 finns//VB|PRS|SFO//ROOT//104 såväl//KN//advmod//107 kriminalpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//107 skäl//NN|NEU|PLU|IND|NOM//nsubj//104 som//KN//mark//110 humanitära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 skäl//NN|NEU|PLU|IND|NOM//acl//107 .//MAD//punct//104
Bakgrund;När//HA//mark//114 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//114 gäller//VB|PRS|AKT//advcl//118 böter//NN|UTR|PLU|IND|NOM//obj//114 och//KN//cc//117 förverkande//NN|NEU|SIN|IND|NOM//conj//114 syftar//VB|PRS|AKT//parataxis//104 samarbetet//NN|NEU|SIN|DEF|NOM//nsubj//118 framför//PP//case//121 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//118 till//PP//mark//124 att//IE//mark//124 underlätta//VB|INF|AKT//acl//121 en//DT|UTR|SIN|IND//det//127 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//127 brottsbekämpning//NN|UTR|SIN|IND|NOM//obj//124 .//MAD//punct//104

Uppdraget i korthet;Inom//PP//case//1 EU//PM|NOM//obl//4 har//VB|PRS|AKT//aux//4 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//4 beslutats//VB|SUP|SFO//ROOT//4 om//PP//case//7 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//7 rambeslut//NN|NEU|PLU|IND|NOM//obl//4 på//PP//case//9 området//NN|NEU|SIN|DEF|NOM//nmod//7 och//KN//cc//11 två//RG|NOM//conj//9 av//PP//case//13 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nmod//11 ingår//VB|PRS|AKT//advcl//4 i//PP//case//17 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//14 .//MAD//punct//4
Uppdraget i korthet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//20 handlar//VB|PRS|AKT//parataxis//4 om//PP//case//23 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 rambeslut//NN|NEU|SIN|IND|NOM//obl//20 (//PAD//punct//25 2008/909//RG|NOM//appos//23 ///MID//cc//27 RIF//PM|NOM//conj//25 )//PAD//punct//25 om//PP//case//30 erkännande//NN|NEU|SIN|IND|NOM//conj//23 och//KN//cc//32 verkställighet//NN|UTR|SIN|IND|NOM//conj//30 av//PP//case//35 frihetsberövande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 påföljder//NN|UTR|PLU|IND|NOM//nmod//32 och//KN//cc//38 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 rambeslut//NN|NEU|SIN|IND|NOM//conj//35 (//PAD//punct//40 2008/947//RG|NOM//conj//35 ///MID//cc//42 RIF//PM|NOM//conj//40 )//PAD//punct//40 om//PP//case//45 erkännande//NN|NEU|SIN|IND|NOM//conj//30 och//KN//cc//47 verkställighet//NN|UTR|SIN|IND|NOM//conj//45 av//PP//case//49 frivårdspåföljder//NN|UTR|PLU|IND|NOM//nmod//45 .//MAD//punct//20
Uppdraget i korthet;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//53 har//VB|PRS|AKT//aux//53 godkänt//VB|SUP|AKT//parataxis//20 att//SN//mark//57 Sverige//PM|NOM//nsubj//57 har//VB|PRS|AKT//aux//57 tillträtt//VB|SUP|AKT//ccomp//53 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obj//57 .//MAD//punct//20
