vid utlandsmyndigheterna;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 ansvar//NN|NEU|SIN|IND|NOM//nmod//2 för//PP//case//6 migrationsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//4 vid//PP//case//8 utlandsmyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//6
Till statsrådet och chefen för Justitiedepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//29 är//VB|PRS|AKT//cop//29 härmed//AB//advmod//29 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//14 .//MAD//punct//14
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 februari//NN|UTR|SIN|IND|NOM//obl//0 2017//RG|NOM//nummod//2
Till statsrådet och chefen för Justitiedepartementet;Daniel//PM|NOM//amod//6 Tarschys//PM|GEN//flat//0 /Charlotte//RG|NOM//fixed//1 Biörklund//PM|NOM//conj//1 Uggla//PM|NOM//flat:name//1 3.4//RG|NOM//nmod//6 Migrationsverksamheten//NN|UTR|SIN|DEF|NOM//nsubj//7 skiljer//VB|PRS|AKT//ROOT//7 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//7 åt//PL//compound:prt//7 mellan//PP//case//12 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 3.4.4//RG|NOM//obl//7 Särskilt//AB//advmod//7 om//PP//case//15 studerandeärenden//NN|UTR|SIN|DEF|NOM//obl//7 och//KN//cc//17 3.5//RG|NOM//conj//15 Tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 överväganden//NN|NEU|PLU|IND|NOM//obj//7 om//PP//case//21 ansvarsfördelningen//NN|UTR|SIN|DEF|NOM//nmod//19 mellan//PP//case//24 3.5.2//RG|NOM//nmod//24 Migrationsfrågorna//NN|UTR|PLU|DEF|NOM//nmod//21 som//KN//mark//27 en//DT|UTR|SIN|IND//det//27 kärnuppgift//NN|UTR|SIN|IND|NOM//obl//7 för//PP//case//30 3.5.3//RG|NOM//nummod//30 Förord//NN|NEU|SIN|IND|NOM//nmod//27 för//PP//case//34 en//DT|UTR|SIN|IND//det//33 sammanhållen//NN|UTR|SIN|IND|NOM//nmod//34 4.2//RG|NOM//nmod//30 Förordningen//NN|UTR|SIN|DEF|NOM//nmod//34 (//PAD//punct//35 1996:1515//RG|NOM//appos//35 )//PAD//punct//35 med//PP//case//40 instruktion//NN|UTR|SIN|IND|NOM//nmod//35 för//PP//case//43 4.3//RG|NOM//nmod//43 Förordningen//NN|UTR|SIN|DEF|NOM//nmod//40 (//PAD//punct//45 2014:115//RG|NOM//appos//43 )//PAD//punct//45 med//PP//case//48 instruktion//NN|UTR|SIN|IND|NOM//nmod//35 för//PP//case//51 4.4//RG|NOM//nmod//51 Förordningen//NN|UTR|SIN|DEF|NOM//nmod//48 (//PAD//punct//35 2007:996//RG|NOM//appos//35 )//PAD//punct//53 med//PP//case//56 instruktion//NN|UTR|SIN|IND|NOM//nmod//35 för//PP//case//58 5.5.3//RG|NOM//nmod//56 Migrationsverkets//PM|GEN//nmod:poss//60 verksamhets-//NN|UTR|-|-|SMS//conj//56 och//KN//cc//62 5.5.5//RG|NOM//conj//60 Bistånd//NN|NEU|PLU|IND|NOM//nmod//35 i//PP//case//67 form//NN|UTR|SIN|IND|NOM//fixed//64 av//PP//fixed//64 utbildning//NN|UTR|SIN|IND|NOM//nmod//35 ,//MID//punct//67 information//NN|UTR|SIN|IND|NOM//nmod//70 5.6//RG|NOM//conj//67 Nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 finansiering//NN|UTR|SIN|IND|NOM//obj//7 av//PP//case//75 migrationsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//75 5.6.2//RG|NOM//nmod//72 Planerings-//NN|UTR|-|-|SMS//obl//7 och//KN//cc//78 budgetprocessen//NN|UTR|SIN|DEF|NOM//conj//76 inom//PP//case//80 5.6.3//RG|NOM//obl//7 Planerings-//NN|UTR|-|-|SMS//obl//7 och//KN//cc//83 budgetprocessen//NN|UTR|SIN|DEF|NOM//conj//81 inom//PP//case//86 6.2//RG|NOM//nummod//86 Beräkning//NN|UTR|SIN|IND|NOM//obl//7 av//PP//case//88 kostnader//NN|UTR|PLU|IND|NOM//nmod//86 för//PP//case//90 migrationsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//88 vid//PP//case//93 6.3//RG|NOM//nmod//93 Intäkter//NN|UTR|PLU|IND|NOM//nmod//90 från//PP//case//95 migrationsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//90 vid//PP//case//97 7.2//RG|NOM//nmod//100 Några//DT|UTR/NEU|PLU|IND//det//100 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//100 Schengenländers//PM|GEN//nmod:poss//101 organisation//NN|UTR|SIN|IND|NOM//nmod//95 av//PP//case//101


1.1 Förslag till förordning om ändring i förordningen (2007:996) med instruktion för Migrationsverket;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//case//5 förordningen//NN|UTR|SIN|DEF|NOM//obl//1 (//PAD//punct//7 2007:996//RG|NOM//appos//5 )//PAD//punct//7 med//PP//case//10 instruktion//NN|UTR|SIN|IND|NOM//nmod//5 för//PP//case//12 Migrationsverket//NN|NEU|SIN|DEF|NOM//nmod//10 ,//MID//punct//1 dels//KN//advmod//21  //_SP////14 att//SN//mark//21 3–14//NN|NEU|PLU|DEF|NOM//nummod//18 §//NN|AN//nmod//19 §//NN|AN//nsubj:pass//21 ska//VB|PRS|AKT//aux//21 betecknas//VB|INF|SFO//parataxis//1 4–15//NN|UTR|SIN|IND|NOM//nummod//23 §//NN|AN//nmod//24 §//NN|AN//obl//21 ,//MID//punct//32 dels//KN//mark//32  //_SP////26 att//SN//mark//32 2//RG|NOM//nummod//30 §//NN|AN//nsubj//32 ska//VB|PRS|AKT//aux//32 ha//VB|INF|AKT//advcl//21 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 lydelse//NN|UTR|SIN|IND|NOM//obj//32 ,//MID//punct//41 dels//KN//advmod//41  //_SP////36 att//SN//mark//41 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//41 ska//VB|PRS|AKT//aux//41 införas//VB|INF|SFO//advcl//32 en//DT|UTR|SIN|IND//det//44 ny//JJ|POS|UTR|SIN|IND|NOM//amod//44 paragraf//NN|UTR|SIN|IND|NOM//nsubj:pass//41 ,//MID//punct//47 3//RG|NOM//nummod//47 §//NN|AN//conj//44 ,//MID//punct//56 samt//KN//cc//56 närmast//AB|SUV//advmod//53 före//PP//case//53 3//RG|NOM//nummod//53 §//NN|AN//fixed//49 en//DT|UTR|SIN|IND//det//56 ny//JJ|POS|UTR|SIN|IND|NOM//amod//56 rubrik//NN|UTR|SIN|IND|NOM//conj//41 ,//MID//punct//60 av//PP//case//60 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 lydelse//NN|UTR|SIN|IND|NOM//conj//56 .//MAD//punct//60
1.1 Förslag till förordning om ändring i förordningen (2007:996) med instruktion för Migrationsverket;2//RG|NOM//nummod//63 §//NN|AN//appos//21
1.1 Förslag till förordning om ändring i förordningen (2007:996) med instruktion för Migrationsverket;Migrationsverket//NN|NEU|SIN|DEF|NOM//nsubj//1 ska//VB|PRS|AKT//ROOT//1 vidare//AB|KOM//advmod//3 1//RG|NOM//obj//1 .//MAD//punct//1
1.1 Förslag till förordning om ändring i förordningen (2007:996) med instruktion för Migrationsverket;motverka//VB|INF|AKT//parataxis//1 missbruk//NN|NEU|SIN|IND|NOM//obj//5 av//PP//case//8 regler//NN|UTR|PLU|IND|NOM//obl//5 ,//MID//punct//10 säkerställa//VB|INF|AKT//conj//1 att//SN//mark//15 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 utbetalningar//NN|UTR|PLU|IND|NOM//nsubj:pass//15 inte//AB//advmod//15 görs//VB|PRS|SFO//ccomp//10 samt//KN//cc//17 motverka//VB|INF|AKT//conj//15 bidragsbrott//NN|NEU|SIN|IND|NOM//obj//17 ,//MID//punct//10 2//RG|NOM//nummod//10 .//MAD//punct//1
1.1 Förslag till förordning om ändring i förordningen (2007:996) med instruktion för Migrationsverket;verka//VB|INF|AKT//conj//1 för//PP//mark//30 att//SN//mark//30 den//DT|UTR|SIN|DEF//det//27 sammantagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//27 vistelsetiden//NN|UTR|SIN|DEF|NOM//nsubj//30 i//PP//case//29 mottagandet//NN|NEU|SIN|DEF|NOM//nmod//27 blir//VB|PRS|AKT//advcl//22 så//AB//advmod//32 kort//JJ|POS|UTR|SIN|IND|NOM//xcomp//30 som//KN//mark//34 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//32 ,//MID//punct//30 3//RG|NOM//nummod//30 .//MAD//punct//1
